"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","DateMadePublic","OrigCompany","City","State","BreachType","OrgType","TotalRecords","BreachYear","Latitude","Longitude","MatchedCompanyName","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","YI","111, Inc.",1057,"$216.4M","2018","Health Care","Medical/Nursing Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","PIH","1347 Property Insurance Holdings, Inc.",1916,"$29.22M","2014","Finance","Property-Casualty Insurers","May 10, 2013","PHH Corporation","Suwanee","Georgia","Insider","Healthcare",6700,2013,34.05149,-84.0713,"1347 Property Insurance Holdings, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,197624.23,61122.06125,48980,43196.25,33120
"3","PIHPP","1347 Property Insurance Holdings, Inc.",1318,"$17.68M","n/a","Finance","Property-Casualty Insurers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","TURN","180 Degree Capital Corp.",1006,"$66.29M","n/a","Finance","Finance/Investors Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2074695.27,2169754.85,1746399.2,742280.4,489842.88,493271.54,564045.04,294338.59,251185.8,191380.955,139572.97,66571.775,98767.06,130620
"5","FLWS","1-800 FLOWERS.COM, Inc.",714,"$946.76M","1999","Consumer Services","Other Specialty Stores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004870,1071055.84,2475893.65,1527396,300361.36,397252.08,352524.24,344222.345,755488.84,1069578,3544434.345,1651185.72,1332925.5,2197255
"6","BCOW","1895 Bancorp of Wisconsin, Inc.",2630,"$45.96M","2019","Finance","Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","FCCY","1st Constitution Bancorp (NJ)",861,"$150.67M","n/a","Finance","Savings Institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19958.337,17366.637,17257.357,14138.8548,7026.3732,13692.0395,13521.9393,16207.121,16161.5525,32550.2032,39020.724,60972.594,131944.2,124800
"8","SRCE","1st Source Corporation",1994,"$1.13B","n/a","Finance","Major Banks","June 10, 2008","1st Source Bank","South Bend","Indiana","Hacking","Financial",0,2008,41.683381,-86.250007,"1st Source Corporation",393860.94,635242.929,872712.5,868624.3,511949.7295,438649.711,585642.732,737504.737,737088.5965,903748.512,1109617.7645,1131500.53,2311709.3795,2433264
"9","SRCE","1st Source Corporation",1994,"$1.13B","n/a","Finance","Major Banks","November 19, 2010","1st Source Bank","South Bend","Indiana","Unknown","Financial",0,2010,41.683381,-86.250007,"1st Source Corporation",393860.94,635242.929,872712.5,868624.3,511949.7295,438649.711,585642.732,737504.737,737088.5965,903748.512,1109617.7645,1131500.53,2311709.3795,2433264
"10","VNET","21Vianet Group, Inc.",2440,"$882.28M","2011","Technology","Computer Software: Programming, Data Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2425643.52,2606718.255,3707614.25,19067435.285,12533838.1,10988189.55,2316480.57,2716875
