"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Ex","Company","City","State","BreachType","TotalRecords","BreachYear","Latitude","Longitude","CompanyName"
"1","YI","111, Inc.",1057,"$216.4M","2018","Health Care","Medical/Nursing Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","PIH","1347 Property Insurance Holdings, Inc.",1916,"$29.22M","2014","Finance","Property-Casualty Insurers","NASDAQ","PHH Corporation","Suwanee","Georgia","Insider",6700,2013,34.05149,-84.0713,"1347 Property Insurance Holdings, Inc."
"3","PIHPP","1347 Property Insurance Holdings, Inc.",1318,"$17.68M","n/a","Finance","Property-Casualty Insurers","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","TURN","180 Degree Capital Corp.",1006,"$66.29M","n/a","Finance","Finance/Investors Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","FLWS","1-800 FLOWERS.COM, Inc.",714,"$946.76M","1999","Consumer Services","Other Specialty Stores","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","BCOW","1895 Bancorp of Wisconsin, Inc.",2630,"$45.96M","2019","Finance","Banks","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","FCCY","1st Constitution Bancorp (NJ)",861,"$150.67M","n/a","Finance","Savings Institutions","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","SRCE","1st Source Corporation",1994,"$1.13B","n/a","Finance","Major Banks","NASDAQ","1st Source Bank","South Bend","Indiana","Hacking",0,2008,41.683381,-86.250007,"1st Source Corporation"
"9","SRCE","1st Source Corporation",1994,"$1.13B","n/a","Finance","Major Banks","NASDAQ","1st Source Bank","South Bend","Indiana","Unknown",0,2010,41.683381,-86.250007,"1st Source Corporation"
"10","VNET","21Vianet Group, Inc.",2440,"$882.28M","2011","Technology","Computer Software: Programming, Data Processing","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","TWOU","2U, Inc.",879,"$1.13B","2014","Technology","Computer Software: Prepackaged Software","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
