"","symbol","week52change","week52high","week52low","marketcap","employees","day200MovingAvg","day50MovingAvg","float","avg10Volume","avg30Volume","ttmEPS","ttmDividendRate","companyName","sharesOutstanding","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","dividendYield","nextEarningsDate","exDividendDate","peRatio","beta","nextDividendDate"
"1","OTTR",0.099487,54.51,44.22,2130868000,2321,50.5,51.98,39124247.17,79972.5,76631.87,1.997,1.37,"Otter Tail Corp.",39755000,0.967693,0.803719,0.373001,0.099487,0.12087,0.068794,0.038156,0.046058,0.045242,0.018237,0.0255597014925373,"2019-11-11","2019-08-14",26.84,0.538908353117472,NA
"2","OTLK",-0.75,10.96,0.85,48843090,56,3.94,1.97,13186448.514,451572.5,394944.37,-3.5854,NA,"Outlook Therapeutics, Inc.",28233000,-0.971875,-0.971875,-0.91887,-0.75,-0.606818,-0.75565,-0.199074,-0.112821,-0.195349,0.140033,NA,"2019-12-17",NA,-0.48,0.0124511646100712,NA
"3","OTLKW",2.571429,0.29,0.01,3656174,NA,0.0655,0.164,NA,58270.9,27299.8,NA,NA,"Outlook Therapeutics, Inc.",0,-0.358974358974359,-0.358974358974359,-0.545454545454546,2.57142857142857,0.388888888888889,5.25,0.315789473684211,0.136363636363636,2.125,0.136363636363636,NA,NA,NA,NA,2.12034347436041,NA
"4","OSTK",-0.231518,29.75,8.96,696957750,2060,16.43,19.47,28212602.697,6743228.7,5882614.63,-4.8173,NA,"Overstock.com, Inc.",35289000,0.250241,-0.12111,-0.145395,-0.231518,0.397735,0.024378,1.025641,0.044974,-0.085648,-0.07364,NA,"2019-10-21",NA,-4.1,1.50267148227278,NA
"5","OVID",-0.576531,6.82,1.53,96345570,55,2.26,2.15,18483646.1,299228.3,184183.9,-1.8423,NA,"Ovid Therapeutics, Inc.",38693000,-0.825306,-0.825306,-0.832682,-0.576531,-0.077778,0.276923,0.473373,0.174528,0.303665,0.046218,NA,"2019-11-07",NA,-1.35,1.51656895523298,NA
"6","OXBR",-0.635556,2.93,0.51,4701880,3,1.0364,0.9732,3578887.568,17931.5,11927.1,-1.0735,NA,"Oxbridge Re Holdings Ltd.",5734000,-0.802405,-0.802405,-0.806723,-0.635556,0.037975,-0.310924,-0.267857,-0.178274,-0.172553,0.012346,NA,NA,"2017-09-22",-0.76,0.759821828121018,NA
"7","OXBRW",-0.9,0.18,0.01,401380,NA,0.0604,0.0166,NA,18717.9,14447.17,NA,NA,"Oxbridge Re Holdings Ltd.",0,-0.990384615384615,-0.990384615384615,-0.981132075471698,-0.9,0,-0.9,-0.5,0,0,0,NA,NA,NA,NA,NA,NA
"8","OXFD",-0.112331,19.18,11.88,368926250,210,14.82,13.45,25850541.598,105831.5,123488.03,-0.3362,NA,"Oxford Immunotec Global Plc",26831000,0.079221,-0.11877,0.183761,-0.112331,0.058507,-0.236535,-0.051724,-0.020655,0.070872,0.013265,NA,"2019-11-07",NA,-40.9,0.567912615355939,NA
"9","OXLC",-0.086556,11.05,7.35,541036800,NA,10.14,10.22,54135804.06,655152.7,791919.73,-0.3355,1.62,"Oxford Lane Capital Corp.",54540000,-0.44467,-0.350117,-0.003643,-0.086556,0.00202,-0.006012,-0.052531,-0.03125,-0.020731,0.019527,0.163306451612903,NA,"2019-12-17",-29.57,0.550433893786517,"2019-09-20"
"10","OXLCM",-0.008152,26,23.39,NA,NA,25.39,25.55,NA,1108.6,1529.3,NA,NA,"Oxford Lane Capital Corp.",0,0.028056,0.028056,0.028056,-0.008066,0.018167,-0.001133,0.005054,0.00112,-0.000156,-0.012977,NA,NA,NA,NA,0.0325961860808996,NA
