"","symbol","week52change","week52high","week52low","marketcap","employees","day200MovingAvg","day50MovingAvg","float","avg10Volume","avg30Volume","ttmEPS","companyName","sharesOutstanding","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","nextEarningsDate","peRatio","beta","ttmDividendRate","nextDividendDate","dividendYield","exDividendDate"
"1","GTN",-0.002353,25.3,13.6,1715775360,8523,18.2,16.45,90212359.425,855355.9,1067860.87,1.7077,"Gray Television, Inc.",94285000,1.501639,1.113573,0.754023,-0.002353,0.142088,-0.242857,0.018007,0.181058,-0.007026,0.090675,"2019-11-11",9.93,1.21396603288166,NA,NA,NA,NA
"2","GTN.A",0.112621,23.3,12.91,1739043540,8523,17.53,16.3,1067194.933,892.5,1620.77,NA,"Gray Television, Inc.",6881000,1.06903,1.57907,0.928696,0.113217,0.250851,-0.182548,0.026205,0.1882,-0.011188,0.122663,"2019-11-11",NA,0.498708731152048,NA,NA,NA,NA
"3","AJX",0.12,15.62,11.56,302671600,NA,13.53,14.33,16457178.63,236557.4,139288.37,1.7528,"Great Ajax Corp.",19654000,0.014286,0.014286,0.010676,0.12,0.255094,0.144981,0.166667,0.062802,0.112717,-0.009009,"2019-11-07",8.79,0.464608226806324,1.26,NA,0.0818181818181818,"2019-08-16"
"4","AJXA",0.05417,27.79,23.46,531640700,NA,25.31,26.17,NA,15508.5,10641.5,NA,"Great Ajax Corp.",0,0.017984,0.017984,0.00214,0.053763,0.129436,0.074692,0.048043,0.034813,0.050485,-0.004571,NA,NA,0.14293471404037,NA,NA,NA,NA
"5","GWB",-0.227822,44.6,28.06,1893221750,1664,33.54,31.91,56759243.577,307263,341577.53,2.7583,"Great Western Bancorp, Inc. (South Dakota)",56939000,1.005,1.005,-0.115007,-0.227822,0.045926,-0.051626,0.001808,0.12445,0.052882,0.034858,"2019-10-24",12.05,0.931975421768598,1.05,NA,0.0315789473684211,"2019-08-08"
"6","GDOT",-0.702958,93,24.19,1399658200,1100,57.83,38.58,47263985.6,688117.8,1171422.7,2.2245,"Green Dot Corp.",51820000,0.483746,2.841672,0.896281,-0.702958,-0.655177,-0.537579,-0.449113,-0.064103,-0.443322,-0.042877,"2019-11-08",12.14,1.26603058387017,NA,NA,NA,NA
"7","GBX",-0.494701,64.87,21.3,960227040,13400,34,26.26,31796476.14,454733.9,416154.17,2.0496,"Greenbrier Cos., Inc.",32484000,3.491337,-0.268199,-0.153092,-0.494701,-0.26741,-0.214248,0.065609,0.295355,0.059119,0.094815,"2019-10-25",14.42,1.44816826306298,1,NA,0.03382949932341,"2019-07-17"
"8","GHL",-0.438817,31.08,12.65,309491358,365,19.92,14.47,15646765.7926,319945.3,345380.9,-0.2618,"Greenhill & Co., Inc.",20388100,-0.02,-0.606618,-0.191549,-0.438817,-0.394978,-0.317139,0.084286,0.052705,0.07355,0.027064,"2019-10-21",-57.98,0.95397194394159,0.2,NA,0.0131752305665349,"2019-09-03"
"9","GHG",0.014427,15.99,9.5,NA,2394,12.62,11.31,NA,41317.7,34585.5,0.6448,"GreenTree Hospitality Group Ltd.",NA,0.119231,0.119231,0.119231,0.014427,-0.102871,-0.119029,-0.00266,0.105108,0.045539,0.069392,"2019-11-25",17.45,1.01506537906982,NA,NA,NA,"2019-02-05"
"10","GEF",-0.312795,59,29.85,1900232420,13000,37.88,34.24,25338208.518,242038.6,245349.93,2.4746,"Greif, Inc.",26258000,3.457429,-0.26876,-0.305291,-0.312795,0.066938,-0.038818,0.114982,0.274522,0.152518,0.074509,"2019-12-09",15.91,1.38254716120007,1.76,"2019-09-16",0.0447040894081788,"2019-09-16"
