Date,Open,High,Low,Close,Volume,OpenInt
2017-08-21,24.887,25.05,24.8,24.99,174781,0
2017-08-22,25,25.04,24.95,24.98,256148,0
2017-08-23,25.01,25.0814,24.97,25.07,117848,0
2017-08-24,25.03,25.1,25.01,25.02,175598,0
2017-08-25,25.06,25.07,25.01,25.05,82958,0
2017-08-28,25.05,25.08,24.97,25.08,123740,0
2017-08-29,25.04,25.27,25.02,25.12,196888,0
2017-08-30,25.18,25.2,25.12,25.19,134937,0
2017-08-31,25.28,25.33,25.18,25.3,119624,0
2017-09-01,25.2,25.29,25.2,25.21,41704,0
2017-09-05,25.15,25.26,25.15,25.24,308408,0
2017-09-06,25.15,25.24,25.15,25.23,141772,0
2017-09-07,25.25,25.3,25.08,25.16,184107,0
2017-09-08,25.2,25.2,25.07,25.1,146022,0
2017-09-11,25.18,25.27,25.1401,25.25,54416,0
2017-09-12,25.27,25.5,25.2,25.49,110328,0
2017-09-13,25.4676,25.48,25.35,25.44,60689,0
2017-09-14,25.37,25.45,25.13,25.14,192506,0
2017-09-15,25.16,25.2,25.12,25.14,68561,0
2017-09-18,25.2,25.23,25.07,25.19,199296,0
2017-09-19,25.19,25.213,25.11,25.14,59557,0
2017-09-20,25.18,25.21,25.14,25.17,51802,0
2017-09-21,25.17,25.25,25.14,25.15,154691,0
2017-09-22,25.1,25.15,25.08,25.13,73702,0
2017-09-25,25.1622,25.17,25.07,25.11,64659,0
2017-09-26,25.1,25.1,25.03,25.1,105248,0
2017-09-27,25.08,25.1,24.98,25.1,90952,0
2017-09-28,25.1,25.17,25.08,25.13,49350,0
2017-09-29,25.16,25.19,25.1,25.19,44845,0
2017-10-02,25.2,25.29,25.19,25.21,67606,0
2017-10-03,25.25,25.3019,25.23,25.28,38624,0
2017-10-04,25.3,25.32,25.2324,25.32,42947,0
2017-10-05,25.33,25.39,25.32,25.37,69652,0
2017-10-06,25.34,25.38,25.17,25.29,64867,0
2017-10-09,25.32,25.35,25.07,25.08,224425,0
2017-10-10,25.1,25.17,25.08,25.08,146465,0
2017-10-11,25.14,25.2,25.12,25.17,88909,0
2017-10-12,25.2,25.3,25.2,25.25,306519,0
2017-10-13,25.28,25.3151,25.27,25.3,63060,0
2017-10-16,25.2878,25.35,25.22,25.31,108127,0
2017-10-17,25.32,25.35,25.3,25.35,60241,0
2017-10-18,25.35,25.35,25.24,25.3,249982,0
2017-10-19,25.35,25.38,25.3,25.34,70827,0
2017-10-20,25.34,25.34,25.16,25.26,786994,0
2017-10-23,25.27,25.27,25.19,25.25,45741,0
2017-10-24,25.25,25.34,25.21,25.33,82187,0
2017-10-25,25.3,25.3,25.18,25.23,69160,0
2017-10-26,25.27,25.27,25.2,25.2,44406,0
2017-10-27,25.24,25.28,25.15,25.28,39922,0
2017-10-30,25.2584,25.28,25.18,25.26,20319,0
2017-10-31,25.29,25.34,25.23,25.34,37192,0
2017-11-01,25.35,25.35,25.25,25.3,71198,0
2017-11-02,25.3,25.36,25.3,25.33,19289,0
2017-11-03,25.33,25.34,25.31,25.32,24664,0
2017-11-06,25.35,25.38,25.3,25.3199,23593,0
2017-11-07,25.35,25.35,25.27,25.34,44068,0
2017-11-08,25.37,25.39,25.271,25.31,26896,0
2017-11-09,25.39,25.42,25.27,25.345,14420,0
2017-11-10,25.38,25.38,25.23,25.26,17897,0
2017-11-15,25.35,25.35,25.24,25.28,38300,0
2017-11-16,25.28,25.35,25.25,25.33,31000,0
2017-11-17,25.34,25.46,25.32,25.46,23500,0
2017-11-20,25.46,25.56,25.42,25.52,64200,0
2017-11-21,25.50,25.59,25.39,25.42,33000,0
2017-11-22,25.50,25.54,25.45,25.50,16900,0
2017-11-24,25.50,25.59,25.45,25.58,5900,0
2017-11-27,25.59,25.59,25.45,25.47,35700,0
2017-11-28,25.50,25.60,25.42,25.49,33600,0
2017-11-29,25.50,25.69,25.40,25.68,56300,0
2017-11-30,25.99,25.99,25.54,25.67,60200,0
2017-12-01,25.70,25.75,25.46,25.53,51300,0
2017-12-04,25.55,25.73,25.54,25.64,282000,0
2017-12-05,25.82,25.82,25.56,25.65,48000,0
2017-12-06,25.67,25.75,25.57,25.60,53800,0
2017-12-07,25.64,25.74,25.55,25.73,702600,0
2017-12-08,25.73,25.89,25.68,25.80,44600,0
2017-12-11,25.80,25.84,25.57,25.60,42100,0
2017-12-12,25.65,25.67,25.57,25.60,110500,0
2017-12-13,25.66,25.66,25.45,25.62,60500,0
2017-12-14,25.80,25.80,25.23,25.35,19900,0
2017-12-15,25.35,25.36,25.32,25.32,41900,0
2017-12-18,25.44,25.44,25.25,25.33,127700,0
2017-12-19,25.40,25.40,25.25,25.33,78000,0
2017-12-20,25.30,25.35,25.22,25.22,49000,0
2017-12-21,25.28,25.28,25.16,25.17,62400,0
2017-12-22,25.17,25.25,25.15,25.18,104500,0
2017-12-26,25.20,25.26,25.19,25.21,92800,0
2017-12-27,25.25,25.42,25.22,25.40,53200,0
2017-12-28,25.42,25.56,25.36,25.41,103100,0
2017-12-29,25.55,25.65,25.34,25.34,176900,0
2018-01-02,25.46,25.46,25.06,25.09,74300,0
2018-01-03,25.15,25.15,24.92,25.04,144900,0
2018-01-04,25.05,25.24,25.05,25.15,48600,0
2018-01-05,25.22,25.22,25.06,25.08,38400,0
2018-01-08,25.10,25.44,25.10,25.38,137800,0
2018-01-09,25.45,25.45,25.12,25.32,118800,0
2018-01-10,25.38,25.45,25.17,25.45,70400,0
2018-01-11,25.43,25.51,25.16,25.51,56700,0
2018-01-12,25.50,25.55,25.41,25.55,57000,0
2018-01-16,25.54,25.54,25.33,25.49,70300,0
2018-01-17,25.50,25.52,25.37,25.50,72000,0
2018-01-18,25.46,25.47,25.23,25.44,69000,0
2018-01-19,25.40,25.83,25.27,25.78,833300,0
2018-01-22,25.71,25.71,25.52,25.65,72100,0
2018-01-23,25.70,25.70,25.50,25.64,38100,0
2018-01-24,25.60,25.60,25.33,25.34,62100,0
2018-01-25,25.52,25.52,25.19,25.32,34400,0
2018-01-26,25.30,25.60,25.20,25.21,56200,0
2018-01-29,25.15,25.22,24.72,24.72,245200,0
2018-01-30,24.90,24.93,24.20,24.20,155300,0
2018-01-31,24.41,24.60,24.31,24.43,76300,0
2018-02-01,24.41,24.62,24.34,24.39,45700,0
