Date,Open,High,Low,Close,Volume,OpenInt
2016-09-23,14.11,16.8,14.11,16.1,3579175,0
2016-09-26,15.6,17.4,15.5,16.47,964244,0
2016-09-27,16.78,18.364,16.39,18.21,510028,0
2016-09-28,19.04,19.97,18.6,19.3,455672,0
2016-09-29,19.6,19.7,17.22,17.54,303421,0
2016-09-30,17.48,17.69,16.38,16.47,321011,0
2016-10-03,16.5,17.9,15.61,17.86,524031,0
2016-10-04,17.69,18.95,17,17.52,287558,0
2016-10-05,17.5,18.22,16.5,16.66,160527,0
2016-10-06,16.6,17.13,15.83,16.08,223513,0
2016-10-07,15.9,16.5438,15.08,15.81,151011,0
2016-10-10,15.75,15.75,14.501,15.25,255338,0
2016-10-11,15.31,15.66,14.51,15.1,172440,0
2016-10-12,15.22,15.55,14.256,14.48,115428,0
2016-10-13,14.25,14.33,13.01,14.01,273890,0
2016-10-14,14.02,14.5,13.63,13.96,89048,0
2016-10-17,14,14.47,13.48,14.43,26690,0
2016-10-18,14.83,15.8663,14.685,15.19,240291,0
2016-10-19,15.3,15.33,14.74,14.75,85328,0
2016-10-20,14.74,15.19,14.74,14.96,25603,0
2016-10-21,14.84,15.75,14.74,15.68,156620,0
2016-10-24,15.75,16.18,14.6,15.18,102196,0
2016-10-25,15.25,15.78,14.8501,15.74,137308,0
2016-10-26,15.77,16.28,15.34,15.75,228337,0
2016-10-27,15.8,16.12,14.75,14.91,237907,0
2016-10-28,14.83,15.03,14.1801,14.56,100579,0
2016-10-31,14.0421,14.74,13.15,13.62,82385,0
2016-11-01,13.6,14.25,12.55,12.81,108009,0
2016-11-02,12.7,13.09,12.01,12.05,48214,0
2016-11-03,12.05,12.57,11.83,12.08,30007,0
2016-11-04,11.855,12.76,11.07,11.86,177062,0
2016-11-07,11.85,12.38,11.1,11.51,256186,0
2016-11-08,11.82,12.16,10.36,10.37,293973,0
2016-11-09,11.12,13.42,11.09,13.29,210918,0
2016-11-10,14,14.9,13.68,14.15,184961,0
2016-11-11,14,15.39,13.8318,15.11,97129,0
2016-11-14,15.41,15.41,14.261,14.7,69987,0
2016-11-15,14.75,15.8,14.5,15.36,142977,0
2016-11-16,15.15,15.75,14.64,15.57,71872,0
2016-11-17,15.65,17.47,15.305,16.11,114586,0
2016-11-18,16.12,16.6,15.24,15.27,134094,0
2016-11-21,16.16,16.2903,13.88,14.08,148326,0
2016-11-22,14.15,15.0555,13.5,13.7,85661,0
2016-11-23,12.6,12.6,11.5,11.53,591137,0
2016-11-25,11.75,13.58,11.5,12.61,269053,0
2016-11-28,12.58,13.49,11.94,12.13,158535,0
2016-11-29,12.27,12.51,11.77,11.8,84945,0
2016-11-30,12.16,12.16,11.56,11.59,77076,0
2016-12-01,11.7,11.888,11.48,11.58,69820,0
2016-12-02,11.58,11.82,11.49,11.5,43759,0
2016-12-05,11.6,12.3283,11.6,11.93,44362,0
2016-12-06,12,12.41,11.9,12.07,56106,0
2016-12-07,11.93,12.1807,11.53,11.65,48452,0
2016-12-08,11.84,12.57,11.6,12.05,114836,0
2016-12-09,13.25,15,13,14.93,413036,0
2016-12-12,15,15,12.1,12.87,327323,0
2016-12-13,12.9,13.4,12,13.36,148130,0
2016-12-14,13.66,13.9,12.86,13.61,141347,0
2016-12-15,13.6,13.86,13.02,13.55,100908,0
2016-12-16,13.55,14.32,13.014,14.32,164380,0
2016-12-19,14.4,14.83,14.11,14.53,69411,0
2016-12-20,14.78,14.78,14.01,14.33,41018,0
2016-12-21,14.21,14.88,12.76,12.85,219478,0
2016-12-22,12.9,13.84,12.55,12.56,290601,0
2016-12-23,12.65,13.69,12.65,13.23,35067,0
2016-12-27,13.48,13.85,12.61,13.52,61284,0
2016-12-28,13.3,13.4387,12.6,12.7,60634,0
2016-12-29,12.86,13.46,12.4,12.54,152957,0
2016-12-30,12.74,13.0252,12.5,12.98,78689,0
2017-01-03,13.43,13.43,12.66,13.01,60401,0
2017-01-04,13.22,13.73,13.14,13.65,61129,0
2017-01-05,13.87,13.87,13.28,13.53,24096,0
2017-01-06,13.74,13.88,13.64,13.64,21530,0
2017-01-09,13.88,14.06,13.28,13.34,51324,0
2017-01-10,13.73,14,13.29,13.29,26716,0
2017-01-11,13.5,13.705,12.68,13.42,71245,0
2017-01-12,13.5,13.75,12.8303,13.05,30898,0
2017-01-13,13.05,13.65,13.05,13.31,24294,0
2017-01-17,13.5,13.74,13.1,13.2,34429,0
2017-01-18,13.35,13.48,12.93,12.98,19353,0
2017-01-19,13.02,13.5,12.59,12.65,34068,0
2017-01-20,12.7,13.35,12.6,12.6,117397,0
2017-01-23,12.82,12.82,12.4,12.4,78403,0
2017-01-24,12.45,12.645,12.03,12.05,40551,0
2017-01-25,12.5,12.58,12.06,12.15,51806,0
2017-01-26,12.05,12.5,12.04,12.25,24028,0
2017-01-27,12.22,12.41,12.12,12.12,10547,0
2017-01-30,12.42,12.75,11.75,11.76,38008,0
2017-01-31,11.84,12.33,11.8001,12.02,30638,0
2017-02-01,12.2,12.3,11.98,11.98,46910,0
