Date,Open,High,Low,Close,Volume,OpenInt
2017-11-03,8.17,8.4839,5.87,6.05,523518,0
2017-11-06,6.01,6.46,5.6,5.61,70651,0
2017-11-07,5.6,5.7021,5.6,5.6,32567,0
2017-11-08,5.6,5.65,5.6,5.6,118463,0
2017-11-09,5.6,5.63,5.6,5.601,34684,0
2017-11-10,5.65,5.76,5.61,5.72,9844,0
2017-11-13,5.760,6.189,5.720,5.970,21800,0
2017-11-14,6.150,6.350,5.650,5.970,60400,0
2017-11-15,5.910,6.240,5.790,6.240,36800,0
2017-11-16,6.200,6.590,6.200,6.520,33600,0
2017-11-17,6.700,6.890,6.590,6.890,31400,0
2017-11-20,7.000,7.840,6.980,7.340,56100,0
2017-11-21,7.650,7.650,7.360,7.420,40100,0
2017-11-22,7.500,7.503,6.900,6.950,23200,0
2017-11-24,6.850,7.210,6.850,6.870,25500,0
2017-11-27,6.870,7.200,6.829,6.900,23800,0
2017-11-28,6.870,6.881,6.708,6.800,6300,0
2017-11-29,6.820,7.050,6.540,6.780,25500,0
2017-11-30,6.670,6.900,6.640,6.750,2900,0
2017-12-01,6.400,6.900,6.400,6.790,13700,0
2017-12-04,6.790,6.790,6.400,6.460,22800,0
2017-12-05,6.410,6.410,5.880,5.980,21800,0
2017-12-06,6.000,6.110,5.800,5.890,18000,0
2017-12-07,5.910,6.260,5.810,5.900,7100,0
2017-12-08,5.920,6.240,5.920,6.050,2500,0
2017-12-11,5.980,6.200,5.950,5.960,18800,0
2017-12-12,6.100,6.110,5.690,5.840,19600,0
2017-12-13,5.850,6.000,5.510,5.530,20400,0
2017-12-14,5.580,5.790,5.540,5.540,15400,0
2017-12-15,5.550,5.700,5.000,5.000,54100,0
2017-12-18,5.000,5.220,5.000,5.140,40700,0
2017-12-19,5.180,5.240,5.020,5.020,27100,0
2017-12-20,5.152,5.152,4.820,4.820,26400,0
2017-12-21,4.890,5.210,4.850,5.160,14700,0
2017-12-22,5.020,5.030,4.950,4.950,16100,0
2017-12-26,4.969,5.050,4.969,5.010,10400,0
2017-12-27,5.010,5.020,4.910,4.920,61700,0
2017-12-28,4.980,5.115,4.940,5.050,5700,0
2017-12-29,5.050,5.250,5.050,5.250,6800,0
2018-01-02,5.250,5.620,5.060,5.620,4900,0
2018-01-03,5.600,5.622,5.201,5.300,9600,0
2018-01-04,5.270,5.460,5.146,5.315,3100,0
2018-01-05,5.300,5.528,5.300,5.510,2800,0
2018-01-08,5.550,5.550,5.180,5.240,26300,0
2018-01-09,5.214,5.439,5.210,5.240,11200,0
2018-01-10,5.529,5.550,5.160,5.190,15600,0
2018-01-11,5.240,5.395,5.220,5.240,2200,0
2018-01-12,5.270,5.380,5.030,5.170,12800,0
2018-01-16,5.200,5.230,4.810,4.940,32200,0
2018-01-17,4.810,5.070,4.810,5.000,16700,0
2018-01-18,5.000,5.025,4.960,4.960,3300,0
2018-01-19,4.820,5.030,4.800,4.990,30300,0
2018-01-22,5.000,5.016,4.744,4.750,33600,0
2018-01-23,5.000,5.969,5.000,5.660,304600,0
2018-01-24,5.720,6.350,5.300,5.430,168800,0
2018-01-25,5.490,5.710,5.300,5.310,104200,0
2018-01-26,5.300,5.400,5.250,5.300,41900,0
2018-01-29,5.553,5.553,5.350,5.440,18300,0
2018-01-30,5.460,5.465,5.110,5.110,33300,0
2018-01-31,5.140,5.520,5.140,5.370,66900,0
2018-02-01,5.300,6.290,5.300,6.000,155800,0
2018-02-02,6.010,6.290,5.865,6.110,36700,0
2018-02-05,6.190,6.835,6.180,6.750,64800,0
2018-02-06,6.330,6.830,6.120,6.830,45400,0
2018-02-07,6.780,6.920,6.610,6.780,8600,0
2018-02-08,6.780,6.780,6.330,6.440,14700,0
2018-02-09,6.450,6.927,6.447,6.500,51500,0
2018-02-12,6.450,6.580,6.450,6.580,4900,0
2018-02-13,6.816,6.816,6.420,6.520,17300,0
2018-02-14,6.530,6.600,6.200,6.240,23200,0
2018-02-15,6.230,6.650,6.230,6.410,59200,0
2018-02-16,6.600,6.600,6.400,6.480,24400,0
2018-02-20,6.514,6.654,6.514,6.560,2700,0
2018-02-21,6.650,7.440,6.600,6.850,35500,0
2018-02-22,7.000,7.160,6.965,7.010,8200,0
2018-02-23,7.210,7.380,7.000,7.160,36200,0
2018-02-26,7.250,7.325,6.970,6.990,15400,0
2018-02-27,7.040,7.090,6.990,7.090,36600,0
2018-02-28,7.000,7.050,6.720,6.800,27800,0
2018-03-01,6.710,6.976,6.590,6.720,4400,0
2018-03-02,6.760,7.240,6.630,7.240,36200,0
2018-03-05,8.000,8.440,7.501,7.855,165900,0
2018-03-06,8.040,13.190,7.960,11.000,1210100,0
2018-03-07,11.200,12.729,10.470,11.990,293300,0
2018-03-08,12.110,13.740,12.110,13.460,250400,0
2018-03-09,13.700,13.700,12.670,13.130,160400,0
2018-03-12,13.040,14.499,13.034,13.700,103800,0
2018-03-13,13.660,14.590,13.600,14.240,50500,0
2018-03-14,14.480,15.595,14.480,14.940,76400,0
2018-03-15,15.000,15.514,13.011,14.030,71000,0
2018-03-16,14.240,14.390,12.000,12.440,206000,0
2018-03-19,12.400,12.598,10.500,11.430,271800,0
2018-03-20,11.510,13.569,11.161,13.170,70300,0
2018-03-21,13.220,13.600,11.720,12.250,41500,0
2018-03-22,12.150,12.570,11.870,12.500,32100,0
2018-03-23,13.050,13.330,12.540,12.910,73500,0
2018-03-26,13.100,13.100,12.500,12.780,38200,0
2018-03-27,12.730,13.040,12.091,12.890,35800,0
2018-03-28,12.810,12.810,12.250,12.380,26000,0
2018-03-29,12.250,12.410,12.000,12.300,15600,0
2018-04-02,12.190,12.740,12.190,12.310,35300,0
2018-04-03,12.550,12.550,12.140,12.310,18600,0
2018-04-04,12.130,12.830,11.800,12.300,32800,0
2018-04-05,12.500,12.500,11.800,12.000,40700,0
2018-04-06,11.870,11.980,11.800,11.800,11800,0
2018-04-09,11.920,12.063,11.901,11.955,9612,0
