Date,Open,High,Low,Close,Volume,OpenInt
2017-10-19,25.5,25.5,25.01,25.285,198382,0
2017-10-20,25.61,25.61,25.35,25.39,589799,0
2017-10-23,25.97,25.99,25.11,25.17,1761476,0
2017-10-24,25.28,25.28,25.181,25.19,546093,0
2017-10-25,25.2,25.24,24.7,24.91,439747,0
2017-10-26,25.04,25.0499,24.91,24.97,428437,0
2017-10-27,25.08,25.08,24.78,25,280538,0
2017-10-30,25.015,25.02,24.7213,24.77,377773,0
2017-10-31,24.83,24.97,24.77,24.91,179655,0
2017-11-01,25.06,25.15,24.75,24.85,269928,0
2017-11-02,24.86,24.86,24.62,24.68,104694,0
2017-11-03,24.72,24.72,24.5,24.6,132984,0
2017-11-06,24.55,24.74,24.55,24.72,198694,0
2017-11-07,24.76,24.76,24.37,24.45,380839,0
2017-11-08,24.39,24.6,24.3201,24.56,150315,0
2017-11-09,24.56,24.56,24.2981,24.52,211326,0
2017-11-10,24.4,24.53,24.4,24.41,53616,0
2017-11-15,24.1200,24.3250,24.0300,24.2800,53200,0
2017-11-16,24.2900,24.5990,24.2900,24.5300,79700,0
2017-11-17,24.5500,24.7500,24.5270,24.7200,46100,0
2017-11-20,24.8100,24.9300,24.7400,24.9000,81700,0
2017-11-21,25.0400,25.1000,25.0000,25.0700,112200,0
2017-11-22,25.1500,25.2000,25.0200,25.0400,78100,0
2017-11-24,25.0700,25.1500,25.0200,25.0900,46800,0
2017-11-27,25.1000,25.1500,25.0000,25.0500,51500,0
2017-11-28,25.0300,25.4080,25.0100,25.4000,93400,0
2017-11-29,25.4700,25.6500,25.4150,25.4700,167100,0
2017-11-30,25.5000,25.7400,25.5000,25.5500,134200,0
2017-12-01,25.6000,25.6040,24.9000,25.5000,214000,0
2017-12-04,25.7600,25.9300,25.5500,25.5600,106500,0
2017-12-05,25.5600,25.5860,25.3200,25.3200,92300,0
2017-12-06,25.3200,25.3650,25.2300,25.2400,93200,0
2017-12-07,25.3200,25.4600,25.2060,25.3900,127200,0
2017-12-08,25.5000,25.5800,25.4400,25.5400,99900,0
2017-12-11,25.6000,25.6590,25.5800,25.6000,126400,0
2017-12-12,25.7000,25.7900,25.6800,25.6900,126700,0
