Date,Open,High,Low,Close,Volume,OpenInt
2017-11-01,17,18.98,16.55,18.31,7533536,0
2017-11-02,18.05,18.2,17.33,17.41,952072,0
2017-11-03,17.5,19.4,17.5,19.37,842709,0
2017-11-06,19.06,19.6,18.101,19,412369,0
2017-11-07,18.99,19.945,18.99,19.51,1008722,0
2017-11-08,19.55,20.38,18.62,20.36,558317,0
2017-11-09,20.12,20.62,20,20.4,282539,0
2017-11-10,20.4,20.85,20.23,20.75,132348,0
2017-11-13,20.620,21.780,20.501,21.720,223000,0
2017-11-14,21.540,22.980,21.520,22.360,318900,0
2017-11-15,22.530,23.550,22.030,23.490,638200,0
2017-11-16,23.900,23.999,23.400,23.940,328100,0
2017-11-17,23.940,24.330,23.751,24.160,329600,0
2017-11-20,24.280,24.950,24.090,24.760,308000,0
2017-11-21,24.890,25.590,24.280,24.500,376700,0
2017-11-22,24.010,24.300,23.680,23.940,296500,0
2017-11-24,23.860,24.930,23.860,24.900,76200,0
2017-11-27,24.500,25.090,22.590,22.650,353100,0
2017-11-28,23.380,23.986,22.870,23.870,275400,0
2017-11-29,23.990,24.340,21.352,22.140,396800,0
2017-11-30,22.180,23.150,21.845,22.390,303000,0
2017-12-01,21.380,24.630,21.380,23.460,533600,0
2017-12-04,23.480,23.944,21.600,21.900,327800,0
2017-12-05,21.680,22.940,21.200,21.560,435700,0
2017-12-06,21.210,21.700,20.501,21.020,236200,0
2017-12-07,20.950,22.700,20.500,22.200,293400,0
2017-12-08,22.320,22.470,21.385,21.600,140200,0
2017-12-11,21.680,23.110,21.680,23.080,145500,0
2017-12-12,22.970,23.585,22.130,22.320,272300,0
2017-12-13,22.350,22.980,21.390,21.440,197200,0
2017-12-14,21.430,21.820,21.000,21.000,176800,0
2017-12-15,21.000,21.490,20.610,21.260,715300,0
2017-12-18,21.360,23.565,21.036,22.630,428300,0
2017-12-19,22.450,22.850,21.130,22.590,180900,0
2017-12-20,22.470,23.440,22.190,23.240,297300,0
2017-12-21,23.400,24.640,23.355,24.390,296500,0
2017-12-22,24.510,24.590,23.060,23.130,491000,0
2017-12-26,23.120,23.400,22.630,23.030,116500,0
2017-12-27,23.100,23.680,22.720,23.610,82700,0
2017-12-28,23.640,24.330,23.185,24.310,209100,0
2017-12-29,24.430,24.450,23.665,23.920,123400,0
2018-01-02,24.140,24.458,23.770,24.270,291600,0
2018-01-03,24.500,25.525,24.500,25.050,484200,0
2018-01-04,25.300,25.540,24.650,24.920,177900,0
2018-01-05,25.060,25.350,24.840,25.000,98700,0
2018-01-08,25.120,25.495,24.520,25.410,158200,0
2018-01-09,25.430,26.700,25.330,26.600,289900,0
2018-01-10,26.610,28.000,26.320,27.990,209900,0
2018-01-11,28.300,28.900,26.140,26.450,331700,0
2018-01-12,26.430,26.769,25.170,25.880,193600,0
2018-01-16,25.870,26.080,25.260,25.580,193200,0
2018-01-17,25.710,25.710,23.885,24.860,265500,0
2018-01-18,24.880,25.870,24.421,25.510,318300,0
2018-01-19,25.770,27.090,25.300,26.750,220700,0
2018-01-22,27.150,27.490,25.270,25.680,246600,0
2018-01-23,25.790,26.330,24.870,25.910,160400,0
2018-01-24,25.960,26.330,25.330,25.470,73500,0
2018-01-25,25.580,25.580,24.750,25.010,86000,0
2018-01-26,25.050,26.280,24.500,26.270,222000,0
2018-01-29,26.270,26.500,25.180,25.220,86900,0
2018-01-30,25.000,26.310,24.900,26.260,211400,0
2018-01-31,26.570,27.000,26.125,26.600,446400,0
2018-02-01,26.500,27.520,26.400,27.490,321900,0
2018-02-02,27.290,28.255,26.751,26.950,286200,0
2018-02-05,26.950,27.620,26.260,26.800,212100,0
2018-02-06,26.420,28.000,26.200,26.420,450300,0
2018-02-07,26.500,26.780,26.320,26.520,169600,0
2018-02-08,26.470,27.470,25.060,25.290,276400,0
2018-02-09,25.350,25.870,24.210,25.240,285000,0
2018-02-12,25.300,25.880,24.971,25.740,104600,0
2018-02-13,25.580,26.417,25.580,25.720,209200,0
2018-02-14,25.500,26.090,25.455,25.810,188100,0
2018-02-15,25.950,26.750,25.550,26.540,234500,0
2018-02-16,26.550,27.020,25.775,26.840,205900,0
2018-02-20,26.690,26.940,25.200,26.150,350400,0
2018-02-21,26.230,26.500,25.550,25.900,84700,0
2018-02-22,25.860,26.230,25.450,25.900,75000,0
2018-02-23,26.110,26.500,25.920,26.160,290500,0
2018-02-26,26.340,26.690,26.140,26.410,260900,0
2018-02-27,26.420,26.850,26.030,26.640,324500,0
2018-02-28,26.750,26.750,26.180,26.320,201800,0
2018-03-01,26.350,26.720,26.200,26.250,107400,0
2018-03-02,26.210,26.645,25.820,26.480,123100,0
2018-03-05,26.440,26.700,25.630,26.490,64100,0
2018-03-06,26.570,27.890,26.570,27.290,194200,0
2018-03-07,27.190,30.330,26.987,29.980,769300,0
2018-03-08,29.840,30.650,28.570,29.240,420000,0
2018-03-09,29.500,30.000,28.062,29.400,164400,0
2018-03-12,29.400,30.360,28.600,30.110,183800,0
2018-03-13,30.190,30.760,28.651,29.600,219500,0
2018-03-14,29.620,30.370,29.110,29.210,199900,0
2018-03-15,29.220,29.840,28.760,29.500,177700,0
2018-03-16,29.390,29.730,28.000,29.580,647400,0
2018-03-19,29.300,30.000,28.480,29.580,494300,0
2018-03-20,29.590,32.240,29.465,31.850,413000,0
2018-03-21,31.850,33.385,31.460,31.460,571100,0
2018-03-22,31.980,31.980,29.180,30.590,538800,0
2018-03-23,30.540,30.770,29.800,30.310,396900,0
2018-03-26,30.790,32.550,29.720,32.120,332000,0
2018-03-27,32.500,32.700,30.600,30.980,304100,0
2018-03-28,30.850,31.040,29.760,30.750,239600,0
2018-03-29,30.820,31.500,30.250,31.360,143200,0
2018-04-02,31.170,31.205,29.990,30.150,232800,0
2018-04-03,30.310,30.380,29.350,30.280,225800,0
2018-04-04,29.700,30.630,29.200,30.440,243300,0
2018-04-05,30.730,31.800,30.400,30.830,170100,0
2018-04-06,30.640,30.700,29.885,30.130,259500,0
2018-04-09,30.450,30.690,29.940,30.390,34275,0
