Date,Open,High,Low,Close,Volume,OpenInt
2017-11-03,9.31,10.41,9.01,9.51,4969952,0
2017-11-06,9.81,10.7098,9.6,10.43,830753,0
2017-11-07,10.75,12.05,10.75,11.95,902374,0
2017-11-08,12.46,12.75,11.08,11.43,1324881,0
2017-11-09,11.32,11.37,10.7508,11.04,244432,0
2017-11-10,11.15,11.2478,10.9197,11.02,145100,0
2017-11-13,11.00,11.43,10.50,10.96,388500,0
2017-11-14,10.90,11.99,10.85,11.66,352900,0
2017-11-15,11.62,11.70,11.25,11.47,149600,0
2017-11-16,11.33,11.79,11.33,11.73,116100,0
2017-11-17,11.79,12.00,11.50,11.73,99000,0
2017-11-20,11.69,11.98,11.67,11.76,132500,0
2017-11-21,11.76,11.96,11.58,11.81,214600,0
2017-11-22,11.86,11.98,11.51,11.73,157100,0
2017-11-24,11.74,11.85,11.51,11.72,37100,0
2017-11-27,11.80,11.95,11.61,11.80,103200,0
2017-11-28,12.00,13.52,11.98,13.46,980800,0
2017-11-29,13.50,13.80,12.25,12.57,747300,0
2017-11-30,12.59,13.00,11.73,11.95,342900,0
2017-12-01,11.75,12.27,11.27,11.62,313700,0
2017-12-04,11.68,12.19,11.00,11.29,364300,0
2017-12-05,11.25,11.47,10.72,10.89,447100,0
2017-12-06,10.78,11.60,10.73,10.98,190000,0
2017-12-07,10.95,11.48,10.83,11.22,268100,0
2017-12-08,11.16,11.35,11.00,11.00,123800,0
2017-12-11,11.00,11.32,10.94,11.00,138200,0
2017-12-12,11.12,11.12,10.69,10.86,199500,0
2017-12-13,10.93,11.28,10.76,11.17,197300,0
2017-12-14,11.20,11.39,10.63,10.80,324600,0
2017-12-15,10.80,11.03,10.61,10.65,836300,0
2017-12-18,10.89,10.92,10.75,10.91,140100,0
2017-12-19,10.93,10.98,10.76,10.86,90900,0
2017-12-20,10.90,11.61,10.90,11.42,132000,0
2017-12-21,11.50,11.75,11.45,11.55,68800,0
2017-12-22,11.51,11.51,11.14,11.19,41100,0
2017-12-26,11.26,11.37,11.23,11.31,32800,0
2017-12-27,11.32,11.32,11.01,11.28,130800,0
2017-12-28,11.33,11.33,11.14,11.31,119600,0
2017-12-29,11.31,11.39,10.92,11.33,146500,0
2018-01-02,11.29,11.57,10.91,11.35,187600,0
2018-01-03,11.33,11.50,10.92,11.25,191000,0
2018-01-04,11.26,11.41,10.92,10.97,141800,0
2018-01-05,10.99,11.05,10.88,10.97,108800,0
2018-01-08,11.01,11.01,10.50,10.64,127300,0
2018-01-09,10.63,10.66,9.83,10.11,399700,0
2018-01-10,10.13,10.23,9.85,9.90,136800,0
2018-01-11,9.90,10.39,9.90,10.36,117000,0
2018-01-12,10.41,11.10,10.26,10.94,153800,0
2018-01-16,11.00,11.00,10.62,10.67,132100,0
2018-01-17,10.74,11.24,10.56,11.22,143200,0
2018-01-18,11.20,11.33,11.01,11.06,77600,0
2018-01-19,11.00,11.09,10.77,11.08,215500,0
2018-01-22,11.07,11.07,10.83,10.96,42400,0
2018-01-23,10.93,11.38,10.93,11.25,69800,0
2018-01-24,11.27,11.27,10.80,11.21,72100,0
2018-01-25,11.25,11.25,10.86,10.90,44900,0
2018-01-26,11.00,11.08,10.72,10.99,44900,0
2018-01-29,10.88,11.75,10.80,11.59,198700,0
2018-01-30,12.91,13.75,11.82,13.00,1397000,0
2018-01-31,13.20,13.90,12.66,13.08,831900,0
2018-02-01,12.76,14.40,12.76,14.26,827800,0
2018-02-02,14.41,14.43,13.00,13.79,563300,0
