Date,Open,High,Low,Close,Volume,OpenInt
2017-11-02,19.1,21.04,19.1,20.88,14271574,0
2017-11-03,21.14,21.2,20,20.32,1077599,0
2017-11-06,20.34,20.68,20.06,20.4,1081822,0
2017-11-07,20.45,20.51,20.26,20.26,332375,0
2017-11-08,20.35,20.69,20.12,20.3,2711329,0
2017-11-09,20.48,20.97,20.3,20.39,344149,0
2017-11-10,20.46,20.8,19.98,20.68,390995,0
2017-11-13,20.71,20.77,20.28,20.41,377100,0
2017-11-14,20.31,20.50,20.18,20.33,493100,0
2017-11-15,20.32,20.73,20.15,20.50,293700,0
2017-11-16,20.56,21.00,20.56,20.74,421500,0
2017-11-17,20.70,20.82,20.47,20.80,439700,0
2017-11-20,20.80,21.10,20.76,20.97,594700,0
2017-11-21,21.14,21.99,21.05,21.50,778600,0
2017-11-22,21.51,21.95,21.33,21.78,540500,0
2017-11-24,21.80,22.08,21.70,22.01,107000,0
2017-11-27,22.12,22.45,21.02,21.43,741000,0
2017-11-28,21.63,21.75,21.39,21.65,424000,0
2017-11-29,21.83,21.96,21.18,21.44,511900,0
2017-11-30,21.54,21.85,21.31,21.64,488700,0
2017-12-01,21.61,22.41,21.40,22.03,1379500,0
2017-12-04,23.22,23.22,22.23,22.50,1012900,0
2017-12-05,22.42,22.88,22.33,22.53,482400,0
2017-12-06,22.67,23.17,22.67,23.03,433100,0
2017-12-07,23.10,23.10,22.55,22.75,529500,0
2017-12-08,22.75,23.84,22.74,23.19,584000,0
2017-12-11,23.02,23.60,23.00,23.50,494200,0
2017-12-12,23.50,23.67,23.04,23.61,272900,0
2017-12-13,23.56,23.90,23.02,23.28,452800,0
2017-12-14,23.29,23.53,23.22,23.32,526600,0
2017-12-15,23.36,23.58,23.05,23.42,4607000,0
2017-12-18,23.42,24.52,23.40,23.86,604800,0
2017-12-19,23.79,23.79,22.78,22.99,453900,0
2017-12-20,23.02,23.61,22.99,23.12,479900,0
2017-12-21,23.09,23.53,22.97,23.28,325100,0
2017-12-22,23.26,23.54,23.02,23.15,233400,0
2017-12-26,23.15,23.45,23.13,23.15,68400,0
2017-12-27,23.14,23.25,23.09,23.21,84100,0
2017-12-28,23.23,23.81,23.13,23.71,133300,0
2017-12-29,23.70,24.00,23.63,23.71,153700,0
2018-01-02,23.86,24.37,23.57,23.82,350600,0
2018-01-03,23.77,24.05,23.44,23.77,426200,0
2018-01-04,23.91,24.12,23.66,23.73,233000,0
2018-01-05,23.86,24.29,23.44,24.05,229600,0
2018-01-08,24.00,24.85,23.80,24.78,319200,0
2018-01-09,24.75,24.79,24.22,24.50,318300,0
2018-01-10,24.55,24.80,24.43,24.67,273900,0
2018-01-11,24.61,24.66,24.30,24.51,197700,0
2018-01-12,24.59,24.72,24.29,24.60,192900,0
2018-01-16,24.62,24.74,24.21,24.23,429200,0
2018-01-17,24.36,24.62,23.93,24.22,357900,0
2018-01-18,24.26,24.62,24.13,24.34,546200,0
2018-01-19,24.28,24.85,24.28,24.82,171900,0
2018-01-22,24.81,24.85,24.45,24.78,148500,0
2018-01-23,24.69,24.78,24.30,24.57,428400,0
2018-01-24,24.62,25.04,24.47,24.50,204100,0
2018-01-25,24.53,24.84,24.29,24.65,246900,0
2018-01-26,24.72,24.72,24.15,24.25,368200,0
2018-01-29,24.32,24.32,23.90,24.03,337100,0
2018-01-30,23.88,23.90,22.91,22.93,437600,0
2018-01-31,23.00,23.22,22.74,22.86,384800,0
2018-02-01,22.78,23.00,22.47,22.56,457000,0
2018-02-02,22.40,22.58,22.11,22.21,293800,0
2018-02-05,22.12,22.85,21.56,21.61,453400,0
2018-02-06,21.57,21.74,21.00,21.43,765300,0
2018-02-07,21.45,21.92,21.16,21.36,480300,0
2018-02-08,21.42,21.56,20.73,20.74,238200,0
2018-02-09,20.81,21.00,20.40,20.82,178400,0
2018-02-12,20.84,21.12,20.55,20.98,250000,0
2018-02-13,20.94,21.18,20.61,20.97,281500,0
2018-02-14,20.85,21.60,20.71,21.44,331900,0
2018-02-15,21.58,22.73,21.48,22.37,396700,0
2018-02-16,22.30,23.02,22.30,22.74,189600,0
2018-02-20,22.70,22.84,22.00,22.20,229200,0
2018-02-21,22.22,22.85,22.06,22.08,169300,0
2018-02-22,22.06,22.37,21.93,22.13,191300,0
2018-02-23,22.28,22.73,22.19,22.63,194900,0
2018-02-26,22.65,23.13,22.29,22.74,252400,0
2018-02-27,22.66,23.01,22.53,22.96,204100,0
2018-02-28,23.03,23.15,22.55,22.90,181600,0
2018-03-01,22.83,23.35,22.80,23.04,326600,0
2018-03-02,22.81,23.36,22.65,23.23,278800,0
2018-03-05,23.12,23.62,23.07,23.52,276200,0
2018-03-06,23.59,24.01,23.44,23.90,236900,0
