Date,Open,High,Low,Close,Volume,OpenInt
2017-03-15,21.668,22.842,21.618,22.615,10021909,0
2017-03-16,22.654,23.138,22.26,22.26,735813,0
2017-03-17,22.112,22.17,21.716,21.726,353177,0
2017-03-20,21.864,21.864,21.233,21.252,285085,0
2017-03-21,21.233,21.233,20.903,20.996,339968,0
2017-03-22,21.036,21.49,20.986,21.194,226661,0
2017-03-23,21.282,21.658,21.174,21.519,310080,0
2017-03-24,21.628,21.924,21.628,21.924,130133,0
2017-03-27,21.894,22.151,21.223,22.003,65215,0
2017-03-28,22.151,22.151,21.806,21.944,58406,0
2017-03-29,21.835,21.904,21.056,21.47,128198,0
2017-03-30,21.47,21.914,21.347,21.736,113231,0
2017-03-31,21.864,21.914,21.578,21.677,38869,0
2017-04-03,21.786,21.813,20.976,21.154,131106,0
2017-04-04,21.154,21.5,21.154,21.42,40242,0
2017-04-05,21.322,21.387,21.026,21.026,42061,0
2017-04-06,21.026,21.894,20.73,20.868,74354,0
2017-04-07,20.808,21.658,20.73,21.578,38106,0
2017-04-10,21.558,21.558,20.532,20.828,151567,0
2017-04-11,21.213,21.213,20.71,20.769,109471,0
2017-04-12,20.828,21.026,20.73,20.828,312291,0
2017-04-13,20.828,20.986,20.636,20.73,241669,0
2017-04-17,20.868,20.868,20.448,20.621,179845,0
2017-04-18,20.522,20.956,20.473,20.72,147517,0
2017-04-19,20.898,21.668,20.898,21.45,88792,0
2017-04-20,21.519,21.558,21.154,21.292,11764,0
2017-04-21,21.381,21.381,20.73,20.828,27873,0
2017-04-24,20.73,21.095,20.552,21.006,51335,0
2017-04-25,21.026,21.49,20.878,20.946,62041,0
2017-04-26,20.907,21.549,20.907,21.322,73628,0
2017-04-27,21.558,21.944,21.036,21.322,196079,0
2017-04-28,21.302,21.41,20.878,21.154,80940,0
2017-05-01,21.322,21.558,21.036,21.558,86443,0
2017-05-02,21.539,21.539,20.848,21.144,131719,0
2017-05-03,21.292,21.381,20.966,20.986,54111,0
2017-05-04,21.164,21.485,20.74,21.302,147050,0
2017-05-05,21.322,22.072,21.223,22.072,206862,0
2017-05-08,22.28,22.506,21.46,21.707,76156,0
2017-05-09,21.914,22.112,21.252,21.5,170407,0
2017-05-10,21.697,22.289,21.598,22.013,188247,0
2017-05-11,21.914,21.914,21.119,21.578,328510,0
2017-05-12,21.613,22.26,21.352,21.48,160882,0
2017-05-15,21.529,21.827,21.37,21.659,69552,0
2017-05-16,21.758,21.976,21.38,21.619,168865,0
2017-05-17,21.589,22.235,21.589,21.947,110082,0
2017-05-18,21.778,21.981,21.549,21.907,32845,0
2017-05-19,21.857,22.384,21.71,22.225,33718,0
2017-05-22,22.215,22.493,21.937,22.284,72941,0
2017-05-23,22.334,23.72,22.265,23.298,188359,0
2017-05-24,23.149,23.715,23.069,23.546,74811,0
2017-05-25,23.834,24.093,23.467,23.695,125990,0
2017-05-26,23.824,24.301,22.652,22.791,101053,0
2017-05-30,22.761,23.924,22.722,23.636,84891,0
2017-05-31,23.745,24.381,22.724,23.834,93127,0
2017-06-01,24.132,24.291,23.189,23.437,130660,0
2017-06-02,23.477,23.993,22.523,23.059,160065,0
2017-06-05,22.93,23.646,22.702,22.801,109996,0
2017-06-06,22.801,22.955,22.702,22.771,69180,0
2017-06-07,22.811,22.861,22.463,22.732,123392,0
2017-06-08,22.831,22.831,22.434,22.612,67256,0
2017-06-09,22.712,22.766,22.324,22.632,43463,0
2017-06-12,22.851,23,21.877,22.076,207811,0
2017-06-13,22.225,22.841,22.076,22.553,90274,0
2017-06-14,22.424,22.543,22.106,22.265,38675,0
2017-06-15,22.145,22.553,22.106,22.275,78376,0
2017-06-16,22.225,22.364,21.907,22.096,56760,0
2017-06-19,22.235,22.404,21.907,22.016,122693,0
2017-06-20,21.937,22.195,21.867,21.957,74927,0
2017-06-21,21.907,22.001,20.894,21.708,134503,0
2017-06-22,21.569,21.599,20.546,21.589,169234,0
2017-06-23,21.738,22.165,21.569,21.738,1166424,0
2017-06-26,21.708,22.791,21.708,21.986,232537,0
2017-06-27,22.195,22.28,21.769,21.907,94091,0
2017-06-28,21.818,22.235,21.698,22.165,219646,0
2017-06-29,22.155,22.543,21.917,22.493,92091,0
2017-06-30,22.483,23,22.205,22.463,53182,0
2017-07-03,22.453,22.602,21.698,22.155,72025,0
2017-07-05,22.106,22.314,21.855,21.867,49659,0
2017-07-06,21.857,21.967,21.629,21.738,78368,0
2017-07-07,21.669,21.917,21.391,21.818,65492,0
2017-07-10,21.758,21.996,21.559,21.808,73268,0
2017-07-11,21.857,21.907,21.51,21.688,34485,0
2017-07-12,21.847,21.897,21.619,21.808,154105,0
