Date,Open,High,Low,Close,Volume,OpenInt
2017-08-02,6.5,6.5501,6.5,6.5,9657,0
2017-08-03,6.881,6.881,6.32,6.34,5589,0
2017-08-04,6.36,6.41,6.073,6.23,7251,0
2017-08-07,5.75,6.3301,5.75,6.32,17614,0
2017-08-08,6.36,6.3992,6.13,6.218,2550,0
2017-08-09,6.15,6.1601,6.05,6.1,5319,0
2017-08-11,5.8201,6.1,5.77,6.1,19755,0
2017-08-14,5.98,5.99,5.8832,5.97,16443,0
2017-08-15,5.8265,6.1,5.75,5.85,13417,0
2017-08-16,5.8415,6.1,5.84,6.1,6446,0
2017-08-18,5.9232,6,5.8824,6,2127,0
2017-08-21,5.9933,6.1,5.75,5.95,30241,0
2017-08-22,5.82,5.83,5.65,5.83,20623,0
2017-08-23,5.83,6,5.66,5.98,17083,0
2017-08-24,5.99,6,5.67,5.97,9540,0
2017-08-25,5.677,6,5.677,5.75,23843,0
2017-08-28,5.7,6,5.4,5.69,17447,0
2017-08-29,5.73,5.88,5.4,5.55,18425,0
2017-08-30,5.49,6,5.46,5.5,25887,0
2017-08-31,5.35,6.08,5.35,5.88,14623,0
2017-09-01,6.1,6.12,5.87,5.99,8680,0
2017-09-05,5.98,6.2,5.56,5.85,65688,0
2017-09-06,6.06,6.75,5.82,6.7,34720,0
2017-09-07,6.67,7.21,6.63,6.91,51153,0
2017-09-08,6.9829,7.19,6.9829,7.1,44077,0
2017-09-11,7.25,7.5,6.75,6.98,49505,0
2017-09-12,7.2351,7.25,6.95,7.2,37030,0
2017-09-13,7.05,7.25,6.94,6.94,60422,0
2017-09-14,6.94,7.2,5.66,7.01,57345,0
2017-09-15,6.5,7.03,5.9301,6.77,96513,0
2017-09-18,6.7,6.78,6.46,6.46,35658,0
2017-09-19,6.62,6.62,6.12,6.21,17804,0
2017-09-20,6.22,6.49,6.1,6.29,14992,0
2017-09-21,6.45,6.45,6.25,6.33,8787,0
2017-09-22,6.25,6.415,6.05,6.35,10606,0
2017-09-25,6.3499,6.35,6.16,6.285,16464,0
2017-09-26,6.2951,6.31,5.9,6.25,173485,0
2017-09-27,6.06,6.25,6.06,6.12,3586,0
2017-09-28,6.2738,6.2738,6.15,6.18,4032,0
2017-09-29,6.24,6.33,6.15,6.28,21171,0
2017-10-02,6.21,6.33,6.19,6.33,17339,0
2017-10-03,6.26,6.8,6.26,6.51,27475,0
2017-10-04,6.52,6.83,6.5,6.72,14218,0
2017-10-05,6.6468,6.9,6.62,6.69,26628,0
2017-10-06,7,7.42,7,7.28,72052,0
2017-10-09,7.4,7.55,7.23,7.52,33760,0
2017-10-10,7.61,8.92,7.59,7.88,88647,0
2017-10-11,7.8,8,7.3,7.5,77831,0
2017-10-12,7.5,7.74,6.9,7.73,16515,0
2017-10-13,7.6385,7.83,7.585,7.71,6561,0
2017-10-16,7.65,7.84,7.61,7.805,15272,0
2017-10-17,7.71,7.9,7.3151,7.9,16957,0
2017-10-18,7.6847,7.9,7.6847,7.79,4844,0
2017-10-19,7.7,7.7191,7.531,7.71,26876,0
2017-10-20,7.7,7.94,7.7,7.9,21083,0
2017-10-23,7.93,7.95,7.75,7.95,11019,0
2017-10-24,7.95,8,7.7,7.83,26380,0
2017-10-25,7.7,7.72,7.33,7.65,1440,0
2017-10-26,7.73,7.85,7.595,7.6,19950,0
2017-10-27,7.7661,7.9,7.55,7.9,47647,0
2017-10-30,7.88,7.9,7.81,7.9,20353,0
2017-10-31,7.9,8,7.5193,7.95,24065,0
2017-11-01,8,8.1,7.7901,8.1,30080,0
2017-11-02,8.02,8.55,7.44,8.26,152701,0
2017-11-03,8.2621,8.73,8.2621,8.73,35891,0
2017-11-06,8.75,8.75,8.06,8.06,23237,0
2017-11-07,8.4,8.4,7.5897,8.05,30572,0
2017-11-08,8.06,8.3595,7.78,8.03,27467,0
2017-11-09,8.2,8.59,7.9,8.59,20153,0
2017-11-10,8.19,8.25,8.06,8.1,10078,0
2017-11-13,8.17,8.41,8.17,8.17,24500,0
2017-11-14,8.05,8.13,8.00,8.07,4400,0
2017-11-15,8.12,8.73,8.00,8.59,19000,0
2017-11-16,8.61,9.25,8.60,8.89,68300,0
2017-11-17,8.81,9.05,8.75,8.87,22200,0
2017-11-20,8.85,8.95,8.77,8.84,6400,0
2017-11-21,8.89,9.04,8.84,8.88,20800,0
2017-11-22,8.71,9.02,8.71,8.80,5000,0
2017-11-24,8.94,9.00,8.76,9.00,5400,0
2017-11-27,9.00,9.00,8.45,8.46,8200,0
2017-11-28,8.41,9.00,8.05,8.09,40900,0
2017-11-29,8.10,8.88,8.00,8.24,17400,0
2017-11-30,8.38,8.57,8.06,8.49,11500,0
2017-12-01,8.31,8.46,8.13,8.46,10900,0
2017-12-04,8.45,8.62,8.27,8.27,6000,0
2017-12-05,8.27,8.27,7.90,8.15,67700,0
2017-12-06,7.91,8.11,7.87,7.88,15300,0
2017-12-07,7.88,8.15,7.88,8.15,8000,0
2017-12-08,8.10,8.60,8.10,8.50,40200,0
2017-12-11,8.44,8.73,8.27,8.29,17800,0
2017-12-12,8.43,8.44,8.01,8.23,22800,0
2017-12-13,8.23,8.89,8.23,8.63,170600,0
2017-12-14,8.30,9.00,8.27,9.00,94500,0
2017-12-15,8.95,8.98,7.96,8.66,68400,0
2017-12-18,8.70,8.79,8.51,8.70,52000,0
2017-12-19,8.50,8.67,8.30,8.54,12900,0
2017-12-20,8.41,8.72,8.32,8.39,26800,0
2017-12-21,8.38,8.60,8.30,8.41,26400,0
2017-12-22,8.26,8.48,8.26,8.42,9400,0
2017-12-26,8.13,8.50,8.13,8.44,28300,0
2017-12-27,8.49,8.55,8.44,8.50,46400,0
2017-12-28,8.45,8.60,8.35,8.37,111800,0
2017-12-29,8.40,8.95,8.40,8.92,54700,0
2018-01-02,8.65,8.87,8.57,8.65,31500,0
2018-01-03,8.77,9.08,8.65,9.07,233900,0
2018-01-04,9.08,9.51,8.92,9.17,173400,0
2018-01-05,9.21,9.24,8.42,8.78,56300,0
2018-01-08,8.80,9.05,8.34,8.43,72300,0
2018-01-09,8.42,8.99,8.42,8.53,16600,0
2018-01-10,8.59,8.85,8.18,8.48,17500,0
2018-01-11,8.51,8.80,8.30,8.77,40000,0
2018-01-12,8.56,9.61,8.40,8.76,63400,0
2018-01-16,8.59,9.01,8.15,8.57,16900,0
2018-01-17,8.39,8.79,8.39,8.50,32400,0
2018-01-18,8.50,8.83,8.50,8.75,34900,0
2018-01-19,8.76,8.90,8.55,8.86,60800,0
2018-01-22,8.85,8.95,8.60,8.60,53700,0
2018-01-23,8.54,8.77,8.54,8.65,20800,0
2018-01-24,8.75,9.00,8.51,8.81,36400,0
2018-01-25,8.84,8.84,7.50,7.62,89400,0
2018-01-26,7.75,8.25,7.75,8.20,32600,0
2018-01-29,8.14,8.25,8.13,8.16,11600,0
2018-01-30,8.11,8.20,7.95,8.11,14700,0
2018-01-31,8.21,8.25,8.09,8.24,24700,0
2018-02-01,8.22,8.24,7.67,7.72,31200,0
2018-02-02,7.45,7.75,7.45,7.65,19400,0
2018-02-05,7.56,8.20,7.56,7.97,45300,0
2018-02-06,7.87,8.22,7.60,8.21,37800,0
2018-02-07,7.82,8.05,7.82,7.96,5800,0
2018-02-08,8.09,8.09,7.78,7.89,15900,0
2018-02-09,7.85,7.85,7.22,7.50,60900,0
2018-02-12,7.60,8.06,7.31,7.31,34600,0
2018-02-13,7.35,7.91,7.35,7.80,48400,0
2018-02-14,7.77,7.80,7.40,7.40,26000,0
2018-02-15,7.36,7.85,7.36,7.42,17900,0
2018-02-16,7.43,7.70,7.43,7.70,6600,0
2018-02-20,7.54,7.62,7.40,7.40,14400,0
2018-02-21,7.40,7.70,7.40,7.60,16500,0
2018-02-22,7.44,7.45,7.37,7.37,1600,0
2018-02-23,7.80,8.85,7.67,8.85,90500,0
2018-02-26,8.83,9.01,8.54,8.78,134700,0
2018-02-27,8.65,8.65,7.57,7.68,64000,0
2018-02-28,7.73,7.82,7.41,7.43,30700,0
2018-03-01,7.50,7.50,7.12,7.15,20900,0
2018-03-02,7.01,7.80,7.01,7.49,11000,0
2018-03-05,7.55,7.95,7.55,7.94,13900,0
2018-03-06,8.01,8.56,7.60,8.26,18300,0
2018-03-07,8.47,8.50,8.15,8.21,19500,0
2018-03-08,8.26,8.38,7.93,7.93,4600,0
2018-03-09,7.88,8.20,7.88,8.01,8400,0
2018-03-12,8.12,8.21,7.80,7.91,19700,0
2018-03-13,7.98,8.36,7.98,8.10,6000,0
2018-03-14,8.45,8.46,7.94,7.96,22400,0
2018-03-15,8.08,8.14,7.92,7.92,12600,0
2018-03-16,7.75,7.80,7.71,7.80,55000,0
2018-03-19,7.83,8.02,7.60,7.72,9900,0
2018-03-20,8.00,8.00,7.89,7.89,3700,0
2018-03-21,7.68,7.74,7.68,7.74,800,0
2018-03-22,7.70,7.92,7.55,7.62,54000,0
2018-03-23,7.70,7.71,7.57,7.70,5800,0
2018-03-26,7.77,7.77,7.26,7.26,16700,0
2018-03-27,7.32,7.51,7.02,7.39,9700,0
2018-03-28,7.35,7.35,7.01,7.05,19000,0
2018-03-29,7.04,7.22,7.04,7.06,14800,0
2018-04-02,7.08,7.85,7.05,7.60,52100,0
2018-04-03,7.56,7.59,7.26,7.30,19200,0
2018-04-04,7.50,7.84,7.29,7.30,29100,0
2018-04-05,7.51,7.52,7.28,7.31,14400,0
2018-04-06,7.35,7.38,7.00,7.00,21000,0
2018-04-09,7.35,7.06,6.24,6.69,7704,0
