Date,Open,High,Low,Close,Volume,OpenInt
2017-09-07,9.75,9.79,9.75,9.78,530700,0
2017-09-08,9.8,9.8,9.8,9.8,100,0
2017-09-11,9.8,9.8,9.78,9.78,5300,0
2017-09-12,9.78,10.1101,9.77,9.82,119390,0
2017-09-13,9.82,9.95,9.82,9.9,20300,0
2017-09-14,9.89,9.95,9.78,9.78,3415,0
2017-09-18,9.78,9.79,9.78,9.78,3625,0
2017-09-19,9.78,9.83,9.78,9.78,1200,0
2017-09-20,9.81,9.81,9.81,9.81,15015,0
2017-09-21,9.81,9.81,9.795,9.8099,5700,0
2017-09-22,9.78,9.802,9.78,9.8,8835,0
2017-09-25,9.8,9.84,9.79,9.8,59800,0
2017-09-26,9.79,9.79,9.79,9.79,500,0
2017-09-27,9.79,9.81,9.78,9.81,36300,0
2017-09-28,9.83,10.0194,9.815,9.82,61600,0
2017-10-02,9.81,9.85,9.81,9.8332,9300,0
2017-10-03,9.83,9.84,9.81,9.81,3100,0
2017-10-04,9.81,9.84,9.81,9.8115,17385,0
2017-10-05,9.8,9.8,9.8,9.8,50000,0
2017-10-06,9.8,9.82,9.8,9.82,600,0
2017-10-09,9.82,9.82,9.81,9.81,800,0
2017-10-10,9.83,9.84,9.81,9.81,6425,0
2017-10-12,9.82,9.82,9.76,9.79,400,0
2017-10-16,9.802,9.802,9.802,9.802,1000,0
2017-10-17,9.8,9.8005,9.8,9.8,21500,0
2017-10-18,9.82,9.83,9.8,9.82,29700,0
2017-10-19,9.82,9.82,9.819,9.82,39600,0
2017-10-20,9.83,9.83,9.83,9.83,100,0
2017-10-24,9.8,9.8,9.8,9.8,1900,0
2017-10-25,9.75,9.81,9.75,9.81,19705,0
2017-10-26,9.82,9.9575,9.82,9.95,9400,0
2017-10-27,9.82,9.82,9.81,9.81,4051,0
2017-10-30,9.8,9.821,9.78,9.81,351000,0
2017-11-06,9.83,9.83,9.8,9.8,4700,0
2017-11-07,9.8,9.81,9.8,9.8,26750,0
2017-11-08,9.8099,9.8099,9.8099,9.8099,225,0
2017-11-09,9.8,9.8,9.7999,9.7999,8950,0
2017-11-10,9.798,9.8,9.788,9.8,9100,0
2017-11-13,9.81,9.81,9.81,9.81,1500,0
2017-11-14,9.81,9.81,9.79,9.81,1100,0
2017-11-15,9.81,10.00,9.81,10.00,10100,0
2017-11-16,9.95,9.95,9.90,9.90,1000,0
2017-11-17,9.90,9.90,9.90,9.90,-,0
2017-11-20,9.90,9.90,9.90,9.90,-,0
2017-11-21,15.00,15.00,15.00,15.00,100,0
2017-11-22,12.00,12.00,9.80,9.89,92100,0
2017-11-24,9.89,9.89,9.89,9.89,100,0
2017-11-27,9.80,9.82,9.80,9.80,3200,0
2017-11-28,9.80,9.80,9.80,9.80,1000,0
2017-11-29,9.80,9.80,9.80,9.80,-,0
2017-11-30,9.81,9.81,9.80,9.80,2600,0
2017-12-01,9.78,9.78,9.78,9.78,800,0
2017-12-04,9.83,9.85,9.75,9.76,10400,0
2017-12-05,9.78,9.81,9.75,9.77,19400,0
2017-12-06,9.76,9.76,9.75,9.75,200,0
2017-12-07,9.78,9.82,9.75,9.80,19800,0
2017-12-08,9.81,9.81,9.80,9.80,400,0
2017-12-11,9.81,9.81,9.81,9.81,1100,0
2017-12-12,9.83,9.83,9.82,9.82,2200,0
2017-12-13,9.85,9.91,9.85,9.90,2700,0
2017-12-14,9.90,9.90,9.90,9.90,-,0
2017-12-15,9.85,9.88,9.81,9.81,27000,0
2017-12-18,9.81,9.81,9.81,9.81,-,0
2017-12-19,9.81,9.81,9.81,9.81,-,0
2017-12-20,9.81,9.81,9.81,9.81,500,0
2017-12-21,9.99,10.00,9.99,10.00,3300,0
2017-12-22,10.00,10.00,10.00,10.00,-,0
2017-12-26,10.00,10.00,10.00,10.00,-,0
