Date,Open,High,Low,Close,Volume,OpenInt
2017-04-11,22,22.1,21.25,21.5,10177400,0
2017-04-12,21.42,22.03,21.33,21.94,1090412,0
2017-04-13,22.03,22.18,21.675,21.88,915090,0
2017-04-17,22.05,22.19,21.85,22.06,489862,0
2017-04-18,22.18,23.95,22.06,23.1,1238727,0
2017-04-19,23.35,23.35,22.84,22.93,760693,0
2017-04-20,23.18,23.21,22.44,22.72,776082,0
2017-04-21,23,23.17,22.54,23,406395,0
2017-04-24,23.37,23.48,22.77,23.22,390677,0
2017-04-25,22.92,23.11,22.77,23.02,361554,0
2017-04-26,22.9,22.96,22.43,22.52,307196,0
2017-04-27,22.51,22.6,22.1301,22.39,382447,0
2017-04-28,22.36,22.74,22.36,22.71,228935,0
2017-05-01,22.73,23.78,22.62,23.36,233195,0
2017-05-02,22.92,24.5,22.81,24.17,501773,0
2017-05-03,24.18,24.639,23.9,24.61,215479,0
2017-05-04,24.7,24.9399,24.35,24.68,199763,0
2017-05-05,25.12,25.57,24.74,25.09,308066,0
2017-05-08,25.39,25.82,24.1,24.29,295456,0
2017-05-09,24.65,24.8361,24.16,24.25,261569,0
2017-05-10,24.43,24.77,24.37,24.49,178484,0
2017-05-11,24.35,24.35,23.76,24.09,245089,0
2017-05-12,24.28,24.62,24,24.2,185943,0
2017-05-15,24.85,25.75,24.51,24.86,460632,0
2017-05-16,25.17,25.5,24.95,25.43,281877,0
2017-05-17,25.4,25.99,25.12,25.2,302372,0
2017-05-18,22.16,22.32,19.43,20.55,3371487,0
2017-05-19,21.63,21.92,21.21,21.39,906730,0
2017-05-22,20.94,21.0695,19.85,20.32,948252,0
2017-05-23,20.37,20.76,20.2,20.3,348371,0
2017-05-24,20.62,22.69,20.6,21.98,716348,0
2017-05-25,22.69,23.45,22.51,23.05,981201,0
2017-05-26,23.35,23.4,23.1234,23.32,231686,0
2017-05-30,23.31,23.35,22.99,23,736916,0
2017-05-31,23.08,23.2168,22.03,22.06,185869,0
2017-06-01,22.32,22.37,21.33,21.39,165071,0
2017-06-02,21.39,21.7,21.08,21.56,172735,0
2017-06-05,21.32,21.54,21.13,21.45,80866,0
2017-06-06,21.87,21.9864,21.32,21.4,166659,0
2017-06-07,21.68,21.8199,21.39,21.64,91640,0
2017-06-08,21.32,21.32,20.93,21.15,191723,0
2017-06-09,21.15,21.345,20.84,20.99,196349,0
2017-06-12,21.07,21.2,20.51,20.66,135611,0
2017-06-13,20.63,21.2162,20.06,21.13,207884,0
2017-06-14,21.33,21.34,20.73,21.01,63636,0
2017-06-15,20.81,21.3,20.41,21.06,107393,0
2017-06-16,20.93,21.08,20.56,20.74,119658,0
2017-06-19,20.63,20.65,20.29,20.59,119588,0
2017-06-20,20.51,21.02,20.38,20.56,214182,0
2017-06-21,20.81,21.01,20.64,20.76,67484,0
2017-06-22,20.76,20.76,20.55,20.67,84356,0
2017-06-23,20.57,21.34,20.57,20.89,118709,0
2017-06-26,21.08,21.36,21.04,21.19,202613,0
2017-06-27,21.2,21.2,20.98,21.02,90181,0
2017-06-28,21.07,21.24,20.82,20.99,140967,0
2017-06-29,21.17,21.27,20.78,20.84,146531,0
2017-06-30,20.97,21.19,20.95,21.08,156056,0
2017-07-03,21.17,21.53,21.17,21.4,164944,0
2017-07-05,21.7,22.05,21.34,22.01,378973,0
2017-07-06,22.02,22.19,21.56,22.06,245577,0
2017-07-07,22.18,23.27,22.04,22.87,353952,0
2017-07-10,23.21,23.58,22.87,23.15,184764,0
2017-07-11,23.24,23.39,22.96,23.08,167435,0
2017-07-12,23.31,23.54,23.04,23.43,268608,0
2017-07-13,23.63,23.91,23.45,23.52,109489,0
2017-07-14,23.54,23.97,23.53,23.87,121561,0
2017-07-17,24.09,24.47,23.65,24.39,105546,0
2017-07-18,24.66,25,24.43,24.49,122176,0
2017-07-19,25,25.41,24.925,25.16,108784,0
2017-07-20,25.29,25.29,24.52,24.89,242434,0
2017-07-21,24.45,25.04,24.17,24.99,121551,0
2017-07-24,24.99,25.15,24.84,24.93,90589,0
2017-07-25,25,25.4,25,25.09,111349,0
2017-07-26,25.05,25.47,24.79,25.39,66780,0
2017-07-27,25.33,25.41,24.88,25.06,582094,0
2017-07-28,24.87,25.48,24.47,25.35,90723,0
2017-07-31,25.41,26.73,25.231,26.36,307240,0
2017-08-01,26.17,26.74,25.67,25.9,295648,0
2017-08-02,25.94,26.3,25.71,26.1,328916,0
2017-08-03,26.24,26.75,26.14,26.73,120639,0
2017-08-04,26.9,26.958,26.38,26.53,380261,0
2017-08-07,26.6,26.91,26.38,26.55,138545,0
2017-08-08,26.4,26.95,26.34,26.73,105953,0
2017-08-09,26.18,26.72,25.78,26.6,104562,0
2017-08-10,26.27,26.43,25.3,25.41,136752,0
2017-08-11,25.15,25.69,24.73,25.39,308815,0
2017-08-14,25.98,26.17,25.36,25.68,135027,0
2017-08-15,26.01,26.01,25.31,25.62,86797,0
2017-08-16,25.55,26.051,25.37,25.94,170776,0
2017-08-17,25.79,25.79,24.9,25.08,117814,0
2017-08-18,25.48,25.6,24.57,25.37,147172,0
2017-08-21,25.33,25.45,24.77,24.95,130635,0
2017-08-22,25.17,25.37,24.76,25.12,129318,0
2017-08-23,25.07,25.27,24.42,24.84,176416,0
2017-08-24,24.94,25.06,24.8,25.03,102457,0
2017-08-25,25.07,25.15,24.85,24.95,108542,0
2017-08-28,25.05,25.07,24.63,24.73,198384,0
2017-08-29,24.6,25.01,24.54,24.86,88807,0
2017-08-30,24.85,24.85,24.2801,24.65,171446,0
2017-08-31,24.77,25.23,24.6501,25.01,111261,0
2017-09-01,25.5,25.52,25.1,25.46,121553,0
2017-09-05,26.13,26.45,25.76,26.2,225478,0
2017-09-06,26.3,26.8,26.13,26.69,404161,0
2017-09-07,26.68,26.86,26.235,26.7,133275,0
2017-09-08,26.69,26.96,26.43,26.74,135151,0
2017-09-11,26.85,27.15,26.71,26.87,271918,0
2017-09-12,26.58,26.75,25,25.55,499504,0
2017-09-13,25.17,26.66,25.04,26.65,472265,0
2017-09-14,26.36,28.34,26.191,27.45,517079,0
2017-09-15,27.86,29.01,27.75,28.31,5443963,0
2017-09-18,28.57,28.94,28.35,28.4,729579,0
2017-09-19,28.47,28.69,27.2339,28.52,567944,0
2017-09-20,29.2,29.3,28.36,28.59,607427,0
2017-09-21,28.88,29.43,28.35,28.89,460452,0
2017-09-22,28.92,28.92,28.17,28.26,125893,0
2017-09-25,28.58,28.67,27.16,27.51,296427,0
2017-09-26,27.58,28.04,27.11,27.15,538349,0
2017-09-27,27.24,27.459,25.86,26.72,769138,0
2017-09-28,26.52,26.67,26.11,26.36,424146,0
2017-09-29,27.05,27.52,26.49,27.45,260766,0
2017-10-02,27.47,27.52,27.28,27.35,315498,0
2017-10-03,27.28,28.7999,27.28,28.34,332349,0
2017-10-04,28.39,28.855,28.1401,28.34,213374,0
2017-10-05,29.05,29.19,28.54,28.62,302996,0
2017-10-06,28.17,28.675,27.91,28.23,169274,0
2017-10-09,28.23,28.58,28.03,28.14,323269,0
2017-10-10,28.78,29.22,28.4,28.49,293644,0
2017-10-11,28.75,28.81,27.85,27.86,333340,0
2017-10-12,27.83,28.1,27.79,27.92,143849,0
2017-10-13,27.97,28.01,27.47,27.72,268267,0
2017-10-16,27.29,27.33,26.28,27.06,411106,0
2017-10-17,26.85,27.01,26.4725,27,135342,0
2017-10-18,27.25,27.31,26.9,27.16,306444,0
2017-10-19,27.07,27.09,26.01,26.75,363119,0
2017-10-20,27.06,27.52,26.92,27.38,143624,0
2017-10-23,27.08,27.39,26.54,26.57,129739,0
2017-10-24,26.7,27.62,26.22,27.5,232123,0
2017-10-25,27.91,28,27.19,27.55,204900,0
2017-10-26,27.54,27.67,26.67,26.72,338938,0
2017-10-27,26.74,27.54,26.66,27.27,338396,0
2017-10-30,27.045,27.11,25.74,26.02,203930,0
2017-10-31,25.9,25.9,25.17,25.29,403660,0
2017-11-01,25.03,25.33,24.77,24.88,323206,0
2017-11-02,25.02,25.02,23.86,24.74,563899,0
2017-11-03,24.91,25.1,23.875,24.05,412017,0
2017-11-06,24.49,24.88,24.21,24.67,216397,0
2017-11-07,24,24,23.21,23.42,347400,0
2017-11-08,24.21,25.12,24.01,24.65,487921,0
2017-11-09,25.52,25.54,24.7,25.2,908962,0
2017-11-10,24.76,25.03,24.43,24.86,412691,0
2017-11-13,24.30,24.74,24.06,24.28,259200,0
2017-11-14,24.14,24.41,23.71,23.95,259700,0
2017-11-15,23.91,24.35,23.62,23.99,305800,0
2017-11-16,24.45,24.67,24.26,24.32,399100,0
2017-11-17,24.39,24.77,24.39,24.68,265300,0
2017-11-20,24.68,25.65,24.13,25.50,406100,0
2017-11-21,25.61,26.09,25.60,25.89,982900,0
2017-11-22,25.70,26.01,25.49,26.01,493000,0
2017-11-24,26.10,26.32,25.94,26.04,178100,0
2017-11-27,26.00,26.08,25.88,25.89,155300,0
2017-11-28,26.07,26.55,25.93,26.42,269800,0
2017-11-29,26.33,26.33,25.64,26.06,331700,0
2017-11-30,24.27,25.31,23.81,25.16,1104200,0
2017-12-01,25.04,25.20,24.73,24.88,324300,0
2017-12-04,25.09,25.35,25.00,25.05,449400,0
2017-12-05,25.32,25.74,25.02,25.09,390200,0
2017-12-06,25.27,25.29,24.82,24.90,317100,0
2017-12-07,24.06,24.94,24.00,24.30,465600,0
2017-12-08,24.96,25.05,24.34,24.40,310500,0
2017-12-11,24.50,24.54,24.03,24.29,264800,0
2017-12-12,24.00,24.38,23.91,24.10,328300,0
2017-12-13,24.37,24.50,23.80,23.99,544000,0
2017-12-14,23.36,23.82,23.32,23.42,253400,0
2017-12-15,23.89,23.96,23.21,23.35,464800,0
2017-12-18,23.49,23.63,23.39,23.49,418900,0
2017-12-19,23.27,23.63,23.27,23.52,455600,0
2017-12-20,23.52,24.00,23.52,23.84,308600,0
2017-12-21,23.81,24.15,23.78,23.96,282200,0
2017-12-22,23.85,23.99,23.85,23.90,146500,0
2017-12-26,23.93,24.18,23.80,24.00,87200,0
2017-12-27,23.96,23.96,23.61,23.68,76700,0
2017-12-28,24.23,24.23,23.71,23.80,348200,0
2017-12-29,23.80,24.03,23.75,23.83,125600,0
2018-01-02,24.74,25.06,24.63,24.83,229800,0
2018-01-03,24.83,24.92,24.53,24.56,119700,0
2018-01-04,25.16,25.42,24.95,24.96,269900,0
2018-01-05,24.65,25.28,24.57,24.91,215900,0
2018-01-08,24.91,24.98,24.66,24.87,255500,0
2018-01-09,24.73,24.88,24.49,24.66,617700,0
2018-01-10,24.61,25.13,24.43,24.78,220900,0
2018-01-11,24.57,25.11,24.57,25.11,449300,0
2018-01-12,24.46,24.77,24.26,24.74,228400,0
2018-01-16,24.92,25.61,24.89,25.47,319000,0
2018-01-17,25.42,26.57,25.36,26.25,547600,0
2018-01-18,26.59,26.92,26.58,26.70,682800,0
2018-01-19,27.19,27.21,26.67,26.89,768600,0
2018-01-22,26.56,27.32,26.46,27.30,300200,0
2018-01-23,26.64,26.87,26.58,26.86,254300,0
