Date,Open,High,Low,Close,Volume,OpenInt
2017-11-10,21.06,22,20.55,21.16,2318015,0
2017-11-13,21.25,21.38,20.01,20.30,420000,0
2017-11-14,20.07,20.48,20.00,20.09,151300,0
2017-11-15,20.04,20.35,20.00,20.04,146200,0
2017-11-16,20.25,20.25,20.00,20.00,250300,0
2017-11-17,20.06,20.06,18.05,18.16,526200,0
2017-11-20,18.25,19.34,18.10,19.13,201700,0
2017-11-21,19.08,20.10,18.85,20.05,76700,0
2017-11-22,20.09,21.91,20.09,21.22,122900,0
2017-11-24,21.00,21.43,21.00,21.06,7000,0
2017-11-27,21.27,21.65,20.50,20.72,42800,0
2017-11-28,20.47,20.62,20.00,20.43,81700,0
2017-11-29,20.26,21.30,20.17,20.67,13500,0
2017-11-30,20.63,22.40,20.55,21.84,120000,0
2017-12-01,22.00,23.81,21.89,22.22,116900,0
2017-12-04,23.82,23.82,22.20,22.37,50800,0
2017-12-05,22.45,24.15,22.25,22.70,294600,0
2017-12-06,22.76,23.30,22.40,22.55,174300,0
2017-12-07,22.74,24.79,21.41,21.53,182300,0
2017-12-08,22.35,22.78,20.53,21.15,171300,0
2017-12-11,21.15,21.57,20.56,20.65,107300,0
2017-12-12,20.57,21.47,20.25,20.25,103300,0
2017-12-13,20.10,21.65,20.10,21.55,87400,0
2017-12-14,24.99,24.99,22.01,22.12,480800,0
2017-12-15,22.22,23.00,21.49,21.49,266000,0
2017-12-18,21.56,23.48,21.56,22.86,85700,0
2017-12-19,22.81,23.25,22.44,22.63,38000,0
2017-12-20,22.64,23.31,22.46,22.97,50600,0
2017-12-21,22.92,24.00,22.91,23.06,38100,0
2017-12-22,23.58,23.78,22.94,23.05,48100,0
2017-12-26,23.32,23.50,23.01,23.03,116200,0
2017-12-27,23.16,24.78,23.01,24.07,121200,0
2017-12-28,24.07,24.75,23.32,24.38,78900,0
2017-12-29,24.07,24.54,23.01,23.12,193400,0
2018-01-02,23.33,24.40,23.00,23.24,111100,0
2018-01-03,23.06,23.71,23.02,23.53,78600,0
2018-01-04,23.74,24.14,23.13,23.44,99100,0
2018-01-05,23.44,23.62,23.00,23.48,131000,0
2018-01-08,23.66,23.91,23.09,23.50,59100,0
2018-01-09,23.68,23.68,23.27,23.30,6200,0
2018-01-10,23.34,23.69,23.11,23.23,63000,0
