Date,Open,High,Low,Close,Volume,OpenInt
2017-07-13,6.4434,6.798,6.3335,6.4834,212197,0
2017-07-14,6.5833,6.5932,6.3535,6.4434,67727,0
2017-07-17,6.4734,6.5433,6.2536,6.3935,162836,0
2017-07-18,6.3735,6.4434,6.2936,6.3435,129428,0
2017-07-19,6.3935,6.4834,6.3435,6.3635,125477,0
2017-07-20,6.4234,6.4234,6.2636,6.2936,58699,0
2017-07-21,6.1937,6.3195,6.1737,6.2636,126758,0
2017-07-24,6.2536,6.4434,6.1937,6.3235,56549,0
2017-07-25,6.3935,6.3935,6.2736,6.3135,120968,0
2017-07-26,6.3435,6.3785,6.2764,6.3435,72796,0
2017-07-27,6.3335,6.3435,6.2536,6.3035,91109,0
2017-07-28,6.3135,6.3235,6.1137,6.1787,178264,0
2017-07-31,6.1937,6.2436,6.0939,6.1637,211470,0
2017-08-01,6.1837,6.2436,6.1037,6.1737,69588,0
2017-08-02,6.1937,6.2236,6.0039,6.0338,299339,0
2017-08-03,6.0938,6.2236,5.864,6.0238,151918,0
2017-08-04,6.0238,6.2136,6.0138,6.0438,113758,0
2017-08-07,6.0338,6.2236,6.0138,6.0338,267460,0
2017-08-08,6.1637,6.2336,6.0138,6.2036,174692,0
2017-08-09,6.1537,6.4034,6.1172,6.3735,77724,0
2017-08-10,6.3335,6.4234,6.1137,6.4034,60478,0
2017-08-11,6.3635,6.3835,6.1937,6.2336,268732,0
2017-08-14,6.2636,6.4434,6.1937,6.4334,83835,0
2017-08-15,6.4334,6.44,6.2636,6.2936,69390,0
2017-08-16,6.3335,6.3935,6.2936,6.3835,96102,0
2017-08-17,6.3635,6.3935,6.2636,6.2936,54910,0
2017-08-18,6.3775,6.3935,6.2936,6.3735,25332,0
2017-08-21,6.3435,6.4234,6.1937,6.3235,522475,0
2017-08-22,7.1926,7.3325,6.6632,7.0528,1066652,0
2017-08-23,7.0528,7.1037,6.9229,7.0228,198105,0
2017-08-24,7.0728,7.2426,6.9229,6.9928,348328,0
2017-08-25,7.0927,7.0927,7.0328,7.0827,52449,0
2017-08-28,7.0927,7.1327,7.0228,7.0628,77137,0
2017-08-29,7.0028,7.0927,6.8929,7.0728,57736,0
2017-08-30,7.1327,7.2426,7.0203,7.2126,154169,0
2017-08-31,7.2126,7.3325,7.1727,7.2626,95456,0
2017-09-01,7.2825,7.3025,7.1635,7.2726,27757,0
2017-09-05,7.2726,7.4024,7.1527,7.1826,494692,0
2017-09-06,7.1427,7.7467,7.1427,7.5523,453660,0
2017-09-07,7.5223,7.762,7.2426,7.3325,562895,0
2017-09-08,7.3525,7.6622,7.3525,7.3724,631560,0
2017-09-11,7.4923,7.5722,7.3025,7.3325,608758,0
