Date,Open,High,Low,Close,Volume,OpenInt
2017-10-04,24.3,24.3001,24.3,24.3,400,0
2017-10-09,24.07,24.08,24.07,24.08,420,0
2017-11-13,24.08,24.08,24.08,24.08,-,0
2017-11-14,24.08,24.08,24.08,24.08,-,0
2017-11-15,24.08,24.08,24.08,24.08,-,0
2017-11-16,24.08,24.08,24.08,24.08,-,0
2017-11-17,24.08,24.08,24.08,24.08,-,0
2017-11-20,24.08,24.08,24.08,24.08,-,0
2017-11-21,24.08,24.08,24.08,24.08,-,0
2017-11-22,24.08,24.08,24.08,24.08,-,0
2017-11-24,24.08,24.08,24.08,24.08,200,0
2017-11-27,24.08,24.08,24.08,24.08,-,0
2017-11-28,24.08,24.08,24.08,24.08,-,0
2017-11-29,24.08,24.08,24.08,24.08,-,0
2017-11-30,24.08,24.08,24.08,24.08,-,0
2017-12-01,24.08,24.08,24.08,24.08,-,0
2017-12-04,24.08,24.08,24.08,24.08,-,0
2017-12-05,24.08,24.08,24.08,24.08,-,0
2017-12-06,24.08,24.08,24.08,24.08,-,0
2017-12-07,24.08,24.08,24.08,24.08,-,0
2017-12-08,24.08,24.08,24.08,24.08,-,0
2017-12-11,24.08,24.08,24.08,24.08,-,0
2017-12-12,24.08,24.08,24.08,24.08,-,0
2017-12-13,24.08,24.08,24.08,24.08,-,0
2017-12-14,24.08,24.08,24.08,24.08,-,0
2017-12-15,24.08,24.08,24.08,24.08,-,0
2017-12-18,25.02,25.02,25.02,25.02,100,0
2017-12-19,25.02,25.02,25.02,25.02,-,0
2017-12-20,25.02,25.02,25.02,25.02,100,0
2017-12-21,25.02,25.02,25.02,25.02,-,0
2017-12-22,24.25,24.25,24.25,24.25,500,0
2017-12-26,24.25,24.25,24.25,24.25,-,0
2017-12-27,24.25,24.25,24.25,24.25,-,0
2017-12-28,24.25,24.25,24.25,24.25,-,0
2017-12-29,25.37,25.38,25.37,25.38,300,0
2018-01-02,25.38,25.38,25.38,25.38,-,0
2018-01-03,25.38,25.38,25.38,25.38,-,0
2018-01-04,25.50,25.50,25.50,25.50,3900,0
2018-01-05,25.50,25.50,25.50,25.50,-,0
2018-01-08,25.50,25.50,25.50,25.50,-,0
2018-01-09,25.50,25.50,25.50,25.50,-,0
2018-01-10,25.50,25.50,25.50,25.50,-,0
2018-01-11,25.50,25.50,25.50,25.50,-,0
2018-01-12,25.50,25.50,25.50,25.50,-,0
2018-01-16,25.50,25.50,25.50,25.50,-,0
2018-01-17,25.50,25.50,25.50,25.50,-,0
2018-01-18,25.50,25.50,25.50,25.50,-,0
2018-01-19,25.50,25.50,25.50,25.50,-,0
2018-01-22,25.50,25.50,25.50,25.50,-,0
2018-01-23,25.50,25.50,25.50,25.50,-,0
2018-01-24,25.50,25.50,25.50,25.50,-,0
2018-01-25,25.50,25.50,25.50,25.50,-,0
2018-01-26,26.79,26.79,26.79,26.79,100,0
2018-01-29,26.64,26.64,26.64,26.64,200,0
2018-01-30,26.49,26.49,26.49,26.49,100,0
2018-01-31,26.49,26.49,26.49,26.49,-,0
2018-02-01,26.40,26.40,26.40,26.40,100,0
2018-02-02,26.40,26.40,26.40,26.40,-,0
2018-02-05,25.76,25.76,25.76,25.76,200,0
2018-02-06,25.76,25.76,25.76,25.76,-,0
2018-02-07,25.61,25.61,25.61,25.61,100,0
2018-02-08,25.61,25.61,25.61,25.61,-,0
2018-02-09,24.38,24.38,24.38,24.38,3900,0
2018-02-12,24.38,24.38,24.38,24.38,-,0
2018-02-13,24.38,24.38,24.38,24.38,-,0
2018-02-14,24.12,24.12,24.12,24.12,800,0
2018-02-15,24.12,24.12,24.12,24.12,-,0
2018-02-16,24.88,24.88,24.88,24.88,6900,0
2018-02-20,24.88,24.88,24.88,24.88,-,0
2018-02-21,24.88,24.88,24.88,24.88,-,0
2018-02-22,24.88,24.88,24.88,24.88,-,0
2018-02-23,24.88,24.88,24.88,24.88,-,0
2018-02-26,24.88,24.88,24.88,24.88,-,0
2018-02-27,25.60,25.60,25.60,25.60,100,0
2018-02-28,25.60,25.60,25.60,25.60,-,0
2018-03-01,25.60,25.60,25.60,25.60,-,0
2018-03-02,25.60,25.60,25.60,25.60,-,0
2018-03-05,25.37,25.37,25.37,25.37,100,0
2018-03-06,25.37,25.37,25.37,25.37,-,0
2018-03-07,25.37,25.37,25.37,25.37,-,0
2018-03-08,25.37,25.37,25.37,25.37,-,0
2018-03-09,25.36,25.36,25.36,25.36,100,0
2018-03-12,25.36,25.36,25.36,25.36,-,0
2018-03-13,25.36,25.36,25.36,25.36,-,0
2018-03-14,25.36,25.36,25.36,25.36,-,0
2018-03-15,25.36,25.36,25.36,25.36,-,0
2018-03-16,25.36,25.36,25.36,25.36,-,0
2018-03-19,25.36,25.36,25.36,25.36,-,0
2018-03-20,25.36,25.36,25.36,25.36,-,0
2018-03-21,25.36,25.36,25.36,25.36,-,0
2018-03-22,25.36,25.36,25.36,25.36,-,0
2018-03-23,26.10,26.10,26.10,26.10,100,0
2018-03-26,26.32,26.32,26.32,26.32,400,0
2018-03-27,26.32,26.32,26.32,26.32,-,0
2018-03-28,26.32,26.32,26.32,26.32,-,0
2018-03-29,26.32,26.32,26.32,26.32,-,0
2018-04-02,25.75,25.75,25.75,25.75,1100,0
2018-04-03,25.75,25.75,25.75,25.75,-,0
2018-04-04,25.75,25.75,25.75,25.75,-,0
2018-04-05,25.75,25.75,25.75,25.75,-,0
2018-04-06,25.75,25.75,25.75,25.75,-,0
