Date,Open,High,Low,Close,Volume,OpenInt
2017-10-18,25.05,25.05,25.02,25.0312,2224,0
2017-10-19,24.9399,25,24.9399,25,840,0
2017-10-20,25.33,25.33,25.2201,25.2457,1281,0
2017-10-23,25.33,25.33,25.26,25.26,1972,0
2017-10-24,25.2599,25.26,25.22,25.22,1011,0
2017-10-25,25.26,25.26,25.14,25.16,1226,0
2017-10-26,25.3,25.3,25.24,25.24,6300,0
2017-10-27,25.239,25.33,25.23,25.33,2607,0
2017-10-30,25.2185,25.2185,25.2185,25.2185,400,0
2017-10-31,25.29,25.29,25.29,25.29,297,0
2017-11-01,25.44,25.44,25.325,25.325,500,0
2017-11-02,25.34,25.41,25.34,25.41,806,0
2017-11-03,25.5,25.62,25.46,25.62,600,0
2017-11-06,25.81,25.81,25.81,25.81,200,0
2017-11-07,25.76,25.76,25.76,25.76,567,0
2017-11-08,25.76,25.76,25.76,25.76,0,0
2017-11-09,25.56,25.56,25.56,25.56,198,0
2017-11-10,25.56,25.56,25.56,25.56,283,0
2017-11-13,25.56,25.56,25.56,25.56,-,0
2017-11-14,25.56,25.56,25.56,25.56,-,0
2017-11-15,25.56,25.56,25.56,25.56,-,0
2017-11-16,25.50,25.51,25.50,25.51,200,0
2017-11-17,25.54,25.54,25.54,25.54,200,0
2017-11-20,25.64,25.64,25.64,25.64,600,0
2017-11-21,25.77,25.77,25.77,25.77,100,0
2017-11-22,25.76,25.76,25.76,25.76,200,0
2017-11-24,25.82,25.82,25.82,25.82,400,0
2017-11-27,25.72,25.72,25.71,25.71,400,0
2017-11-28,25.84,25.84,25.84,25.84,1000,0
2017-11-29,26.00,26.00,26.00,26.00,200,0
2017-11-30,26.00,26.00,26.00,26.00,-,0
2017-12-01,26.00,26.00,26.00,26.00,100,0
2017-12-04,26.00,26.00,26.00,26.00,-,0
2017-12-05,26.08,26.08,26.08,26.08,200,0
2017-12-06,26.08,26.08,26.08,26.08,-,0
2017-12-07,26.08,26.08,26.08,26.08,-,0
2017-12-08,26.39,26.39,26.37,26.37,500,0
2017-12-11,26.42,26.42,26.42,26.42,100,0
2017-12-12,26.52,26.52,26.49,26.49,1000,0
2017-12-13,26.49,26.49,26.49,26.49,-,0
2017-12-14,26.52,26.53,26.42,26.42,1800,0
2017-12-15,26.45,26.52,26.45,26.51,1800,0
2017-12-18,27.00,27.00,26.77,26.84,7100,0
2017-12-19,27.00,27.00,26.81,26.82,2100,0
2017-12-20,26.82,26.86,26.78,26.85,2700,0
2017-12-21,26.96,27.02,26.93,26.97,5400,0
2017-12-22,26.87,26.92,26.87,26.92,2400,0
2017-12-26,26.90,26.90,26.90,26.90,400,0
2017-12-27,26.88,26.88,26.88,26.88,1000,0
2017-12-28,26.88,26.88,26.88,26.88,-,0
2017-12-29,26.88,26.88,26.88,26.88,-,0
2018-01-02,27.00,27.18,26.96,27.18,5400,0
2018-01-03,27.18,27.18,27.18,27.18,100,0
2018-01-04,27.45,27.47,27.45,27.47,5800,0
2018-01-05,27.75,27.75,27.52,27.52,1600,0
2018-01-08,27.53,27.55,27.52,27.54,3400,0
2018-01-09,27.90,27.90,27.70,27.70,2800,0
2018-01-10,27.66,27.76,27.66,27.74,1500,0
2018-01-11,27.74,27.74,27.74,27.74,100,0
2018-01-12,27.74,27.74,27.74,27.74,-,0
2018-01-16,28.15,28.19,28.14,28.19,800,0
2018-01-17,28.52,28.52,28.52,28.52,700,0
2018-01-18,28.50,28.50,28.50,28.50,1300,0
2018-01-19,28.61,28.61,28.55,28.55,600,0
2018-01-22,28.74,28.78,28.74,28.78,1200,0
2018-01-23,28.83,28.98,28.83,28.98,1600,0
2018-01-24,29.01,29.01,28.93,28.93,900,0
2018-01-25,28.94,28.95,28.94,28.95,500,0
2018-01-26,29.17,29.17,29.09,29.16,2900,0
2018-01-29,29.41,29.41,29.26,29.32,1800,0
2018-01-30,28.72,28.72,28.70,28.70,1000,0
2018-01-31,28.99,28.99,28.93,28.93,1300,0
2018-02-01,28.81,28.87,28.81,28.87,900,0
2018-02-02,28.93,28.93,28.26,28.26,1900,0
2018-02-05,28.13,28.13,27.03,27.03,500,0
2018-02-06,26.84,26.84,26.84,26.84,600,0
2018-02-07,27.62,27.62,27.62,27.62,200,0
2018-02-08,26.68,26.68,26.44,26.44,500,0
2018-02-09,26.52,26.52,25.78,25.78,1500,0
2018-02-12,26.71,26.71,26.71,26.71,200,0
2018-02-13,26.84,26.98,25.81,26.93,16700,0
2018-02-14,27.03,27.03,27.03,27.03,200,0
2018-02-15,27.47,27.73,27.40,27.73,1600,0
2018-02-16,27.73,27.73,27.73,27.73,-,0
2018-02-20,27.56,27.56,27.56,27.56,100,0
2018-02-21,27.90,27.90,27.56,27.76,1400,0
2018-02-22,27.73,27.73,27.73,27.73,100,0
2018-02-23,27.67,27.70,27.55,27.55,1500,0
2018-02-26,28.00,28.18,28.00,28.18,9000,0
2018-02-27,28.23,28.24,27.89,27.89,1800,0
2018-02-28,27.89,27.89,27.89,27.89,-,0
2018-03-01,27.69,27.75,27.21,27.21,2800,0
2018-03-02,26.58,27.58,26.58,27.58,2600,0
2018-03-05,27.29,27.29,27.29,27.29,500,0
2018-03-06,27.63,27.83,27.56,27.83,1300,0
2018-03-07,27.83,27.83,27.83,27.83,-,0
2018-03-08,27.81,27.81,27.69,27.69,1200,0
2018-03-09,27.99,27.99,27.99,27.99,100,0
2018-03-12,28.33,28.34,28.29,28.29,600,0
2018-03-13,28.29,28.29,28.29,28.29,-,0
2018-03-14,28.10,28.10,27.93,27.93,400,0
2018-03-15,27.93,27.93,27.93,27.93,-,0
2018-03-16,28.06,28.06,27.99,27.99,200,0
2018-03-19,27.99,27.99,27.99,27.99,-,0
2018-03-20,27.26,27.80,27.26,27.80,500,0
2018-03-21,27.80,27.80,27.80,27.80,-,0
2018-03-22,27.80,27.80,27.80,27.80,-,0
2018-03-23,26.99,26.99,26.99,26.99,400,0
2018-03-26,26.99,26.99,26.99,26.99,100,0
2018-03-27,27.17,27.17,27.14,27.14,200,0
2018-03-28,26.85,26.85,26.85,26.85,900,0
2018-03-29,26.65,26.89,26.65,26.89,700,0
2018-04-02,26.50,26.50,26.50,26.50,100,0
2018-04-03,26.50,26.50,26.50,26.50,-,0
2018-04-04,26.30,26.90,26.30,26.90,1100,0
2018-04-05,26.66,27.25,26.66,27.25,1500,0
2018-04-06,27.25,27.25,27.25,27.25,-,0
