Date,Open,High,Low,Close,Volume,OpenInt
2017-07-06,37.687,37.687,36.133,36.618,5146053,0
2017-07-07,37.736,38.181,35.737,37.509,6112864,0
2017-07-10,37.232,37.765,36.41,36.836,4772054,0
2017-07-11,36.914,37.38,36.5,36.954,2826175,0
2017-07-12,37.37,37.587,36.856,36.974,3303803,0
2017-07-13,37.054,37.251,36.301,36.45,4130498,0
2017-07-14,36.608,37.098,36.519,36.954,2905437,0
2017-07-17,37.311,37.963,37.241,37.241,3968088,0
2017-07-18,37.122,37.38,36.341,36.361,3314057,0
2017-07-19,36.202,36.698,35.975,36.153,4280579,0
2017-07-20,36.202,36.509,34.49,34.6,6636461,0
2017-07-21,34.362,34.51,33.086,33.759,7935538,0
2017-07-24,33.897,34.095,33.521,33.996,2882038,0
2017-07-25,34.442,34.906,34.402,34.876,3011740,0
2017-07-26,35.203,35.797,34.847,35.669,3866961,0
2017-07-27,35.589,36.648,35.322,35.777,4780688,0
2017-07-28,34.48,37.103,33.863,36.707,4309397,0
2017-07-31,36.746,36.776,36.044,36.5,3358242,0
2017-08-01,36.43,36.44,35.035,35.322,2987678,0
2017-08-02,34.986,35.173,34.664,34.976,3442055,0
2017-08-03,34.886,35.134,34.698,34.936,3234405,0
2017-08-04,35.045,35.163,34.688,34.857,3148809,0
2017-08-07,34.728,34.896,34.036,34.194,2080565,0
2017-08-08,34.382,35.094,34.278,34.57,2178574,0
2017-08-09,34.59,35.087,34.56,34.818,2280140,0
2017-08-10,34.809,35.087,34.371,34.5,1995955,0
2017-08-11,34.311,34.689,34.083,34.093,1200097,0
2017-08-14,34.311,34.341,33.939,34.063,1944740,0
2017-08-15,33.834,34.222,33.834,34.113,2170933,0
2017-08-16,34.172,34.311,33.566,33.635,1391413,0
2017-08-17,33.596,33.894,32.562,32.611,2214738,0
2017-08-18,32.552,32.939,32.243,32.581,3267297,0
2017-08-21,32.581,32.8,32.273,32.353,2355710,0
2017-08-22,32.432,32.755,32.243,32.502,1885602,0
2017-08-23,32.323,33.049,32.323,32.85,1588366,0
2017-08-24,32.9,32.9,32.353,32.631,1797535,0
2017-08-25,32.691,33.218,32.681,33.069,2048886,0
2017-08-28,33.079,33.208,32.631,33.059,2532703,0
2017-08-29,32.91,33.615,32.91,33.556,2266035,0
2017-08-30,33.407,33.536,33.046,33.317,1646966,0
2017-08-31,33.794,34.152,33.267,33.705,3669410,0
2017-09-01,33.775,34.242,33.536,34.103,1734383,0
2017-09-05,34.63,35.246,34.292,34.769,4415090,0
2017-09-06,35.186,35.534,34.52,34.54,3312933,0
2017-09-07,34.57,35.047,34.093,34.55,2098053,0
2017-09-08,34.57,34.779,33.864,34.222,3036641,0
2017-09-11,34.321,35.395,34.172,35.276,2866026,0
2017-09-12,35.176,36.191,35.037,35.753,3569705,0
2017-09-13,35.733,36.519,35.693,35.882,4328326,0
2017-09-14,36.141,36.926,35.992,36.171,4813420,0
2017-09-15,36.161,36.698,36.161,36.688,8239466,0
2017-09-18,36.698,37.274,36.568,37.145,3270726,0
2017-09-19,37.095,37.234,36.847,37.175,2978596,0
2017-09-20,37.334,37.463,37.026,37.284,2267132,0
2017-09-21,36.956,37.046,36.156,36.37,2579918,0
2017-09-22,36.32,36.529,36.071,36.459,3626717,0
2017-09-25,36.638,37.881,36.419,37.304,4764385,0
