Date,Open,High,Low,Close,Volume,OpenInt
2017-11-01,25.08,25.13,25.0499,25.0499,187104,0
2017-11-02,25.09,25.09,25.02,25.0214,1788,0
2017-11-03,25.0111,25.0942,25.01,25.0942,1834,0
2017-11-06,25.2153,25.27,25.2153,25.2554,3022,0
2017-11-07,25.32,25.32,25.22,25.28,123155,0
2017-11-08,25.28,25.305,25.28,25.305,776,0
2017-11-09,25.34,25.34,25.12,25.12,903,0
2017-11-10,25.53,25.53,25.13,25.15,880,0
2017-11-15,25.001,25.020,25.000,25.000,1300,0
2017-11-16,25.440,25.440,25.153,25.182,1300,0
2017-11-17,25.170,25.170,25.135,25.140,1800,0
2017-11-20,25.156,25.189,25.156,25.189,1000,0
2017-11-21,25.310,25.310,25.270,25.270,1500,0
2017-11-22,25.750,25.750,25.350,25.350,1900,0
2017-11-24,25.350,25.350,25.350,25.350,100,0
2017-11-27,25.340,25.345,25.330,25.345,700,0
2017-11-28,25.403,25.450,25.403,25.450,2200,0
2017-11-29,25.450,25.450,25.450,25.450,-,0
2017-11-30,25.615,25.615,25.615,25.615,2000,0
2017-12-01,25.615,25.615,25.615,25.615,-,0
2017-12-04,25.790,25.790,25.700,25.705,1800,0
2017-12-05,25.490,25.542,25.430,25.430,12200,0
2017-12-06,25.420,25.460,25.420,25.449,800,0
2017-12-07,25.449,25.449,25.449,25.449,-,0
2017-12-08,25.710,25.810,25.710,25.800,6600,0
2017-12-11,25.750,25.819,25.750,25.790,700,0
2017-12-12,25.822,25.822,25.822,25.822,400,0
2017-12-13,25.870,25.910,25.820,25.820,22400,0
2017-12-14,25.820,25.870,25.690,25.690,1500,0
2017-12-15,25.755,25.810,25.755,25.810,1100,0
2017-12-18,26.020,26.030,25.940,25.940,2200,0
2017-12-19,26.000,26.000,25.895,25.960,7300,0
2017-12-20,26.040,26.040,25.951,25.951,1300,0
2017-12-21,26.070,26.130,26.070,26.080,4100,0
2017-12-22,25.940,25.940,25.940,25.940,500,0
2017-12-26,26.120,26.120,26.110,26.120,500,0
2017-12-27,26.160,26.170,26.135,26.150,2000,0
2017-12-28,26.180,26.180,26.170,26.170,500,0
2017-12-29,26.050,26.140,26.050,26.095,2500,0
2018-01-02,26.260,26.260,26.205,26.220,7300,0
2018-01-03,26.298,26.540,26.298,26.540,1200,0
2018-01-04,26.600,26.640,26.575,26.575,2500,0
2018-01-05,26.575,26.575,26.575,26.575,-,0
2018-01-08,26.810,26.810,26.670,26.742,1400,0
2018-01-09,26.950,27.000,26.810,26.925,41300,0
2018-01-10,26.754,26.870,26.754,26.860,4400,0
2018-01-11,26.830,27.030,26.820,27.030,5400,0
2018-01-12,27.150,27.150,27.069,27.069,1100,0
2018-01-16,27.340,27.340,27.035,27.110,2700,0
2018-01-17,27.272,27.280,27.250,27.250,5500,0
2018-01-18,27.320,27.320,27.190,27.210,4300,0
2018-01-19,27.200,27.280,27.200,27.280,1900,0
2018-01-22,27.810,27.810,27.546,27.640,2800,0
2018-01-23,27.700,27.770,27.670,27.760,3800,0
2018-01-24,27.760,27.760,27.760,27.760,-,0
2018-01-25,27.760,27.760,27.760,27.760,-,0
2018-01-26,27.890,28.150,27.890,28.150,3600,0
2018-01-29,28.010,28.090,28.010,28.035,1400,0
2018-01-30,27.740,27.770,27.640,27.710,26600,0
2018-01-31,29.000,29.000,27.585,27.640,8800,0
2018-02-01,27.930,27.930,27.483,27.520,3900,0
2018-02-02,27.810,27.810,27.080,27.109,2900,0
2018-02-05,27.000,27.030,26.250,26.440,6100,0
2018-02-06,25.750,26.438,25.180,26.438,23800,0
2018-02-07,26.626,26.730,26.440,26.440,2200,0
2018-02-08,26.086,26.086,25.790,25.790,1000,0
2018-02-09,27.000,29.740,25.186,26.060,18600,0
2018-02-12,26.330,26.330,25.870,26.180,2100,0
2018-02-13,25.980,26.210,25.970,26.171,8000,0
2018-02-14,26.070,26.465,26.070,26.465,1500,0
2018-02-15,26.680,26.820,26.680,26.810,1100,0
2018-02-16,27.280,27.280,26.830,26.890,14200,0
2018-02-20,26.880,27.360,26.650,26.694,94900,0
2018-02-21,26.870,26.950,26.585,26.601,12200,0
2018-02-22,26.820,26.820,26.597,26.600,5700,0
2018-02-23,26.770,26.951,26.750,26.951,1100,0
2018-02-26,27.089,27.270,27.040,27.270,2300,0
2018-02-27,27.373,27.373,27.060,27.103,4300,0
2018-02-28,26.939,26.960,26.604,26.604,13900,0
2018-03-01,26.390,26.583,26.110,26.110,6400,0
2018-03-02,26.450,26.450,25.910,26.090,4000,0
2018-03-05,26.300,26.620,26.300,26.620,10100,0
2018-03-06,26.693,26.693,26.648,26.648,1200,0
2018-03-07,26.574,26.770,26.488,26.758,6500,0
2018-03-08,26.870,26.920,26.810,26.920,13500,0
2018-03-09,27.240,27.380,27.180,27.355,4600,0
2018-03-12,27.450,27.540,27.394,27.540,12200,0
2018-03-13,27.584,27.584,27.274,27.274,9300,0
2018-03-14,27.500,27.500,27.133,27.170,18000,0
2018-03-15,27.300,27.830,27.097,27.260,13200,0
2018-03-16,27.225,27.350,27.225,27.350,5600,0
2018-03-19,27.116,27.116,26.752,26.760,14900,0
2018-03-20,27.000,27.120,26.920,27.027,56800,0
2018-03-21,27.065,27.380,27.065,27.190,30600,0
2018-03-22,26.750,26.750,26.180,26.180,8200,0
2018-03-23,26.480,26.480,25.810,25.845,20500,0
2018-03-26,26.179,26.245,26.050,26.245,2300,0
2018-03-27,26.330,26.496,25.830,25.990,11100,0
2018-03-28,25.770,25.958,25.630,25.812,74300,0
2018-03-29,25.920,26.240,25.780,26.210,20900,0
2018-04-02,25.580,25.594,25.300,25.490,3400,0
2018-04-03,25.800,25.800,25.470,25.700,3700,0
2018-04-04,25.590,26.085,25.590,26.082,1000,0
2018-04-05,26.105,26.280,25.950,26.060,16300,0
2018-04-06,25.958,25.958,25.450,25.540,34300,0
2018-04-09,25.835,25.835,25.826,25.826,3975,0
