Date,Open,High,Low,Close,Volume,OpenInt
2016-12-23,183.1,183.9,182.25,182.25,1571,0
2016-12-28,183.15,183.15,183.15,183.15,651,0
2017-01-11,188,188,188,188,1008,0
2017-01-18,182.65,187.445,182.65,187.445,915,0
2017-01-31,187.15,187.417,187.15,187.417,956,0
2017-02-13,188.3,189.5,188.3,189.15,1050,0
2017-02-16,190.754,190.754,190.754,190.754,202,0
2017-03-14,201,201,201,201,960,0
2017-03-16,203.2,204,203.2,204,641,0
2017-03-17,197.4,197.4,197,197.05,2368,0
2017-03-27,199.18,199.18,199.18,199.18,104,0
2017-03-31,199.8,199.8,199.8,199.8,106,0
2017-04-21,210.5,210.5,208,208,1950,0
2017-05-01,219.75,219.75,219.75,219.75,103,0
2017-05-02,220.5,221.05,220,220,1159,0
2017-05-09,219,221,219,221,359,0
2017-05-23,218.35,218.35,216,216,515,0
2017-05-25,219.45,219.45,219.45,219.45,119,0
2017-05-30,220.5,220.735,220.5,220.735,413,0
2017-06-12,220.65,220.65,220.65,220.65,106,0
2017-06-22,222.45,223,222.45,222.8,10390,0
2017-06-28,225.75,226.1,225.75,226.1,318,0
2017-06-30,225,225,225,225,101,0
2017-07-05,228,228,228,228,104,0
2017-07-10,225.3,225.3,225.3,225.3,500,0
2017-07-12,226.75,226.75,224.5,224.5,6097,0
2017-07-20,235.05,235.05,235.05,235.05,200,0
2017-07-24,235,235,235,235,139,0
2017-07-27,236.715,236.715,236.715,236.715,100,0
2017-07-28,236.547,236.547,236.547,236.547,250,0
2017-08-03,239.5,240.5,239.5,240.3,910,0
2017-08-04,230,230,221.55,225,663,0
2017-08-21,211.5,211.5,210.711,210.711,320,0
2017-08-22,219.75,219.75,218.3,218.3,575,0
2017-09-07,215.9,215.9,215.25,215.25,1028,0
2017-09-13,219,219.3,219,219,806,0
2017-09-18,228.35,228.35,228.35,228.35,239,0
2017-09-20,230.15,230.15,228.01,228.01,372,0
2017-10-16,222.2,222.85,222.05,222.85,479,0
2017-10-18,218.3,218.3,218.3,218.3,112,0
2017-10-23,223,223,223,223,122,0
2017-10-26,223.2,223.2,223.2,223.2,103,0
2017-11-03,232.5,255.47,232.5,255,1567,0
2017-11-06,257.95,261.55,257.95,261.55,403,0
2017-11-07,258.6,258.6,258.6,258.6,230,0
2017-11-10,258.60,258.60,258.60,258.60,-,0
2017-11-13,258.60,258.60,258.60,258.60,-,0
2017-11-14,258.60,258.60,258.60,258.60,-,0
2017-11-15,258.60,258.60,258.60,258.60,-,0
2017-11-16,255.60,255.70,255.40,255.60,2000,0
2017-11-17,255.60,255.60,255.60,255.60,-,0
2017-11-20,255.60,255.60,255.60,255.60,-,0
2017-11-21,255.60,255.60,255.60,255.60,-,0
2017-11-22,255.60,255.60,255.60,255.60,-,0
2017-11-24,255.60,255.60,255.60,255.60,100,0
2017-11-27,255.60,255.60,255.60,255.60,-,0
2017-11-28,255.60,255.60,255.60,255.60,-,0
2017-11-29,255.60,255.60,255.60,255.60,-,0
2017-11-30,255.60,255.60,255.60,255.60,-,0
2017-12-01,255.60,255.60,255.60,255.60,-,0
2017-12-04,255.60,255.60,255.60,255.60,-,0
2017-12-05,255.60,255.60,255.60,255.60,-,0
2017-12-06,255.60,255.60,255.60,255.60,-,0
2017-12-07,255.25,255.25,255.25,255.25,100,0
2017-12-08,255.25,255.25,255.25,255.25,-,0
2017-12-11,255.25,255.25,255.25,255.25,-,0
2017-12-12,255.25,255.25,255.25,255.25,-,0
2017-12-13,255.25,255.25,255.25,255.25,-,0
2017-12-14,255.25,255.25,255.25,255.25,-,0
2017-12-15,255.25,255.25,255.25,255.25,-,0
2017-12-18,255.25,255.25,255.25,255.25,-,0
2017-12-19,255.25,255.25,255.25,255.25,-,0
2017-12-20,255.25,255.25,255.25,255.25,-,0
2017-12-21,255.25,255.25,255.25,255.25,-,0
2017-12-22,255.25,255.25,255.25,255.25,-,0
2017-12-26,255.25,255.25,255.25,255.25,-,0
2017-12-27,255.25,255.25,255.25,255.25,-,0
