Date,Open,High,Low,Close,Volume,OpenInt
2016-09-06,15,15,15,15,100,0
2017-01-26,19.25,19.25,19.25,19.25,100,0
2017-06-13,22,22,22,22,100,0
2017-06-16,13.2,14.99,13.2,13.2,444064,0
2017-06-19,17.26,18.84,13.27,13.56,81805,0
2017-06-20,13.25,13.7299,13.05,13.21,29154,0
2017-06-21,13.26,13.95,13.26,13.67,23191,0
2017-06-22,13.5,13.74,13.2701,13.41,11947,0
2017-06-23,13.4,13.6,13.3349,13.39,19272,0
2017-06-26,13.69,13.69,13.2,13.5,10360,0
2017-06-27,13.4,13.44,12.1498,13.2,63130,0
2017-06-28,13.1,13.352,13.1,13.1,7673,0
2017-06-29,13.15,13.4294,13.1,13.2,6858,0
2017-06-30,13.01,13.3,13.01,13.185,2684,0
2017-07-03,13.11,13.3,13.11,13.3,1501,0
2017-07-05,13.16,13.16,13.0717,13.13,10478,0
2017-07-06,13,13.5,13,13.25,12324,0
2017-07-07,13.17,13.3,13.1,13.2,42096,0
2017-07-10,13.34,13.34,13.101,13.2,11285,0
2017-07-11,13,13.2,13,13.19,6079,0
2017-07-12,13.05,13.25,13.05,13.16,56471,0
2017-07-13,13,13.25,13,13.18,18448,0
2017-07-14,13.16,13.2,13.15,13.17,21513,0
2017-07-17,13.07,13.22,13.07,13.19,29011,0
2017-07-18,13.04,13.2683,13.04,13.175,15299,0
2017-07-19,13.08,13.161,13.08,13.16,23077,0
2017-07-20,13.1,13.2,13.1,13.19,9265,0
2017-07-21,13.15,13.1818,12.95,13.15,59071,0
2017-07-24,13.04,13.19,13,13.19,20942,0
2017-07-25,13.06,13.18,13.0462,13.18,21217,0
2017-07-26,13.02,13.14,13.02,13.14,5379,0
2017-07-27,13.14,13.19,13.1196,13.15,11615,0
2017-07-28,13.14,13.19,13.13,13.19,6225,0
2017-07-31,13.1,13.15,13.1,13.15,4863,0
2017-08-01,13.1,13.19,13.1,13.15,5644,0
2017-08-02,13.125,13.15,13.112,13.15,3718,0
2017-08-03,13.15,13.2,13.1107,13.2,2672,0
2017-08-04,13.2,13.45,13.19,13.45,11802,0
2017-08-07,13.3,13.3,13.15,13.3,3437,0
2017-08-08,13.1816,13.3,13.1616,13.3,7717,0
2017-08-09,13.21,13.45,13.15,13.34,9198,0
2017-08-10,13.429,13.45,13.3,13.4,15642,0
2017-08-11,13.3774,13.59,13.3774,13.4,25009,0
2017-08-14,13.97,14.47,13.6,14.45,36920,0
2017-08-15,14.5,15.0001,13.58,14.75,50298,0
2017-08-16,14.37,14.64,13.6501,14.1,19305,0
2017-08-17,13.72,14.439,13.2,14.11,39220,0
2017-08-18,14.3999,14.3999,13.45,13.74,61420,0
2017-08-21,13.65,14.56,13.65,14.32,19274,0
2017-08-22,14.5218,15.229,14.5,15,28075,0
2017-08-23,15.43,15.52,14.27,14.94,23081,0
2017-08-24,14.95,15.35,14.5,15,21779,0
2017-08-25,14.64,15.7764,14,14.82,45981,0
2017-08-28,15.3499,15.3499,14.35,14.44,6228,0
2017-08-29,14.66,14.98,14.3,14.94,16668,0
2017-08-30,14.475,15.17,14.475,14.88,39196,0
2017-08-31,15,15,14.04,14.25,32279,0
2017-09-01,14.35,14.8765,14.26,14.48,12413,0
2017-09-05,14.44,16,14.2745,14.4,33466,0
2017-09-06,14.46,15.16,14.35,15.04,45702,0
2017-09-07,14.92,15.13,14.26,14.85,69145,0
2017-09-08,14.89,14.95,14.56,14.73,65763,0
2017-09-11,15.01,16.4,14.575,16.23,48694,0
2017-09-12,15.28,16.5675,15.25,16.1,43603,0
2017-09-13,15.93,16.98,15.93,16.19,64868,0
2017-09-14,16.22,18.6,16.22,17.23,68173,0
2017-09-15,17.204,17.909,15.21,15.34,98102,0
2017-09-18,15.56,16.948,15.54,15.56,33611,0
2017-09-19,15.91,16.73,15.27,15.72,26688,0
2017-09-20,15.78,18.498,15.51,16.01,15013,0
2017-09-21,16.03,16.5,16.03,16.36,2861,0
2017-09-22,16.33,16.8,16.02,16.21,5144,0
2017-09-25,16.22,16.8975,15.45,15.45,17178,0
2017-09-26,15.755,15.995,15.4,15.55,17140,0
2017-09-27,16,16.6207,15.5,15.78,6609,0
2017-09-28,15.51,16.5995,15.51,15.53,55280,0
2017-09-29,15.74,16.2,15.5,15.5,6391,0
2017-10-02,16.15,16.3,15.532,16.2,13150,0
2017-10-03,16.15,16.69,15.6,15.83,54369,0
2017-10-04,15.86,16.37,15.86,16.1882,9850,0
2017-10-05,17.819,17.819,15.99,16.2099,29593,0
2017-10-06,16.43,17.05,16.22,16.38,26772,0
2017-10-09,16.5,17,16.25,16.56,19997,0
2017-10-10,17.7,18.1457,16.49,17.14,10901,0
2017-10-11,17.02,17.3263,16.52,16.7,19017,0
2017-10-12,17.1597,17.1597,16.17,16.35,20419,0
2017-10-13,16.5,16.6004,16.22,16.26,4514,0
2017-10-16,16.45,16.66,16.45,16.52,2896,0
2017-10-17,16.7,17,16.55,16.55,5245,0
2017-10-18,16.71,16.9052,16.5,16.5,6429,0
2017-10-19,16.59,16.9964,16.5,16.89,6239,0
2017-10-20,16.8,16.899,16.52,16.65,4518,0
2017-10-23,16.9,17.5,16.5,16.85,123540,0
2017-10-24,17,18,16.85,16.97,21606,0
2017-10-25,16.98,17.2679,16.89,17.22,4658,0
2017-10-26,17.3,17.3,16.95,17.09,5991,0
2017-10-27,17.14,17.497,17.1,17.2,6374,0
2017-10-30,16.95,17.8,16.95,17.45,61483,0
2017-10-31,17.5674,17.879,17.07,17.74,28520,0
2017-11-01,17.74,18.4,17.5872,18.25,80445,0
2017-11-02,18.2,18.295,17.56,17.9,20812,0
2017-11-03,17.8,18.499,17.55,18.4,4048,0
2017-11-06,18.35,18.47,17.7,18.4,16926,0
2017-11-07,18.25,18.54,17.95,18.31,17843,0
2017-11-08,18.5,19.49,18.145,19.1,7830,0
2017-11-09,19.8505,19.91,18.4928,18.5,21496,0
2017-11-10,18.51,19.554,18.25,18.5,24486,0
2017-11-13,18.360,18.990,18.350,18.700,12500,0
2017-11-14,18.156,19.654,17.960,17.960,16900,0
2017-11-15,18.030,18.410,17.980,18.150,11300,0
2017-11-16,18.150,18.520,18.000,18.000,50800,0
2017-11-17,18.300,18.300,17.950,18.090,45700,0
2017-11-20,18.050,19.530,18.050,19.530,11300,0
2017-11-21,18.790,19.185,18.720,18.910,14300,0
2017-11-22,19.220,21.878,19.180,20.880,199200,0
2017-11-24,21.100,21.550,20.902,21.200,38100,0
2017-11-27,21.520,26.300,21.520,22.500,64800,0
2017-11-28,22.680,23.250,21.500,22.270,74200,0
2017-11-29,22.330,23.030,21.580,22.460,24600,0
2017-11-30,22.590,22.690,21.570,21.820,31200,0
2017-12-01,22.310,22.310,21.540,21.870,13400,0
2017-12-04,22.450,23.870,22.430,22.960,42600,0
2017-12-05,23.040,25.700,23.040,24.000,47600,0
2017-12-06,23.520,24.190,22.940,23.250,30400,0
2017-12-07,23.500,24.951,23.500,24.860,32800,0
2017-12-08,25.000,25.900,24.067,25.290,22900,0
2017-12-11,25.400,25.400,24.500,25.300,31400,0
2017-12-12,25.400,25.400,24.660,25.150,34000,0
2017-12-13,25.150,25.170,24.000,24.070,41200,0
2017-12-14,24.460,25.627,24.460,24.540,32800,0
2017-12-15,24.800,25.100,24.670,25.030,27700,0
2017-12-18,25.250,25.629,25.050,25.110,25400,0
2017-12-19,25.264,25.400,25.110,25.285,18100,0
2017-12-20,25.050,25.355,24.510,25.240,58700,0
2017-12-21,25.290,25.451,24.620,24.620,18600,0
2017-12-22,25.000,28.750,25.000,28.330,259300,0
2017-12-26,30.560,35.164,29.460,30.730,605400,0
