Date,Open,High,Low,Close,Volume,OpenInt
2017-10-26,16.85,17.55,16.85,17.25,17495687,0
2017-10-27,17.2,17.84,17.2,17.58,3315223,0
2017-10-30,17.55,17.8,17.5,17.65,705325,0
2017-10-31,17.65,18.09,17.63,18,1226532,0
2017-11-01,18,18.63,18,18.42,1656304,0
2017-11-02,18.59,18.59,18.0401,18.24,842295,0
2017-11-03,18.38,18.38,18.051,18.25,226800,0
2017-11-06,18.31,18.5,18.05,18.35,227618,0
2017-11-07,18.35,18.4,18.23,18.32,178531,0
2017-11-08,18.16,18.4,18.05,18.14,145740,0
2017-11-09,18.1,18.33,17.94,18.02,222936,0
2017-11-10,18,18.15,17.85,18.09,116942,0
2017-11-14,17.82,18.17,17.64,17.94,231900,0
2017-11-15,17.94,18.28,17.70,18.15,194700,0
2017-11-16,18.15,18.23,17.97,18.13,113800,0
2017-11-17,18.21,18.27,17.90,18.12,155200,0
2017-11-20,18.20,18.91,18.00,18.30,690400,0
2017-11-21,18.30,18.45,17.95,18.12,767700,0
2017-11-22,17.98,18.19,17.62,17.85,695000,0
2017-11-24,17.94,17.97,17.82,17.82,33700,0
2017-11-27,17.96,17.96,17.54,17.62,535000,0
2017-11-28,17.55,17.70,17.05,17.31,896300,0
2017-11-29,17.33,17.94,17.09,17.60,961400,0
2017-11-30,17.47,18.32,17.30,18.27,711200,0
2017-12-01,18.26,18.42,17.75,18.23,483200,0
2017-12-04,18.09,18.50,17.97,18.19,454000,0
2017-12-05,18.18,18.60,18.12,18.28,383400,0
2017-12-06,18.27,18.28,17.72,18.02,147800,0
2017-12-07,18.07,18.15,17.75,18.05,297200,0
2017-12-08,18.18,18.27,17.73,18.15,100800,0
2017-12-11,18.11,18.15,17.77,17.85,134300,0
2017-12-12,17.89,18.10,17.51,17.84,348600,0
2017-12-13,17.84,18.14,17.73,17.93,162200,0
2017-12-14,18.00,18.09,17.76,18.00,157800,0
2017-12-15,18.00,18.44,17.68,17.71,337500,0
2017-12-18,17.75,18.13,17.71,18.00,158500,0
2017-12-19,18.10,18.50,17.79,18.08,327000,0
2017-12-20,18.02,18.56,17.79,18.27,359000,0
2017-12-21,18.29,19.23,18.23,18.86,338400,0
2017-12-22,18.57,19.06,18.53,18.99,79100,0
2017-12-26,19.01,19.72,18.83,19.40,580500,0
2017-12-27,19.23,19.55,18.99,19.40,427300,0
2017-12-28,19.29,20.38,19.29,19.94,539800,0
2017-12-29,19.85,21.41,19.85,20.57,329700,0
2018-01-02,20.45,20.60,19.70,20.30,233700,0
2018-01-03,20.19,21.68,20.12,21.18,435300,0
2018-01-04,21.18,21.98,21.18,21.86,929500,0
2018-01-05,21.72,21.76,20.58,21.27,298700,0
2018-01-08,21.29,21.67,20.95,21.13,166000,0
2018-01-09,20.93,20.93,20.27,20.66,135600,0
2018-01-10,20.52,21.22,20.24,20.56,189500,0
2018-01-11,20.49,21.50,20.40,21.11,192800,0
2018-01-12,21.00,21.25,20.52,21.22,101300,0
2018-01-16,21.18,22.04,20.97,21.43,377200,0
2018-01-17,21.48,22.09,21.40,22.00,238500,0
2018-01-18,22.16,22.16,21.02,21.36,188000,0
2018-01-19,21.36,21.91,20.75,21.81,359400,0
2018-01-22,21.70,23.00,21.70,21.95,407400,0
2018-01-23,21.79,22.26,21.15,21.79,148900,0
2018-01-24,21.63,21.72,20.85,20.95,184000,0
2018-01-25,20.96,21.15,20.18,20.79,248900,0
2018-01-26,21.24,21.74,20.70,21.15,68300,0
2018-01-29,21.05,21.69,20.82,21.25,66200,0
2018-01-30,21.04,21.67,20.84,21.33,64500,0
2018-01-31,21.33,21.61,20.26,20.84,45200,0
2018-02-01,20.69,21.73,20.24,21.73,53400,0
2018-02-02,21.49,21.49,20.52,20.87,128900,0
2018-02-05,20.70,20.90,20.22,20.60,90300,0
2018-02-06,20.22,21.38,19.72,21.18,138500,0
2018-02-07,21.12,21.12,19.97,20.19,171700,0
2018-02-08,20.33,20.44,19.00,19.60,192500,0
2018-02-09,19.71,19.94,18.85,19.22,173000,0
2018-02-12,19.41,19.85,18.54,19.14,157100,0
2018-02-13,19.07,19.94,18.74,19.59,233400,0
2018-02-14,19.55,21.15,19.36,19.80,85000,0
2018-02-15,19.88,20.44,19.44,19.64,95000,0
2018-02-16,20.03,20.77,19.49,20.29,94700,0
2018-02-20,20.30,20.64,19.69,20.43,132200,0
2018-02-21,20.42,20.64,19.63,20.12,90900,0
2018-02-22,20.23,20.75,19.69,20.04,182300,0
2018-02-23,20.13,20.71,19.22,20.05,167700,0
2018-02-26,20.21,20.21,19.22,19.69,133600,0
2018-02-27,19.76,20.17,19.20,19.62,205600,0
2018-02-28,20.05,20.05,18.96,19.06,118800,0
2018-03-01,19.03,20.19,18.68,19.56,270400,0
2018-03-02,19.67,20.99,18.81,19.42,197600,0
2018-03-05,19.32,19.97,18.80,19.66,82900,0
2018-03-06,20.00,20.00,19.09,19.30,218000,0
2018-03-07,19.17,20.09,19.08,19.41,208500,0
2018-03-08,19.43,19.69,18.76,19.02,166800,0
2018-03-09,19.03,19.30,18.66,18.80,154800,0
2018-03-12,18.80,19.49,18.80,19.15,124200,0
2018-03-13,19.19,19.20,18.73,18.88,137300,0
2018-03-14,18.90,19.15,18.77,18.79,123100,0
2018-03-15,18.80,18.94,17.00,18.40,439900,0
2018-03-16,18.37,19.67,18.28,19.38,92500,0
2018-03-19,19.51,19.51,18.40,18.79,92000,0
2018-03-20,18.64,19.07,18.27,18.60,106500,0
2018-03-21,18.63,19.27,18.27,18.62,151600,0
2018-03-22,18.45,18.61,17.69,18.04,100900,0
2018-03-23,18.23,18.23,17.25,17.34,114000,0
2018-03-26,17.84,18.36,17.02,17.28,151700,0
2018-03-27,17.39,18.21,17.02,17.63,198500,0
2018-03-28,17.71,18.19,17.03,18.10,233400,0
2018-03-29,18.14,18.27,17.25,17.84,202100,0
2018-04-02,17.78,18.36,17.51,17.65,242700,0
2018-04-03,17.91,18.09,17.38,17.77,145400,0
2018-04-04,17.58,18.00,17.08,17.31,104200,0
2018-04-05,17.64,17.83,17.15,17.31,106500,0
2018-04-06,17.18,17.29,16.88,16.97,90600,0
2018-04-09,17.04,17.88,16.83,17.20,102131,0
