Date,Open,High,Low,Close,Volume,OpenInt
2017-10-20,25.19,25.19,25.09,25.09,561,0
2017-10-23,25.22,25.22,25.139,25.139,265,0
2017-10-24,25.139,25.139,25.139,25.139,455,0
2017-10-25,24.98,24.98,24.98,24.98,424,0
2017-10-26,25.08,25.08,25.05,25.05,1732,0
2017-10-27,25.009,25.009,25.009,25.009,500,0
2017-10-30,24.999,24.999,24.95,24.98,2000,0
2017-10-31,24.98,24.98,24.98,24.98,0,0
2017-11-01,25.23,25.35,25.23,25.35,700,0
2017-11-02,25.35,25.35,25.35,25.35,716,0
2017-11-03,25.39,25.4042,25.39,25.4042,1503,0
2017-11-06,25.4401,25.4401,25.4401,25.4401,300,0
2017-11-07,25.4401,25.4401,25.4401,25.4401,0,0
2017-11-08,25.3901,25.3901,25.3901,25.3901,216,0
2017-11-09,25.3901,25.3901,25.3901,25.3901,256,0
2017-11-10,25.3901,25.3901,25.3901,25.3901,0,0
2017-11-14,25.20,25.20,25.20,25.20,-,0
2017-11-15,25.20,25.20,25.20,25.20,-,0
2017-11-16,25.20,25.20,25.20,25.20,-,0
2017-11-17,25.20,25.20,25.20,25.20,-,0
2017-11-20,25.42,25.42,25.42,25.42,600,0
2017-11-21,25.42,25.42,25.42,25.42,-,0
2017-11-22,25.42,25.42,25.42,25.42,-,0
2017-11-24,25.71,25.71,25.71,25.71,100,0
2017-11-27,25.61,25.61,25.61,25.61,100,0
2017-11-28,25.61,25.61,25.61,25.61,-,0
2017-11-29,25.61,25.61,25.61,25.61,-,0
2017-11-30,25.61,25.61,25.61,25.61,100,0
2017-12-01,25.61,25.61,25.61,25.61,-,0
2017-12-04,25.61,25.61,25.61,25.61,-,0
2017-12-05,25.61,25.61,25.61,25.61,100,0
2017-12-06,25.61,25.61,25.61,25.61,-,0
2017-12-07,25.61,25.61,25.61,25.61,-,0
2017-12-08,25.57,25.57,25.57,25.57,100,0
2017-12-11,25.66,25.66,25.66,25.66,100,0
2017-12-12,25.66,25.66,25.66,25.66,-,0
2017-12-13,25.64,25.64,25.64,25.64,100,0
2017-12-14,25.64,25.64,25.64,25.64,-,0
2017-12-15,25.61,25.61,25.61,25.61,1200,0
2017-12-18,25.85,25.85,25.85,25.85,200,0
2017-12-19,25.94,25.94,25.94,25.94,200,0
2017-12-20,25.94,25.94,25.94,25.94,100,0
2017-12-21,25.94,25.94,25.94,25.94,-,0
2017-12-22,25.94,25.94,25.94,25.94,-,0
2017-12-26,25.94,25.94,25.94,25.94,-,0
2017-12-27,26.05,26.05,26.05,26.05,1000,0
2017-12-28,26.05,26.05,26.05,26.05,-,0
2017-12-29,26.05,26.05,26.05,26.05,-,0
2018-01-02,26.39,26.41,26.38,26.41,1500,0
2018-01-03,26.41,26.41,26.41,26.41,-,0
2018-01-04,26.84,26.84,26.82,26.82,1400,0
2018-01-05,26.92,26.92,26.92,26.92,400,0
2018-01-08,26.94,26.94,26.94,26.94,100,0
2018-01-09,26.94,26.94,26.94,26.94,-,0
2018-01-10,26.99,27.00,26.98,26.99,600,0
2018-01-11,26.99,26.99,26.99,26.99,100,0
2018-01-12,26.99,26.99,26.99,26.99,100,0
2018-01-16,26.99,26.99,26.99,26.99,-,0
2018-01-17,26.99,26.99,26.99,26.99,100,0
2018-01-18,26.99,26.99,26.99,26.99,100,0
2018-01-19,26.99,26.99,26.99,26.99,-,0
2018-01-22,26.99,26.99,26.99,26.99,-,0
2018-01-23,28.00,28.02,28.00,28.02,300,0
2018-01-24,28.07,28.07,28.02,28.02,300,0
2018-01-25,28.02,28.02,28.02,28.02,-,0
2018-01-26,28.02,28.02,28.02,28.02,100,0
2018-01-29,28.14,28.14,28.14,28.14,100,0
2018-01-30,27.78,27.78,27.78,27.78,400,0
2018-01-31,27.78,27.78,27.78,27.78,-,0
2018-02-01,27.78,27.78,27.78,27.78,-,0
2018-02-02,27.78,27.78,27.78,27.78,-,0
2018-02-05,27.78,27.78,27.78,27.78,-,0
2018-02-06,27.78,27.78,27.78,27.78,100,0
2018-02-07,27.78,27.78,27.78,27.78,-,0
2018-02-08,25.93,25.93,25.92,25.92,800,0
2018-02-09,25.92,25.92,25.92,25.92,-,0
2018-02-12,25.92,25.92,25.92,25.92,-,0
2018-02-13,25.92,25.92,25.92,25.92,-,0
2018-02-14,25.92,25.92,25.92,25.92,-,0
2018-02-15,26.70,26.72,26.70,26.72,800,0
2018-02-16,26.72,26.72,26.72,26.72,-,0
2018-02-20,26.72,26.72,26.72,26.72,-,0
2018-02-21,26.72,26.72,26.72,26.72,-,0
2018-02-22,26.72,26.72,26.72,26.72,-,0
