Date,Open,High,Low,Close,Volume,OpenInt
2017-09-29,19.946,19.946,19.943,19.946,17979,0
2017-10-02,19.936,19.966,19.936,19.966,2997,0
2017-10-03,19.946,19.986,19.946,19.976,29996,0
2017-10-04,20.026,20.026,19.981,19.981,1253,0
2017-10-05,19.986,19.986,19.974,19.984,5238,0
2017-10-06,19.926,19.966,19.926,19.966,10559,0
2017-10-09,19.976,19.976,19.962,19.976,9054,0
2017-10-10,19.986,19.986,19.976,19.976,3308,0
2017-10-11,19.991,20.016,19.991,20.007,2446,0
2017-10-12,20.006,20.006,19.996,20.003,3795,0
2017-10-13,20.066,20.066,20.051,20.066,6976,0
2017-10-16,20.046,20.046,20.046,20.046,3831,0
2017-10-17,20.026,20.026,20.026,20.026,100,0
2017-10-18,20.026,20.026,20.025,20.025,6417,0
2017-10-19,20.066,20.066,20.046,20.046,3363,0
2017-10-20,20.006,20.006,20.006,20.006,251,0
2017-10-24,20.006,20.016,19.998,20.016,9287,0
2017-10-25,19.936,19.956,19.926,19.956,2908,0
2017-10-30,20.036,20.036,20.036,20.036,201,0
2017-11-02,20.05,20.05,20.04,20.05,1770,0
2017-11-03,20.06,20.06,20.022,20.028,9367,0
2017-11-06,20.054,20.06,20.054,20.06,4395,0
2017-11-07,20.039,20.05,20.03,20.03,15994,0
2017-11-09,19.997,20,19.9775,19.99,22135,0
2017-11-10,19.9,19.9,19.8972,19.9,1800,0
2017-11-20,19.970,19.970,19.960,19.960,2000,0
2017-11-21,19.990,19.990,19.980,19.980,1000,0
2017-11-22,20.030,20.090,20.018,20.080,4900,0
2017-11-24,20.080,20.080,20.080,20.080,-,0
2017-11-27,20.050,20.070,20.042,20.070,9800,0
2017-11-28,20.070,20.070,20.070,20.070,-,0
2017-11-29,20.050,20.050,20.050,20.050,100,0
2017-11-30,20.050,20.050,19.990,20.000,900,0
2017-12-01,20.000,20.000,20.000,20.000,-,0
2017-12-04,20.000,20.000,19.970,19.990,1900,0
2017-12-05,19.980,19.980,19.978,19.980,12800,0
2017-12-06,20.039,20.040,20.039,20.040,2500,0
2017-12-07,20.040,20.040,20.020,20.040,15200,0
2017-12-08,19.988,20.010,19.985,19.985,2000,0
2017-12-11,20.040,20.040,20.040,20.040,800,0
2017-12-12,20.040,20.040,20.040,20.040,-,0
2017-12-13,20.040,20.070,20.035,20.070,3900,0
2017-12-14,20.070,20.070,20.030,20.050,4300,0
2017-12-15,20.070,20.070,20.050,20.050,20200,0
2017-12-18,20.088,20.090,20.055,20.055,3100,0
2017-12-19,20.020,20.020,19.940,19.970,6800,0
2017-12-20,19.920,19.949,19.920,19.920,5600,0
2017-12-21,19.930,19.930,19.930,19.930,200,0
2017-12-22,19.925,19.925,19.925,19.925,100,0
2017-12-26,19.940,19.940,19.940,19.940,300,0
2017-12-27,19.940,19.940,19.940,19.940,-,0
2017-12-28,20.005,20.010,19.990,20.004,3900,0
2017-12-29,20.000,20.000,19.995,19.995,18300,0
2018-01-02,20.020,20.020,19.933,19.990,21700,0
2018-01-03,19.980,20.000,19.951,20.000,9200,0
2018-01-04,19.950,19.990,19.948,19.990,6900,0
