Date,Open,High,Low,Close,Volume,OpenInt
2017-09-20,11.48,11.89,10.31,10.52,26407778,0
2017-09-21,10.73,11,10.34,10.89,5375779,0
2017-09-22,11.06,12.9,10.95,12.05,9500939,0
2017-09-25,12.5,13.25,12.4,12.64,7202258,0
2017-09-26,12.86,12.9,11.56,11.75,7006092,0
2017-09-27,11.69,11.7,11.01,11.15,5341348,0
2017-09-28,11.3238,11.78,11.3,11.49,2783371,0
2017-09-29,11.65,12.09,11.46,11.97,3182230,0
2017-10-02,12.05,12.09,11.5,11.62,1959662,0
2017-10-03,11.66,11.76,11.4101,11.53,873193,0
2017-10-04,11.48,11.9887,11.4099,11.65,1407424,0
2017-10-05,11.63,11.75,11.19,11.29,1688473,0
2017-10-06,11.23,11.35,10.83,10.83,2210115,0
2017-10-09,10.85,11.05,10.74,10.74,1070100,0
2017-10-10,10.8,11.09,10.7021,11,1528089,0
2017-10-11,11.15,11.15,10.77,10.8,744373,0
2017-10-12,10.91,11.25,10.76,11.08,1226355,0
2017-10-13,11.18,11.43,11.1705,11.4,1014800,0
2017-10-16,11.95,12.38,11.65,11.78,4792824,0
2017-10-17,11.96,12,11.7,11.75,1653430,0
2017-10-18,11.8,11.95,11.52,11.78,1341040,0
2017-10-19,11.75,11.75,11.25,11.43,1320592,0
2017-10-20,11.45,11.55,11.2,11.2,1076204,0
2017-10-23,11.26,11.37,10.76,10.94,1122968,0
2017-10-24,11,11.1,10.71,10.75,1070356,0
2017-10-25,10.93,10.93,10.6,10.61,1469363,0
2017-10-26,10.63,10.75,10.5,10.67,888780,0
2017-10-27,10.65,11.02,10.65,10.93,684342,0
2017-10-30,10.93,11.3,10.9,11.26,618488,0
2017-10-31,11.28,11.7,11.2201,11.58,777904,0
2017-11-01,11.58,11.65,11.23,11.62,748788,0
2017-11-02,11.79,11.79,11.25,11.52,829498,0
2017-11-03,11.52,11.57,11.23,11.26,417127,0
2017-11-06,11.23,11.84,11.03,11.76,932433,0
2017-11-07,11.77,12,11.55,11.6,825366,0
2017-11-08,11.71,11.9,11.5744,11.83,825302,0
2017-11-09,11.82,11.8599,11.64,11.8,432667,0
2017-11-10,11.8,12.01,11.68,11.96,1236718,0
2017-11-13,12.01,12.04,11.64,11.80,753400,0
2017-11-14,11.78,11.78,11.20,11.38,913400,0
2017-11-15,11.38,12.00,11.11,11.88,1471100,0
2017-11-16,10.81,11.30,10.60,11.00,4045800,0
2017-11-17,11.20,11.27,10.81,11.01,1011500,0
2017-11-20,11.01,11.01,10.70,10.78,1154100,0
2017-11-21,10.85,10.95,10.70,10.73,792400,0
2017-11-22,10.75,10.94,10.66,10.87,776200,0
2017-11-24,10.94,11.00,10.75,10.98,643200,0
2017-11-27,10.86,10.95,10.70,10.75,723200,0
2017-11-28,10.82,10.84,10.50,10.72,973200,0
2017-11-29,10.72,10.80,10.15,10.25,1551400,0
2017-11-30,10.30,10.42,9.77,9.84,1573300,0
2017-12-01,9.70,9.95,9.42,9.65,850500,0
2017-12-04,9.85,9.88,9.23,9.42,954000,0
2017-12-05,9.45,9.50,8.93,9.04,1795900,0
2017-12-06,9.02,9.28,8.80,9.09,1085400,0
2017-12-07,9.17,9.27,9.03,9.10,633100,0
2017-12-08,9.15,9.15,8.83,8.96,1940700,0
2017-12-11,9.09,9.81,9.04,9.57,1254700,0
2017-12-12,9.56,9.75,9.26,9.38,962900,0
2017-12-13,9.25,9.49,9.10,9.29,1114100,0
2017-12-14,9.35,9.43,9.14,9.24,562800,0
2017-12-15,9.22,9.35,9.13,9.25,939300,0
2017-12-18,9.25,9.28,8.88,8.90,1653900,0
2017-12-19,8.90,9.39,8.72,9.04,1375900,0
2017-12-20,9.05,9.14,8.92,8.93,691900,0
2017-12-21,8.92,9.04,8.88,8.98,633300,0
2017-12-22,8.95,9.25,8.85,9.01,656800,0
2017-12-26,9.05,9.12,8.93,8.98,397900,0
2017-12-27,8.99,9.07,8.97,9.01,355500,0
2017-12-28,8.96,9.07,8.93,9.06,1609700,0
2017-12-29,9.00,9.14,8.91,8.98,663000,0
2018-01-02,9.01,9.25,8.99,9.23,732800,0
2018-01-03,9.27,9.50,9.01,9.10,1178000,0
2018-01-04,9.16,9.21,9.01,9.20,610500,0
2018-01-05,9.25,9.60,9.22,9.57,889400,0
2018-01-08,9.57,9.70,9.32,9.34,955900,0
2018-01-09,9.34,9.40,9.14,9.20,716100,0
2018-01-10,9.17,9.22,9.05,9.18,629700,0
2018-01-11,9.10,9.22,9.04,9.15,590200,0
2018-01-12,9.14,9.25,9.14,9.23,500900,0
2018-01-16,9.22,9.24,9.00,9.09,1125200,0
2018-01-17,9.10,9.23,9.05,9.20,475200,0
2018-01-18,9.21,9.25,9.11,9.17,270800,0
2018-01-19,9.17,9.18,9.01,9.02,494600,0
2018-01-22,9.11,9.13,9.00,9.02,692200,0
2018-01-23,9.01,9.14,9.00,9.10,543400,0
2018-01-24,9.12,9.20,9.01,9.02,585000,0
2018-01-25,9.06,9.09,9.01,9.05,473200,0
2018-01-26,9.02,9.10,9.02,9.05,572100,0
2018-01-29,9.06,9.09,9.00,9.01,619400,0
2018-01-30,9.01,9.06,8.65,8.68,949900,0
2018-01-31,8.83,9.08,8.75,9.00,795800,0
2018-02-01,8.82,9.05,8.82,9.00,533300,0
2018-02-02,8.85,8.92,8.65,8.78,709100,0
2018-02-05,8.70,8.85,8.65,8.66,640600,0
2018-02-06,8.36,8.75,8.08,8.64,934300,0
2018-02-07,8.50,8.61,8.40,8.49,419000,0
2018-02-08,8.48,8.84,8.46,8.49,826500,0
2018-02-09,8.61,8.74,8.08,8.24,739700,0
2018-02-12,8.30,8.46,8.25,8.44,281600,0
2018-02-13,8.57,8.98,8.40,8.91,582600,0
2018-02-14,8.85,9.58,8.85,9.35,1201100,0
2018-02-15,9.46,9.94,9.40,9.65,1032400,0
2018-02-16,9.75,9.78,9.40,9.65,1198600,0
2018-02-20,9.61,9.67,9.17,9.20,678800,0
2018-02-21,9.17,9.42,9.07,9.19,430000,0
2018-02-22,9.16,9.28,9.11,9.15,418700,0
2018-02-23,9.16,9.46,9.15,9.41,509500,0
2018-02-26,9.44,9.59,9.25,9.41,522100,0
2018-02-27,9.44,9.57,9.23,9.30,912700,0
2018-02-28,9.58,9.74,9.43,9.73,909800,0
2018-03-01,9.80,10.46,9.65,10.42,2334200,0
2018-03-02,10.32,10.39,10.05,10.30,856600,0
2018-03-05,10.20,10.60,10.11,10.45,1080400,0
2018-03-06,10.50,11.08,10.50,11.06,1759400,0
2018-03-07,10.90,11.03,10.54,11.01,1330900,0
2018-03-08,11.03,11.18,10.78,10.85,1069800,0
2018-03-09,10.72,10.88,10.29,10.67,1549900,0
2018-03-12,10.56,10.65,10.15,10.24,1232200,0
2018-03-13,10.25,10.60,10.15,10.42,1303400,0
2018-03-14,10.40,10.48,10.10,10.13,951900,0
2018-03-15,10.14,10.24,9.75,9.85,1310200,0
