Date,Open,High,Low,Close,Volume,OpenInt
2017-06-14,15.09,15.09,14.8904,14.964,22825,0
2017-06-15,14.9,14.9,14.85,14.9,4057,0
2017-06-16,14.89,14.93,14.8635,14.895,1348,0
2017-06-19,14.9851,15.1099,14.9851,15.1099,611,0
2017-06-20,15.33,15.33,14.9589,14.97,3163,0
2017-06-21,14.89,14.89,14.85,14.85,746,0
2017-06-22,14.94,14.98,14.91,14.97,1301,0
2017-06-23,15.01,15.01,14.975,14.975,533,0
2017-06-26,15.23,15.23,15.0275,15.0275,763,0
2017-06-27,15.1397,15.1397,15.1397,15.1397,116,0
2017-06-29,15.2276,15.2276,15.0101,15.0101,260,0
2017-06-30,15.2,15.2,15.2,15.2,151,0
2017-07-03,15.34,15.34,15.34,15.34,334,0
2017-07-05,14.54,15.2864,14.54,15.2864,1603,0
2017-07-06,15.2096,15.2096,15.1564,15.1564,326,0
2017-07-07,15.2079,15.2101,15.2079,15.2101,3811,0
2017-07-10,15.17,15.17,15.13,15.1397,395,0
2017-07-11,15.1183,15.1496,15.11,15.14,1429,0
2017-07-12,15.24,15.24,15.21,15.21,1811,0
2017-07-13,15.175,15.175,15.175,15.175,169,0
2017-07-14,15.275,15.275,15.275,15.275,140,0
2017-07-17,15.3599,15.3599,15.3599,15.3599,178,0
2017-07-18,15.28,15.28,15.21,15.27,2230,0
2017-07-19,15.3351,15.34,15.32,15.32,1751,0
2017-07-20,15.379,15.379,15.31,15.31,1050,0
2017-07-21,15.2955,15.35,15.2955,15.35,980,0
2017-07-24,15.3196,15.3196,15.3056,15.3099,4075,0
2017-07-25,15.43,15.45,15.4,15.4201,9374,0
2017-07-26,15.35,15.4,15.35,15.39,7784,0
2017-07-27,15.3904,15.4,15.35,15.35,1702,0
2017-07-28,15.38,15.38,15.29,15.3,6917,0
2017-07-31,15.29,15.29,15.246,15.246,18222,0
2017-08-01,15.3099,15.35,15.2841,15.291,13028,0
2017-08-02,15.24,15.26,15.24,15.255,4547,0
2017-08-03,15.32,15.34,15.2642,15.31,5957,0
2017-08-04,15.3,15.32,15.3,15.302,5254,0
2017-08-07,15.39,15.39,15.3607,15.3628,1403,0
2017-08-08,15.44,15.53,15.43,15.44,5556,0
2017-08-09,15.33,15.33,15.26,15.28,12155,0
2017-08-10,15.1,15.1,15.1,15.1,1109,0
2017-08-11,14.9793,15.05,14.9793,15.05,2722,0
2017-08-14,15.1499,15.1499,15.1168,15.1168,25300,0
2017-08-16,15.0836,15.0836,15.0836,15.0836,660,0
2017-08-17,15,15,14.9295,14.9295,1380,0
2017-08-18,14.74,14.81,14.7301,14.7301,1852,0
2017-08-21,14.705,14.705,14.705,14.705,102,0
2017-08-24,14.83,14.83,14.82,14.83,608,0
2017-08-25,14.895,14.91,14.89,14.89,501,0
2017-08-28,14.8,14.8,14.8,14.8,100,0
2017-08-29,14.75,14.75,14.7109,14.7109,203,0
2017-08-30,14.791,14.7983,14.79,14.7983,1300,0
2017-08-31,14.8573,14.8573,14.8573,14.8573,300,0
2017-09-07,14.8437,14.8437,14.8437,14.8437,400,0
2017-09-12,14.9,14.91,14.9,14.91,981,0
2017-09-15,15.0661,15.0661,15.03,15.065,10900,0
2017-09-18,15.4,15.4,15.03,15.07,929,0
2017-09-19,15.0099,15.03,14.99,15.004,10086,0
2017-09-20,14.93,14.93,14.93,14.93,100,0
2017-09-22,14.84,14.84,14.84,14.84,800,0
2017-09-25,14.64,14.98,14.64,14.98,346,0
2017-09-26,15.05,15.08,15.04,15.08,24680,0
2017-09-27,15.06,15.06,15.008,15.0199,7286,0
2017-09-28,15.0711,15.0711,15.0705,15.0705,640,0
2017-09-29,15.07,15.07,15.0248,15.045,3516,0
2017-10-02,15.04,15.1,15.04,15.1,10591,0
2017-10-04,15.1,15.12,15.0877,15.09,6611,0
2017-10-05,15.1499,15.1499,15.1499,15.1499,231,0
2017-10-06,15.0402,15.0402,15.0402,15.0402,410,0
2017-10-09,14.881,14.881,14.881,14.881,1500,0
2017-10-10,15.19,15.19,14.9,14.93,2322,0
2017-10-13,14.909,14.909,14.855,14.855,2100,0
2017-10-16,14.835,14.8999,14.835,14.8999,703,0
2017-10-17,14.9,14.9,14.89,14.9,6184,0
2017-10-18,14.875,14.875,14.875,14.875,400,0
2017-10-20,15,15,15,15,370,0
2017-10-26,14.897,14.969,14.89,14.969,5752,0
2017-10-27,14.7008,14.7008,14.7008,14.7008,229,0
2017-10-30,14.562,14.562,14.562,14.562,100,0
2017-10-31,14.6599,14.6599,14.608,14.608,4417,0
2017-11-01,14.64,14.64,14.64,14.64,3525,0
2017-11-03,14.485,14.485,14.485,14.485,100,0
2017-11-06,14.455,14.49,14.455,14.49,1773,0
2017-11-08,14.55,14.56,14.55,14.56,488,0
2017-11-14,14.5600,14.5600,14.5600,14.5600,-,0
2017-11-15,14.7100,14.7100,14.6790,14.6790,300,0
2017-11-16,14.6790,14.6790,14.6790,14.6790,-,0
2017-11-17,14.9530,14.9530,14.9530,14.9530,200,0
2017-11-20,14.9530,14.9530,14.9530,14.9530,-,0
2017-11-21,15.0100,15.0100,15.0100,15.0100,200,0
2017-11-22,14.9600,14.9600,14.9600,14.9600,200,0
2017-11-24,15.0200,15.0200,15.0200,15.0200,200,0
2017-11-27,14.9750,14.9750,14.9750,14.9750,100,0
2017-11-28,15.1700,15.2100,15.1700,15.2100,1100,0
2017-11-29,15.2500,15.5730,15.2500,15.5730,7400,0
2017-11-30,15.5500,15.6000,15.5500,15.6000,200,0
2017-12-01,15.5000,15.5400,15.4700,15.4900,800,0
2017-12-04,15.8300,15.8300,15.8000,15.8000,200,0
2017-12-05,15.8000,15.8000,15.8000,15.8000,-,0
2017-12-06,15.6000,15.6000,15.5700,15.5700,200,0
2017-12-07,15.5700,15.5700,15.5700,15.5700,-,0
2017-12-08,15.6250,15.6250,15.6250,15.6250,100,0
2017-12-11,15.6400,15.6400,15.6400,15.6400,1600,0
2017-12-12,15.6400,15.6400,15.6400,15.6400,-,0
2017-12-13,15.6900,15.6900,15.6900,15.6900,100,0
2017-12-14,15.5700,15.5700,15.5700,15.5700,200,0
2017-12-15,15.5700,15.5700,15.5700,15.5700,-,0
2017-12-18,15.9020,15.9020,15.9020,15.9020,100,0
2017-12-19,15.9020,15.9020,15.9020,15.9020,-,0
2017-12-20,15.8510,15.9100,15.8510,15.9100,300,0
2017-12-21,15.9100,15.9100,15.9100,15.9100,-,0
2017-12-22,15.9100,15.9100,15.9100,15.9100,-,0
2017-12-26,15.9100,15.9100,15.9100,15.9100,-,0
2017-12-27,16.0600,16.0600,16.0600,16.0600,100,0
2017-12-28,16.0600,16.0600,16.0600,16.0600,-,0
2017-12-29,15.8800,15.8800,15.8800,15.8800,300,0
2018-01-02,15.9110,15.9110,15.9110,15.9110,100,0
2018-01-03,15.9110,15.9110,15.9110,15.9110,-,0
2018-01-04,15.8300,15.8300,15.8300,15.8300,100,0
2018-01-05,15.8300,15.8300,15.8300,15.8300,-,0
2018-01-08,15.9250,15.9250,15.9250,15.9250,500,0
2018-01-09,15.9250,15.9250,15.9250,15.9250,-,0
2018-01-10,15.9770,15.9770,15.9650,15.9650,400,0
2018-01-11,16.1900,16.1900,16.1900,16.1900,100,0
2018-01-12,16.3400,16.3400,16.3400,16.3400,100,0
2018-01-16,16.3400,16.3400,16.3400,16.3400,-,0
2018-01-17,16.3300,16.3300,16.3300,16.3300,100,0
2018-01-18,16.3300,16.3300,16.3300,16.3300,200,0
2018-01-19,16.4150,16.4150,16.4150,16.4150,100,0
2018-01-22,16.5400,16.5400,16.5300,16.5300,1600,0
2018-01-23,16.5300,16.5300,16.5300,16.5300,-,0
2018-01-24,16.6500,16.6500,16.5500,16.5500,300,0
2018-01-25,16.5000,16.5000,16.5000,16.5000,1200,0
2018-01-26,16.7000,16.7000,16.6600,16.6800,1700,0
2018-01-29,16.6800,16.6800,16.6800,16.6800,-,0
2018-01-30,16.5360,16.5360,16.4800,16.4800,200,0
2018-01-31,16.4800,16.4800,16.4800,16.4800,-,0
2018-02-01,16.3700,16.3700,16.3600,16.3600,1300,0
2018-02-02,16.0000,16.0300,16.0000,16.0300,1600,0
2018-02-05,15.9400,15.9400,15.8100,15.8100,1200,0
2018-02-06,15.8100,15.8100,15.8100,15.8100,-,0
2018-02-07,15.8100,15.8100,15.8100,15.8100,-,0
2018-02-08,15.4800,15.4800,15.4500,15.4500,1500,0
2018-02-09,15.4500,15.4500,15.4500,15.4500,-,0
2018-02-12,15.6000,15.6000,15.5980,15.5980,400,0
2018-02-13,15.5980,15.5980,15.5980,15.5980,-,0
2018-02-14,15.6900,15.6900,15.6900,15.6900,500,0
2018-02-15,15.8600,15.9700,15.8600,15.9100,6400,0
2018-02-16,15.9100,15.9100,15.9100,15.9100,-,0
2018-02-20,15.7600,15.7600,15.7600,15.7600,500,0
2018-02-21,15.7920,15.8000,15.7920,15.8000,800,0
2018-02-22,15.7000,15.7000,15.6800,15.6800,1400,0
2018-02-23,15.6800,15.6800,15.6800,15.6800,-,0
2018-02-26,15.9700,15.9700,15.9600,15.9600,3000,0
2018-02-27,15.9600,15.9600,15.9600,15.9600,-,0
2018-02-28,15.8250,15.8250,15.8000,15.8000,700,0
2018-03-01,15.8000,15.8000,15.8000,15.8000,-,0
2018-03-02,15.4900,15.4900,15.4700,15.4700,700,0
2018-03-05,15.8000,15.8000,15.7850,15.7850,200,0
2018-03-06,15.7350,15.7600,15.7350,15.7600,400,0
2018-03-07,15.6190,15.6190,15.6190,15.6190,100,0
2018-03-08,15.6100,15.6100,15.6100,15.6100,300,0
2018-03-09,15.6100,15.6100,15.6100,15.6100,-,0
2018-03-12,15.6300,15.6400,15.6300,15.6400,500,0
2018-03-13,15.7300,15.7400,15.7300,15.7400,18900,0
2018-03-14,15.6200,15.6200,15.6000,15.6000,9000,0
2018-03-15,15.5800,15.5800,15.5330,15.5600,9100,0
2018-03-16,15.6500,15.7100,15.6500,15.7100,12300,0
2018-03-19,15.5900,15.5900,15.5830,15.5830,1600,0
2018-03-20,15.4800,15.5050,15.4800,15.5050,500,0
2018-03-21,15.5000,15.5000,15.3750,15.3750,10200,0
2018-03-22,15.3750,15.3750,15.3750,15.3750,-,0
2018-03-23,15.1800,15.1800,15.1600,15.1600,1700,0
2018-03-26,15.1600,15.1600,15.1600,15.1600,1000,0
2018-03-27,15.1450,15.2900,15.1450,15.1600,1600,0
2018-03-28,15.1600,15.1600,15.1600,15.1600,-,0
2018-03-29,15.3450,15.3450,15.3450,15.3450,200,0
2018-04-02,14.9500,14.9500,14.9500,14.9500,900,0
2018-04-03,15.2100,15.2500,15.2100,15.2500,900,0
2018-04-04,15.4800,15.4950,15.4600,15.4900,5700,0
2018-04-05,15.6100,15.6100,15.6100,15.6100,100,0
2018-04-06,15.6100,15.6100,15.6100,15.6100,-,0
2018-04-09,15.4396,15.4396,15.4396,15.4396,501,0
