Date,Open,High,Low,Close,Volume,OpenInt
2017-03-09,20,21.908,16.55,16.8,160050,0
2017-03-10,17.74,19.75,17.26,19.25,50859,0
2017-03-13,19.01,19.86,19.01,19.7,17032,0
2017-03-14,18.3375,19.5,18.3375,18.3375,6020,0
2017-03-15,19.4,19.4,18.55,18.78,11908,0
2017-03-16,18.8,19.2377,18.75,18.75,4143,0
2017-03-17,20,20,17.01,19.8,18481,0
2017-03-20,19.008,20,19,19.3863,10687,0
2017-03-21,19.1516,19.1807,18.5,18.5,6911,0
2017-03-22,18.7,19.7,18.5,18.53,58713,0
2017-03-23,19.35,19.35,18.5,19.2,31423,0
2017-03-24,19.2221,19.2221,18.6,18.6,8214,0
2017-03-27,18.56,19.44,18.56,19.44,12523,0
2017-03-28,19.35,20.49,19.35,19.561,8836,0
2017-03-29,19.55,20.155,19.55,19.67,11656,0
2017-03-30,19.6,20.1,19.6,19.79,1971,0
2017-03-31,19.801,19.985,19.8,19.93,1778,0
2017-04-03,20,20,19.4,19.76,2608,0
2017-04-04,19.85,19.99,19.4683,19.91,5438,0
2017-04-05,19.99,19.99,19.8,19.8,2211,0
2017-04-06,19.93,19.93,19.711,19.87,2455,0
2017-04-07,19.95,20.1,19.85,20.1,3386,0
2017-04-10,19.97,19.9791,19.85,19.97,3737,0
2017-04-11,19.8,19.99,19.8,19.99,2357,0
2017-04-12,20,20.0063,19.95,19.95,2041,0
2017-04-13,19.94,20.94,19.94,20.5,13251,0
2017-04-17,20.61,20.61,20.001,20.6,3046,0
2017-04-18,20.8588,20.99,20.5,20.99,6197,0
2017-04-19,21,21.62,20.96,21.6,7665,0
2017-04-20,21.5,21.74,21.49,21.49,5219,0
2017-04-21,21.2226,21.7,21.2226,21.7,2093,0
2017-04-24,21.27,21.6247,21.26,21.6247,1660,0
2017-04-25,21.58,21.58,21.3,21.57,4406,0
2017-04-26,21.7499,22.96,21.57,22.86,5887,0
2017-04-27,22.9665,28.05,22.6704,25,32198,0
2017-04-28,25.89,25.9622,24.5001,24.64,4549,0
2017-05-01,25.33,25.5,24.51,24.99,5235,0
2017-05-02,25.27,26,24.881,26,5859,0
2017-05-03,26.77,26.77,25.4842,26.2,2580,0
2017-05-04,26.95,26.9899,26.65,26.9899,1566,0
2017-05-05,26.99,27.1,25.88,26.32,8330,0
2017-05-08,26.91,26.91,26,26.4,3396,0
2017-05-09,26.2638,26.32,25.95,26.32,1093,0
2017-05-10,26.136,26.136,25.5,25.86,3646,0
2017-05-11,25.82,25.82,25.82,25.82,270,0
2017-05-12,25.93,26.9709,25.81,26.35,5655,0
2017-05-15,26.6206,27.06,26.41,26.8,2947,0
2017-05-16,26.8,27.4899,26,27.44,2034,0
2017-05-17,27.13,27.4,26.6,26.9,3186,0
2017-05-18,27.25,27.5,27.01,27.5,2364,0
2017-05-19,26.9,28.32,26.7,27.9686,5045,0
2017-05-22,28.33,29.4892,28.299,29.2499,7013,0
2017-05-23,29.49,30.99,28.722,29.81,7080,0
2017-05-24,29.99,30.99,29.525,30.15,12712,0
2017-05-25,27.8319,31.8,27.8319,31.8,6821,0
