Date,Open,High,Low,Close,Volume,OpenInt
2017-04-13,22.05,22.24,21.5,21.55,5392979,0
2017-04-17,21.67,22.55,21.5,22.25,530725,0
2017-04-18,22.24,22.38,22.02,22.25,398638,0
2017-04-19,22.25,22.47,22.15,22.28,228240,0
2017-04-20,22.57,22.57,22.12,22.2,124461,0
2017-04-21,22.21,22.72,22.2,22.22,163664,0
2017-04-24,22.6,23,22.3,22.45,282302,0
2017-04-25,22.75,22.9,22.69,22.7,200081,0
2017-04-26,22.76,23,22.7,22.95,227237,0
2017-04-27,23.05,23.2,22.54,22.63,345711,0
2017-04-28,22.6,22.9,22.4,22.48,195944,0
2017-05-01,22.65,22.805,22.25,22.5,219536,0
2017-05-02,22.42,22.73,22.34,22.6,116843,0
2017-05-03,22.5,22.78,22.44,22.55,28843,0
2017-05-04,22.55,22.71,22.5,22.55,197605,0
2017-05-05,22.55,22.59,22.2,22.4,95645,0
2017-05-08,22.35,22.36,22.1,22.12,98860,0
2017-05-09,22.1,22.1,21.906,21.99,89425,0
2017-05-10,22,22.25,21.95,22.24,93682,0
2017-05-11,22.18,22.6,22.18,22.48,168837,0
2017-05-12,22.36,22.6455,22.01,22.18,122879,0
2017-05-15,22.09,22.129,21.85,21.85,331376,0
2017-05-16,21.86,22.24,21.66,22.08,86041,0
2017-05-17,21.95,22,21.56,21.69,53674,0
2017-05-18,21.55,21.98,21.55,21.57,40192,0
2017-05-19,21.64,21.89,21.57,21.61,41675,0
2017-05-22,21.57,21.98,21.57,21.93,54635,0
2017-05-23,21.94,22.4,21.8501,22.11,45558,0
2017-05-24,22.02,22.67,22.01,22.44,70919,0
2017-05-25,22.5,22.57,22.15,22.23,110307,0
2017-05-26,22.08,22.29,22.03,22.29,43686,0
2017-05-30,22.36,23.12,22.11,22.32,112123,0
2017-05-31,22.32,22.4,21.615,21.86,96191,0
2017-06-01,21.83,22.48,21.75,22.34,103521,0
2017-06-02,22.17,22.76,21.89,22.5,127326,0
2017-06-05,22.59,22.66,22.2,22.48,65961,0
2017-06-06,22.39,22.59,22.1843,22.45,25648,0
2017-06-07,22.45,22.45,22.1,22.31,49258,0
2017-06-08,22.36,23.25,22.04,23.12,85636,0
2017-06-09,23.09,23.56,23.05,23.45,115769,0
2017-06-12,23.36,23.51,23.27,23.48,100566,0
2017-06-13,23.45,23.63,23.31,23.51,71633,0
2017-06-14,23.46,23.71,23.01,23.29,102493,0
2017-06-15,23.1,23.5,22.8,23.32,63460,0
2017-06-16,23.3,23.45,22.22,22.62,123652,0
2017-06-19,22.62,22.97,22.31,22.41,57673,0
2017-06-20,22.55,22.55,22.13,22.27,54586,0
2017-06-21,22.18,22.48,22.056,22.14,51576,0
2017-06-22,22.22,22.41,21.56,21.8,96783,0
2017-06-23,21.78,22.0466,20.5,21.01,1435264,0
2017-06-26,21.04,21.47,20.95,21.34,74563,0
2017-06-27,21.29,21.67,21.27,21.59,54959,0
2017-06-28,21.68,22.475,21.68,22.27,96262,0
2017-06-29,22.5,22.5716,21.56,21.88,111086,0
2017-06-30,21.98,22.3,21.7,21.88,88693,0
2017-07-03,22,22.51,22,22.38,15150,0
2017-07-05,22.55,22.55,22.08,22.33,65199,0
2017-07-06,22.36,22.79,22.17,22.25,52226,0
2017-07-07,22.32,22.67,22.285,22.64,51572,0
2017-07-10,22.63,22.63,22.23,22.33,83808,0
2017-07-11,22.35,22.5,22.1,22.4,54765,0
2017-07-12,22.38,22.53,22.27,22.38,67677,0
2017-07-13,22.37,22.4,22.14,22.28,64085,0
2017-07-14,22.18,22.42,22.05,22.25,65292,0
2017-07-17,22.14,22.22,21.82,22.1,73143,0
2017-07-18,22,22.22,21.93,21.96,51395,0
2017-07-19,22.06,22.1724,21.76,21.98,29593,0
2017-07-20,21.97,22.55,21.75,22.27,187332,0
2017-07-21,22.37,22.37,21.86,22.15,53734,0
2017-07-24,22.1,22.74,22.035,22.63,32010,0
2017-07-25,22.72,22.83,22.39,22.79,44521,0
2017-07-26,22.81,22.81,22.21,22.38,29083,0
2017-07-27,22.5,22.89,21.95,22.77,46318,0
2017-07-28,22.79,22.79,22.13,22.61,36505,0
2017-07-31,22.62,22.86,22.3,22.84,31596,0
2017-08-01,22.89,22.98,22.76,22.97,15972,0
2017-08-02,22.88,23.13,22.83,22.87,26081,0
2017-08-03,22.88,22.96,22.76,22.85,19473,0
2017-08-04,23.13,23.13,22.75,22.93,22010,0
2017-08-07,22.97,23.01,22.3,22.41,28467,0
2017-08-08,22.35,22.92,22.22,22.39,38066,0
2017-08-09,22.25,22.25,21.62,21.81,36481,0
2017-08-10,21.67,21.74,20.74,20.86,58194,0
2017-08-11,20.9,21.18,20.3,20.65,96393,0
2017-08-14,20.79,21.49,20.79,21.33,43545,0
