Date,Open,High,Low,Close,Volume,OpenInt
2017-10-12,29,30.19,27.1,27.58,12273812,0
2017-10-13,26.42,28.88,25.85,28.53,1483240,0
2017-10-16,28.25,35,27.26,31.85,2645150,0
2017-10-17,32.27,32.3,27.96,28.28,959075,0
2017-10-18,28.18,28.749,27.3,28.14,1086569,0
2017-10-19,27.44,28.99,27.13,28.23,415628,0
2017-10-20,27.85,30.16,27.85,29.19,452819,0
2017-10-23,29.17,29.6,28,28.92,264695,0
2017-10-24,28.9,30.52,28.08,29.09,407423,0
2017-10-25,28.89,29.55,27.9801,29.01,203673,0
2017-10-26,28.04,30.8,28,30.03,908758,0
2017-10-27,29.73,31.28,29.73,30.96,296899,0
2017-10-30,31.23,32.37,30.6597,31.74,382551,0
2017-10-31,32.14,33.05,31.95,32.6,566734,0
2017-11-01,32.93,33.23,31.61,31.72,554526,0
2017-11-02,31.66,32.34,31.08,31.79,113308,0
2017-11-03,31.93,31.9522,31.1,31.44,363214,0
2017-11-06,30.1,31.01,29.85,30.42,677250,0
2017-11-07,30.47,30.76,29.4,29.76,408457,0
2017-11-08,29.25,29.8,28.11,28.49,629181,0
2017-11-09,28.65,29.0545,28,28.35,479061,0
2017-11-10,28.44,30,28.35,28.93,343360,0
2017-11-13,29.00,29.89,28.60,29.55,830300,0
2017-11-14,29.60,29.93,29.41,29.82,519500,0
2017-11-15,33.85,35.42,30.90,31.03,3026400,0
2017-11-16,31.15,31.70,30.79,31.35,450400,0
2017-11-17,31.43,31.71,30.80,30.82,188700,0
2017-11-20,30.76,31.02,28.00,28.99,686100,0
2017-11-21,28.91,29.55,28.52,28.64,483600,0
2017-11-22,28.76,28.86,28.10,28.60,247600,0
2017-11-24,28.63,29.39,28.00,28.66,199400,0
2017-11-27,28.72,29.68,28.72,29.16,203600,0
2017-11-28,29.51,29.98,29.24,29.97,87300,0
2017-11-29,29.85,29.93,29.10,29.30,105500,0
2017-11-30,29.30,29.60,28.84,29.48,133600,0
2017-12-01,29.34,29.49,28.94,29.30,234200,0
2017-12-04,29.53,29.53,28.84,29.29,165100,0
2017-12-05,29.41,30.79,29.15,30.56,246800,0
2017-12-06,30.49,30.50,29.61,30.30,108500,0
2017-12-07,30.45,30.98,30.14,30.86,109600,0
2017-12-08,30.90,31.22,29.37,30.33,142500,0
2017-12-11,30.40,31.01,29.81,30.56,401000,0
2017-12-12,30.58,30.89,29.65,29.80,187500,0
2017-12-13,29.72,29.75,29.14,29.46,250100,0
2017-12-14,29.65,30.59,29.26,30.10,340900,0
2017-12-15,30.08,30.76,29.88,30.63,633700,0
2017-12-18,30.62,31.15,30.26,31.09,134800,0
2017-12-19,31.21,31.60,30.05,31.04,203200,0
2017-12-20,31.13,31.43,29.79,30.10,406400,0
2017-12-21,30.11,30.15,29.11,29.91,194500,0
2017-12-22,29.83,30.57,29.19,29.94,112300,0
2017-12-26,29.92,29.94,29.34,29.81,91600,0
2017-12-27,29.69,30.00,29.53,29.80,94500,0
2017-12-28,29.78,29.97,29.25,29.77,96200,0
2017-12-29,29.69,30.45,29.30,29.98,152600,0
2018-01-02,30.05,30.61,29.40,30.13,917700,0
2018-01-03,29.86,30.65,29.70,29.85,152500,0
2018-01-04,30.02,30.35,29.45,30.07,320200,0
2018-01-05,30.13,30.32,29.25,29.96,252300,0
2018-01-08,30.00,30.49,29.54,30.35,120100,0
2018-01-09,30.36,31.44,30.10,30.48,124200,0
2018-01-10,30.31,30.63,30.03,30.33,150400,0
2018-01-11,30.28,31.01,30.10,30.72,77500,0
2018-01-12,30.72,30.80,30.08,30.63,49800,0
2018-01-16,31.53,33.29,30.90,32.34,334200,0
2018-01-17,33.01,34.66,32.21,34.41,404900,0
2018-01-18,34.12,34.18,32.28,33.85,199300,0
2018-01-19,33.82,36.81,33.50,36.02,540400,0
2018-01-22,36.05,36.40,30.76,31.62,515700,0
2018-01-23,31.95,32.56,31.80,32.34,166000,0
2018-01-24,32.39,33.18,32.23,33.08,209600,0
2018-01-25,33.15,34.04,32.80,34.01,125300,0
2018-01-26,33.92,34.22,33.58,33.99,239800,0
2018-01-29,33.71,34.46,33.25,34.01,113800,0
2018-01-30,33.77,33.93,32.60,33.67,150300,0
2018-01-31,33.67,34.01,33.12,33.50,84600,0
2018-02-01,33.23,33.62,32.39,32.94,65500,0
2018-02-02,32.67,32.86,30.71,31.04,178500,0
2018-02-05,30.69,31.74,30.03,30.34,113100,0
2018-02-06,30.00,30.28,29.65,29.83,128900,0
2018-02-07,29.87,30.85,29.87,30.53,98300,0
2018-02-08,30.12,30.98,29.70,30.07,71100,0
2018-02-09,30.35,30.69,28.52,29.40,128000,0
2018-02-12,29.99,30.45,29.26,30.09,53100,0
