Date,Open,High,Low,Close,Volume,OpenInt
2016-11-08,19.5,19.5,19,19.4,5400,0
2016-11-23,19.05,19.05,19.05,19.05,300,0
2016-12-05,1,1,1,1,500,0
2016-12-13,19.04,19.04,19.04,19.04,1000,0
2016-12-22,19.5,19.5,19,19,400,0
2017-01-06,18.99,19.02,18.99,19.01,2500,0
2017-01-30,19.24,19.24,19.24,19.24,400,0
2017-01-31,19.3,19.3,19.3,19.3,800,0
2017-05-01,20,20,20,20,300,0
2017-05-02,20,21,20,21,500,0
2017-05-03,19.5,19.5,19.5,19.5,600,0
2017-05-09,20,20,20,20,300,0
2017-05-10,20,20,20,20,600,0
2017-05-11,21,21,20.65,20.65,3100,0
2017-05-18,20.5,20.5,20.5,20.5,300,0
2017-05-22,20.34,20.34,20.34,20.34,200,0
2017-06-13,20.34,20.34,20.34,20.34,1400,0
2017-06-14,20.5,20.5,20.5,20.5,300,0
2017-06-15,20.5,20.5,20.5,20.5,50100,0
2017-06-20,20.5,23,20.5,23,5400,0
2017-06-23,23,23,23,23,200,0
2017-07-12,18.4,18.4,18.4,18.4,10100,0
2017-07-17,18.5,19,18.5,19,300,0
2017-07-18,19.01,19.01,18.99,18.99,400,0
2017-08-16,18.5,18.5,18.5,18.5,2400,0
2017-09-20,19,19,19,19,1000,0
2017-10-16,19.05,19.05,19.05,19.05,200,0
2017-10-17,19.15,19.2,19.05,19.2,4800,0
2017-10-18,18.5,18.65,18.5,18.65,3800,0
2017-10-20,18.75,18.75,18.75,18.75,100,0
2017-10-27,1.01,1.01,1.01,1.01,400,0
2017-11-03,18.8,18.8,18.8,18.8,1200,0
2017-11-10,1.01,1.03,1.01,1.01,400,0
2017-11-13,1.01,1.01,1.01,1.01,-,0
2017-11-14,1.01,1.01,1.01,1.01,-,0
2017-11-15,1.01,1.01,1.01,1.01,-,0
2017-11-16,1.01,1.01,1.01,1.01,-,0
2017-11-17,1.01,1.01,1.01,1.01,-,0
2017-11-20,1.01,1.01,1.01,1.01,-,0
2017-11-21,1.01,1.01,1.01,1.01,-,0
2017-11-22,1.01,1.01,1.01,1.01,-,0
2017-11-24,1.01,1.01,1.01,1.01,-,0
2017-11-27,19.00,19.50,16.50,16.50,3200,0
2017-11-28,16.75,17.00,14.75,14.75,12700,0
2017-11-29,14.75,14.75,14.75,14.75,-,0
2017-11-30,14.75,14.75,14.75,14.75,-,0
2017-12-01,14.75,14.75,14.75,14.75,-,0
2017-12-04,14.75,14.75,14.75,14.75,-,0
2017-12-05,14.75,14.75,14.75,14.75,-,0
2017-12-06,14.75,14.75,14.75,14.75,-,0
2017-12-07,14.75,14.75,14.75,14.75,-,0
2017-12-08,14.75,14.75,14.75,14.75,-,0
2017-12-11,14.75,14.75,14.75,14.75,-,0
2017-12-12,14.75,14.75,14.75,14.75,-,0
2017-12-13,14.75,14.75,14.75,14.75,-,0
2017-12-14,14.75,14.75,14.75,14.75,-,0
2017-12-15,14.75,14.75,14.75,14.75,-,0
2017-12-18,14.75,14.75,14.75,14.75,-,0
2017-12-19,14.75,14.75,14.75,14.75,-,0
2017-12-20,14.75,14.75,14.75,14.75,-,0
2017-12-21,16.00,16.00,14.55,14.55,32500,0
2017-12-22,14.55,14.55,14.55,14.55,-,0
2017-12-26,14.55,14.55,14.55,14.55,-,0
2017-12-27,14.55,14.55,14.55,14.55,-,0
2017-12-28,14.55,14.55,14.55,14.55,-,0
2017-12-29,14.55,14.55,14.55,14.55,-,0
2018-01-02,14.55,14.55,14.55,14.55,-,0
2018-01-03,14.55,14.55,14.55,14.55,-,0
2018-01-04,14.55,14.55,14.55,14.55,-,0
2018-01-05,14.55,14.55,14.55,14.55,-,0
2018-01-08,14.55,14.55,14.55,14.55,-,0
2018-01-09,14.55,14.55,14.55,14.55,-,0
2018-01-10,14.55,14.55,14.55,14.55,-,0
2018-01-11,14.55,14.55,14.55,14.55,-,0
2018-01-12,14.55,14.55,14.55,14.55,-,0
2018-01-16,14.55,14.55,14.55,14.55,-,0
2018-01-17,14.55,14.55,14.55,14.55,-,0
2018-01-18,14.55,14.55,14.55,14.55,-,0
2018-01-19,1.01,1.04,1.01,1.01,400,0
2018-01-22,1.01,1.01,1.01,1.01,-,0
2018-01-23,14.55,14.55,14.50,14.55,141700,0
2018-01-24,14.55,14.55,14.55,14.55,-,0
2018-01-25,14.55,14.55,14.55,14.55,-,0
2018-01-26,14.55,14.55,14.55,14.55,-,0
2018-01-29,14.55,14.55,14.55,14.55,-,0
2018-01-30,14.55,14.55,14.55,14.55,-,0
2018-01-31,14.55,14.55,14.55,14.55,4600,0
2018-02-01,14.55,14.55,14.55,14.55,-,0
2018-02-02,15.00,15.00,15.00,15.00,1600,0
2018-02-05,17.00,17.25,17.00,17.25,3900,0
2018-02-06,17.25,17.25,17.25,17.25,-,0
2018-02-07,17.25,17.25,17.25,17.25,-,0
2018-02-08,17.25,17.25,17.25,17.25,-,0
2018-02-09,17.20,17.45,17.15,17.45,10000,0
2018-02-12,18.50,18.75,15.40,18.75,53000,0
2018-02-13,18.75,18.75,18.75,18.75,-,0
2018-02-14,18.75,18.75,18.75,18.75,-,0
2018-02-15,18.75,18.75,18.75,18.75,-,0
2018-02-16,18.75,18.75,18.75,18.75,-,0
2018-02-20,18.75,18.75,18.75,18.75,-,0
2018-02-21,18.75,18.75,18.75,18.75,-,0
2018-02-22,18.75,18.75,18.75,18.75,-,0
2018-02-23,1.01,1.03,1.01,1.01,400,0
2018-02-26,1.01,1.01,1.01,1.01,-,0
2018-02-27,1.01,1.01,1.01,1.01,-,0
2018-02-28,1.01,1.01,1.01,1.01,-,0
2018-03-01,1.01,1.01,1.01,1.01,-,0
2018-03-02,1.01,1.01,1.01,1.01,-,0
2018-03-05,1.01,1.01,1.01,1.01,-,0
2018-03-06,1.01,1.01,1.01,1.01,-,0
2018-03-07,1.01,1.01,1.01,1.01,-,0
2018-03-08,1.01,1.01,1.01,1.01,-,0
2018-03-09,1.01,1.01,1.01,1.01,-,0
2018-03-12,1.01,1.01,1.01,1.01,-,0
2018-03-13,1.01,1.01,1.01,1.01,-,0
2018-03-14,1.01,1.01,1.01,1.01,-,0
2018-03-15,1.01,1.01,1.01,1.01,-,0
2018-03-16,1.01,1.01,1.01,1.01,-,0
2018-03-19,1.01,1.01,1.01,1.01,-,0
2018-03-20,1.01,1.01,1.01,1.01,-,0
2018-03-21,1.01,1.01,1.01,1.01,-,0
2018-03-22,1.01,1.01,1.01,1.01,-,0
2018-03-23,1.01,1.01,1.01,1.01,-,0
2018-03-26,1.01,1.01,1.01,1.01,-,0
2018-03-27,1.01,1.01,1.01,1.01,-,0
2018-03-28,1.01,1.01,1.01,1.01,-,0
2018-03-29,1.01,1.01,1.01,1.01,-,0
2018-04-02,1.01,1.01,1.01,1.01,-,0
2018-04-03,1.01,1.01,1.01,1.01,-,0
2018-04-04,1.01,1.01,1.01,1.01,-,0
2018-04-05,1.01,1.01,1.01,1.01,-,0
2018-04-06,1.01,1.01,1.01,1.01,-,0
