Date,Open,High,Low,Close,Volume,OpenInt
2017-11-08,28,29.78,27.2,28.71,1062305,0
2017-11-09,28.52,28.98,28.25,28.45,200059,0
2017-11-10,28.45,29.69,28.1,29.12,57573,0
2017-11-15,28.38,28.92,28.35,28.68,89800,0
2017-11-16,28.47,29.50,28.47,29.30,61100,0
2017-11-17,28.70,29.10,28.26,28.96,41600,0
2017-11-20,28.71,29.02,28.50,28.90,23600,0
2017-11-21,28.79,29.00,28.53,28.93,36200,0
2017-11-22,28.76,28.88,28.61,28.77,20600,0
2017-11-24,28.90,28.90,28.44,28.44,5900,0
2017-11-27,28.50,28.85,28.42,28.64,26000,0
2017-11-28,28.76,29.00,28.60,28.89,59400,0
2017-11-29,28.95,28.95,28.70,28.95,13400,0
2017-11-30,28.95,29.49,28.51,28.71,40900,0
2017-12-01,28.75,28.97,28.64,28.93,52600,0
2017-12-04,28.64,28.93,28.50,28.65,81000,0
2017-12-05,28.74,28.93,28.65,28.76,54800,0
2017-12-06,28.59,28.90,28.59,28.80,28600,0
2017-12-07,28.76,29.50,28.47,29.26,150900,0
2017-12-08,29.25,29.30,28.49,28.70,105500,0
2017-12-11,28.73,29.56,28.67,28.71,54900,0
2017-12-12,28.71,28.95,28.60,28.61,76700,0
2017-12-13,28.70,28.95,28.45,28.45,66400,0
2017-12-14,28.44,28.70,28.44,28.49,66700,0
2017-12-15,28.28,28.63,27.61,28.27,469000,0
2017-12-18,28.50,28.75,28.03,28.57,180800,0
2017-12-19,28.49,28.95,28.05,28.87,45700,0
2017-12-20,28.77,29.24,28.30,29.07,108500,0
2017-12-21,29.21,29.57,28.48,29.47,48300,0
2017-12-22,29.50,29.57,28.97,29.52,20500,0
2017-12-26,29.55,29.86,29.04,29.69,57400,0
2017-12-27,29.69,29.75,29.25,29.35,31100,0
2017-12-28,29.42,30.20,29.20,30.06,69600,0
2017-12-29,30.72,30.72,29.31,29.66,26300,0
2018-01-02,29.70,29.70,29.25,29.59,26800,0
2018-01-03,29.61,29.61,29.10,29.36,49300,0
2018-01-04,29.47,29.55,29.10,29.10,44700,0
2018-01-05,29.28,29.28,28.13,28.85,77700,0
2018-01-08,29.10,29.47,28.53,28.72,79900,0
2018-01-09,28.75,29.00,28.54,28.89,156500,0
2018-01-10,28.80,30.00,28.77,29.65,93600,0
2018-01-11,29.70,30.87,29.30,29.90,122400,0
2018-01-12,29.90,30.44,29.68,30.00,34800,0
2018-01-16,30.21,30.21,28.85,29.02,51600,0
2018-01-17,29.21,29.85,28.96,29.10,47200,0
2018-01-18,29.10,29.30,28.92,29.02,27700,0
2018-01-19,28.85,29.32,28.85,29.19,48400,0
2018-01-22,29.23,29.54,28.82,29.04,26900,0
2018-01-23,29.07,29.36,28.81,29.26,28700,0
2018-01-24,29.33,29.35,28.82,29.02,25700,0
2018-01-25,29.00,29.05,28.75,28.90,35500,0
2018-01-26,28.88,28.92,28.50,28.77,56600,0
2018-01-29,28.78,29.00,28.75,28.91,39500,0
2018-01-30,28.80,28.85,28.50,28.58,40100,0
2018-01-31,28.61,28.75,28.59,28.62,9500,0
2018-02-01,28.62,28.87,27.92,28.86,120300,0
2018-02-02,28.74,28.91,28.01,28.70,36700,0
2018-02-05,28.51,29.00,28.03,28.62,67400,0
2018-02-06,28.23,29.24,28.23,29.00,77100,0
2018-02-07,28.97,28.98,28.41,28.75,80900,0
2018-02-08,28.74,28.74,28.06,28.12,44700,0
2018-02-09,28.48,28.83,28.11,28.36,63900,0
2018-02-12,28.43,28.55,28.06,28.41,10600,0
2018-02-13,28.22,28.31,28.00,28.29,68200,0
2018-02-14,28.09,28.18,28.06,28.15,50600,0
2018-02-15,28.28,28.50,28.08,28.16,24800,0
2018-02-16,28.17,28.30,27.99,28.05,53400,0
2018-02-20,27.97,28.03,27.57,27.89,42300,0
2018-02-21,28.00,28.46,27.84,28.10,103600,0
2018-02-22,28.10,28.15,27.74,28.09,37800,0
2018-02-23,28.15,28.15,27.68,27.99,34900,0
2018-02-26,28.07,28.31,27.66,27.91,39300,0
2018-02-27,27.95,28.10,27.00,27.56,69900,0
2018-02-28,27.49,27.80,27.27,27.61,37100,0
2018-03-01,27.61,28.19,27.31,27.83,41300,0
2018-03-02,27.63,28.90,27.43,28.75,54700,0
2018-03-05,28.51,28.70,27.83,28.49,61300,0
2018-03-06,28.56,28.56,27.25,28.15,87600,0
2018-03-07,28.01,28.45,28.00,28.31,46500,0
2018-03-08,28.39,28.39,28.15,28.27,33500,0
2018-03-09,28.16,28.46,28.16,28.44,53300,0
2018-03-12,28.50,29.22,28.28,28.92,89700,0
2018-03-13,29.04,29.04,28.37,28.88,33000,0
2018-03-14,28.99,28.99,28.46,28.86,15300,0
2018-03-15,28.84,28.86,28.43,28.85,26400,0
2018-03-16,28.85,29.50,28.55,29.41,86400,0
2018-03-19,29.19,29.66,28.87,29.56,68200,0
2018-03-20,29.47,29.67,29.06,29.40,76700,0
2018-03-21,29.35,29.70,29.00,29.56,92200,0
2018-03-22,29.30,29.84,28.86,29.03,84100,0
2018-03-23,29.15,29.35,28.75,28.79,57300,0
2018-03-26,29.27,29.59,28.90,29.46,100800,0
2018-03-27,29.46,29.56,28.51,29.00,77000,0
2018-03-28,28.98,29.40,28.57,29.20,79700,0
2018-03-29,29.23,29.50,28.87,29.44,64600,0
2018-04-02,29.23,29.42,27.82,29.11,28000,0
2018-04-03,29.21,29.37,28.53,29.09,19900,0
2018-04-04,28.83,29.50,28.65,29.42,39500,0
2018-04-05,29.50,29.50,28.77,29.24,117200,0
2018-04-06,29.04,29.50,28.61,28.70,26800,0
2018-04-09,28.95,29.37,28.74,29.30,14701,0
