Date,Open,High,Low,Close,Volume,OpenInt
2017-05-24,1.15,1.22,1.05,1.05,8200,0
2017-10-10,35.77,35.77,35.77,35.77,0,0
2017-10-11,35.77,35.77,35.77,35.77,0,0
2017-10-12,35.77,35.77,35.77,35.77,0,0
2017-10-13,35.77,35.77,35.77,35.77,0,0
2017-10-17,1.05,1.05,1.05,1.05,0,0
2017-10-18,1.05,1.05,1.05,1.05,0,0
2017-10-19,1.05,1.05,1.05,1.05,0,0
2017-10-20,1.05,1.05,1.05,1.05,0,0
2017-10-24,1.05,1.05,1.05,1.05,0,0
2017-10-25,1.05,1.05,1.05,1.05,0,0
2017-10-26,1.05,1.05,1.05,1.05,0,0
2017-10-27,1.05,1.05,1.05,1.05,0,0
2017-10-31,1.05,1.05,1.05,1.05,0,0
2017-11-01,1.05,1.05,1.05,1.05,0,0
2017-11-02,1.05,1.05,1.05,1.05,0,0
2017-11-03,1.05,1.05,1.05,1.05,0,0
2017-11-07,1.05,1.05,1.05,1.05,0,0
2017-11-08,1.05,1.05,1.05,1.05,0,0
2017-11-09,1.05,1.05,1.05,1.05,0,0
2017-11-10,1.05,1.05,1.05,1.05,0,0
2017-11-10,1.05,1.05,1.05,1.05,-,0
2017-11-13,1.05,1.05,1.05,1.05,-,0
2017-11-14,1.05,1.05,1.05,1.05,-,0
2017-11-15,1.05,1.05,1.05,1.05,-,0
2017-11-16,1.05,1.05,1.05,1.05,-,0
2017-11-17,1.01,1.03,1.01,1.01,300,0
2017-11-20,1.01,1.01,1.01,1.01,-,0
2017-11-21,1.01,1.01,1.01,1.01,-,0
2017-11-22,1.01,1.01,1.01,1.01,-,0
2017-11-24,1.01,1.01,1.01,1.01,-,0
2017-11-27,1.01,1.01,1.01,1.01,-,0
2017-11-28,1.01,1.01,1.01,1.01,-,0
2017-11-29,1.01,1.01,1.01,1.01,6000,0
2017-11-30,1.01,1.01,1.01,1.01,-,0
2017-12-01,1.01,1.01,1.01,1.01,-,0
2017-12-04,1.01,1.01,1.01,1.01,-,0
2017-12-05,1.01,1.01,1.01,1.01,-,0
2017-12-06,1.01,1.01,1.01,1.01,-,0
2017-12-07,1.01,1.01,1.01,1.01,-,0
2017-12-08,1.01,1.01,1.01,1.01,-,0
2017-12-11,1.01,1.01,1.01,1.01,-,0
2017-12-12,1.01,1.01,1.01,1.01,-,0
2017-12-13,1.01,1.01,1.01,1.01,-,0
2017-12-14,1.01,1.01,1.01,1.01,-,0
2017-12-15,-,-,-,-,-,0
2017-12-18,-,-,-,-,-,0
2017-12-19,-,-,-,-,-,0
2017-12-20,-,-,-,-,-,0
2017-12-21,-,-,-,-,-,0
2017-12-22,-,-,-,-,-,0
2017-12-26,-,-,-,-,-,0
2017-12-27,-,-,-,-,-,0
2017-12-28,-,-,-,-,-,0
2017-12-29,-,-,-,-,-,0
2018-01-02,-,-,-,-,-,0
2018-01-03,-,-,-,-,-,0
2018-01-04,-,-,-,-,-,0
2018-01-05,-,-,-,-,-,0
2018-01-08,-,-,-,-,-,0
2018-01-09,-,-,-,-,-,0
2018-01-10,-,-,-,-,-,0
2018-01-11,-,-,-,-,-,0
2018-01-12,-,-,-,-,-,0
2018-01-16,-,-,-,-,-,0
2018-01-17,-,-,-,-,-,0
2018-01-18,-,-,-,-,-,0
2018-01-19,-,-,-,-,-,0
2018-01-22,-,-,-,-,-,0
2018-01-23,-,-,-,-,-,0
2018-01-24,-,-,-,-,-,0
2018-01-25,-,-,-,-,-,0
2018-01-26,-,-,-,-,-,0
2018-01-29,-,-,-,-,-,0
2018-01-30,-,-,-,-,-,0
2018-01-31,-,-,-,-,-,0
