Date,Open,High,Low,Close,Volume,OpenInt
2017-05-25,25.377,25.377,24.906,24.996,26856,0
2017-05-26,25.068,25.068,25.035,25.066,12496,0
2017-05-30,25.466,25.466,24.948,24.948,27006,0
2017-05-31,25.045,25.128,25.041,25.118,11009,0
2017-06-01,25.575,25.575,25.148,25.237,19988,0
2017-06-02,25.222,25.247,25.207,25.207,35700,0
2017-06-05,25.088,25.227,25.088,25.098,13659,0
2017-06-06,25.128,25.148,25.078,25.078,70769,0
2017-06-07,25.13,25.13,25.101,25.128,1725,0
2017-06-08,25.088,25.088,25.028,25.059,5915,0
2017-06-09,25.119,25.187,25.118,25.187,4003,0
2017-06-12,25.267,25.267,25.219,25.219,972,0
2017-06-13,25.277,25.277,25.277,25.277,3333,0
2017-06-14,25.187,25.263,25.187,25.235,3842,0
2017-06-15,25.314,25.314,25.314,25.314,1336,0
2017-06-16,25.251,25.317,25.251,25.317,64938,0
2017-06-19,25.466,25.505,25.466,25.494,30010,0
2017-06-20,25.465,25.465,25.359,25.406,2288,0
2017-06-21,25.267,25.286,25.23,25.286,14550,0
2017-06-22,25.237,25.267,25.217,25.219,103557,0
2017-06-23,25.226,25.226,25.187,25.187,6971,0
2017-06-26,25.179,25.179,25.179,25.179,163,0
2017-06-27,25.114,25.114,25.081,25.081,641,0
2017-06-28,25.1,25.131,25.051,25.101,75652,0
2017-06-29,25.031,25.041,24.961,25.021,14078,0
2017-06-30,25.101,25.101,25.071,25.101,810,0
2017-07-03,25.101,25.121,25.101,25.111,8832,0
2017-07-05,25.031,25.041,24.997,24.997,7389,0
2017-07-06,25.001,25.031,24.95,24.971,6921,0
2017-07-07,24.961,25.011,24.931,24.991,28737,0
2017-07-10,24.931,24.951,24.911,24.929,1683,0
2017-07-11,24.931,24.931,24.792,24.792,56051,0
2017-07-12,24.911,24.921,24.899,24.911,14049,0
2017-07-13,24.862,24.872,24.822,24.822,20207,0
2017-07-14,24.822,24.921,24.822,24.874,4843,0
2017-07-17,24.901,24.901,24.822,24.833,43391,0
2017-07-18,24.81,24.81,24.798,24.798,823,0
2017-07-19,25.131,25.131,24.812,24.833,18519,0
2017-07-20,24.911,24.915,24.911,24.915,486,0
2017-07-21,24.843,24.931,24.842,24.906,27171,0
2017-07-24,24.911,24.911,24.842,24.884,5176,0
2017-07-25,24.899,24.951,24.895,24.895,4634,0
2017-07-26,24.901,24.911,24.813,24.813,46679,0
2017-07-27,24.812,24.812,24.732,24.812,20774,0
2017-07-28,24.761,24.761,24.722,24.722,643,0
2017-07-31,24.807,24.832,24.782,24.782,6047,0
2017-08-01,24.822,24.891,24.782,24.859,17736,0
2017-08-02,24.91,24.911,24.842,24.911,27177,0
2017-08-03,24.911,24.949,24.911,24.949,15638,0
2017-08-04,24.961,24.971,24.891,24.941,15645,0
2017-08-07,24.941,24.944,24.931,24.94,2355,0
2017-08-08,24.921,24.941,24.894,24.93,11276,0
2017-08-09,24.859,24.862,24.832,24.832,3375,0
2017-08-10,24.672,24.881,24.612,24.881,27043,0
2017-08-11,24.812,24.911,24.732,24.822,14222,0
2017-08-14,24.911,24.911,24.872,24.881,3239,0
2017-08-15,24.911,24.951,24.902,24.951,25148,0
2017-08-16,24.951,24.991,24.911,24.921,15578,0
2017-08-17,24.782,24.901,24.762,24.762,15183,0
2017-08-18,24.732,24.822,24.732,24.752,6487,0
2017-08-21,24.792,24.852,24.792,24.802,11038,0
2017-08-22,24.872,24.921,24.872,24.921,9054,0
2017-08-23,24.802,24.832,24.802,24.832,2220,0
2017-08-24,24.802,24.862,24.802,24.862,15904,0
2017-08-25,24.881,24.951,24.881,24.91,16466,0
2017-08-28,24.852,24.852,24.852,24.852,531,0
2017-08-29,24.842,24.991,24.842,24.951,16545,0
2017-08-30,24.96,24.96,24.96,24.96,101,0
2017-08-31,25.031,25.031,25.004,25.004,6186,0
2017-09-01,24.975,25.006,24.975,25.001,9281,0
2017-09-05,24.912,25.001,24.912,25.001,5044,0
2017-09-06,25.22,25.22,24.952,24.982,7562,0
2017-09-07,25.018,25.057,25.018,25.057,23577,0
2017-09-08,24.951,25.091,24.951,25.041,7195,0
2017-09-11,25.151,25.26,25.121,25.151,22536,0
2017-09-12,25.16,25.169,25.112,25.16,4497,0
2017-09-13,25.39,25.39,25.061,25.061,25491,0
2017-09-14,25.139,25.25,25.111,25.141,18024,0
2017-09-15,25.151,25.23,25.121,25.203,18034,0
2017-09-18,25.33,25.33,25.3,25.3,5226,0
2017-09-19,25.3,25.329,25.3,25.329,2385,0
2017-09-20,25.369,25.369,25.281,25.35,4931,0
2017-09-21,25.39,25.39,25.31,25.33,17581,0
2017-09-22,25.32,25.32,25.32,25.32,631,0
2017-09-25,25.449,25.508,25.449,25.469,6817,0
2017-09-26,25.5199,25.5199,25.42,25.43,12519,0
2017-09-27,25.43,25.43,25.39,25.39,139269,0
2017-09-28,25.43,25.46,25.3999,25.459,11656,0
2017-09-29,25.37,25.37,25.34,25.34,856,0
2017-10-02,25.32,25.39,25.3,25.37,3774,0
2017-10-03,25.32,25.46,25.32,25.4551,5895,0
2017-10-04,25.35,25.35,25.35,25.35,363,0
2017-10-05,25.34,25.34,25.34,25.34,1130,0
2017-10-06,25.35,25.35,25.281,25.3328,6687,0
2017-10-09,25.3999,25.3999,25.3564,25.36,3990,0
2017-10-10,25.3964,25.44,25.38,25.39,7600,0
2017-10-11,25.4118,25.48,25.4118,25.46,126664,0
2017-10-12,25.4617,25.49,25.4617,25.48,19539,0
2017-10-13,25.445,25.5076,25.445,25.4535,1870,0
2017-10-16,25.4999,25.5,25.45,25.45,2265,0
2017-10-17,25.481,25.52,25.48,25.48,5713,0
2017-10-18,25.21,25.51,25.21,25.51,4051,0
2017-10-19,25.455,25.465,25.445,25.45,5038,0
2017-10-20,25.46,25.5,25.44,25.49,25001,0
2017-10-23,25.56,25.58,25.53,25.53,3460,0
2017-10-24,25.49,25.49,25.47,25.47,628,0
2017-10-25,25.46,25.46,25.3837,25.41,10059,0
2017-10-26,25.4795,25.51,25.4632,25.51,1609,0
2017-10-27,25.5,25.5,25.4,25.4,4281,0
2017-10-30,25.44,25.45,25.39,25.39,10255,0
2017-10-31,25.459,25.459,25.4,25.41,6910,0
2017-11-01,25.5,25.5,25.33,25.33,31233,0
2017-11-02,25.351,25.47,25.3501,25.4672,5087,0
2017-11-03,25.51,25.559,25.46,25.46,9450,0
2017-11-06,25.4468,25.46,25.41,25.41,3940,0
2017-11-07,25.4103,25.42,25.361,25.38,5533,0
2017-11-08,25.46,25.51,25.42,25.45,13926,0
2017-11-09,25.365,25.4199,25.365,25.4,4400,0
2017-11-10,25.67,25.67,25.32,25.34,35967,0
2017-11-15,25.45,25.47,25.41,25.41,10300,0
2017-11-16,25.53,25.53,25.52,25.52,4300,0
2017-11-17,25.66,25.66,25.16,25.50,17200,0
2017-11-20,25.52,25.56,25.50,25.50,5600,0
2017-11-21,25.55,25.56,25.48,25.48,16900,0
2017-11-22,25.52,25.53,25.49,25.49,32500,0
2017-11-24,25.51,25.51,25.51,25.51,300,0
2017-11-27,25.50,25.54,25.50,25.54,1100,0
2017-11-28,25.57,25.67,25.56,25.67,38200,0
2017-11-29,25.74,25.76,25.71,25.72,23000,0
