Date,Open,High,Low,Close,Volume,OpenInt
2017-04-28,11.74,13.36,11.52,13.29,1599816,0
2017-05-01,13.49,13.8399,13.35,13.47,135730,0
2017-05-02,13.5,13.65,13.4892,13.57,53051,0
2017-05-03,13.57,13.57,13.3,13.47,31405,0
2017-05-04,13.5,13.5,13.3,13.4,41848,0
2017-05-05,13.3801,13.5,13,13.37,118531,0
2017-05-08,13.37,13.45,13.37,13.4,11626,0
2017-05-09,13.48,13.48,13.37,13.4,12433,0
2017-05-10,13.4,13.4,13.25,13.34,33783,0
2017-05-11,13.33,13.33,13.12,13.12,15991,0
2017-05-12,13.15,13.15,13.05,13.08,35748,0
2017-05-15,13,13.06,13,13.0252,73362,0
2017-05-16,13.03,13.1354,13.0299,13.03,19432,0
2017-05-17,13.09,13.1492,13,13.05,19909,0
2017-05-18,13.01,13.05,13,13.0284,29631,0
2017-05-19,13.03,13.05,13,13.05,60077,0
2017-05-22,13.003,13.08,13,13.06,33706,0
2017-05-23,13.1,13.1,13.01,13.08,25554,0
2017-05-24,13.1,13.1,13,13.04,12662,0
2017-05-25,13.04,13.05,13.01,13.05,48727,0
2017-05-26,13.05,13.1,13.016,13.05,18157,0
2017-05-30,13.15,13.15,13.03,13.036,23460,0
2017-05-31,13.1359,13.1359,13.0368,13.05,8614,0
2017-06-01,13.04,13.07,13.04,13.05,9788,0
2017-06-02,13.15,13.15,13.04,13.07,5353,0
2017-06-05,13.07,13.2,13.07,13.15,27044,0
2017-06-06,13.1499,13.71,13.11,13.45,44081,0
2017-06-07,13.54,13.54,13.2181,13.4,5735,0
2017-06-08,13.5042,13.59,13.5,13.56,9349,0
2017-06-09,13.69,13.76,13.614,13.75,14563,0
2017-06-12,13.774,15,13.774,14.96,39756,0
2017-06-13,14.9,14.9,14.01,14.68,44401,0
2017-06-14,14.3,14.9,14.25,14.89,25396,0
2017-06-15,14.75,14.75,14.27,14.27,17184,0
2017-06-16,14.2324,14.75,13.02,13.02,104922,0
2017-06-19,13.25,13.9,13.25,13.74,41333,0
2017-06-20,13.7,13.93,13.6247,13.73,4496,0
2017-06-21,13.8195,13.82,13.65,13.71,2112,0
2017-06-22,13.6,13.84,13.17,13.43,10749,0
2017-06-23,13.5625,14.47,13.5,14.19,19234,0
2017-06-26,14.11,14.11,13.52,13.55,12249,0
2017-06-27,13.72,13.96,13.71,13.71,576,0
2017-06-28,13.4622,13.8697,13.4622,13.47,2423,0
2017-06-30,13.53,13.53,13.53,13.53,100,0
2017-07-03,14,14,13.64,13.64,2584,0
2017-07-05,13.73,13.762,13.6,13.61,4360,0
2017-07-06,13.96,13.96,13.65,13.75,3364,0
2017-07-07,13.79,13.98,13.79,13.98,449,0
2017-07-10,14,14,13.73,13.73,2900,0
2017-07-11,13.58,13.59,13.34,13.34,6545,0
2017-07-12,13.65,13.8499,13.52,13.52,1953,0
2017-07-13,13.7,13.7,13.31,13.31,1161,0
2017-07-14,13.3,13.35,13.3,13.3,1861,0
2017-07-17,13.3,13.49,13.3,13.49,6888,0
2017-07-18,13.4185,13.4256,13.3799,13.4,2267,0
2017-07-19,13.4,13.4,13.3539,13.36,1921,0
2017-07-20,13.27,13.27,13.1599,13.1599,12567,0
2017-07-21,13.2288,13.37,13.1207,13.37,1525,0
2017-07-24,13.39,13.39,13.147,13.1968,4925,0
2017-07-25,13.3135,13.34,13.1,13.15,2188,0
2017-07-26,13.15,13.15,13.1074,13.1199,9112,0
2017-07-27,13.12,13.12,12.95,13.06,47100,0
2017-07-28,13.06,13.18,13.06,13.18,3178,0
2017-07-31,13,13.17,13,13.01,3014,0
2017-08-01,13.02,13.02,13,13.02,13024,0
2017-08-02,13,13.19,12.95,13.13,11521,0
2017-08-03,13.1644,13.1644,13,13.06,4832,0
2017-08-07,13.1,13.112,13.1,13.1,1894,0
2017-08-08,13.1297,13.19,13.1,13.15,2634,0
2017-08-09,13.18,13.18,13,13.1,5477,0
2017-08-10,13.09,13.09,12.85,12.851,7773,0
2017-08-11,12.9806,12.9806,12.9,12.95,5468,0
2017-08-14,12.99,12.99,12.9,12.9,5665,0
2017-08-15,12.88,12.8886,12.75,12.75,9857,0
2017-08-16,12.83,12.84,12.75,12.79,15734,0
2017-08-17,12.79,12.79,12.51,12.64,8071,0
2017-08-18,12.671,12.73,12.62,12.67,5300,0
2017-08-21,12.54,12.8,12.54,12.8,13830,0
2017-08-22,12.8,12.8,12.6713,12.7968,4504,0
2017-08-23,12.9608,12.98,12.8001,12.98,3253,0
2017-08-24,12.8806,12.98,12.809,12.96,3456,0
2017-08-25,12.8089,12.871,12.8,12.86,4626,0
2017-08-28,12.81,12.8989,12.81,12.86,2171,0
2017-08-29,12.79,12.79,12.55,12.58,11301,0
2017-08-30,12.59,12.59,12.5,12.54,17089,0
2017-08-31,12.5576,12.58,12.5,12.5,12006,0
2017-09-01,12.52,12.58,12.33,12.35,19073,0
2017-09-05,12.4,12.48,12.33,12.3668,6144,0
