Date,Open,High,Low,Close,Volume,OpenInt
2017-08-08,13,13,11.5,12.3,154596,0
2017-08-09,12.34,12.362,11.9,11.98,99678,0
2017-08-10,11.44,11.78,10.81,11.13,53668,0
2017-08-11,11.1,12.15,11.1,12.09,66061,0
2017-08-14,12.15,13.1052,12.1,12.2592,73993,0
2017-08-15,12.3,13.27,12.02,13.184,153414,0
2017-08-16,12.85,13.225,12.8001,12.8641,98473,0
2017-08-17,12.98,12.98,12.76,12.89,48111,0
2017-08-18,12.97,12.97,12.7883,12.9,53789,0
2017-08-21,12.9,12.91,12.7127,12.81,37044,0
2017-08-22,12.86,12.86,12.0644,12.5,48892,0
2017-08-23,12.6,12.7,12.23,12.54,25224,0
2017-08-24,12.5651,12.57,12.12,12.52,83222,0
2017-08-25,12.55,12.7511,12.2,12.5,110984,0
2017-08-28,12.32,12.52,12.3,12.37,64653,0
2017-08-29,12.34,12.48,12.2,12.34,61995,0
2017-08-30,12.4,12.49,12.27,12.39,74402,0
2017-08-31,12.46,12.47,12.39,12.4,56885,0
2017-09-01,12.46,12.46,12.3,12.35,54090,0
2017-09-05,12.3,12.38,12.25,12.32,65946,0
2017-09-06,12.36,13.4812,12.31,12.69,125923,0
2017-09-07,12.78,12.78,12.36,12.7,71428,0
2017-09-08,12.73,12.73,12.36,12.73,56941,0
2017-09-11,12.6,12.78,12.5,12.77,53384,0
2017-09-12,12.8,12.92,12.7,12.81,63610,0
2017-09-13,12.83,13.6492,12.787,13.62,179908,0
2017-09-14,13.72,13.8,13.56,13.7,107594,0
2017-09-15,13.79,14.26,13.77,14.26,170148,0
2017-09-18,14.2,14.72,14.15,14.72,172345,0
2017-09-19,14.73,15.06,14.7,15.02,171125,0
2017-09-20,15.16,15.16,14.55,15,166533,0
2017-09-21,15.09,15.11,14.85,15.04,134396,0
2017-09-22,15.0001,15.15,14.74,14.96,182020,0
2017-09-25,14.9999,16.63,14.99,15.98,214863,0
2017-09-26,16.23,18.9448,16.23,18.12,245936,0
2017-09-27,17.51,20.04,17.51,20.04,237601,0
2017-09-28,19.85,20.05,19.47,20.05,238654,0
2017-09-29,19.89,19.98,19.48,19.96,149314,0
2017-10-02,19.91,21.31,19.71,21.05,174944,0
2017-10-03,20.94,21.4,18.4569,20.85,173454,0
2017-10-04,21,23.27,19.45,23.2,315114,0
2017-10-05,23.02,23.25,19.98,23.11,292910,0
2017-10-06,22.76,24.75,22.03,22.9,169621,0
2017-10-09,23.01,23.98,22.54,23.67,223600,0
2017-10-10,23.55,23.84,22.5,23.51,243590,0
2017-10-11,23.45,23.6328,22.55,23.48,182856,0
2017-10-12,23.47,23.5999,22.1,22.8,154485,0
2017-10-13,22.71,23.01,22.4,22.55,83370,0
2017-10-16,22.73,22.95,22.2,22.9,148214,0
2017-10-17,22.98,22.98,22.36,22.46,130148,0
2017-10-18,22.46,30,21.016,28.9,335131,0
2017-10-19,29,30.63,25.52,29.205,290994,0
2017-10-20,29.1,30.1,27.7,29.51,294795,0
2017-10-23,29.51,32.9999,28.86,31.47,389185,0
2017-10-24,31.01,33.3999,30.49,32.11,374664,0
2017-10-25,31.72,33.67,31.5,33.01,466106,0
2017-10-26,33.2,38.41,33.2,37.35,444238,0
2017-10-27,37.86,41.8785,35.54,40.14,527146,0
2017-10-30,40.15,42.5,38,41.3,640589,0
2017-10-31,41.3,43.2995,39.13,41.4,594714,0
2017-11-01,41.35,41.36,30,30.2,664089,0
2017-11-02,33,37.89,33,37.89,221578,0
