Date,Open,High,Low,Close,Volume,OpenInt
2017-11-06,9.68,9.68,9.63,9.63,32582,0
2017-11-08,9.6,9.65,9.6,9.65,7000,0
2017-11-09,9.61,9.61,9.61,9.61,340618,0
2017-11-10,9.62,9.62,9.6,9.6,748300,0
2017-11-13,9.61,9.61,9.60,9.60,129500,0
2017-11-14,9.60,9.60,9.60,9.60,-,0
2017-11-15,9.61,9.61,9.61,9.61,20000,0
2017-11-16,9.61,9.61,9.61,9.61,5000,0
2017-11-17,9.61,9.61,9.61,9.61,30000,0
2017-11-20,9.61,9.61,9.61,9.61,6300,0
2017-11-21,9.65,9.65,9.65,9.65,600,0
2017-11-22,9.65,9.65,9.65,9.65,-,0
2017-11-24,9.65,9.65,9.65,9.65,-,0
2017-11-27,9.65,9.65,9.65,9.65,-,0
2017-11-28,9.65,9.65,9.65,9.65,-,0
2017-11-29,9.65,9.65,9.65,9.65,-,0
2017-11-30,9.62,9.65,9.62,9.65,300,0
2017-12-01,9.65,9.65,9.65,9.65,-,0
2017-12-04,9.60,9.65,9.60,9.65,16900,0
2017-12-05,9.64,9.65,9.62,9.65,2200,0
2017-12-06,9.65,9.65,9.63,9.63,756400,0
2017-12-07,9.63,9.63,9.63,9.63,620000,0
2017-12-08,9.66,9.66,9.66,9.66,200,0
2017-12-11,9.61,9.66,9.59,9.62,24400,0
2017-12-12,9.62,9.62,9.62,9.62,-,0
2017-12-13,9.62,9.62,9.60,9.60,17100,0
2017-12-14,9.60,9.60,9.60,9.60,-,0
2017-12-15,9.65,9.65,9.62,9.65,35900,0
2017-12-18,9.65,9.65,9.65,9.65,-,0
2017-12-19,9.62,9.63,9.60,9.61,20700,0
2017-12-20,9.62,9.62,9.62,9.62,16300,0
2017-12-21,9.63,9.63,9.62,9.62,5400,0
2017-12-22,9.62,9.62,9.62,9.62,-,0
2017-12-26,9.62,9.62,9.62,9.62,-,0
2017-12-27,9.65,9.65,9.59,9.59,1900,0
2017-12-28,9.59,9.59,9.59,9.59,-,0
2017-12-29,9.62,9.65,9.62,9.65,5300,0
2018-01-02,9.63,9.67,9.63,9.63,251200,0
2018-01-03,9.63,9.63,9.63,9.63,87500,0
2018-01-04,9.67,9.67,9.63,9.63,51600,0
2018-01-05,9.67,9.67,9.67,9.67,1800,0
2018-01-08,9.67,9.67,9.63,9.65,110800,0
2018-01-09,9.64,9.64,9.64,9.64,600,0
2018-01-10,9.65,9.67,9.64,9.64,153300,0
2018-01-11,9.67,9.67,9.63,9.66,1490200,0
2018-01-12,9.67,9.67,9.62,9.66,101000,0
2018-01-16,9.65,9.65,9.65,9.65,300,0
2018-01-17,9.67,9.67,9.65,9.65,30600,0
2018-01-18,9.65,9.65,9.65,9.65,600,0
2018-01-19,9.67,9.68,9.66,9.66,27700,0
2018-01-22,9.67,9.67,9.67,9.67,3600,0
2018-01-23,9.67,9.67,9.67,9.67,14100,0
2018-01-24,9.66,9.66,9.66,9.66,200,0
2018-01-25,9.63,9.63,9.62,9.62,87000,0
2018-01-26,9.64,9.64,9.64,9.64,9200,0
2018-01-29,9.64,9.64,9.64,9.64,49900,0
2018-01-30,9.64,9.64,9.64,9.64,24000,0
2018-01-31,9.64,9.64,9.64,9.64,260300,0
2018-02-01,9.67,9.68,9.67,9.68,15500,0
2018-02-02,9.68,9.69,9.67,9.69,87700,0
2018-02-05,9.69,9.71,9.69,9.71,218200,0
2018-02-06,9.70,9.72,9.68,9.70,1073600,0
2018-02-07,9.71,9.71,9.69,9.69,162000,0
2018-02-08,9.70,9.70,9.70,9.70,100,0
2018-02-09,9.68,9.69,9.65,9.69,6400,0
2018-02-12,9.70,9.70,9.65,9.65,1500,0
2018-02-13,9.65,9.65,9.65,9.65,-,0
2018-02-14,9.70,9.70,9.69,9.70,42700,0
2018-02-15,9.70,9.74,9.70,9.73,487800,0
2018-02-16,9.71,9.73,9.70,9.73,6300,0
2018-02-20,9.71,9.73,9.71,9.73,3000,0
2018-02-21,9.72,9.73,9.71,9.73,17300,0
2018-02-22,9.74,9.74,9.74,9.74,300,0
2018-02-23,9.74,9.74,9.74,9.74,-,0
2018-02-26,9.72,9.75,9.72,9.75,926200,0
2018-02-27,9.74,9.78,9.65,9.76,10800,0
2018-02-28,9.78,9.78,9.71,9.76,800,0
2018-03-01,9.78,9.78,9.75,9.75,500,0
2018-03-02,9.71,9.77,9.71,9.77,2900,0
2018-03-05,9.77,9.77,9.77,9.77,-,0
2018-03-06,9.78,9.78,9.75,9.75,1300,0
2018-03-07,9.73,9.77,9.73,9.77,520600,0
2018-03-08,9.77,9.78,9.77,9.77,15700,0
2018-03-09,9.70,9.70,9.70,9.70,200000,0
2018-03-12,9.70,9.70,9.70,9.70,-,0
2018-03-13,9.77,9.79,9.77,9.79,1400,0
