Date,Open,High,Low,Close,Volume,OpenInt
2017-08-15,9.7,9.7,9.7,9.7,10082,0
2017-08-17,9.68,9.68,9.68,9.68,575000,0
2017-08-21,9.64,9.68,9.64,9.68,4400,0
2017-08-24,9.65,9.68,9.65,9.68,60718,0
2017-08-28,9.7,9.7,9.7,9.7,200,0
2017-08-30,9.7,9.7,9.7,9.7,105000,0
2017-08-31,9.7,9.74,9.7,9.74,5630,0
2017-09-06,9.78,9.78,9.78,9.78,300,0
2017-09-08,9.72,9.78,9.72,9.78,12300,0
2017-09-11,9.7,9.78,9.699,9.78,14100,0
2017-09-18,9.7,9.78,9.7,9.78,18300,0
2017-09-25,9.72,9.77,9.72,9.77,3595,0
2017-09-26,9.7,9.75,9.7,9.75,3370,0
2017-09-27,9.75,9.75,9.75,9.75,7200,0
2017-10-05,9.72,9.73,9.72,9.72,401100,0
2017-10-09,9.55,9.74,9.55,9.74,42700,0
2017-10-10,9.74,9.76,9.74,9.76,400,0
2017-10-11,9.75,9.76,9.75,9.76,11000,0
2017-10-16,9.76,9.9,9.76,9.85,15249,0
2017-10-17,9.69,9.7505,9.69,9.75,45017,0
2017-10-20,9.7499,9.7499,9.7499,9.7499,503,0
2017-10-23,9.75,9.75,9.75,9.75,500,0
2017-10-26,9.73,9.73,9.73,9.73,50000,0
2017-11-07,9.7,9.72,9.69,9.69,48700,0
2017-11-08,9.71,9.72,9.71,9.72,100301,0
2017-11-09,9.71,9.71,9.71,9.71,24300,0
2017-11-13,9.72,9.72,9.72,9.72,100,0
2017-11-14,9.72,9.72,9.72,9.72,-,0
2017-11-15,9.72,9.72,9.72,9.72,-,0
2017-11-16,9.72,9.72,9.72,9.72,5700,0
2017-11-17,9.72,9.72,9.72,9.72,-,0
2017-11-20,9.72,9.72,9.72,9.72,-,0
2017-11-21,9.72,9.72,9.72,9.72,-,0
2017-11-22,9.72,9.72,9.72,9.72,-,0
2017-11-24,9.72,9.72,9.72,9.72,-,0
2017-11-27,9.72,9.72,9.72,9.72,-,0
2017-11-28,9.72,9.72,9.72,9.72,-,0
2017-11-29,9.72,9.72,9.72,9.72,100,0
2017-11-30,9.72,9.72,9.72,9.72,-,0
2017-12-01,9.72,9.72,9.72,9.72,-,0
2017-12-04,9.72,9.72,9.72,9.72,-,0
2017-12-05,9.72,9.72,9.72,9.72,23300,0
2017-12-06,9.72,9.72,9.72,9.72,100,0
2017-12-07,9.73,9.73,9.73,9.73,1000,0
2017-12-08,9.73,9.73,9.73,9.73,-,0
2017-12-11,9.73,9.77,9.73,9.77,11800,0
2017-12-12,9.77,9.77,9.77,9.77,1100,0
2017-12-13,9.77,9.77,9.77,9.77,500,0
2017-12-14,9.77,9.77,9.77,9.77,-,0
2017-12-15,9.75,9.75,9.74,9.74,1100,0
2017-12-18,9.74,9.74,9.74,9.74,-,0
2017-12-19,9.74,9.74,9.74,9.74,-,0
2017-12-20,9.74,9.74,9.74,9.74,-,0
2017-12-21,9.74,9.74,9.74,9.74,-,0
2017-12-22,9.74,9.74,9.74,9.74,-,0
2017-12-26,9.74,9.74,9.74,9.74,-,0
2017-12-27,9.73,9.75,9.72,9.75,300,0
2017-12-28,9.75,9.75,9.75,9.75,-,0
2017-12-29,9.75,9.75,9.75,9.75,-,0
2018-01-02,9.75,9.75,9.75,9.75,-,0
2018-01-03,9.74,9.76,9.73,9.75,1690700,0
2018-01-04,9.75,9.76,9.75,9.76,261100,0
2018-01-05,9.76,9.76,9.76,9.76,-,0
2018-01-08,9.76,9.76,9.76,9.76,300100,0
2018-01-09,9.76,9.77,9.76,9.77,700,0
2018-01-10,9.77,9.77,9.77,9.77,-,0
2018-01-11,9.77,9.77,9.77,9.77,-,0
2018-01-12,9.77,9.77,9.77,9.77,-,0
2018-01-16,9.77,9.77,9.77,9.77,-,0
2018-01-17,9.77,9.77,9.77,9.77,-,0
2018-01-18,9.77,9.77,9.77,9.77,-,0
2018-01-19,9.73,9.77,9.73,9.77,1700,0
2018-01-22,9.74,9.75,9.74,9.75,700,0
2018-01-23,9.77,9.77,9.77,9.77,1500,0
2018-01-24,9.77,9.77,9.77,9.77,3100,0
2018-01-25,9.77,9.78,9.77,9.78,70200,0
2018-01-26,9.78,9.78,9.78,9.78,-,0
2018-01-29,9.78,9.78,9.78,9.78,-,0
2018-01-30,9.78,9.78,9.78,9.78,-,0
2018-01-31,9.78,9.78,9.78,9.78,-,0
2018-02-01,9.78,9.78,9.78,9.78,-,0
2018-02-02,9.78,9.78,9.78,9.78,-,0
2018-02-05,9.78,9.78,9.78,9.78,-,0
2018-02-06,9.77,9.77,9.76,9.77,6400,0
2018-02-07,9.75,9.76,9.74,9.76,67600,0
2018-02-08,9.76,9.76,9.76,9.76,100000,0
2018-02-09,9.76,9.76,9.76,9.76,-,0
2018-02-12,9.75,9.76,9.74,9.76,156100,0
2018-02-13,9.75,9.76,9.73,9.75,102300,0
2018-02-14,9.77,9.77,9.77,9.77,300,0
2018-02-15,9.72,9.73,9.72,9.73,200,0
2018-02-16,9.76,9.76,9.76,9.76,50000,0
2018-02-20,9.76,9.76,9.76,9.76,-,0
2018-02-21,9.77,9.80,9.76,9.79,49200,0
2018-02-22,9.79,9.81,9.79,9.79,120400,0
2018-02-23,9.79,9.79,9.79,9.79,400,0
2018-02-26,9.78,9.83,9.78,9.82,820900,0
2018-02-27,9.82,9.82,9.82,9.82,-,0
2018-02-28,9.82,9.82,9.82,9.82,-,0
2018-03-01,9.82,9.82,9.82,9.82,2500,0
2018-03-02,9.82,9.82,9.82,9.82,-,0
2018-03-05,9.80,9.83,9.80,9.81,1400,0
2018-03-06,9.80,9.83,9.80,9.83,7700,0
2018-03-07,9.82,9.84,9.82,9.84,4700,0
2018-03-08,9.84,9.84,9.82,9.82,1900,0
2018-03-09,9.82,9.84,9.82,9.84,7400,0
2018-03-12,9.84,9.84,9.84,9.84,-,0
2018-03-13,9.85,9.85,9.85,9.85,200,0
2018-03-14,9.89,9.89,9.85,9.85,2900,0
2018-03-15,9.85,9.85,9.85,9.85,-,0
2018-03-16,9.85,9.85,9.85,9.85,-,0
2018-03-19,9.84,9.85,9.84,9.85,1100,0
2018-03-20,9.85,9.85,9.85,9.85,-,0
2018-03-21,9.85,9.85,9.85,9.85,-,0
2018-03-22,9.84,9.85,9.84,9.85,500,0
2018-03-23,9.86,9.86,9.86,9.86,200,0
2018-03-26,9.85,9.87,9.85,9.86,2200,0
2018-03-27,9.95,9.95,9.87,9.87,2000,0
2018-03-28,9.87,9.87,9.87,9.87,-,0
2018-03-29,9.87,9.87,9.87,9.87,150000,0
2018-04-02,9.87,9.87,9.87,9.87,-,0
2018-04-03,9.87,9.87,9.87,9.87,-,0
2018-04-04,9.87,9.87,9.87,9.87,-,0
2018-04-05,9.89,9.89,9.89,9.89,400,0
2018-04-06,9.89,9.92,9.89,9.90,11600,0
2018-04-06,9.89,9.92,9.89,9.90,11612,0
