Date,Open,High,Low,Close,Volume,OpenInt
2017-07-19,4.3128,4.5,4.3128,4.3128,2920,0
2017-07-20,4.35,4.6,4.2999,4.357,15290,0
2017-07-21,4.417,4.44,4.3554,4.3554,9915,0
2017-07-24,4.36,4.36,4.3,4.3,4122,0
2017-07-25,4.3556,4.3556,4.31,4.31,3805,0
2017-07-26,4.35,4.35,4.3,4.303,4879,0
2017-07-27,4.35,4.38,4.3001,4.38,1297,0
2017-07-28,4.36,4.38,4.36,4.38,4423,0
2017-07-31,4.3672,4.3673,4.25,4.35,8398,0
2017-08-01,4.264,4.264,4.12,4.1699,6150,0
2017-08-02,4.2,4.2035,4.1,4.1364,2101,0
2017-08-03,4.24,4.24,4,4.14,6908,0
2017-08-04,4.1572,4.24,4.1572,4.24,600,0
2017-08-07,4.4,4.6,4.4,4.5602,4677,0
2017-08-08,4.54,4.599,4.5001,4.59,4954,0
2017-08-09,4.523,4.56,4.2318,4.56,4471,0
2017-08-10,4.1,4.5,4.1,4.48,2300,0
2017-08-11,4.2,4.54,4.2,4.49,2050,0
2017-08-14,4.56,4.56,4.2813,4.56,8722,0
2017-08-15,4.58,4.58,4.36,4.56,5583,0
2017-08-16,4.56,4.56,4.56,4.56,646,0
2017-08-17,4.41,4.56,4.41,4.55,420,0
2017-08-18,4.56,4.56,4.56,4.56,527,0
2017-08-21,4.58,4.58,4.433,4.56,8678,0
2017-08-22,4.58,4.58,4.376,4.56,4656,0
2017-08-23,4.56,4.56,4.536,4.536,754,0
2017-08-24,4.58,4.58,4.2,4.4,32173,0
2017-08-25,4.349,4.4,4.2343,4.4,26457,0
2017-08-28,4.36,4.4,4.32,4.4,8872,0
2017-08-29,4.2174,4.45,4.2174,4.45,4867,0
2017-08-30,4.45,4.5,4.38,4.5,4765,0
2017-08-31,4.37,4.55,4.23,4.5,55367,0
2017-09-01,4.46,4.46,4.4,4.46,1134,0
2017-09-05,4.35,4.55,4.35,4.52,29402,0
2017-09-06,4.35,4.5,4.35,4.48,8221,0
2017-09-07,4.4945,4.5,4.35,4.5,3144,0
2017-09-08,4.4159,4.43,4.35,4.37,3751,0
