Date,Open,High,Low,Close,Volume,OpenInt
2017-04-05,25.287,25.2892,25.287,25.2892,200,0
2017-04-06,25.3,25.31,25.3,25.305,5010,0
2017-04-10,25.5799,25.5799,25.31,25.31,376,0
2017-04-12,25.47,25.57,25.47,25.57,1675,0
2017-04-13,25.48,25.48,25.43,25.4425,12962,0
2017-04-17,25.499,25.499,25.49,25.49,1295,0
2017-04-18,25.35,25.35,25.3298,25.3298,1175,0
2017-04-19,25.34,25.34,25.2002,25.2002,1471,0
2017-04-20,25.0712,25.0712,25.0712,25.0712,140,0
2017-04-21,25,25,24.95,24.95,235,0
2017-04-24,24.9251,24.95,24.8822,24.92,2662,0
2017-04-25,24.82,24.95,24.82,24.82,23432,0
2017-04-26,24.84,24.89,24.79,24.8,825,0
2017-04-27,24.62,24.62,24.62,24.62,1070,0
2017-05-01,24.6576,24.6576,24.6576,24.6576,100,0
2017-05-08,24.1344,24.1344,24.0977,24.0977,900,0
2017-05-09,24.13,24.16,24.097,24.097,3557,0
2017-05-11,23.988,23.988,23.988,23.988,100,0
2017-05-12,24.2,24.33,24.2,24.2879,564,0
2017-05-16,24.4456,24.4456,24.4335,24.4335,277,0
2017-05-17,24.5455,24.5455,24.5455,24.5455,200,0
2017-05-18,24.4782,24.4782,24.4782,24.4782,115,0
2017-05-19,24.5,24.5458,24.5,24.5458,1223,0
2017-05-22,24.4254,24.4254,24.4254,24.4254,100,0
2017-05-23,24.5456,24.5456,24.5456,24.5456,300,0
2017-05-24,24.55,24.6299,24.55,24.5628,907,0
2017-05-26,24.5398,24.5398,24.5398,24.5398,200,0
2017-05-30,24.459,24.459,24.459,24.459,197,0
2017-05-31,24.5497,24.5497,24.5497,24.5497,202,0
2017-06-01,24.6483,24.6483,24.6483,24.6483,1010,0
2017-06-02,24.49,24.49,24.49,24.49,200,0
2017-06-05,24.7399,24.7399,24.7399,24.7399,155,0
2017-06-06,24.82,24.8694,24.81,24.8694,1875,0
2017-06-08,24.725,24.725,24.725,24.725,390,0
2017-06-14,24.27,24.27,24.27,24.27,121,0
2017-06-16,24.3786,24.3786,24.3786,24.3786,226,0
2017-06-20,24.068,24.068,24.068,24.068,200,0
2017-06-23,25.28,25.28,24.7936,24.7936,200,0
2017-06-26,23.9888,23.9888,23.9187,23.9187,360,0
2017-06-27,24.11,24.11,24.0201,24.0201,1860,0
2017-06-28,25.16,25.2599,25.16,25.2599,700,0
2017-06-29,24.14,24.14,24.0876,24.0876,516,0
2017-06-30,24.12,24.12,24.0985,24.0985,250,0
2017-07-03,23.9099,23.9099,23.9099,23.9099,100,0
2017-07-05,23.8,23.8,23.71,23.71,300,0
2017-07-06,23.9099,23.95,23.888,23.888,1409,0
2017-07-10,23.7621,23.7621,23.7621,23.7621,417,0
