Date,Open,High,Low,Close,Volume,OpenInt
2017-05-17,25.109,25.109,24.41,24.42,43364,0
2017-05-18,24.47,24.51,24.434,24.47,13457,0
2017-05-19,24.609,24.624,24.559,24.619,1251772,0
2017-05-22,24.729,24.739,24.714,24.739,10537,0
2017-05-23,24.729,24.866,24.729,24.859,11120,0
2017-05-24,24.919,24.929,24.829,24.829,10976,0
2017-05-25,24.959,24.959,24.739,24.849,10317,0
2017-05-26,24.709,24.828,24.709,24.819,11329,0
2017-05-30,24.759,24.759,24.66,24.666,17722,0
2017-05-31,25.558,25.558,24.5,24.639,13237,0
2017-06-01,24.799,25.06,24.789,25.042,57689,0
2017-06-02,25.218,25.492,25.189,25.318,21738,0
2017-06-05,26.167,26.167,25.099,25.099,17399,0
2017-06-06,24.949,25.062,24.909,24.979,35091,0
2017-06-07,24.974,25.039,24.919,24.979,16081,0
2017-06-08,25.032,25.524,25.032,25.446,83523,0
2017-06-09,25.568,25.788,25.568,25.648,33471,0
2017-06-12,25.758,25.908,25.585,25.588,39937,0
2017-06-13,25.708,25.938,25.708,25.748,24727,0
2017-06-14,25.978,25.978,25.518,25.578,22985,0
2017-06-15,25.578,25.668,25.388,25.438,14134,0
2017-06-16,25.288,25.368,25.178,25.278,49349,0
2017-06-19,25.357,25.448,25.357,25.448,13352,0
2017-06-20,25.288,25.328,25.159,25.193,1284529,0
2017-06-21,25.152,25.281,24.872,24.972,45543,0
2017-06-22,24.963,25.181,24.692,24.982,36183,0
2017-06-23,25.002,25.201,24.982,25.181,48579,0
2017-06-26,25.281,25.371,25.122,25.351,15378,0
2017-06-27,25.441,25.471,25.142,25.142,36739,0
2017-06-28,25.591,25.591,25.311,25.567,48691,0
2017-06-29,25.801,25.801,25.17,25.445,21523,0
2017-06-30,25.419,25.531,25.391,25.461,16052,0
2017-07-03,25.751,25.791,25.551,25.601,28679,0
2017-07-05,25.401,25.531,25.319,25.531,20771,0
2017-07-06,25.471,25.471,25.201,25.201,33669,0
2017-07-07,25.431,25.551,25.261,25.551,27265,0
2017-07-10,25.521,25.591,25.361,25.451,18937,0
2017-07-11,25.402,25.461,25.402,25.421,120902,0
2017-07-12,25.771,25.821,25.525,25.591,29140,0
2017-07-13,25.601,25.671,25.512,25.671,925125,0
2017-07-14,25.631,25.771,25.606,25.691,28211,0
2017-07-17,25.631,25.841,25.616,25.771,26752,0
2017-07-18,25.871,25.871,25.592,25.711,47938,0
2017-07-19,25.891,25.951,25.861,25.941,15432,0
2017-07-20,25.943,25.951,25.839,25.94,17517,0
2017-07-21,25.951,25.951,25.701,25.701,19946,0
2017-07-24,25.631,25.741,25.597,25.741,18800,0
2017-07-25,25.861,26.021,25.861,26.001,17458,0
2017-07-26,26.19,26.19,25.781,25.811,28957,0
2017-07-27,25.771,25.911,25.591,25.618,20922,0
2017-07-28,25.701,25.701,25.431,25.431,32107,0
2017-07-31,25.521,25.601,25.411,25.471,66831,0
2017-08-01,25.521,25.561,25.371,25.561,32064,0
2017-08-02,25.671,25.671,25.201,25.291,34342,0
2017-08-03,25.471,25.471,25.038,25.055,45601,0
2017-08-04,25.145,25.251,25.104,25.231,34402,0
2017-08-07,25.181,25.268,25.122,25.186,22950,0
2017-08-08,25.671,25.671,25.012,25.082,35491,0
2017-08-09,25.231,25.231,24.642,24.662,596169,0
2017-08-10,24.852,24.852,24.392,24.422,77198,0
2017-08-11,24.462,24.462,24.292,24.366,28097,0
2017-08-14,24.667,24.807,24.632,24.772,20850,0
2017-08-15,24.747,24.757,24.542,24.572,78363,0
