Date,Open,High,Low,Close,Volume,OpenInt
2017-02-08,25.417,25.417,25.402,25.402,303,0
2017-02-09,25.402,25.402,25.402,25.402,0,0
2017-02-10,25.402,25.402,25.402,25.402,0,0
2017-02-13,25.887,25.887,25.887,25.887,809,0
2017-02-14,25.887,25.887,25.887,25.887,0,0
2017-02-15,25.946,25.946,25.946,25.946,809,0
2017-02-16,25.946,25.946,25.946,25.946,0,0
2017-02-17,25.807,25.807,25.805,25.805,202,0
2017-02-21,25.805,25.805,25.805,25.805,0,0
2017-02-22,25.805,25.805,25.805,25.805,0,0
2017-02-23,25.805,25.805,25.805,25.805,0,0
2017-02-24,25.738,25.738,25.738,25.738,0,0
2017-02-27,25.768,25.768,25.768,25.768,101,0
2017-02-28,25.768,25.768,25.768,25.768,0,0
2017-03-01,25.768,25.768,25.768,25.768,0,0
2017-03-02,25.768,25.768,25.768,25.768,0,0
2017-03-03,26.104,26.104,26.104,26.104,613,0
2017-03-06,26.104,26.104,26.104,26.104,0,0
2017-03-07,26.104,26.104,26.104,26.104,0,0
2017-03-08,26.104,26.104,26.104,26.104,0,0
2017-03-09,26.075,26.075,26.075,26.075,181,0
2017-03-10,26.075,26.075,26.075,26.075,0,0
2017-03-13,26.233,26.233,26.233,26.233,1379,0
2017-03-14,26.233,26.233,26.233,26.233,0,0
2017-03-15,26.233,26.233,26.233,26.233,0,0
2017-03-16,26.233,26.233,26.233,26.233,0,0
2017-03-17,26.233,26.233,26.233,26.233,0,0
2017-03-20,26.233,26.233,26.233,26.233,0,0
2017-03-21,26.233,26.233,26.233,26.233,0,0
2017-03-22,26.233,26.233,26.233,26.233,0,0
2017-03-23,26.233,26.233,26.233,26.233,0,0
2017-03-24,26.233,26.233,26.233,26.233,0,0
2017-03-27,26.965,26.965,26.965,26.965,101,0
2017-03-28,26.371,26.371,26.371,26.371,105,0
2017-03-29,26.371,26.371,26.371,26.371,0,0
2017-03-30,26.173,26.173,26.173,26.173,0,0
2017-04-05,26.173,26.173,26.173,26.173,0,0
2017-04-06,26.173,26.173,26.173,26.173,0,0
2017-04-07,26.173,26.173,26.173,26.173,0,0
2017-04-10,26.173,26.173,26.173,26.173,0,0
2017-04-11,26.173,26.173,26.173,26.173,0,0
2017-04-12,26.173,26.173,26.173,26.173,0,0
2017-04-13,26.173,26.173,26.173,26.173,0,0
2017-04-17,26.237,26.237,26.237,26.237,165,0
2017-04-18,26.237,26.237,26.237,26.237,0,0
2017-04-19,26.237,26.237,26.237,26.237,0,0
2017-04-20,26.237,26.237,26.237,26.237,0,0
2017-04-21,26.237,26.237,26.237,26.237,0,0
2017-04-24,26.237,26.237,26.237,26.237,0,0
2017-04-25,26.237,26.237,26.237,26.237,0,0
2017-04-26,26.237,26.237,26.237,26.237,0,0
2017-04-27,26.237,26.237,26.237,26.237,0,0
2017-04-28,27.148,27.153,27.148,27.153,3639,0
2017-05-01,27.153,27.153,27.153,27.153,0,0
2017-05-02,27.43,27.43,27.43,27.43,369,0
2017-05-03,27.43,27.43,27.43,27.43,0,0
2017-05-04,27.43,27.43,27.43,27.43,0,0
2017-05-05,27.43,27.43,27.43,27.43,11,0
2017-05-08,27.43,27.43,27.43,27.43,0,0
2017-05-09,27.845,27.845,27.845,27.845,102,0
2017-05-10,27.895,27.895,27.895,27.895,0,0
2017-05-11,27.895,27.895,27.895,27.895,0,0
2017-05-12,27.895,27.895,27.895,27.895,0,0
2017-05-15,27.766,27.766,27.766,27.766,0,0
2017-05-16,27.766,27.766,27.766,27.766,0,0
2017-05-17,27.766,27.766,27.766,27.766,0,0
2017-05-18,27.766,27.766,27.766,27.766,0,0
2017-05-19,27.598,27.598,27.598,27.598,202,0
2017-05-22,27.509,27.628,27.509,27.625,1748,0
2017-05-23,27.786,27.786,27.772,27.772,1326,0
2017-05-24,27.772,27.772,27.772,27.772,0,0
2017-05-25,27.772,27.772,27.772,27.772,0,0
2017-05-26,27.772,27.772,27.772,27.772,0,0
2017-05-30,27.806,27.835,27.806,27.835,688,0
2017-05-31,27.825,27.825,27.825,27.825,113,0
2017-06-01,27.825,27.825,27.825,27.825,0,0
2017-06-02,27.825,27.825,27.825,27.825,0,0
2017-06-05,27.825,27.825,27.825,27.825,0,0
2017-06-06,27.825,27.825,27.825,27.825,0,0
2017-06-07,27.825,27.825,27.825,27.825,0,0
2017-06-08,27.964,27.964,27.964,27.964,404,0
2017-06-09,27.964,27.964,27.964,27.964,0,0
2017-06-12,27.964,27.964,27.964,27.964,0,0
2017-06-13,27.964,27.964,27.964,27.964,0,0
2017-06-14,27.964,27.964,27.964,27.964,0,0
2017-06-15,27.964,27.964,27.964,27.964,0,0
2017-06-16,27.964,27.964,27.964,27.964,0,0
2017-06-19,27.964,27.964,27.964,27.964,0,0
2017-06-20,28.083,28.083,28.043,28.043,805,0
2017-06-21,28.043,28.043,28.043,28.043,0,0
2017-06-22,28.043,28.043,28.043,28.043,0,0
2017-06-23,28.043,28.043,28.043,28.043,0,0
2017-06-26,28.043,28.043,28.043,28.043,0,0
2017-06-27,28.043,28.043,28.043,28.043,0,0
2017-06-28,28.043,28.043,28.043,28.043,0,0
2017-06-29,27.49,27.49,27.49,27.49,150,0
2017-06-30,27.49,27.49,27.49,27.49,0,0
2017-07-03,27.49,27.49,27.49,27.49,0,0
2017-07-05,27.49,27.49,27.49,27.49,0,0
2017-07-06,27.49,27.49,27.49,27.49,0,0
2017-07-07,27.58,27.58,27.58,27.58,0,0
2017-07-10,27.58,27.58,27.58,27.58,0,0
2017-07-11,27.58,27.58,27.58,27.58,0,0
2017-07-12,27.58,27.58,27.58,27.58,0,0
2017-07-13,27.58,27.58,27.58,27.58,0,0
2017-07-14,27.58,27.58,27.58,27.58,0,0
2017-07-17,27.58,27.58,27.58,27.58,0,0
2017-07-18,27.58,27.58,27.58,27.58,0,0
2017-07-19,27.58,27.58,27.58,27.58,0,0
2017-07-20,28.1969,28.1969,28.1969,28.1969,142,0
2017-07-21,27.98,27.98,27.98,27.98,1676,0
2017-07-24,27.98,27.98,27.98,27.98,0,0
2017-07-25,28.0599,28.0698,28.0498,28.0698,427,0
2017-07-26,28.0698,28.0698,28.0698,28.0698,0,0
2017-07-27,28.11,28.11,28.11,28.11,122,0
2017-07-28,27.9504,27.9504,27.9504,27.9504,687,0
2017-07-31,27.9504,27.9504,27.9504,27.9504,0,0
2017-08-01,28.17,28.17,28.155,28.155,305,0
2017-08-02,28.155,28.155,28.155,28.155,0,0
2017-08-03,28.135,28.14,28.125,28.14,691,0
2017-08-04,28.14,28.14,28.14,28.14,0,0
2017-08-07,28.41,28.41,28.41,28.41,193,0
