Date,Open,High,Low,Close,Volume,OpenInt
2017-09-28,20.05,20.53,16.11,18,5787807,0
2017-09-29,18.5,19.95,17.66,18.99,891533,0
2017-10-02,19.18,20.34,18.9107,19.73,585174,0
2017-10-03,19.52,19.9316,18.821,19.71,141679,0
2017-10-04,19.67,20.87,19.231,20.25,182961,0
2017-10-05,20.25,22.44,20.25,22.17,473165,0
2017-10-06,22.05,22.97,21.8,22.91,158593,0
2017-10-09,23.45,24.2,22.65,23.31,250546,0
2017-10-10,23.14,23.96,22.15,22.9,65479,0
2017-10-11,22.97,23.81,22.06,22.38,147365,0
2017-10-12,22.29,23,21.87,22.88,181633,0
2017-10-13,22.72,24.3,22.56,24.2,340964,0
2017-10-16,24.01,24.5,23.31,24,216317,0
2017-10-17,23.76,23.9,21.03,21.43,181842,0
2017-10-18,21.38,22.4,19.29,19.96,141291,0
2017-10-19,19.93,20,18.8,19.84,102992,0
2017-10-20,19.37,20.785,19.039,20.15,139324,0
2017-10-23,20.94,22.45,20.12,20.79,281970,0
2017-10-24,20.97,21.3999,19.5,20.35,118718,0
2017-10-25,20.4,20.4,18.57,19.32,118439,0
2017-10-26,19.53,19.72,18.95,19.4,132882,0
2017-10-27,19.82,19.82,18.03,18.64,272087,0
2017-10-30,18.65,19.59,18.6026,19.09,387910,0
2017-10-31,18.94,19.43,18.835,19.19,94859,0
2017-11-01,19.23,19.85,17.3636,19.08,141301,0
2017-11-02,18.85,19.32,17.315,17.96,211450,0
2017-11-03,17.88,19.22,17.51,19.01,118563,0
2017-11-06,19.31,19.31,18.38,18.96,229747,0
2017-11-07,18.86,18.86,17.5,18.05,77538,0
2017-11-08,17.76,17.76,16.76,17,284016,0
2017-11-09,16.99,17,16.47,16.6,169867,0
2017-11-10,16.58,17.51,16.2,17.4,155892,0
2017-11-13,17.25,18.01,16.79,17.67,111700,0
2017-11-14,17.01,18.05,16.93,17.51,131200,0
2017-11-15,17.50,18.35,16.89,17.85,129700,0
2017-11-16,17.87,18.25,17.33,17.77,169900,0
2017-11-17,18.07,20.51,17.99,19.60,154000,0
2017-11-20,19.39,21.14,19.36,20.82,187400,0
2017-11-21,21.01,21.82,20.72,21.07,161100,0
2017-11-22,21.18,21.62,20.09,20.47,86400,0
2017-11-24,20.37,20.81,20.00,20.09,21600,0
2017-11-27,20.04,20.50,19.79,20.05,75300,0
2017-11-28,20.66,20.90,19.81,20.36,42800,0
2017-11-29,20.55,20.55,18.71,19.24,77300,0
2017-11-30,19.12,20.59,18.51,19.86,87700,0
2017-12-01,19.63,20.08,18.77,19.55,71000,0
2017-12-04,19.70,19.70,17.63,17.77,121100,0
2017-12-05,17.83,18.49,17.52,17.89,87200,0
2017-12-06,18.00,18.28,17.00,17.07,107600,0
2017-12-07,16.98,18.23,16.98,17.88,152300,0
2017-12-08,17.65,18.75,17.10,18.21,141000,0
2017-12-11,18.20,19.36,16.75,16.83,203500,0
2017-12-12,16.99,18.06,16.25,16.60,155800,0
2017-12-13,16.46,18.01,16.32,17.82,262000,0
2017-12-14,17.73,18.05,16.40,16.75,298100,0
2017-12-15,16.57,17.10,15.15,16.54,1341500,0
2017-12-18,16.61,17.55,16.08,17.15,136100,0
2017-12-19,17.04,17.50,16.22,17.09,237400,0
2017-12-20,17.56,19.00,17.12,18.66,230000,0
2017-12-21,18.70,19.96,18.40,19.60,86400,0
2017-12-22,19.79,21.99,19.67,21.51,237400,0
2017-12-26,21.61,21.66,20.95,21.60,92500,0
2017-12-27,21.50,21.94,20.27,21.00,132100,0
2017-12-28,20.84,22.44,20.58,22.32,177900,0
2017-12-29,22.24,23.19,21.11,22.67,118600,0
2018-01-02,22.63,25.25,22.21,25.21,286500,0
2018-01-03,25.00,26.27,23.36,26.14,239900,0
2018-01-04,26.14,26.59,24.10,25.01,246300,0
2018-01-05,25.34,26.48,24.67,25.81,127400,0
2018-01-08,26.07,26.07,24.52,24.99,100100,0
2018-01-09,25.04,25.89,24.72,25.07,165400,0
2018-01-10,25.20,25.78,24.99,25.66,134500,0
2018-01-11,25.80,25.83,24.89,24.99,164100,0
2018-01-12,25.22,25.30,24.41,24.54,224200,0
2018-01-16,24.76,24.93,23.55,24.38,202300,0
2018-01-17,24.51,25.70,24.31,24.98,135800,0
2018-01-18,25.10,26.72,24.63,26.04,198600,0
2018-01-19,26.20,27.53,25.62,27.47,173400,0
2018-01-22,27.55,28.19,26.34,27.90,197400,0
2018-01-23,27.74,28.32,26.49,28.09,200400,0
2018-01-24,28.17,28.96,26.25,26.63,256500,0
2018-01-25,26.89,27.44,25.57,27.08,206300,0
2018-01-26,27.21,27.32,26.15,26.44,112900,0
2018-01-29,26.35,26.67,25.87,26.22,449500,0
2018-01-30,25.91,26.61,25.69,26.36,316200,0
2018-01-31,26.55,26.96,24.85,26.00,134000,0
2018-02-01,25.99,27.00,25.87,26.83,202500,0
