Date,Open,High,Low,Close,Volume,OpenInt
2017-10-18,20.09,20.09,20.0765,20.0765,475,0
2017-10-19,20.01,20.04,20.01,20.04,2125,0
2017-10-20,20.35,20.35,20.35,20.35,125,0
2017-10-23,20.3,20.3,20.27,20.27,930,0
2017-10-24,20.29,20.29,20.24,20.26,720,0
2017-10-25,20.045,20.045,20.045,20.045,220,0
2017-10-26,20.045,20.045,20.045,20.045,340,0
2017-10-27,20.045,20.045,20.045,20.045,171,0
2017-10-30,20.045,20.045,20.045,20.045,0,0
2017-10-31,20.2,20.2,20.2,20.2,103,0
2017-11-01,20.2,20.2,20.2,20.2,178,0
2017-11-02,20.2,20.2,20.2,20.2,279,0
2017-11-03,20.2,20.2,20.2,20.2,0,0
2017-11-06,20.5348,20.5348,20.5348,20.5348,110,0
2017-11-07,20.43,20.4799,20.43,20.4799,295,0
2017-11-08,20.4838,20.4838,20.4838,20.4838,225,0
2017-11-09,20.4838,20.4838,20.4838,20.4838,238,0
2017-11-10,20.23,20.23,20.23,20.23,110,0
2017-11-13,20.16,20.18,20.11,20.18,3700,0
2017-11-14,20.13,20.13,20.13,20.13,200,0
2017-11-15,20.13,20.13,20.13,20.13,-,0
2017-11-16,20.13,20.13,20.13,20.13,-,0
2017-11-17,20.13,20.13,20.13,20.13,-,0
2017-11-20,20.13,20.13,20.13,20.13,-,0
2017-11-21,20.13,20.13,20.13,20.13,-,0
2017-11-22,20.12,20.12,20.12,20.12,100,0
2017-11-24,20.12,20.12,20.12,20.12,-,0
2017-11-27,20.12,20.12,20.12,20.12,-,0
2017-11-28,20.12,20.12,20.12,20.12,-,0
2017-11-29,20.81,20.84,20.81,20.84,200,0
2017-11-30,20.84,20.84,20.84,20.84,-,0
2017-12-01,20.90,20.90,20.89,20.89,500,0
2017-12-04,20.94,20.97,20.83,20.83,1700,0
2017-12-05,20.67,20.71,20.67,20.71,300,0
2017-12-06,20.77,20.77,20.77,20.77,300,0
2017-12-07,20.77,20.77,20.77,20.77,-,0
2017-12-08,20.77,20.77,20.77,20.77,-,0
2017-12-11,20.77,20.77,20.77,20.77,-,0
2017-12-12,20.77,20.77,20.77,20.77,6000,0
2017-12-13,20.77,20.77,20.77,20.77,-,0
2017-12-14,20.77,20.77,20.77,20.77,-,0
2017-12-15,21.34,21.34,21.34,21.34,100,0
2017-12-18,21.34,21.34,21.34,21.34,-,0
2017-12-19,21.34,21.34,21.34,21.34,-,0
2017-12-20,21.34,21.34,21.34,21.34,-,0
2017-12-21,21.22,21.22,21.22,21.22,200,0
2017-12-22,21.22,21.22,21.22,21.22,-,0
2017-12-26,21.19,21.19,21.17,21.17,3600,0
2017-12-27,21.17,21.17,21.17,21.17,-,0
2017-12-28,21.17,21.17,21.17,21.17,-,0
2017-12-29,21.25,21.25,21.25,21.25,700,0
2018-01-02,21.25,21.30,21.25,21.30,800,0
2018-01-03,21.30,21.30,21.30,21.30,-,0
2018-01-04,21.30,21.30,21.30,21.30,-,0
2018-01-05,21.30,21.30,21.30,21.30,-,0
2018-01-08,21.30,21.30,21.30,21.30,-,0
2018-01-09,21.69,21.69,21.69,21.69,100,0
2018-01-10,21.51,21.51,21.51,21.51,100,0
2018-01-11,21.51,21.51,21.51,21.51,-,0
2018-01-12,21.51,21.51,21.51,21.51,1000,0
2018-01-16,21.51,21.51,21.51,21.51,200,0
2018-01-17,21.51,21.51,21.51,21.51,100,0
2018-01-18,21.51,21.51,21.51,21.51,-,0
2018-01-19,21.51,21.51,21.51,21.51,100,0
2018-01-22,21.52,21.52,21.44,21.44,300,0
2018-01-23,21.55,21.58,21.55,21.58,200,0
2018-01-24,21.58,21.58,21.58,21.58,-,0
2018-01-25,21.50,21.54,21.50,21.54,1000,0
2018-01-26,21.54,21.54,21.54,21.54,-,0
2018-01-29,21.54,21.54,21.54,21.54,-,0
2018-01-30,21.54,21.54,21.54,21.54,100,0
2018-01-31,21.54,21.54,21.54,21.54,100,0
2018-02-01,21.54,21.54,21.54,21.54,-,0
2018-02-02,21.17,21.19,21.17,21.19,300,0
2018-02-05,21.00,21.00,21.00,21.00,100,0
2018-02-06,20.33,20.33,20.33,20.33,300,0
2018-02-07,20.33,20.33,20.33,20.33,-,0
2018-02-08,20.33,20.33,20.33,20.33,100,0
2018-02-09,20.33,20.33,20.33,20.33,-,0
2018-02-12,20.29,20.29,20.29,20.29,100,0
2018-02-13,20.29,20.29,20.29,20.29,-,0
2018-02-14,20.59,20.59,20.59,20.59,1000,0
2018-02-15,20.59,20.59,20.59,20.59,-,0
2018-02-16,20.59,20.59,20.59,20.59,-,0
2018-02-20,20.95,20.95,20.95,20.95,100,0
2018-02-21,20.95,20.95,20.95,20.95,-,0
2018-02-22,20.95,20.95,20.95,20.95,-,0
2018-02-23,20.95,20.95,20.95,20.95,-,0
2018-02-26,20.95,20.95,20.95,20.95,-,0
2018-02-27,20.81,20.81,20.59,20.63,2600,0
2018-02-28,20.65,20.68,20.44,20.44,500,0
2018-03-01,20.44,20.44,20.44,20.44,-,0
2018-03-02,20.44,20.44,20.44,20.44,-,0
2018-03-05,20.44,20.44,20.44,20.44,-,0
2018-03-06,20.44,20.44,20.44,20.44,-,0
2018-03-07,20.44,20.44,20.44,20.44,-,0
2018-03-08,20.44,20.44,20.44,20.44,-,0
2018-03-09,20.44,20.44,20.44,20.44,-,0
2018-03-12,20.44,20.44,20.44,20.44,-,0
2018-03-13,20.44,20.44,20.44,20.44,-,0
2018-03-14,20.44,20.44,20.44,20.44,-,0
2018-03-15,20.44,20.44,20.44,20.44,-,0
2018-03-16,20.44,20.44,20.44,20.44,-,0
2018-03-19,20.44,20.44,20.44,20.44,-,0
2018-03-20,20.44,20.44,20.44,20.44,-,0
2018-03-21,20.44,20.44,20.44,20.44,-,0
2018-03-22,20.44,20.44,20.44,20.44,-,0
2018-03-23,20.44,20.44,20.44,20.44,-,0
2018-03-26,20.89,20.89,20.89,20.89,100,0
2018-03-27,20.89,20.89,20.89,20.89,-,0
