Date,Open,High,Low,Close,Volume,OpenInt
2017-09-20,29,32.64,27.91,31.78,10174376,0
2017-09-21,32.54,32.59,30.7,30.84,1572995,0
2017-09-22,30.66,33.4,30.6,32.16,1396517,0
2017-09-25,32.31,32.74,31.3,31.89,1005557,0
2017-09-26,31.92,32.09,31.45,32.01,366259,0
2017-09-27,32.11,32.93,31.93,32,703930,0
2017-09-28,31.94,32.82,31.81,32.22,439855,0
2017-09-29,32.1,32.35,31.95,32,797347,0
2017-10-02,31.97,31.97,31.5,31.55,122822,0
2017-10-03,31.64,32.17,31.4,32,406718,0
2017-10-04,32,32.4,31.57,32.16,247401,0
2017-10-05,32.1,32.47,31.34,32.08,204107,0
2017-10-06,32.23,32.45,32.07,32.31,112363,0
2017-10-09,32.8,34.12,32.8,33.3,694964,0
2017-10-10,33.55,33.91,33.0501,33.87,258010,0
2017-10-11,33.71,34,33.11,33.6,148129,0
2017-10-12,33.67,34.7,32.79,33,337036,0
2017-10-13,33,34.01,33,33.94,159911,0
2017-10-16,33.56,33.56,32.85,33.18,618803,0
2017-10-17,32.76,32.88,30.06,32.52,510667,0
2017-10-18,32.52,32.89,32.02,32.28,130777,0
2017-10-19,31.76,32.1699,30.54,30.81,421215,0
2017-10-20,30.56,31.54,29.9,30.1,326238,0
2017-10-23,30,30.68,29.65,29.78,236867,0
2017-10-24,29.74,30.465,29.64,30.13,90296,0
2017-10-25,30,30.15,29.31,30,149674,0
2017-10-26,30.03,30.2099,29.4699,30.06,76030,0
2017-10-27,29.83,30,29.17,29.67,111735,0
2017-10-30,29.66,30,29.2584,29.95,44623,0
2017-10-31,29.8,30.85,29.6,30.8,241917,0
2017-11-01,30.69,30.96,29.845,30.58,194540,0
2017-11-02,30.33,30.48,29.67,29.69,140382,0
2017-11-03,29.76,30,29.32,29.85,79298,0
2017-11-06,29.95,30.42,29.61,29.9,44121,0
2017-11-07,29.81,29.81,28.91,29.06,137262,0
2017-11-08,28.82,29.85,28.01,29.34,183935,0
2017-11-09,29.15,29.57,28.99,29.24,133929,0
2017-11-10,29.28,29.4,28.33,28.65,133475,0
2017-11-13,28.42,28.77,28.17,28.30,113300,0
2017-11-14,28.35,29.00,28.01,28.54,181200,0
2017-11-15,28.47,28.61,28.00,28.29,139300,0
2017-11-16,28.63,29.45,28.55,29.16,193200,0
2017-11-17,29.47,30.00,27.25,28.50,423800,0
2017-11-20,28.61,28.75,27.25,27.30,207100,0
2017-11-21,27.47,28.30,27.27,27.80,214500,0
2017-11-22,27.99,28.10,26.59,26.91,200400,0
2017-11-24,26.86,27.76,26.70,27.01,279200,0
2017-11-27,26.93,27.12,24.81,25.81,298800,0
2017-11-28,25.87,26.05,24.90,25.03,667600,0
2017-11-29,25.21,25.35,23.79,24.00,484300,0
2017-11-30,24.25,24.65,23.77,24.00,272200,0
2017-12-01,23.90,24.08,23.20,23.69,407400,0
2017-12-04,24.06,24.17,22.73,22.88,490700,0
2017-12-05,22.77,23.73,22.77,23.01,730700,0
2017-12-06,23.13,25.99,23.00,25.80,423800,0
2017-12-07,25.60,27.24,25.14,26.90,492200,0
2017-12-08,26.89,27.01,25.49,26.62,205700,0
2017-12-11,26.45,26.95,25.85,26.03,160600,0
2017-12-12,26.01,26.69,25.90,26.03,168300,0
2017-12-13,26.42,26.62,26.00,26.24,248400,0
2017-12-14,26.34,26.75,26.09,26.40,377300,0
2017-12-15,26.47,26.88,26.07,26.84,322200,0
2017-12-18,27.00,27.42,25.88,26.10,182500,0
2017-12-19,26.18,26.50,25.53,26.30,84100,0
2017-12-20,26.44,27.35,26.33,27.19,209200,0
2017-12-21,27.27,28.27,27.21,27.95,136000,0
2017-12-22,27.84,28.56,27.65,28.05,180500,0
2017-12-26,27.86,28.24,27.22,27.61,124000,0
2017-12-27,27.45,28.01,27.16,27.51,168700,0
2017-12-28,27.34,27.75,26.80,27.00,225200,0
2017-12-29,26.98,27.63,26.77,27.48,115000,0
2018-01-02,27.52,29.03,27.52,29.03,88300,0
2018-01-03,29.52,29.52,28.16,28.37,245600,0
2018-01-04,28.37,28.73,26.89,27.33,112100,0
2018-01-05,27.63,28.73,27.62,28.23,75300,0
2018-01-08,28.01,28.96,27.65,28.22,74800,0
2018-01-09,28.36,28.50,27.44,27.59,69100,0
2018-01-10,27.72,27.72,26.37,26.49,175600,0
2018-01-11,27.65,29.15,27.60,28.58,264000,0
2018-01-12,28.62,29.50,28.38,29.31,97300,0
2018-01-16,29.42,29.99,28.22,28.62,149700,0
2018-01-17,29.00,30.13,28.56,29.25,146300,0
2018-01-18,29.07,29.59,28.25,28.81,99300,0
2018-01-19,29.09,29.41,28.88,29.18,229500,0
2018-01-22,29.18,30.35,29.04,30.10,143300,0
2018-01-23,30.10,30.65,29.96,30.02,184700,0
2018-01-24,30.02,30.52,29.87,30.00,80800,0
2018-01-25,30.12,30.24,29.49,30.03,175500,0
2018-01-26,30.36,31.15,30.05,30.65,108400,0
2018-01-29,30.84,32.86,29.94,30.84,169500,0
2018-01-30,30.91,30.91,29.96,30.10,82000,0
2018-01-31,30.11,30.72,29.94,30.45,101600,0
2018-02-01,30.25,30.36,29.71,30.25,134600,0
2018-02-02,30.25,30.26,29.90,30.05,207700,0
2018-02-05,29.69,30.22,28.89,29.20,228500,0
2018-02-06,28.52,29.37,28.34,29.21,198500,0
2018-02-07,29.36,29.95,27.70,29.50,272700,0
2018-02-08,29.43,29.77,28.09,28.79,151500,0
2018-02-09,28.78,28.78,26.52,27.48,373800,0
2018-02-12,27.63,28.43,27.47,27.76,164600,0
2018-02-13,27.86,27.93,27.43,27.91,245500,0
2018-02-14,27.74,28.85,27.49,28.70,164800,0
2018-02-15,28.55,29.59,27.91,28.40,98800,0
2018-02-16,28.40,29.10,28.05,28.72,104700,0
2018-02-20,28.72,29.02,27.75,28.20,83200,0
2018-02-21,28.26,29.22,27.89,28.60,277100,0
2018-02-22,28.55,28.95,28.00,28.58,102400,0
2018-02-23,28.52,29.45,28.35,29.27,51400,0
2018-02-26,28.75,29.15,28.21,29.15,171900,0
2018-02-27,29.45,29.74,28.26,28.70,111600,0
2018-02-28,28.81,28.97,28.02,28.40,155800,0
2018-03-01,28.43,28.75,27.86,28.36,949400,0
2018-03-02,28.37,28.92,27.67,28.65,197500,0
2018-03-05,28.40,29.24,27.28,29.08,236900,0
2018-03-06,29.31,29.72,28.55,28.85,240100,0
2018-03-07,28.85,30.38,28.22,29.47,319400,0
2018-03-08,32.30,32.70,29.69,30.91,645100,0
2018-03-09,31.63,33.83,31.36,33.50,446100,0
2018-03-12,33.47,33.93,31.90,33.13,355000,0
2018-03-13,33.20,33.64,32.10,33.08,219400,0
2018-03-14,33.29,33.50,32.03,32.43,173800,0
2018-03-15,31.95,33.13,31.63,32.75,192500,0
2018-03-16,32.58,33.44,32.47,32.91,122200,0
2018-03-19,32.61,36.56,32.52,33.05,412000,0
2018-03-20,32.80,32.99,31.52,31.88,265100,0
2018-03-21,32.13,32.41,31.38,31.90,226200,0
2018-03-22,31.88,32.05,31.49,31.91,112200,0
2018-03-23,32.00,32.77,31.43,32.45,181500,0
2018-03-26,32.45,33.00,31.01,32.80,191300,0
2018-03-27,32.50,33.89,31.77,31.93,142000,0
2018-03-28,31.92,32.11,30.61,31.00,174900,0
2018-03-29,31.01,31.78,30.23,31.25,93800,0
2018-04-02,31.25,31.78,30.38,30.60,108200,0
2018-04-03,30.87,31.32,30.75,31.00,166100,0
2018-04-04,30.67,31.29,30.28,30.99,262000,0
2018-04-05,30.99,31.54,30.84,31.06,167400,0
2018-04-06,30.91,31.48,29.81,30.42,209400,0
2018-04-09,30.01,30.30,29.39,29.60,151447,0
