Date,Open,High,Low,Close,Volume,OpenInt
2016-12-08,65.58,65.58,65.58,65.58,110,0
2016-12-15,62.6,62.7877,62.6,62.7877,420,0
2016-12-20,63,63,63,63,390,0
2017-01-05,65.23,65.24,65.23,65.24,1210,0
2017-01-13,63.77,63.8655,63.77,63.8655,240,0
2017-01-20,64.49,64.49,64.49,64.49,100,0
2017-02-15,64.49,64.49,64.49,64.49,156,0
2017-03-08,64.0545,64.0545,64.0545,64.0545,778,0
2017-03-10,63.67,63.72,63.57,63.72,1500,0
2017-03-17,64.31,64.31,64.3,64.3,295,0
2017-05-11,66.3099,66.3099,66.2895,66.2895,400,0
2017-05-23,67,67,67,67,600,0
2017-06-09,67.82,67.82,67.82,67.82,110,0
2017-06-26,68.1552,68.31,68.1552,68.31,539,0
2017-07-03,68,68,66.6499,66.65,401,0
2017-07-14,67.43,67.43,67.43,67.43,200,0
2017-09-12,68.83,68.83,68.83,68.83,100,0
2017-10-31,66.8,66.8,66.8,66.8,1017,0
2017-11-03,66.475,66.475,66.475,66.475,100,0
2017-11-10,66.47,66.47,66.47,66.47,-,0
2017-11-13,66.47,66.47,66.47,66.47,-,0
2017-11-14,66.47,66.47,66.47,66.47,-,0
2017-11-15,66.47,66.47,66.47,66.47,-,0
2017-11-16,66.47,66.47,66.47,66.47,-,0
2017-11-17,66.47,66.47,66.47,66.47,-,0
2017-11-20,66.47,66.47,66.47,66.47,-,0
2017-11-21,65.64,65.64,65.64,65.64,100,0
2017-11-22,65.64,65.64,65.64,65.64,-,0
2017-11-24,65.64,65.64,65.64,65.64,-,0
2017-11-27,65.64,65.64,65.64,65.64,-,0
2017-11-28,65.64,65.64,65.64,65.64,-,0
2017-11-29,65.64,65.64,65.64,65.64,-,0
2017-11-30,65.64,65.64,65.64,65.64,-,0
2017-12-01,65.64,65.64,65.64,65.64,-,0
2017-12-04,65.64,65.64,65.64,65.64,-,0
2017-12-05,65.64,65.64,65.64,65.64,-,0
2017-12-06,65.48,65.48,65.48,65.48,100,0
2017-12-07,65.48,65.48,65.48,65.48,-,0
2017-12-08,65.48,65.48,65.48,65.48,-,0
2017-12-11,65.48,65.48,65.48,65.48,-,0
2017-12-12,65.48,65.48,65.48,65.48,-,0
2017-12-13,65.48,65.48,65.48,65.48,-,0
2017-12-14,65.48,65.48,65.48,65.48,-,0
2017-12-15,65.48,65.48,65.48,65.48,-,0
2017-12-18,65.48,65.48,65.48,65.48,-,0
2017-12-19,65.48,65.48,65.48,65.48,-,0
2017-12-20,65.48,65.48,65.48,65.48,-,0
2017-12-21,65.48,65.48,65.48,65.48,-,0
2017-12-22,65.48,65.48,65.48,65.48,-,0
2017-12-26,65.48,65.48,65.48,65.48,-,0
2017-12-27,65.48,65.48,65.48,65.48,-,0
2017-12-28,65.48,65.48,65.48,65.48,-,0
2017-12-29,65.48,65.48,65.48,65.48,-,0
2018-01-02,65.48,65.48,65.48,65.48,-,0
2018-01-03,65.48,65.48,65.48,65.48,-,0
2018-01-04,65.48,65.48,65.48,65.48,-,0
2018-01-05,65.48,65.48,65.48,65.48,-,0
2018-01-08,65.48,65.48,65.48,65.48,-,0
2018-01-09,65.48,65.48,65.48,65.48,-,0
2018-01-10,65.48,65.48,65.48,65.48,-,0
2018-01-11,65.48,65.48,65.48,65.48,-,0
2018-01-12,65.48,65.48,65.48,65.48,-,0
2018-01-16,65.48,65.48,65.48,65.48,-,0
2018-01-17,65.48,65.48,65.48,65.48,-,0
2018-01-18,65.48,65.48,65.48,65.48,-,0
2018-01-19,65.48,65.48,65.48,65.48,-,0
2018-01-22,65.48,65.48,65.48,65.48,-,0
2018-01-23,62.87,63.05,62.87,63.05,400,0
2018-01-24,63.05,63.05,63.05,63.05,-,0
2018-01-25,62.80,63.28,62.78,63.25,4300,0
2018-01-26,63.25,63.25,63.25,63.25,-,0
2018-01-29,63.25,63.25,63.25,63.25,-,0
