Date,Open,High,Low,Close,Volume,OpenInt
2017-10-13,20.0799,20.08,20.0657,20.0789,20750,0
2017-10-16,20.079,20.09,20.0718,20.075,9397,0
2017-10-17,20.07,20.08,20.06,20.06,1799,0
2017-10-18,20.05,20.06,19.99,20.0327,12201,0
2017-10-19,20.07,20.07,20.0317,20.0364,5565,0
2017-10-20,20.025,20.03,19.995,19.995,2675,0
2017-10-23,20.04,20.04,20,20.0267,2749,0
2017-10-24,19.986,20,19.986,19.99,2055,0
2017-10-25,19.95,19.95,19.825,19.936,5177,0
2017-10-26,19.96,19.96,19.86,19.9061,4453,0
2017-10-30,19.96,19.98,19.904,19.98,4972,0
2017-10-31,19.99,20,19.9702,19.9702,3734,0
2017-11-01,19.99,20,19.955,19.99,1295702,0
2017-11-02,19.89,20,19.89,19.9956,13025,0
2017-11-03,19.9261,19.99,19.9261,19.99,1934,0
2017-11-06,20.01,20.01,19.895,19.895,10772,0
2017-11-07,20.01,20.02,19.905,20.02,40787,0
2017-11-08,19.99,19.99,19.9667,19.97,4479,0
2017-11-09,19.93,19.94,19.9036,19.94,11286,0
2017-11-10,19.89,19.89,19.8467,19.8467,6350,0
2017-11-20,19.9400,19.9400,19.8990,19.9400,14000,0
2017-11-21,19.9700,19.9700,19.9470,19.9700,4600,0
2017-11-22,19.9200,20.0300,19.9200,20.0200,7500,0
2017-11-24,20.0200,20.0200,20.0200,20.0200,-,0
2017-11-27,20.0230,20.0230,19.9610,19.9610,6800,0
2017-11-28,20.0500,20.0500,19.9810,19.9810,1900,0
2017-11-29,19.9470,20.0100,19.9400,19.9400,4400,0
2017-11-30,20.0100,20.0100,19.9700,19.9900,9100,0
2017-12-01,20.0500,20.0500,19.9000,19.9540,143200,0
2017-12-04,19.9890,19.9900,19.9890,19.9900,9700,0
2017-12-05,19.9800,19.9900,19.9160,19.9850,9300,0
2017-12-06,20.0050,20.0100,20.0050,20.0100,1600,0
2017-12-07,20.0100,20.0100,19.9740,19.9800,3700,0
2017-12-08,19.9700,19.9700,19.8850,19.9600,1300,0
2017-12-11,19.9800,19.9800,19.9300,19.9660,13300,0
2017-12-12,19.9600,19.9700,19.9240,19.9430,7700,0
2017-12-13,19.9800,19.9900,19.9470,19.9600,2600,0
2017-12-14,20.0100,20.0100,20.0000,20.0000,4400,0
2017-12-15,20.0100,20.0200,19.9690,20.0200,9300,0
2017-12-18,20.0300,20.0300,19.9800,19.9800,1300,0
2017-12-19,19.9700,19.9700,19.9100,19.9390,12700,0
2017-12-20,19.9100,19.9100,19.8710,19.8800,5200,0
2017-12-21,19.8660,19.9100,19.8660,19.9100,1100,0
2017-12-22,19.9000,19.9200,19.8810,19.8890,12600,0
2017-12-26,19.8720,19.8900,19.8500,19.8500,3900,0
2017-12-27,19.9100,19.9300,19.8670,19.9300,5100,0
2017-12-28,19.9200,19.9500,19.8520,19.8520,20500,0
2017-12-29,19.9500,19.9500,19.8700,19.9400,3000,0
2018-01-02,19.9500,19.9500,19.8700,19.9500,1900,0
2018-01-03,19.9500,19.9500,19.9500,19.9500,-,0
2018-01-04,19.9900,20.0100,19.9100,20.0090,4400,0
2018-01-05,20.0200,20.0200,19.9700,19.9700,5600,0
2018-01-08,19.9840,19.9840,19.9200,19.9800,6200,0
2018-01-09,19.9100,19.9500,19.9100,19.9500,2900,0
2018-01-10,19.9000,19.9200,19.8450,19.9170,4400,0
2018-01-11,19.9400,19.9400,19.9020,19.9020,6600,0
2018-01-12,19.9300,19.9400,19.9300,19.9400,1600,0
2018-01-16,19.9000,19.9700,19.8800,19.9650,5000,0
2018-01-17,19.9420,19.9660,19.9400,19.9430,9700,0
2018-01-18,19.8200,20.0900,19.8200,19.9290,14100,0
2018-01-19,19.9000,19.9000,19.8000,19.8000,5500,0
2018-01-22,19.8900,19.9000,19.8100,19.8100,3600,0
2018-01-23,19.9100,19.9100,19.8300,19.9100,7500,0
2018-01-24,19.9200,19.9200,19.8200,19.9200,6800,0
2018-01-25,19.9300,19.9500,19.8300,19.9500,3400,0
2018-01-26,19.9600,19.9600,19.8600,19.8600,2600,0
2018-01-29,19.9000,19.9000,19.8100,19.8200,300,0
2018-01-30,19.8700,19.8700,19.8200,19.8200,5500,0
2018-01-31,19.8700,19.8700,19.7800,19.8050,9500,0
2018-02-01,19.8000,19.8000,19.7500,19.7550,2100,0
2018-02-02,19.7100,19.7100,19.6500,19.6500,2800,0
2018-02-05,19.6500,19.6790,19.4710,19.6790,6100,0
2018-02-06,19.6400,19.6700,19.6400,19.6700,3600,0
2018-02-07,19.6600,19.6600,19.5600,19.5600,5100,0
2018-02-08,19.5260,19.5500,19.5100,19.5100,7000,0
2018-02-09,19.4700,19.4800,19.4200,19.4700,4500,0
2018-02-12,19.4700,19.4800,19.4300,19.4750,6900,0
2018-02-13,19.4800,19.4800,19.4300,19.4800,23200,0
2018-02-14,19.4220,19.4500,19.3800,19.4500,9400,0
2018-02-15,19.4800,19.5100,19.4500,19.5100,3900,0
2018-02-16,19.5600,19.5600,19.5000,19.5500,5000,0
2018-02-20,19.5500,19.5500,19.4900,19.4900,11700,0
2018-02-21,19.5700,19.5700,19.4900,19.5310,4500,0
2018-02-22,19.5360,19.5390,19.4700,19.5020,6500,0
2018-02-23,19.5600,19.5700,19.4900,19.5560,12300,0
2018-02-26,19.5430,19.5700,19.5430,19.5600,12700,0
2018-02-27,19.5400,19.5400,19.4500,19.4500,3600,0
2018-02-28,19.5180,19.5300,19.4500,19.5200,8100,0
2018-03-01,19.4700,19.4800,19.4200,19.4200,1700,0
2018-03-02,19.4800,19.4800,19.3900,19.4540,2700,0
2018-03-05,19.4100,19.4350,19.4000,19.4060,4300,0
2018-03-06,19.4110,19.4250,19.4100,19.4250,3900,0
2018-03-07,19.4200,19.4700,19.3900,19.3900,13900,0
2018-03-08,19.4000,19.4800,19.4000,19.4500,6400,0
2018-03-09,19.4700,19.4700,19.4100,19.4600,10000,0
2018-03-12,19.4900,19.4900,19.4700,19.4700,1030400,0
2018-03-13,19.4770,19.4770,19.4770,19.4770,2712200,0
2018-03-14,19.5000,19.5020,19.4940,19.5020,1500,0
2018-03-15,19.5390,19.5400,19.4940,19.5300,8300,0
2018-03-16,19.4700,19.4700,19.4200,19.4400,50500,0
2018-03-19,19.4800,19.5100,19.4500,19.5100,1700,0
2018-03-20,19.4900,19.4900,19.4460,19.4460,3800,0
2018-03-21,19.4400,19.4400,19.4200,19.4300,3700,0
2018-03-22,19.4100,19.4490,19.3900,19.4000,17600,0
2018-03-23,19.4500,19.4500,19.4400,19.4500,2000,0
2018-03-26,19.4380,19.4380,19.4380,19.4380,4000,0
2018-03-27,19.4700,19.4900,19.4340,19.4810,15000,0
2018-03-28,19.4810,19.4810,19.4810,19.4810,-,0
2018-03-29,19.5200,19.9500,19.4700,19.5500,18000,0
2018-04-02,19.5000,19.5000,19.4850,19.4850,3900,0
2018-04-03,19.4900,19.4920,19.4900,19.4920,1400,0
2018-04-04,19.4900,19.4900,19.4820,19.4900,2800,0
2018-04-05,19.4700,19.4700,19.4410,19.4500,7600,0
2018-04-06,19.4590,19.4960,19.4300,19.4960,17100,0
2018-04-09,19.5300,19.5300,19.5300,19.5300,1301,0
