Date,Open,High,Low,Close,Volume,OpenInt
2017-10-16,52.37,52.37,52.3245,52.3245,1795,0
2017-10-19,52.14,52.14,52.14,52.14,1900,0
2017-10-20,52.19,52.19,52.19,52.19,304,0
2017-10-30,51.99,52.051,51.99,52.03,1600,0
2017-11-03,52.52,52.55,52.52,52.55,536,0
2017-11-15,52.5500,52.5500,52.5500,52.5500,-,0
2017-11-16,52.5500,52.5500,52.5500,52.5500,-,0
2017-11-17,52.5500,52.5500,52.5500,52.5500,-,0
2017-11-20,52.5500,52.5500,52.5500,52.5500,-,0
2017-11-21,52.5500,52.5500,52.5500,52.5500,-,0
2017-11-22,52.5500,52.5500,52.5500,52.5500,-,0
2017-11-24,52.9600,52.9600,52.9500,52.9500,200,0
2017-11-27,52.9500,52.9500,52.9500,52.9500,-,0
2017-11-28,52.9500,52.9500,52.9500,52.9500,-,0
2017-11-29,52.9500,52.9500,52.9500,52.9500,-,0
2017-11-30,52.9500,52.9500,52.9500,52.9500,200,0
2017-12-01,52.9500,52.9500,52.9500,52.9500,-,0
2017-12-04,52.9500,52.9500,52.9500,52.9500,-,0
2017-12-05,52.9500,52.9500,52.9500,52.9500,-,0
2017-12-06,52.9500,52.9500,52.9500,52.9500,-,0
2017-12-07,52.9500,52.9500,52.9500,52.9500,-,0
2017-12-08,52.9500,52.9500,52.9500,52.9500,-,0
2017-12-11,52.9500,52.9500,52.9500,52.9500,-,0
2017-12-12,52.9500,52.9500,52.9500,52.9500,-,0
2017-12-13,52.9500,52.9500,52.9500,52.9500,-,0
2017-12-14,52.9500,52.9500,52.9500,52.9500,-,0
2017-12-15,52.9500,52.9500,52.9500,52.9500,-,0
2017-12-18,52.9500,52.9500,52.9500,52.9500,-,0
2017-12-19,52.9500,52.9500,52.9500,52.9500,-,0
2017-12-20,52.9500,52.9500,52.9500,52.9500,-,0
2017-12-21,52.9500,52.9500,52.9500,52.9500,100,0
2017-12-22,52.9500,52.9500,52.9500,52.9500,-,0
2017-12-26,53.0300,53.0500,52.9900,52.9900,4300,0
2017-12-27,52.9900,52.9900,52.9900,52.9900,-,0
2017-12-28,52.9900,52.9900,52.9900,52.9900,-,0
2017-12-29,52.9900,52.9900,52.9900,52.9900,-,0
2018-01-02,53.4700,53.4700,53.4700,53.4700,500,0
2018-01-03,53.4700,53.4700,53.4700,53.4700,-,0
2018-01-04,53.4700,53.4700,53.4700,53.4700,-,0
2018-01-05,54.6120,54.7100,54.6120,54.6360,1300,0
2018-01-08,54.7100,54.7100,54.6520,54.6520,300,0
2018-01-09,54.6520,54.6520,54.6520,54.6520,-,0
2018-01-10,54.6520,54.6520,54.6520,54.6520,-,0
2018-01-11,55.0800,55.0800,55.0800,55.0800,400,0
2018-01-12,55.2910,55.2910,55.2910,55.2910,200,0
2018-01-16,55.7700,55.7700,55.6300,55.6300,1200,0
2018-01-17,55.9800,55.9800,55.9800,55.9800,200,0
2018-01-18,55.9800,55.9800,55.9800,55.9800,-,0
2018-01-19,55.9800,55.9800,55.9800,55.9800,-,0
2018-01-22,56.3900,56.3900,56.3900,56.3900,300,0
2018-01-23,56.6500,56.6500,56.6000,56.6000,500,0
2018-01-24,56.6000,56.6000,56.6000,56.6000,-,0
2018-01-25,56.3700,56.4300,56.3000,56.4300,200100,0
2018-01-26,56.6400,56.6400,56.6400,56.6400,200,0
2018-01-29,56.4700,56.4700,56.4500,56.4500,500,0
2018-01-30,55.9800,55.9800,55.9800,55.9800,1000,0
2018-01-31,56.0100,56.0100,56.0100,56.0100,1400,0
2018-02-01,56.0500,56.0500,55.9700,56.0100,2800,0
2018-02-02,55.1300,55.1300,55.0990,55.0990,600,0
2018-02-05,55.0990,55.0990,55.0990,55.0990,-,0
2018-02-06,53.4000,53.4000,52.0700,52.5800,22200,0
2018-02-07,52.6700,53.1830,52.6700,52.9700,700,0
2018-02-08,52.1200,52.1200,52.0000,52.0000,219500,0
2018-02-09,51.5750,51.5750,51.5750,51.5750,500,0
2018-02-12,52.3300,52.5780,52.3300,52.5780,300,0
2018-02-13,52.5780,52.5780,52.5780,52.5780,-,0
2018-02-14,52.9200,52.9200,52.9200,52.9200,200,0
2018-02-15,53.6600,53.6600,53.6600,53.6600,400,0
2018-02-16,53.9600,53.9600,53.9600,53.9600,200,0
2018-02-20,53.5210,53.5210,53.5210,53.5210,300,0
2018-02-21,53.4950,53.4950,53.3000,53.3000,300,0
2018-02-22,53.5100,53.5100,53.4200,53.5000,700,0
2018-02-23,53.5000,53.5000,53.5000,53.5000,-,0
2018-02-26,54.1200,54.1200,54.1200,54.1200,300,0
2018-02-27,54.1200,54.1200,54.1200,54.1200,-,0
2018-02-28,54.1200,54.1200,54.1200,54.1200,-,0
2018-03-01,52.6900,52.7000,52.1800,52.2200,700,0
2018-03-02,52.0700,52.3000,52.0700,52.3000,600,0
2018-03-05,52.5700,52.5700,52.5700,52.5700,200,0
2018-03-06,52.9950,53.0300,52.9950,53.0300,4900,0
2018-03-07,53.0300,53.0300,53.0300,53.0300,-,0
2018-03-08,53.0300,53.0300,53.0300,53.0300,-,0
2018-03-09,53.0300,53.0300,53.0300,53.0300,-,0
