Date,Open,High,Low,Close,Volume,OpenInt
2017-08-07,50.071,50.091,50.071,50.091,1203,0
2017-08-10,49.552,49.552,49.552,49.552,191,0
2017-08-14,49.871,49.871,49.866,49.866,2005,0
2017-08-18,49.223,49.223,49.223,49.223,100,0
2017-08-21,49.043,49.093,49.043,49.093,802,0
2017-08-22,49.452,49.452,49.452,49.452,2005,0
2017-08-28,49.432,49.432,49.432,49.432,1053,0
2017-09-05,49.582,49.582,49.582,49.582,100,0
2017-09-08,49.911,49.911,49.911,49.911,115,0
2017-09-19,50.73,50.73,50.729,50.729,1002,0
2017-09-20,50.769,50.769,50.769,50.769,100,0
2017-09-22,51.76,51.76,51.76,51.76,100,0
2017-09-25,50.6,50.6,50.48,50.48,386,0
2017-10-02,51.18,51.18,51.1518,51.1518,977,0
2017-10-03,51.33,51.33,51.33,51.33,100,0
2017-10-16,51.7655,51.7655,51.7655,51.7655,1167,0
2017-10-18,51.94,51.94,51.93,51.93,300,0
2017-10-19,51.7,51.7,51.7,51.7,1900,0
2017-10-20,52.18,52.18,52.18,52.18,329,0
2017-10-23,52.1055,52.13,52.1055,52.13,548,0
2017-10-26,51.968,51.968,51.968,51.968,130,0
2017-10-27,52.37,52.37,52.37,52.37,200,0
2017-10-30,51.94,52.23,51.94,52.23,2050,0
2017-11-10,52.43,52.43,52.43,52.43,100,0
2017-11-14,52.43,52.43,52.43,52.43,-,0
2017-11-15,52.43,52.43,52.43,52.43,-,0
2017-11-16,52.43,52.43,52.43,52.43,-,0
2017-11-17,52.43,52.43,52.43,52.43,-,0
2017-11-20,52.43,52.43,52.43,52.43,-,0
2017-11-21,52.43,52.43,52.43,52.43,-,0
2017-11-22,52.43,52.43,52.43,52.43,-,0
2017-11-24,52.43,52.43,52.43,52.43,-,0
2017-11-27,53.80,53.80,52.88,52.95,1200,0
2017-11-28,52.95,52.95,52.95,52.95,-,0
2017-11-29,52.95,52.95,52.95,52.95,-,0
2017-11-30,52.95,52.95,52.95,52.95,100,0
2017-12-01,52.95,52.95,52.95,52.95,-,0
2017-12-04,53.82,53.82,53.82,53.82,19400,0
2017-12-05,53.82,53.82,53.82,53.82,-,0
2017-12-06,53.40,53.44,53.40,53.44,400,0
2017-12-07,53.67,53.67,53.67,53.67,200,0
2017-12-08,53.67,53.67,53.67,53.67,-,0
2017-12-11,53.67,53.67,53.67,53.67,-,0
2017-12-12,53.67,53.67,53.67,53.67,-,0
2017-12-13,53.67,53.67,53.67,53.67,-,0
2017-12-14,53.67,53.67,53.67,53.67,-,0
2017-12-15,53.67,53.67,53.67,53.67,-,0
2017-12-18,53.67,53.67,53.67,53.67,-,0
2017-12-19,54.63,54.63,54.63,54.63,100,0
2017-12-20,54.63,54.63,54.63,54.63,-,0
2017-12-21,54.57,54.65,54.57,54.65,1400,0
2017-12-22,54.29,54.29,54.29,54.29,1000,0
2017-12-26,54.27,54.45,54.25,54.28,5800,0
2017-12-27,54.28,54.28,54.28,54.28,-,0
2017-12-28,54.28,54.28,54.28,54.28,-,0
2017-12-29,54.28,54.28,54.28,54.28,-,0
2018-01-02,54.50,54.50,54.50,54.50,500,0
2018-01-03,54.50,54.50,54.50,54.50,-,0
2018-01-04,55.11,55.11,55.11,55.11,200,0
2018-01-05,55.41,55.41,55.33,55.33,1700,0
2018-01-08,55.50,55.58,55.50,55.55,900,0
2018-01-09,55.55,55.55,55.55,55.55,-,0
2018-01-10,55.73,55.73,55.73,55.73,900,0
2018-01-11,55.73,55.73,55.73,55.73,-,0
2018-01-12,56.36,56.36,56.36,56.36,300,0
2018-01-16,56.62,56.62,56.62,56.62,300,0
2018-01-17,56.62,56.62,56.62,56.62,-,0
2018-01-18,56.71,56.74,56.71,56.74,1200,0
2018-01-19,56.92,56.92,56.92,56.92,1300,0
2018-01-22,58.21,58.21,57.07,57.08,500,0
2018-01-23,57.58,57.58,57.48,57.48,300,0
2018-01-24,57.75,57.75,57.75,57.75,200,0
2018-01-25,57.50,57.63,57.45,57.54,350900,0
2018-01-26,59.02,59.02,57.74,58.14,19500,0
2018-01-29,57.95,58.04,57.92,57.99,800,0
2018-01-30,57.99,57.99,57.50,57.50,1000,0
2018-01-31,57.62,57.62,57.44,57.44,400,0
2018-02-01,57.57,57.57,57.37,57.45,4700,0
2018-02-02,57.45,57.45,57.45,57.45,-,0
2018-02-05,56.22,56.26,55.16,55.16,1300,0
2018-02-06,54.00,54.31,53.33,53.38,48900,0
2018-02-07,54.73,54.94,54.73,54.94,400,0
2018-02-08,53.50,53.60,53.45,53.48,278700,0
2018-02-09,52.64,52.65,51.93,51.97,1600,0
2018-02-12,53.84,53.86,53.84,53.86,2000,0
2018-02-13,53.61,53.85,53.61,53.85,700,0
2018-02-14,54.24,54.24,54.24,54.24,800,0
2018-02-15,54.22,54.55,54.22,54.55,600,0
2018-02-16,54.55,54.55,54.55,54.55,-,0
2018-02-20,54.69,54.69,54.69,54.69,400,0
2018-02-21,54.70,54.70,54.70,54.70,200,0
2018-02-22,54.45,54.56,54.44,54.55,8200,0
2018-02-23,54.55,54.55,54.55,54.55,-,0
2018-02-26,55.17,55.18,55.17,55.18,400,0
2018-02-27,55.45,55.46,55.33,55.33,4400,0
2018-02-28,55.20,55.20,55.00,55.03,1800,0
2018-03-01,55.03,55.03,55.03,55.03,-,0
2018-03-02,55.03,55.03,55.03,55.03,-,0
2018-03-05,55.03,55.03,55.03,55.03,-,0
2018-03-06,54.61,54.74,54.59,54.66,14100,0
2018-03-07,54.66,54.66,54.66,54.66,-,0
2018-03-08,54.67,54.67,54.67,54.67,200,0
2018-03-09,54.67,54.67,54.67,54.67,-,0
2018-03-12,55.56,55.61,55.56,55.61,500,0
2018-03-13,55.75,55.76,55.62,55.62,4000,0
2018-03-14,55.62,55.62,55.62,55.62,-,0
2018-03-15,55.62,55.62,55.62,55.62,-,0
2018-03-16,55.16,55.16,55.16,55.16,200,0
2018-03-19,54.56,54.56,54.25,54.25,700,0
2018-03-20,54.53,54.53,54.44,54.44,2100,0
2018-03-21,54.44,54.44,54.44,54.44,-,0
2018-03-22,53.58,53.58,53.58,53.58,400,0
2018-03-23,53.58,53.58,53.58,53.58,-,0
2018-03-26,52.60,52.60,52.60,52.60,300,0
2018-03-27,53.30,53.44,53.28,53.28,1500,0
2018-03-28,52.55,52.55,52.55,52.55,400,0
2018-03-29,52.83,52.83,52.83,52.83,400,0
2018-04-02,52.69,52.69,52.69,52.69,400,0
2018-04-03,52.42,52.42,52.42,52.42,500,0
2018-04-04,52.42,52.42,52.42,52.42,-,0
2018-04-05,52.42,52.42,52.42,52.42,-,0
2018-04-06,52.42,52.42,52.42,52.42,-,0
