Date,Open,High,Low,Close,Volume,OpenInt
2017-10-12,9.75,9.75,9.7306,9.7306,9200,0
2017-10-13,9.73,9.79,9.71,9.73,484000,0
2017-10-16,9.75,9.75,9.73,9.75,173801,0
2017-10-17,9.8172,9.8301,9.75,9.75,76200,0
2017-10-19,9.78,9.78,9.75,9.75,33500,0
2017-10-20,9.7799,9.87,9.77,9.83,25537,0
2017-10-23,9.8,9.8,9.77,9.7999,33764,0
2017-10-24,9.82,9.82,9.82,9.82,3000,0
2017-10-25,9.781,9.83,9.781,9.83,800,0
2017-10-26,9.79,9.79,9.75,9.79,42900,0
2017-10-27,9.76,9.76,9.76,9.76,100,0
2017-10-30,9.82,9.83,9.82,9.83,5001,0
2017-10-31,9.8001,9.8134,9.8,9.8,12200,0
2017-11-02,9.7885,9.7885,9.75,9.7544,7732,0
2017-11-03,9.75,9.79,9.75,9.79,300,0
2017-11-08,9.75,9.83,9.75,9.83,20100,0
2017-11-10,9.8,9.83,9.8,9.83,20409,0
2017-11-10,9.80,9.83,9.80,9.83,20400,0
2017-11-13,9.82,9.82,9.80,9.80,219900,0
2017-11-14,9.80,9.80,9.80,9.80,-,0
2017-11-15,9.78,9.78,9.75,9.77,54900,0
2017-11-16,9.77,9.77,9.77,9.77,500,0
2017-11-17,9.77,9.77,9.77,9.77,-,0
2017-11-20,9.77,9.78,9.75,9.78,4800,0
2017-11-21,9.78,9.78,9.75,9.78,64200,0
2017-11-22,9.78,9.78,9.78,9.78,-,0
2017-11-24,9.78,9.78,9.78,9.78,-,0
2017-11-27,9.76,9.78,9.75,9.78,6300,0
2017-11-28,9.74,9.77,9.74,9.76,57800,0
2017-11-29,9.76,9.76,9.76,9.76,-,0
2017-11-30,9.76,9.76,9.76,9.76,80000,0
2017-12-01,9.77,9.80,9.77,9.80,1000,0
2017-12-04,9.81,9.82,9.77,9.80,1200,0
2017-12-05,9.80,9.80,9.78,9.79,127500,0
2017-12-06,9.77,9.80,9.77,9.77,50600,0
2017-12-07,9.77,9.77,9.77,9.77,110200,0
2017-12-08,9.77,9.85,9.77,9.85,308000,0
2017-12-11,9.85,9.85,9.84,9.84,2800,0
2017-12-12,9.84,9.84,9.84,9.84,-,0
2017-12-13,9.84,9.85,9.79,9.79,1500,0
2017-12-14,9.80,9.80,9.80,9.80,100,0
2017-12-15,9.80,9.80,9.80,9.80,-,0
2017-12-18,9.80,9.80,9.80,9.80,1000,0
2017-12-19,9.80,9.80,9.80,9.80,-,0
2017-12-20,9.78,9.78,9.77,9.78,2400,0
2017-12-21,9.78,9.78,9.78,9.78,-,0
2017-12-22,9.78,9.78,9.78,9.78,-,0
2017-12-26,9.78,9.78,9.78,9.78,-,0
2017-12-27,9.78,9.78,9.78,9.78,-,0
2017-12-28,9.78,9.78,9.78,9.78,-,0
2017-12-29,9.78,9.78,9.78,9.78,-,0
2018-01-02,9.79,9.79,9.78,9.78,3400,0
2018-01-03,9.76,9.76,9.75,9.75,2400,0
2018-01-04,9.79,9.84,9.79,9.80,1700,0
2018-01-05,9.80,9.80,9.80,9.80,-,0
2018-01-08,9.80,9.80,9.80,9.80,16600,0
2018-01-09,9.80,9.80,9.80,9.80,500,0
2018-01-10,9.81,9.84,9.81,9.84,900,0
2018-01-11,9.85,9.87,9.79,9.79,2800,0
2018-01-12,9.87,9.87,9.83,9.83,10500,0
2018-01-16,9.81,9.82,9.80,9.80,23300,0
2018-01-17,9.83,9.86,9.82,9.83,15200,0
2018-01-18,9.83,9.84,9.82,9.82,13600,0
2018-01-19,9.87,9.87,9.84,9.84,9000,0
2018-01-22,9.82,9.83,9.82,9.83,50700,0
2018-01-23,9.83,9.83,9.83,9.83,-,0
2018-01-24,9.85,9.85,9.85,9.85,500,0
2018-01-25,9.85,9.85,9.85,9.85,-,0
2018-01-26,9.85,9.85,9.81,9.81,1500,0
2018-01-29,9.82,9.82,9.80,9.80,1000,0
2018-01-30,9.80,9.80,9.80,9.80,500,0
2018-01-31,9.80,9.80,9.80,9.80,-,0
2018-02-01,9.80,9.80,9.80,9.80,-,0
2018-02-02,9.82,9.82,9.80,9.80,10000,0
2018-02-05,9.80,9.82,9.80,9.82,10400,0
2018-02-06,9.82,9.82,9.82,9.82,-,0
2018-02-07,9.82,9.82,9.82,9.82,-,0
2018-02-08,9.80,9.80,9.79,9.80,17700,0
2018-02-09,9.85,9.85,9.81,9.82,109000,0
2018-02-12,9.80,9.83,9.80,9.81,4300,0
2018-02-13,9.81,9.81,9.81,9.81,8600,0
2018-02-14,9.81,9.81,9.81,9.81,800,0
2018-02-15,9.81,9.81,9.81,9.81,-,0
2018-02-16,9.87,9.87,9.85,9.85,5100,0
2018-02-20,9.85,9.85,9.85,9.85,-,0
2018-02-21,9.85,9.85,9.85,9.85,100,0
2018-02-22,9.85,9.85,9.85,9.85,-,0
2018-02-23,9.85,9.85,9.85,9.85,-,0
2018-02-26,9.85,9.85,9.85,9.85,-,0
2018-02-27,9.81,9.85,9.81,9.85,9400,0
2018-02-28,9.81,9.81,9.80,9.80,1000,0
2018-03-01,9.82,9.82,9.80,9.80,5800,0
2018-03-02,9.80,9.80,9.80,9.80,-,0
2018-03-05,9.80,9.80,9.80,9.80,-,0
2018-03-06,9.81,9.81,9.80,9.80,5500,0
2018-03-07,9.80,9.80,9.80,9.80,-,0
2018-03-08,9.80,9.80,9.80,9.80,-,0
2018-03-09,9.80,9.80,9.80,9.80,-,0
2018-03-12,9.80,9.80,9.80,9.80,-,0
2018-03-13,9.82,9.82,9.82,9.82,1100,0
2018-03-14,9.82,9.82,9.82,9.82,-,0
2018-03-15,9.82,9.82,9.82,9.82,-,0
2018-03-16,9.81,9.81,9.81,9.81,400,0
2018-03-19,9.81,9.81,9.81,9.81,500,0
2018-03-20,9.81,9.81,9.81,9.81,-,0
2018-03-21,9.81,9.81,9.81,9.81,-,0
2018-03-22,9.82,9.82,9.81,9.81,300,0
2018-03-23,9.81,9.81,9.81,9.81,-,0
2018-03-26,9.86,9.86,9.85,9.85,2000,0
2018-03-27,9.85,9.85,9.85,9.85,-,0
2018-03-28,9.85,9.85,9.85,9.85,-,0
2018-03-29,9.86,9.86,9.85,9.86,1900,0
2018-04-02,9.86,9.86,9.86,9.86,-,0
2018-04-03,9.86,9.86,9.86,9.86,-,0
2018-04-04,9.86,9.86,9.86,9.86,-,0
2018-04-05,9.86,9.86,9.86,9.86,-,0
2018-04-06,9.86,9.86,9.86,9.86,-,0
