Date,Open,High,Low,Close,Volume,OpenInt
2016-12-12,23.879,23.879,23.781,23.84,228144,0
2016-12-13,23.781,23.907,23.781,23.879,220229,0
2016-12-14,23.811,23.975,23.781,23.957,268538,0
2016-12-15,23.83,23.898,23.733,23.879,102402,0
2016-12-16,23.927,23.927,23.558,23.772,145474,0
2016-12-19,23.907,23.927,23.733,23.843,52626,0
2016-12-20,23.879,24.074,23.879,24.046,108425,0
2016-12-21,24.102,24.218,23.975,24.218,82064,0
2016-12-22,24.218,24.51,24.141,24.316,140061,0
2016-12-23,24.335,24.364,24.238,24.267,26391,0
2016-12-27,24.277,24.296,24.103,24.296,65265,0
2016-12-28,24.248,24.335,24.219,24.296,42900,0
2016-12-29,24.316,24.432,24.296,24.364,63345,0
2016-12-30,24.364,24.957,24.364,24.947,267134,0
2017-01-03,25.073,25.073,24.588,24.588,140407,0
2017-01-04,24.791,24.791,24.51,24.597,56752,0
2017-01-05,24.646,24.646,24.384,24.52,55875,0
2017-01-06,24.462,24.52,24.412,24.51,57760,0
2017-01-09,24.5,24.509,24.402,24.422,138136,0
2017-01-10,24.49,24.51,24.393,24.452,103020,0
2017-01-11,24.5,24.5,24.364,24.422,199289,0
2017-01-12,24.462,24.462,24.384,24.432,182532,0
2017-01-13,24.452,24.462,24.412,24.432,133879,0
2017-01-17,24.5,24.5,24.442,24.47,97427,0
2017-01-18,24.49,24.578,24.412,24.422,210835,0
2017-01-19,24.412,24.412,24.277,24.296,236748,0
2017-01-20,24.296,24.327,24.238,24.296,114779,0
2017-01-23,24.422,24.462,24.277,24.412,112767,0
2017-01-24,24.364,24.51,24.364,24.462,55970,0
2017-01-25,24.548,24.548,24.306,24.452,62891,0
2017-01-26,24.452,24.733,24.426,24.655,51318,0
2017-01-27,24.781,24.791,24.578,24.578,33015,0
2017-01-30,24.743,24.743,24.462,24.606,145993,0
2017-01-31,24.655,24.655,24.538,24.588,30068,0
2017-02-01,24.675,24.684,24.556,24.684,41552,0
2017-02-02,24.723,24.801,24.606,24.723,24496,0
2017-02-03,24.791,25.086,24.752,25.043,103929,0
2017-02-06,25.092,25.092,24.859,25.015,45103,0
2017-02-07,25.053,25.083,24.927,25.043,39418,0
2017-02-08,25.033,25.189,25.015,25.121,56931,0
2017-02-09,24.888,25.101,24.859,24.985,66091,0
2017-02-10,25.043,25.092,24.966,25.015,17638,0
2017-02-13,25.043,25.083,25.005,25.059,29957,0
2017-02-14,25.092,25.092,24.849,24.957,89235,0
2017-02-15,24.859,24.947,24.832,24.879,107533,0
2017-02-16,24.879,25.033,24.879,25.033,47892,0
2017-02-17,25.043,25.043,24.932,24.965,36442,0
2017-02-21,24.995,25.432,24.983,25.374,69355,0
2017-02-22,25.306,25.461,25.199,25.442,57949,0
2017-02-23,25.461,25.51,25.417,25.451,66973,0
2017-02-24,25.4,25.627,25.4,25.607,50708,0
2017-02-27,25.617,25.706,25.302,25.321,116755,0
2017-02-28,25.371,25.39,25.095,25.361,140970,0
2017-03-01,25.311,25.321,25.045,25.193,101052,0
2017-03-02,25.124,25.223,25.065,25.134,37084,0
2017-03-03,25.134,25.173,25.045,25.144,34335,0
2017-03-06,25.173,25.173,25.065,25.134,57989,0
2017-03-07,25.085,25.144,25.016,25.065,50740,0
2017-03-08,24.996,25.045,24.71,24.878,54145,0
2017-03-09,24.828,24.896,24.71,24.848,43528,0
2017-03-10,24.897,25.006,24.661,24.71,57941,0
2017-03-13,24.868,24.926,24.749,24.799,15313,0
2017-03-14,24.749,24.869,24.71,24.759,41405,0
2017-03-15,24.937,25.095,24.779,25.075,29424,0
2017-03-16,25.095,25.242,25.085,25.144,36143,0
2017-03-17,25.075,25.241,25.013,25.085,17622,0
2017-03-20,25.213,25.331,25.104,25.282,28674,0
2017-03-21,25.223,25.242,25.085,25.183,32070,0
2017-03-22,25.242,25.371,25.193,25.371,29896,0
2017-03-23,25.242,25.39,25.242,25.39,34758,0
2017-03-24,25.39,25.568,25.302,25.568,38412,0
2017-03-27,25.528,25.745,25.262,25.716,39707,0
2017-03-28,25.686,25.686,25.519,25.538,26553,0
2017-03-29,25.666,25.666,25.499,25.578,16107,0
2017-03-30,25.617,25.676,25.509,25.676,35251,0
2017-03-31,25.686,25.874,25.588,25.864,35772,0
2017-04-03,25.864,26.13,25.814,26.041,48126,0
2017-04-04,26.13,26.219,25.865,26.012,29009,0
2017-04-05,26.031,26.11,25.874,26.1,43275,0
2017-04-06,25.982,26.179,25.864,26.179,43961,0
2017-04-07,26.179,26.179,25.943,25.962,102636,0
2017-04-10,26.09,26.1,25.992,26.021,23986,0
2017-04-11,25.952,26.071,25.913,25.923,25522,0
2017-04-12,26.012,26.012,25.834,25.962,56895,0
2017-04-13,25.972,26.02,25.864,25.864,16759,0
2017-04-17,25.883,25.883,25.706,25.824,94138,0
2017-04-18,25.795,25.824,25.558,25.696,263783,0
2017-04-19,25.696,25.716,25.578,25.647,73704,0
2017-04-20,25.686,25.755,25.637,25.637,41249,0
2017-04-21,25.696,25.765,25.637,25.657,26955,0
2017-04-24,25.745,25.814,25.686,25.765,15263,0
2017-04-25,25.785,25.844,25.736,25.775,26676,0
2017-04-26,25.844,25.864,25.735,25.841,48933,0
2017-04-27,25.765,25.854,25.726,25.755,44131,0
2017-04-28,25.795,25.834,25.795,25.824,5513,0
2017-05-01,25.804,25.844,25.716,25.834,73620,0
2017-05-02,25.834,25.834,25.795,25.834,9358,0
2017-05-03,25.765,25.834,25.735,25.765,26867,0
2017-05-04,25.834,25.834,25.765,25.824,14631,0
2017-05-05,25.824,25.824,25.745,25.795,21392,0
2017-05-08,25.824,25.824,25.745,25.824,20356,0
2017-05-09,25.824,25.874,25.795,25.874,17419,0
2017-05-10,25.874,25.933,25.854,25.933,26819,0
2017-05-11,25.933,25.972,25.903,25.962,28939,0
2017-05-12,25.972,26.15,25.962,26.14,64009,0
2017-05-15,26.14,26.238,26.101,26.15,35118,0
2017-05-16,26.219,26.288,26.121,26.268,15785,0
2017-05-17,26.298,26.298,26.141,26.225,25206,0
2017-05-18,26.258,26.268,26.129,26.248,11213,0
2017-05-19,26.179,26.347,26.179,26.327,26089,0
2017-05-22,26.337,26.357,26.19,26.289,22041,0
2017-05-23,26.357,26.396,26.209,26.396,15221,0
2017-05-24,26.436,26.583,26.372,26.465,11115,0
2017-05-25,26.613,26.643,26.292,26.475,30654,0
2017-05-26,26.59,26.8,26.4037,26.45,23521,0
2017-05-30,26.62,26.62,26.2887,26.37,40103,0
2017-05-31,26.32,26.38,26.22,26.22,46944,0
2017-06-01,26.24,26.3737,26.221,26.36,34745,0
2017-06-02,26.38,26.41,26.3208,26.4,17159,0
2017-06-05,26.42,26.42,26.33,26.34,17495,0
2017-06-06,26.33,26.394,26.28,26.3,30467,0
2017-06-07,26.33,26.34,26.26,26.26,32908,0
2017-06-08,26.33,26.33,26.23,26.29,20004,0
2017-06-09,26.2409,26.31,26.2301,26.3,19161,0
