Date,Open,High,Low,Close,Volume,OpenInt
2017-07-27,9.879,9.909,9.879,9.889,1018517,0
2017-07-28,9.899,9.909,9.889,9.909,58079,0
2017-07-31,9.917,9.939,9.889,9.899,56770,0
2017-08-01,9.909,9.949,9.899,9.949,57242,0
2017-08-02,9.929,9.949,9.919,9.949,93983,0
2017-08-03,9.929,9.949,9.919,9.939,25407,0
2017-08-04,9.949,9.949,9.929,9.929,42424,0
2017-08-07,9.939,9.949,9.919,9.939,17763,0
2017-08-08,9.949,9.949,9.929,9.934,21527,0
2017-08-09,9.929,9.939,9.909,9.929,42967,0
2017-08-10,9.929,9.929,9.899,9.919,11837,0
2017-08-11,9.921,9.929,9.919,9.929,19033,0
2017-08-14,9.919,9.929,9.91,9.929,9266,0
2017-08-15,9.909,9.929,9.909,9.929,7962,0
2017-08-16,9.919,9.919,9.909,9.909,6857,0
2017-08-17,9.919,9.919,9.909,9.909,21900,0
2017-08-18,9.909,9.909,9.899,9.899,17711,0
2017-08-21,9.9,9.909,9.899,9.899,13658,0
2017-08-22,9.929,9.929,9.929,9.929,3441,0
2017-08-23,9.929,9.929,9.899,9.899,36527,0
2017-08-24,9.905,9.905,9.889,9.899,16997,0
2017-08-25,9.879,9.899,9.879,9.888,131974,0
2017-08-28,9.889,9.929,9.889,9.889,14832,0
2017-08-29,9.889,9.889,9.884,9.884,9067,0
2017-08-30,9.879,9.889,9.879,9.879,31350,0
2017-08-31,9.879,9.969,9.879,9.964,44295,0
2017-09-05,9.919,9.927,9.919,9.927,4955,0
2017-09-06,9.929,9.969,9.899,9.899,8249,0
2017-09-07,9.919,9.919,9.879,9.879,18218,0
2017-09-08,9.889,9.889,9.792,9.889,6579,0
2017-09-11,9.782,9.879,9.694,9.879,10546,0
2017-09-12,9.889,9.919,9.857,9.857,6173,0
2017-09-13,9.879,9.899,9.879,9.899,18139,0
2017-09-14,9.949,9.949,9.909,9.919,17495,0
2017-09-15,9.939,9.939,9.889,9.929,12500,0
2017-09-18,9.909,9.919,9.791,9.791,36797,0
2017-09-19,9.87,9.876,9.771,9.821,17980,0
2017-09-20,9.889,9.889,9.821,9.869,7863,0
2017-09-21,9.899,9.899,9.821,9.831,14100,0
2017-09-22,9.891,9.891,9.771,9.841,15376,0
2017-09-25,9.879,9.919,9.771,9.869,70853,0
2017-09-26,9.791,9.889,9.781,9.791,38147,0
2017-09-27,9.843,9.843,9.791,9.791,18489,0
2017-09-28,9.825,9.869,9.801,9.869,21473,0
2017-09-29,9.869,9.879,9.82,9.869,12121,0
2017-10-02,9.821,9.865,9.814,9.821,13358,0
2017-10-03,9.811,9.853,9.781,9.821,15184,0
2017-10-04,9.801,9.851,9.781,9.801,25926,0
2017-10-05,9.821,9.831,9.771,9.791,29592,0
2017-10-06,9.825,9.825,9.8,9.821,15948,0
2017-10-09,9.821,9.859,9.821,9.859,32678,0
2017-10-10,9.869,9.899,9.846,9.879,57271,0
2017-10-11,9.899,9.9,9.847,9.878,8886,0
2017-10-12,9.889,9.889,9.84,9.84,36695,0
2017-10-13,9.869,9.879,9.83,9.879,24127,0
2017-10-16,9.864,9.879,9.85,9.878,22673,0
2017-10-17,9.869,9.899,9.86,9.899,32765,0
2017-10-18,9.87,9.88,9.868,9.869,10242,0
2017-10-19,9.87,9.899,9.866,9.876,14827,0
2017-10-20,9.859,9.909,9.859,9.899,9621,0
2017-10-23,9.875,9.899,9.859,9.879,14016,0
2017-10-24,9.886,9.923,9.859,9.923,17989,0
2017-10-25,9.914,9.914,9.81,9.81,66972,0
2017-10-26,9.81,9.959,9.81,9.81,72514,0
2017-10-27,9.8,9.859,9.8,9.85,24926,0
2017-10-30,9.859,9.859,9.77,9.78,70253,0
2017-10-31,9.76,9.859,9.76,9.82,45405,0
2017-11-01,9.85,9.85,9.75,9.77,39120,0
2017-11-02,9.81,9.83,9.774,9.83,15564,0
2017-11-03,9.82,9.859,9.795,9.81,24046,0
2017-11-06,9.78,9.81,9.77,9.77,36105,0
2017-11-07,9.77,9.79,9.75,9.75,32157,0
2017-11-08,9.8,9.8,9.601,9.611,55870,0
2017-11-09,9.65,9.65,9.611,9.64,9893,0
2017-11-10,9.7007,9.72,9.58,9.72,35950,0
2017-11-17,9.67,9.67,9.58,9.63,20400,0
2017-11-20,9.72,9.73,9.65,9.71,8200,0
2017-11-21,9.83,9.85,9.59,9.63,64200,0
2017-11-22,9.60,9.63,9.50,9.51,37100,0
2017-11-24,9.58,9.60,9.57,9.57,900,0
2017-11-27,9.58,9.60,9.37,9.43,45500,0
2017-11-28,9.45,9.56,9.36,9.41,102200,0
2017-11-29,9.39,9.39,9.20,9.27,135700,0
2017-11-30,9.30,9.44,9.22,9.43,161900,0
2017-12-01,9.48,9.50,9.33,9.34,62900,0
2017-12-04,9.39,9.41,9.26,9.27,129300,0
2017-12-05,9.25,9.48,9.14,9.34,135700,0
2017-12-06,9.39,9.44,9.30,9.40,28900,0
2017-12-07,9.42,9.55,9.26,9.29,132800,0
2017-12-08,9.27,9.32,9.25,9.26,78000,0
2017-12-11,9.25,9.31,9.23,9.24,59100,0
2017-12-12,9.26,9.33,9.23,9.28,158100,0
2017-12-13,9.31,9.32,9.25,9.25,130400,0
2017-12-14,9.27,9.29,9.22,9.26,276800,0
2017-12-15,9.25,9.29,9.24,9.25,128700,0
2017-12-18,9.34,9.34,9.26,9.29,101200,0
2017-12-19,9.25,9.34,9.25,9.31,234300,0
2017-12-20,9.29,9.50,9.25,9.48,160800,0
2017-12-21,9.40,9.47,9.22,9.35,488100,0
2017-12-22,9.35,9.60,9.27,9.59,312300,0
2017-12-26,9.42,9.54,9.37,9.50,105700,0
2017-12-27,9.44,9.50,9.29,9.30,232000,0
2017-12-28,9.31,9.31,9.24,9.25,337600,0
2017-12-29,9.25,9.27,9.20,9.24,409300,0
2018-01-02,9.25,9.29,9.25,9.27,29300,0
2018-01-03,9.29,9.33,9.23,9.29,54200,0
2018-01-04,9.30,9.33,9.27,9.30,127200,0
2018-01-05,9.32,9.37,9.31,9.35,30100,0
2018-01-08,9.36,9.40,9.34,9.35,123100,0
2018-01-09,9.40,9.40,9.32,9.40,40700,0
2018-01-10,9.40,9.40,9.37,9.40,27000,0
2018-01-11,9.31,9.40,9.31,9.39,95400,0
2018-01-12,9.39,9.39,9.33,9.37,52500,0
2018-01-16,9.39,9.44,9.36,9.42,46400,0
2018-01-17,9.38,9.40,9.37,9.38,48800,0
2018-01-18,9.43,9.43,9.36,9.42,25300,0
2018-01-19,9.33,9.40,9.32,9.35,77600,0
2018-01-22,9.32,9.42,9.32,9.35,81300,0
2018-01-23,9.40,9.42,9.40,9.41,13900,0
2018-01-24,9.42,9.45,9.40,9.44,63700,0
2018-01-25,9.46,9.48,9.42,9.47,26600,0
2018-01-26,9.44,9.50,9.44,9.49,26100,0
2018-01-29,9.49,9.49,9.41,9.41,63000,0
2018-01-30,9.48,9.48,9.32,9.37,115500,0
2018-01-31,9.35,9.37,9.34,9.37,51900,0
2018-02-01,9.34,9.39,9.29,9.32,126500,0
2018-02-02,9.42,9.42,9.27,9.31,124800,0
2018-02-05,9.30,9.40,9.19,9.19,166000,0
2018-02-06,9.19,9.30,9.15,9.28,212400,0
2018-02-07,9.28,9.30,9.21,9.27,105100,0
2018-02-08,9.23,9.27,9.11,9.18,158100,0
2018-02-09,9.17,9.17,9.09,9.10,197200,0
2018-02-12,9.10,9.23,9.10,9.15,212400,0
2018-02-13,9.18,9.18,9.08,9.15,299900,0
2018-02-14,9.17,9.19,9.12,9.18,48500,0
2018-02-15,9.20,9.26,9.13,9.21,88100,0
2018-02-16,9.29,9.29,9.18,9.28,50800,0
2018-02-20,9.27,9.28,9.20,9.21,43000,0
2018-02-21,9.27,9.27,9.17,9.20,109700,0
2018-02-22,9.21,9.22,9.14,9.18,70700,0
2018-02-23,9.22,9.25,9.19,9.19,67800,0
2018-02-26,9.24,9.24,9.14,9.21,88700,0
2018-02-27,9.16,9.24,9.16,9.18,119700,0
2018-02-28,9.18,9.31,9.18,9.25,146500,0
2018-03-01,9.30,9.33,9.27,9.31,52900,0
2018-03-02,9.23,9.38,9.23,9.32,56100,0
2018-03-05,9.25,9.32,9.24,9.30,73000,0
2018-03-06,9.32,9.33,9.29,9.31,65900,0
2018-03-07,9.28,9.34,9.28,9.33,44100,0
2018-03-08,9.28,9.36,9.28,9.33,51500,0
2018-03-09,9.28,9.36,9.27,9.34,36700,0
2018-03-12,9.29,9.34,9.29,9.34,24000,0
2018-03-13,9.34,9.34,9.21,9.25,87900,0
2018-03-14,9.25,9.31,9.20,9.25,132100,0
2018-03-15,9.31,9.31,9.23,9.25,37100,0
2018-03-16,9.25,9.34,9.25,9.31,100600,0
2018-03-19,9.34,9.34,9.25,9.28,37600,0
2018-03-20,9.30,9.32,9.27,9.28,35400,0
2018-03-21,9.30,9.30,9.26,9.29,40300,0
2018-03-22,9.31,9.33,9.25,9.26,60500,0
2018-03-23,9.29,9.33,9.26,9.26,49900,0
2018-03-26,9.30,9.34,9.22,9.32,98600,0
2018-03-27,9.33,9.37,9.27,9.36,77200,0
2018-03-28,9.36,9.41,9.33,9.41,60200,0
2018-03-29,9.41,9.41,9.31,9.32,432700,0
2018-04-02,9.38,9.38,9.28,9.28,53500,0
2018-04-03,9.26,9.36,9.25,9.36,28500,0
2018-04-04,9.36,9.42,9.34,9.40,58300,0
2018-04-05,9.40,9.43,9.36,9.38,31800,0
2018-04-06,9.38,9.43,9.32,9.40,60900,0
2018-04-09,9.40,9.46,9.35,9.41,43422,0
