Date,Open,High,Low,Close,Volume,OpenInt
2017-08-22,25.265,25.265,25.25,25.25,815,0
2017-08-23,25.26,25.27,25.26,25.27,673,0
2017-08-28,25.54,25.54,25.525,25.525,440,0
2017-08-29,25.88,25.88,25.59,25.59,2448,0
2017-08-30,25.8499,25.8499,25.8125,25.8125,1390,0
2017-09-01,26.1199,26.1199,26.0805,26.1,584,0
2017-09-06,26.33,26.33,26.2037,26.2037,914,0
2017-09-07,26.32,26.43,26.32,26.38,934,0
2017-09-11,26.42,26.42,26.35,26.35,502,0
2017-09-15,26.3099,26.3237,26.3099,26.3237,506,0
2017-09-18,26.2,26.2,26.2,26.2,185,0
2017-09-21,25.62,25.75,25.62,25.75,497,0
2017-09-25,25.83,25.83,25.83,25.83,475,0
2017-09-26,25.8194,25.83,25.8194,25.83,270,0
2017-10-10,25.59,25.59,25.59,25.59,785,0
2017-10-13,26.03,26.0564,26.03,26.0564,1462,0
2017-10-19,26.07,26.11,26.07,26.11,561,0
2017-10-20,25.82,25.82,25.82,25.82,268,0
2017-10-24,25.895,25.895,25.895,25.895,100,0
2017-10-25,25.4701,25.4801,25.4701,25.4801,214,0
2017-10-31,25.98,25.98,25.98,25.98,100,0
2017-11-02,26.0433,26.0433,26.0433,26.0433,488,0
2017-11-07,26.1,26.1,25.34,25.34,2660,0
2017-11-08,25.226,25.226,25.226,25.226,488,0
2017-11-09,25.04,25.04,25.04,25.04,200,0
2017-11-10,24.85,24.99,24.85,24.99,1201,0
2017-11-15,25.04,25.04,25.04,25.04,100,0
2017-11-16,25.04,25.04,25.04,25.04,-,0
2017-11-17,25.04,25.04,25.04,25.04,-,0
2017-11-20,25.54,25.54,25.43,25.43,800,0
2017-11-21,25.43,25.43,25.43,25.43,-,0
2017-11-22,25.43,25.43,25.43,25.43,-,0
2017-11-24,25.43,25.43,25.43,25.43,-,0
2017-11-27,25.92,25.92,25.92,25.92,100,0
2017-11-28,25.92,25.92,25.92,25.92,-,0
2017-11-29,25.92,25.92,25.92,25.92,-,0
2017-11-30,25.75,25.75,25.74,25.74,400,0
2017-12-01,25.86,25.86,25.86,25.86,1000,0
2017-12-04,25.93,25.93,25.93,25.93,500,0
2017-12-05,26.04,26.04,26.04,26.04,1300,0
2017-12-06,26.04,26.04,26.04,26.04,-,0
2017-12-07,26.04,26.04,26.04,26.04,-,0
2017-12-08,25.91,25.91,25.91,25.91,100,0
2017-12-11,26.06,26.06,26.06,26.06,200,0
2017-12-12,25.98,25.98,25.87,25.87,12900,0
2017-12-13,25.87,25.87,25.87,25.87,-,0
2017-12-14,25.87,25.87,25.87,25.87,-,0
