Date,Open,High,Low,Close,Volume,OpenInt
2017-07-26,50.8357,50.95,50.8357,50.91,1125,0
2017-07-28,50.67,50.67,50.67,50.67,145,0
2017-07-31,50.57,50.57,50.57,50.57,250,0
2017-08-02,50.82,51.005,50.82,51.005,1120,0
2017-08-03,50.62,50.62,50.62,50.62,100,0
2017-08-04,50.76,50.82,50.76,50.82,4240,0
2017-08-09,50.33,50.33,50.33,50.33,300,0
2017-08-14,50.0248,50.107,50.0248,50.107,350,0
2017-08-16,50.35,50.35,50.35,50.35,100,0
2017-08-18,50.14,50.26,50.14,50.2,5820,0
2017-08-23,51.0596,51.0596,51.0596,51.0596,400,0
2017-08-24,51.19,51.31,51.19,51.31,700,0
2017-08-25,51.5235,51.5235,51.5235,51.5235,200,0
2017-08-30,51.38,51.38,51.38,51.38,180,0
2017-09-01,51.77,51.85,51.77,51.82,903,0
2017-09-06,51.35,51.501,51.35,51.501,1600,0
2017-09-08,51.66,51.67,51.64,51.64,1550,0
2017-09-11,52.09,52.09,52.08,52.08,500,0
2017-09-13,51.82,51.82,51.66,51.69,1780,0
2017-09-14,51.81,51.81,51.81,51.81,500,0
2017-09-15,51.97,52.16,51.97,52.16,500,0
2017-09-18,52.41,52.41,52.31,52.31,2900,0
2017-09-22,51.86,51.86,51.824,51.824,250,0
2017-09-25,51.54,51.54,51.2999,51.2999,2984,0
2017-09-26,51,51.01,51,51,2200,0
2017-09-27,50.73,50.73,50.52,50.52,2502,0
2017-09-28,50.43,50.54,50.43,50.54,987,0
2017-09-29,50.9,51.04,50.9,51.04,486,0
2017-10-03,51.29,51.3,51.2673,51.3,3031,0
2017-10-04,51.63,51.63,51.63,51.63,198,0
2017-10-06,51.49,51.62,51.49,51.62,265,0
2017-10-09,51.48,51.48,51.48,51.48,230,0
2017-10-10,52.07,52.1,52.04,52.04,1636,0
2017-10-13,53.22,53.22,53.15,53.15,1365,0
2017-10-16,53.239,53.24,53.1989,53.2012,2158,0
2017-10-17,52.7352,52.8293,52.7352,52.8293,368,0
2017-10-19,52.44,52.53,52.44,52.53,559,0
2017-10-20,52.65,52.65,52.62,52.62,400,0
2017-10-26,52.02,52.14,52.02,52.14,2859,0
2017-10-30,52.33,52.33,52.33,52.33,273,0
2017-10-31,52.72,52.72,52.7199,52.7199,535,0
2017-11-01,53.23,53.24,53.16,53.16,514,0
2017-11-03,52.56,52.56,52.56,52.56,150,0
2017-11-06,53.26,53.26,53.26,53.26,176,0
2017-11-07,52.85,52.85,52.65,52.65,670,0
2017-11-08,52.901,52.939,52.901,52.939,675,0
2017-11-09,52.57,52.57,52.57,52.57,875,0
2017-11-14,51.810,51.810,51.810,51.810,500,0
2017-11-15,51.810,51.810,51.810,51.810,-,0
2017-11-16,51.810,51.810,51.810,51.810,-,0
2017-11-17,51.810,51.810,51.810,51.810,-,0
2017-11-20,52.906,52.909,52.906,52.909,2600,0
2017-11-21,53.370,53.370,53.370,53.370,300,0
2017-11-22,53.610,53.610,53.610,53.610,300,0
2017-11-24,53.570,53.570,53.570,53.570,300,0
2017-11-27,53.230,53.230,53.050,53.050,800,0
2017-11-28,53.470,53.470,53.360,53.410,1000,0
2017-11-29,53.070,53.070,52.940,52.940,500,0
2017-11-30,52.600,52.680,52.589,52.670,29100,0
2017-12-01,52.670,52.670,52.670,52.670,-,0
2017-12-04,52.590,52.590,52.449,52.449,700,0
2017-12-05,52.449,52.449,52.449,52.449,-,0
2017-12-06,51.730,51.850,51.640,51.790,1300,0
2017-12-07,51.400,51.860,51.400,51.740,3900,0
2017-12-08,52.090,52.140,52.090,52.100,600,0
2017-12-11,52.100,52.100,52.100,52.100,-,0
2017-12-12,51.900,51.910,51.870,51.870,600,0
2017-12-13,52.460,52.460,52.460,52.460,300,0
2017-12-14,52.390,52.390,52.390,52.390,500,0
2017-12-15,52.300,52.520,52.300,52.381,3700,0
2017-12-18,52.902,53.150,52.902,53.150,1000,0
2017-12-19,52.450,52.450,52.260,52.260,1900,0
2017-12-20,52.260,52.260,52.260,52.260,100,0
2017-12-21,52.560,52.560,52.560,52.560,400,0
2017-12-22,52.690,52.780,52.680,52.780,900,0
2017-12-26,52.790,52.810,52.790,52.810,400,0
2017-12-27,53.059,53.110,53.059,53.060,1900,0
2017-12-28,53.639,53.639,53.550,53.550,700,0
2017-12-29,53.936,53.960,53.895,53.930,6700,0
2018-01-02,54.540,54.540,54.380,54.500,1100,0
2018-01-03,54.931,55.020,54.931,55.020,500,0
2018-01-04,55.150,55.210,55.070,55.070,3000,0
2018-01-05,55.540,55.600,55.540,55.600,500,0
2018-01-08,55.500,55.585,55.500,55.585,1100,0
2018-01-09,55.480,55.490,55.299,55.420,8600,0
2018-01-10,54.930,54.979,54.930,54.979,600,0
2018-01-11,55.160,55.390,55.160,55.360,500,0
2018-01-12,55.519,55.725,55.519,55.725,400,0
2018-01-16,56.045,56.045,55.940,55.940,2500,0
2018-01-17,56.615,56.615,56.580,56.581,1900,0
2018-01-18,56.565,56.565,56.565,56.565,100,0
2018-01-19,56.680,56.697,56.663,56.697,1500,0
2018-01-22,56.697,56.697,56.697,56.697,-,0
2018-01-23,56.950,57.215,56.950,57.133,8500,0
2018-01-24,57.749,57.749,57.470,57.500,3000,0
2018-01-25,58.150,58.489,58.010,58.055,5900,0
2018-01-26,58.140,58.440,58.085,58.414,12500,0
2018-01-29,57.850,57.920,57.759,57.850,7000,0
2018-01-30,57.170,57.240,56.895,56.895,1800,0
2018-01-31,57.690,57.690,57.350,57.365,1000,0
2018-02-01,57.130,57.130,57.120,57.130,1100,0
2018-02-02,55.995,55.995,55.780,55.780,600,0
2018-02-05,55.620,55.620,54.000,54.000,3600,0
2018-02-06,53.690,54.970,53.690,54.959,2200,0
2018-02-07,55.010,55.010,54.930,54.930,400,0
2018-02-08,53.770,53.770,53.070,53.070,1400,0
2018-02-09,52.910,52.910,52.235,52.235,900,0
2018-02-12,54.080,54.400,54.030,54.270,4800,0
2018-02-13,54.490,54.510,54.490,54.510,1000,0
2018-02-14,55.603,55.603,55.500,55.520,31600,0
2018-02-15,56.290,56.300,56.290,56.300,200,0
2018-02-16,55.950,55.950,55.950,55.950,200,0
2018-02-20,54.960,54.960,54.960,54.960,300,0
2018-02-21,55.680,55.680,55.680,55.680,300,0
2018-02-22,55.680,55.680,55.680,55.680,-,0
2018-02-23,55.931,56.150,55.931,56.150,2200,0
2018-02-26,56.246,56.246,56.246,56.246,200,0
2018-02-27,56.246,56.246,56.246,56.246,-,0
2018-02-28,55.300,55.300,54.750,54.750,400,0
2018-03-01,54.850,55.000,54.600,54.600,1600,0
2018-03-02,54.160,54.160,53.975,54.000,1000,0
2018-03-05,54.480,54.480,54.480,54.480,800,0
2018-03-06,54.480,54.480,54.480,54.480,-,0
2018-03-07,54.480,54.480,54.480,54.480,-,0
2018-03-08,54.480,54.480,54.480,54.480,-,0
2018-03-09,54.480,54.480,54.480,54.480,-,0
2018-03-12,54.480,54.480,54.480,54.480,-,0
2018-03-13,56.365,56.365,56.300,56.300,800,0
2018-03-14,56.350,56.350,55.960,55.960,800,0
2018-03-15,55.680,55.680,55.680,55.680,100,0
2018-03-16,55.680,55.680,55.680,55.680,-,0
2018-03-19,55.680,55.680,55.680,55.680,-,0
2018-03-20,55.070,55.070,55.070,55.070,100,0
2018-03-21,55.070,55.070,55.070,55.070,-,0
2018-03-22,55.070,55.070,55.070,55.070,-,0
2018-03-23,54.500,54.500,54.100,54.100,300,0
2018-03-26,54.800,54.800,54.740,54.740,400,0
2018-03-27,55.030,55.030,54.870,54.870,500,0
2018-03-28,54.870,54.870,54.870,54.870,-,0
2018-03-29,54.860,54.860,54.860,54.860,100,0
2018-04-02,54.055,54.055,54.055,54.055,200,0
2018-04-03,54.600,54.600,54.550,54.600,400,0
2018-04-04,53.950,53.950,53.950,53.950,200,0
2018-04-05,53.950,53.950,53.950,53.950,-,0
2018-04-06,54.480,54.480,54.000,54.000,200,0
2018-04-09,54.059,54.059,54.059,54.059,350,0
