Date,Open,High,Low,Close,Volume,OpenInt
2017-11-09,14.945,14.945,14.82,14.939,1551000,0
2017-11-10,14.95,15.02,14.95,15.01,100000,0
2017-11-14,14.99,15.02,14.95,15.02,54800,0
2017-11-15,15.10,15.10,14.91,14.91,52300,0
2017-11-16,15.08,15.15,15.08,15.14,55000,0
2017-11-17,15.25,15.25,15.15,15.15,56800,0
2017-11-20,15.19,15.19,15.14,15.14,57300,0
2017-11-21,15.29,15.33,15.28,15.33,27400,0
2017-11-22,15.31,15.32,15.29,15.32,44800,0
2017-11-24,15.39,15.39,15.39,15.39,25000,0
2017-11-27,15.34,15.34,15.29,15.29,26300,0
2017-11-28,15.32,15.32,15.29,15.32,26000,0
2017-11-29,15.14,15.14,15.00,15.06,79000,0
2017-11-30,15.21,15.23,15.20,15.20,25200,0
2017-12-01,15.21,15.26,15.12,15.14,26200,0
2017-12-04,15.27,15.27,15.01,15.01,28100,0
2017-12-05,15.12,15.12,15.00,15.00,25000,0
2017-12-06,14.98,15.06,14.98,15.06,25100,0
2017-12-07,15.50,15.50,15.11,15.14,43600,0
2017-12-08,15.26,15.26,15.22,15.22,25200,0
2017-12-11,15.39,15.39,15.25,15.25,26700,0
2017-12-12,15.30,15.30,15.25,15.25,38300,0
2017-12-13,15.30,15.30,15.24,15.25,26600,0
2017-12-14,15.27,15.30,15.20,15.21,26600,0
2017-12-15,15.30,15.33,15.30,15.33,25400,0
2017-12-18,15.47,15.48,15.47,15.48,25800,0
2017-12-19,15.44,15.44,15.40,15.42,24300,0
2017-12-20,15.37,15.37,15.36,15.36,600,0
2017-12-21,15.38,15.38,15.38,15.38,12700,0
2017-12-22,15.30,15.32,15.30,15.32,13000,0
2017-12-26,15.26,15.33,15.26,15.33,15600,0
2017-12-27,15.36,15.36,15.32,15.32,12700,0
2017-12-28,15.37,15.38,15.34,15.34,15800,0
2017-12-29,15.29,15.29,15.29,15.29,12600,0
2018-01-02,15.37,15.49,15.37,15.49,18300,0
2018-01-03,15.54,15.72,15.50,15.71,13600,0
2018-01-04,15.75,15.80,15.75,15.77,14100,0
2018-01-05,15.86,15.90,15.86,15.90,13300,0
2018-01-08,16.00,16.04,15.97,16.04,15200,0
2018-01-09,16.05,16.08,16.05,16.07,16700,0
2018-01-10,16.07,16.08,16.05,16.07,16900,0
2018-01-11,16.17,16.21,16.17,16.21,12900,0
2018-01-12,16.24,16.30,16.24,16.30,14000,0
2018-01-16,16.49,16.49,16.16,16.16,16400,0
2018-01-17,16.21,16.34,15.90,16.33,18200,0
2018-01-18,16.32,16.35,16.32,16.35,14900,0
2018-01-19,16.38,16.43,16.38,16.43,13200,0
2018-01-22,16.59,16.65,16.59,16.65,12900,0
2018-01-23,16.88,16.97,16.88,16.94,28600,0
2018-01-24,17.14,17.14,16.87,16.94,16900,0
2018-01-25,16.99,17.00,16.92,16.92,18300,0
2018-01-26,17.07,17.07,17.00,17.02,15300,0
2018-01-29,17.04,17.13,16.97,17.05,23300,0
2018-01-30,16.96,16.98,16.96,16.97,13000,0
2018-01-31,17.07,17.07,16.95,16.97,20800,0
2018-02-01,16.92,16.96,16.80,16.82,16700,0
2018-02-02,16.78,16.78,16.57,16.57,17000,0
2018-02-05,16.39,16.60,16.07,16.07,31000,0
2018-02-06,15.53,16.12,15.53,16.12,19200,0
