Date,Open,High,Low,Close,Volume,OpenInt
2017-07-26,40.304,40.314,40.085,40.103,2632,0
2017-07-27,40.045,40.045,39.815,39.825,777,0
2017-07-28,39.915,39.925,39.915,39.925,602,0
2017-07-31,40.045,40.156,40.045,40.156,918,0
2017-08-01,40.065,40.065,39.851,39.935,2658,0
2017-08-02,39.895,39.895,39.895,39.895,1028,0
2017-08-09,39.581,39.581,39.524,39.524,431,0
2017-08-10,39.068,39.068,39.068,39.068,100,0
2017-08-14,39.068,39.182,39.068,39.182,457,0
2017-08-17,38.62,38.62,38.217,38.217,251,0
2017-08-21,38.121,38.121,38.002,38.002,401,0
2017-08-23,38.46,38.46,38.46,38.46,1308,0
2017-08-24,38.659,38.659,38.659,38.659,100,0
2017-08-28,38.659,38.819,38.58,38.581,2217,0
2017-08-29,38.59,38.59,38.37,38.37,602,0
2017-08-31,38.729,38.998,38.729,38.998,2107,0
2017-09-01,38.998,38.998,38.998,38.998,1605,0
2017-09-05,38.59,38.59,38.59,38.59,151,0
2017-09-06,38.919,38.919,38.919,38.919,100,0
2017-09-08,38.763,38.763,38.763,38.763,100,0
2017-09-11,39.277,39.277,39.273,39.273,202,0
2017-09-12,39.648,39.648,39.648,39.648,201,0
2017-09-15,39.925,39.925,39.925,39.925,201,0
2017-09-18,40.364,40.364,40.364,40.364,301,0
2017-09-22,42.795,42.795,42.795,42.795,100,0
2017-09-26,41.39,41.649,41.39,41.649,3115,0
2017-09-28,41.85,42.02,41.85,42.02,1454,0
2017-09-29,42.16,42.24,42.125,42.2155,900,0
2017-10-02,42.14,42.23,42.06,42.23,1110,0
2017-10-03,42.45,42.45,42.4499,42.4499,504,0
2017-10-04,42.61,42.61,42.44,42.44,6634,0
2017-10-05,42.81,42.82,42.77,42.7799,9825,0
2017-10-06,42.66,42.66,42.66,42.66,525,0
2017-10-09,42.68,42.68,42.6,42.6,500,0
2017-10-10,42.58,42.58,42.58,42.58,600,0
2017-10-11,42.55,42.6,42.55,42.59,3327,0
2017-10-12,42.58,42.58,42.54,42.54,505,0
2017-10-13,42.62,42.652,42.59,42.5904,7306,0
2017-10-17,42.47,42.4701,42.25,42.36,7060,0
2017-10-18,42.48,42.5,41.7,41.7,1732,0
2017-10-19,41.6,42.32,41.58,42.32,6928,0
2017-10-20,42.65,42.91,42.65,42.91,500,0
2017-10-24,43.2026,43.2026,43.2026,43.2026,216,0
2017-10-25,42.4965,42.65,42.4965,42.6199,5400,0
2017-10-26,42.86,43.0855,42.86,43.0855,3850,0
2017-10-30,42.25,43.1,42.24,42.25,3019,0
2017-10-31,43.18,43.31,43.18,43.2299,1878,0
2017-11-01,43.74,43.74,43.39,43.44,1702,0
2017-11-02,43.43,43.715,43.43,43.6697,403,0
2017-11-03,43.7,43.79,43.7,43.79,790,0
2017-11-06,43.81,43.81,43.81,43.81,1800,0
2017-11-08,43.83,43.83,43.83,43.83,417,0
2017-11-15,43.3900,43.3900,43.3900,43.3900,-,0
2017-11-16,42.9100,43.2300,42.9100,43.1600,6600,0
2017-11-17,43.1600,43.4600,43.1600,43.4000,7800,0
2017-11-20,43.4000,43.4000,43.4000,43.4000,-,0
2017-11-21,43.5400,43.6600,43.5400,43.6600,2500,0
2017-11-22,43.6600,43.6600,43.6600,43.6600,-,0
2017-11-24,43.6600,43.6600,43.6600,43.6600,-,0
2017-11-27,43.6600,43.6600,43.6600,43.6600,-,0
2017-11-28,43.9700,43.9700,43.2950,43.2950,1000,0
2017-11-29,43.2950,43.2950,43.2950,43.2950,-,0
2017-11-30,44.6600,44.9500,43.2500,43.2500,2400,0
2017-12-01,44.4900,44.5850,43.1050,43.1050,50600,0
2017-12-04,44.8900,45.5000,44.8900,45.1220,2200,0
2017-12-05,45.1220,45.1220,45.1220,45.1220,-,0
2017-12-06,44.7700,44.7870,44.7700,44.7870,300,0
2017-12-07,44.7870,44.7870,44.7870,44.7870,-,0
2017-12-08,45.0400,45.3600,45.0400,45.3600,2200,0
2017-12-11,45.3600,45.3600,45.3600,45.3600,-,0
2017-12-12,45.5100,45.6050,45.5030,45.6050,2200,0
2017-12-13,45.5270,45.5270,45.5270,45.5270,200,0
2017-12-14,45.2200,45.2200,45.1900,45.1900,1000,0
2017-12-15,45.2900,45.3180,45.2800,45.2800,700,0
2017-12-18,45.9200,45.9200,45.9200,45.9200,600,0
2017-12-19,46.0900,46.0900,46.0000,46.0000,700,0
2017-12-20,46.1600,46.3090,45.9800,46.3090,1000,0
2017-12-21,46.8100,46.8100,46.8100,46.8100,400,0
2017-12-22,46.7500,46.7500,46.7190,46.7190,300,0
2017-12-26,46.6700,46.6800,46.5300,46.6000,3100,0
2017-12-27,46.6000,46.6000,46.6000,46.6000,200,0
2017-12-28,46.6000,46.6000,46.6000,46.6000,-,0
2017-12-29,46.8250,46.8250,46.6000,46.6800,1500,0
2018-01-02,46.5900,47.0460,46.5900,47.0460,1300,0
2018-01-03,47.5700,47.6200,47.4960,47.6200,600,0
2018-01-04,48.0000,48.0000,47.8200,47.9700,2900,0
2018-01-05,48.0600,48.0600,47.9700,47.9700,500,0
2018-01-08,48.2400,48.3420,48.2400,48.3420,700,0
2018-01-09,48.5600,49.2700,48.5600,48.7700,1800,0
2018-01-10,48.7900,48.9100,48.7840,48.7840,1700,0
2018-01-11,49.0900,49.5200,49.0900,49.4500,5600,0
2018-01-12,49.5600,49.9400,49.5600,49.9000,7100,0
2018-01-16,50.0000,50.0000,49.3100,49.3860,1100,0
2018-01-17,49.2300,49.2340,49.2300,49.2340,400,0
2018-01-18,49.2340,49.2340,49.2340,49.2340,-,0
2018-01-19,49.6900,49.8840,49.6900,49.8840,400,0
2018-01-22,49.5700,50.1850,49.5700,50.1000,5300,0
2018-01-23,50.4640,50.4800,50.4640,50.4800,300,0
2018-01-24,50.6200,50.6800,50.0800,50.4000,3800,0
2018-01-25,50.4000,50.4000,50.4000,50.4000,-,0
2018-01-26,50.1000,50.5100,50.1000,50.5100,2400,0
2018-01-29,50.6000,50.6000,50.3500,50.3500,1500,0
2018-01-30,50.0000,50.0000,49.1600,49.4500,1800,0
2018-01-31,49.6200,49.6200,49.2500,49.4500,1900,0
2018-02-01,49.2100,49.4900,49.2100,49.4600,1600,0
2018-02-02,48.7440,48.8440,48.3260,48.3710,4300,0
2018-02-05,48.2800,48.2800,44.6710,46.4880,20900,0
2018-02-06,46.5800,47.0000,45.5000,46.1100,10000,0
2018-02-07,47.4900,47.5000,46.8340,46.8340,5700,0
2018-02-08,46.6970,46.6970,45.7500,45.7500,900,0
2018-02-09,44.3400,45.6400,43.7420,45.5980,7900,0
2018-02-12,45.2800,46.2900,45.2800,46.0900,4800,0
2018-02-13,46.0520,46.2420,46.0520,46.1650,1300,0
2018-02-14,46.6490,47.0650,46.5670,47.0650,1100,0
2018-02-15,47.3650,47.3650,46.8800,47.3300,4300,0
2018-02-16,47.5500,47.5550,47.2150,47.3670,4700,0
2018-02-20,47.1600,47.3400,47.0800,47.2000,6900,0
2018-02-21,47.5300,47.5400,47.0000,47.0000,4000,0
2018-02-22,47.9800,47.9800,47.0000,47.0000,1400,0
2018-02-23,47.3100,47.3100,47.0000,47.1470,5200,0
2018-02-26,47.1470,47.1470,47.1470,47.1470,-,0
2018-02-27,47.9200,48.5700,47.5710,47.5710,4000,0
2018-02-28,47.4100,47.4550,46.8800,46.8800,1600,0
2018-03-01,46.5100,46.5100,45.9500,46.3400,2900,0
2018-03-02,45.5600,46.2500,45.5600,46.2500,1700,0
2018-03-05,46.4700,46.8900,46.4700,46.8900,700,0
2018-03-06,47.5200,47.6700,47.2100,47.5900,2900,0
2018-03-07,47.5700,47.5700,47.5700,47.5700,800,0
2018-03-08,47.3900,47.4000,47.3900,47.4000,600,0
2018-03-09,48.4800,48.5700,48.4640,48.5700,21300,0
2018-03-12,48.4600,48.6490,48.4400,48.6490,16600,0
2018-03-13,48.6490,48.6490,48.6490,48.6490,-,0
2018-03-14,47.9350,47.9350,47.8700,47.8700,1000,0
2018-03-15,47.8400,47.8550,47.8400,47.8530,900,0
2018-03-16,47.8530,47.8530,47.8530,47.8530,-,0
2018-03-19,48.0150,48.0150,47.1050,47.4400,4900,0
2018-03-20,47.8810,47.8810,47.7100,47.7300,3800,0
2018-03-21,48.5700,48.5700,47.9900,48.4320,2900,0
2018-03-22,48.0600,48.0600,46.7000,46.7400,3100,0
2018-03-23,46.3400,46.3400,45.4840,45.4840,2300,0
2018-03-26,46.2580,46.9100,46.2580,46.8720,4700,0
2018-03-27,46.9100,47.0900,45.6400,45.6900,5100,0
2018-03-28,45.3400,45.5810,45.3340,45.4790,2300,0
2018-03-29,46.0000,46.4600,46.0000,46.4600,2600,0
2018-04-02,45.3700,45.3700,44.0300,44.9200,9400,0
2018-04-03,43.9800,45.7050,43.7500,45.7050,500,0
2018-04-04,45.7000,45.7000,44.8700,45.2000,1400,0
2018-04-05,46.4920,46.8460,46.4500,46.8460,1400,0
2018-04-06,45.4380,45.4380,45.4380,45.4380,700,0
2018-04-09,45.4200,46.0991,45.4200,46.0991,1936,0
