Date,Open,High,Low,Close,Volume,OpenInt
2017-04-12,19.941,19.951,19.862,19.872,9899,0
2017-04-13,19.842,19.842,19.722,19.722,14364,0
2017-04-17,19.792,19.792,19.792,19.792,502,0
2017-04-18,19.802,19.832,19.802,19.832,4218,0
2017-04-19,19.862,19.872,19.762,19.762,10953,0
2017-04-20,19.812,19.931,19.812,19.911,9793,0
2017-04-21,19.842,19.842,19.842,19.842,3259,0
2017-04-24,20.11,20.11,19.961,20.031,4309,0
2017-04-25,20.11,20.16,20.11,20.16,5399,0
2017-04-26,20.16,20.21,20.14,20.14,4133,0
2017-04-27,20.15,20.17,20.081,20.159,5173,0
2017-04-28,20.08,20.08,20.08,20.08,502,0
2017-05-01,20.091,20.091,20.09,20.09,2456,0
2017-05-02,20.06,20.081,20.051,20.081,6217,0
2017-05-03,20.051,20.051,20.001,20.011,6479,0
2017-05-04,20.011,20.021,19.981,20.001,4460,0
2017-05-05,20.06,20.091,20.06,20.091,1557,0
2017-05-09,20.061,20.061,20.011,20.011,13209,0
2017-05-10,20.051,20.051,20.051,20.051,1004,0
2017-05-11,19.931,20.001,19.931,20.001,4984,0
2017-05-12,19.961,19.961,19.902,19.911,6064,0
2017-05-15,19.981,20.041,19.981,20.011,10446,0
2017-05-16,19.951,19.981,19.951,19.951,11652,0
2017-05-17,19.702,19.702,19.672,19.672,2411,0
2017-05-18,19.652,19.702,19.652,19.702,8513,0
2017-05-19,19.822,19.882,19.822,19.882,5331,0
2017-05-22,19.911,19.911,19.862,19.911,2389,0
2017-05-23,19.961,19.961,19.931,19.931,16212,0
2017-05-24,19.961,19.961,19.931,19.936,16669,0
2017-05-25,20.031,20.051,19.981,19.991,1767,0
2017-05-26,20.001,20.001,19.991,20.001,2662,0
2017-05-30,19.961,19.981,19.95,19.95,6032,0
2017-05-31,19.902,19.911,19.882,19.911,10748,0
2017-06-01,20.001,20.14,20,20.14,3566,0
2017-06-02,20.24,20.24,20.18,20.18,984,0
2017-06-05,20.16,20.16,20.12,20.14,4148,0
2017-06-06,20.061,20.13,20.041,20.13,8252,0
2017-06-07,20.07,20.071,20.06,20.061,8163,0
2017-06-08,20.091,20.091,20.07,20.07,2980,0
2017-06-09,20.21,20.21,20.21,20.21,2742,0
2017-06-12,20.3,20.3,20.27,20.27,2174,0
2017-06-13,20.359,20.379,20.359,20.379,5121,0
2017-06-14,20.359,20.359,20.29,20.309,3866,0
2017-06-15,20.23,20.319,20.23,20.29,7239,0
2017-06-16,20.25,20.29,20.225,20.27,8054,0
2017-06-19,20.429,20.459,20.409,20.448,4115,0
2017-06-20,20.369,20.369,20.359,20.359,1887,0
2017-06-21,20.329,20.339,20.23,20.26,2131,0
2017-06-22,20.26,20.29,20.26,20.29,7000,0
2017-06-23,20.279,20.319,20.269,20.269,4823,0
2017-06-26,20.409,20.409,20.399,20.409,2403,0
2017-06-27,20.359,20.409,20.3,20.3,6900,0
2017-06-28,20.369,20.459,20.369,20.459,3017,0
2017-06-29,20.409,20.409,20.19,20.3,14336,0
2017-06-30,20.329,20.349,20.309,20.309,6346,0
2017-07-03,20.499,20.499,20.499,20.499,2804,0
2017-07-05,20.379,20.409,20.379,20.409,3456,0
2017-07-06,20.309,20.309,20.21,20.22,20087,0
2017-07-07,20.22,20.269,20.19,20.269,3765,0
2017-07-10,20.289,20.329,20.285,20.299,9068,0
2017-07-11,20.14,20.27,20.14,20.27,4702,0
2017-07-12,20.394,20.439,20.394,20.429,7657,0
2017-07-13,20.469,20.479,20.469,20.479,2685,0
2017-07-14,20.549,20.629,20.517,20.629,4721,0
2017-07-17,20.609,20.629,20.574,20.574,6530,0
2017-07-18,20.529,20.539,20.529,20.539,4225,0
2017-07-19,20.679,20.679,20.569,20.679,6371,0
2017-07-20,20.728,20.738,20.728,20.728,1895,0
2017-07-21,20.649,20.679,20.649,20.679,13487,0
2017-07-24,20.649,20.659,20.649,20.659,6567,0
2017-07-25,20.748,20.778,20.728,20.778,7103,0
2017-07-26,20.713,20.748,20.699,20.699,32587,0
2017-07-27,20.708,20.748,20.669,20.669,8446,0
2017-07-28,20.699,20.708,20.668,20.668,21136,0
2017-07-31,20.708,20.718,20.679,20.704,3869,0
2017-08-01,20.619,20.699,20.619,20.659,6275,0
2017-08-02,20.599,20.652,20.599,20.649,5413,0
2017-08-03,20.758,20.758,20.629,20.641,11404,0
2017-08-07,20.644,20.708,20.644,20.699,5413,0
2017-08-08,20.689,20.718,20.629,20.629,8778,0
2017-08-09,20.639,20.639,20.544,20.599,7945,0
2017-08-10,20.669,20.669,20.389,20.389,9624,0
2017-08-11,20.409,20.409,20.319,20.319,7248,0
2017-08-14,20.499,20.559,20.499,20.549,6366,0
2017-08-15,20.649,20.649,20.429,20.499,5550,0
2017-08-16,20.549,20.559,20.489,20.489,5948,0
2017-08-17,20.469,20.469,20.339,20.339,6449,0
2017-08-18,20.16,20.23,20.15,20.23,667,0
2017-08-21,20.12,20.12,20.12,20.12,702,0
2017-08-22,20.3,20.339,20.3,20.339,3459,0
2017-08-23,20.29,20.319,20.29,20.319,1716,0
2017-08-24,20.329,20.339,20.22,20.26,8019,0
2017-08-25,20.319,20.339,20.3,20.339,5983,0
2017-08-28,20.239,20.26,20.225,20.225,15997,0
2017-08-29,20.21,20.25,20.21,20.25,1980,0
2017-08-30,20.339,20.389,20.28,20.389,6867,0
2017-08-31,20.509,20.509,20.399,20.479,8514,0
2017-09-01,20.564,20.589,20.564,20.589,2497,0
2017-09-05,20.559,20.559,20.354,20.439,9275,0
2017-09-06,20.589,20.589,20.469,20.479,14743,0
2017-09-07,20.469,20.509,20.449,20.509,5815,0
2017-09-08,20.479,20.499,20.469,20.489,4521,0
2017-09-11,20.698,20.718,20.698,20.708,5521,0
2017-09-12,20.748,20.808,20.748,20.808,1781,0
2017-09-13,20.758,20.758,20.758,20.758,1002,0
2017-09-14,20.729,20.868,20.729,20.868,7297,0
2017-09-15,20.948,20.948,20.843,20.898,8865,0
2017-09-18,20.988,20.988,20.928,20.938,2280,0
2017-09-19,20.938,20.938,20.903,20.938,2060,0
2017-09-20,20.928,20.948,20.928,20.948,25681,0
2017-09-21,20.93,20.93,20.9,20.92,2050,0
2017-09-22,20.8999,20.9,20.875,20.9,5821,0
2017-09-25,21.01,21.01,20.92,20.935,1126,0
2017-09-26,20.99,21,20.9301,20.96,3421,0
2017-09-27,20.9999,21.06,20.965,21.0399,7246,0
2017-09-28,21.03,21.05,21.0099,21.03,9463,0
2017-09-29,21.12,21.12,21.065,21.08,7924,0
2017-10-03,21.1992,21.2,21.1799,21.2,2389,0
2017-10-04,21.226,21.24,21.21,21.215,5342,0
2017-10-05,21.28,21.32,21.28,21.3199,1473,0
2017-10-06,21.23,21.24,21.23,21.24,303,0
2017-10-09,21.17,21.17,21.17,21.17,1519,0
2017-10-10,21.21,21.25,21.19,21.24,28743,0
2017-10-11,21.24,21.24,21.24,21.24,150,0
2017-10-12,21.24,21.24,21.22,21.22,500,0
2017-10-16,21.29,21.29,21.25,21.25,2803,0
2017-10-17,21.225,21.25,21.205,21.205,3132,0
2017-10-18,21.39,21.39,21.26,21.26,798,0
2017-10-19,21.2399,21.2399,21.2399,21.2399,100,0
2017-10-20,21.37,21.4099,21.37,21.4099,1674,0
2017-10-23,21.375,21.375,21.35,21.35,840,0
2017-10-24,21.35,21.36,21.32,21.36,3803,0
2017-10-25,21.19,21.23,21.18,21.225,5835,0
2017-10-26,21.28,21.31,21.245,21.2999,2179,0
2017-10-27,21.28,21.28,21.28,21.28,380,0
2017-10-30,21.2,21.25,21.2,21.209,2866,0
2017-10-31,21.18,21.1999,21.15,21.15,3128,0
2017-11-01,21.17,21.22,21.17,21.22,1112,0
2017-11-02,21.07,21.15,21.07,21.15,8078,0
2017-11-03,21.12,21.19,21.12,21.19,4436,0
2017-11-06,21.23,21.27,21.215,21.27,1624,0
2017-11-07,21.24,21.24,21.185,21.2299,3529,0
2017-11-08,21.18,21.27,21.12,21.21,23850,0
2017-11-09,21.24,21.256,21.19,21.256,7902,0
2017-11-10,21.1501,21.23,21.15,21.23,9614,0
2017-11-15,21.030,21.160,21.030,21.140,2900,0
2017-11-16,21.260,21.320,21.180,21.300,4600,0
2017-11-17,21.325,21.370,21.310,21.360,3700,0
2017-11-20,21.330,21.350,21.330,21.350,2200,0
2017-11-21,21.400,21.400,21.345,21.345,1700,0
2017-11-22,21.410,21.430,21.410,21.430,3300,0
2017-11-24,21.410,21.410,21.390,21.390,8700,0
2017-11-27,21.380,21.380,21.320,21.320,2900,0
2017-11-28,21.420,21.580,21.360,21.502,11800,0
2017-11-29,21.660,21.740,21.660,21.740,500,0
2017-11-30,21.880,21.940,21.850,21.850,22700,0
2017-12-01,21.860,21.860,21.770,21.770,5600,0
2017-12-04,22.160,22.160,22.030,22.030,9000,0
2017-12-05,22.090,22.090,21.815,21.840,3700,0
2017-12-06,21.770,21.826,21.755,21.796,6300,0
2017-12-07,21.830,21.840,21.825,21.840,4600,0
2017-12-08,21.980,21.980,21.880,21.980,3100,0
2017-12-11,22.010,22.020,22.000,22.020,2600,0
2017-12-12,22.160,22.170,22.100,22.125,3100,0
2017-12-13,22.100,22.160,22.080,22.160,13900,0
2017-12-14,22.220,22.220,22.100,22.100,6200,0
2017-12-15,22.160,22.270,22.160,22.220,4000,0
2017-12-18,22.410,22.410,22.355,22.355,2700,0
2017-12-19,22.450,22.450,22.260,22.290,3300,0
2017-12-20,22.250,22.290,22.250,22.280,3100,0
2017-12-21,22.280,22.330,22.230,22.330,25200,0
2017-12-22,22.290,22.310,22.290,22.290,1300,0
2017-12-26,22.350,22.370,22.325,22.330,5600,0
2017-12-27,22.340,22.345,22.300,22.300,3700,0
2017-12-28,22.320,22.340,22.265,22.340,6000,0
2017-12-29,22.370,22.370,22.355,22.355,900,0
2018-01-02,22.390,22.420,22.390,22.420,10600,0
2018-01-03,22.570,22.580,22.550,22.570,7100,0
2018-01-04,22.685,22.690,22.680,22.680,2600,0
2018-01-05,22.710,22.730,22.640,22.730,19900,0
2018-01-08,22.760,22.820,22.750,22.820,8700,0
2018-01-09,22.840,22.900,22.820,22.820,4300,0
2018-01-10,22.800,22.800,22.740,22.760,10800,0
2018-01-11,22.825,22.929,22.825,22.915,3500,0
2018-01-12,22.980,23.080,22.970,23.025,5700,0
2018-01-16,23.110,23.120,22.950,22.970,8900,0
2018-01-17,23.020,23.140,23.020,23.130,3000,0
2018-01-18,23.240,23.240,23.020,23.045,6700,0
2018-01-19,23.050,23.120,23.018,23.120,12800,0
2018-01-22,23.260,23.300,23.235,23.280,5800,0
2018-01-23,23.370,23.395,23.350,23.395,2200,0
2018-01-24,23.470,23.470,23.340,23.430,3800,0
2018-01-25,23.500,23.510,23.360,23.400,4500,0
2018-01-26,23.640,23.640,23.470,23.640,10500,0
2018-01-29,23.580,23.610,23.474,23.580,9200,0
2018-01-30,23.230,23.310,23.200,23.230,36600,0
2018-01-31,23.290,23.290,23.130,23.130,8200,0
2018-02-01,23.140,23.250,23.100,23.100,14700,0
2018-02-02,22.960,22.960,22.820,22.830,3100,0
2018-02-05,22.700,22.700,21.890,22.145,12200,0
2018-02-06,21.240,22.130,21.240,22.100,3800,0
2018-02-07,22.300,22.340,22.160,22.318,13500,0
2018-02-08,21.920,21.920,21.740,21.740,2700,0
2018-02-09,21.530,21.530,21.345,21.345,1400,0
2018-02-12,21.930,22.020,21.930,22.020,30100,0
2018-02-13,21.820,21.890,21.750,21.890,6200,0
2018-02-14,21.710,22.170,21.710,22.170,30100,0
2018-02-15,22.250,22.350,22.230,22.350,8300,0
2018-02-16,22.450,22.600,22.390,22.508,4200,0
2018-02-20,22.433,22.433,22.250,22.250,2200,0
2018-02-21,22.420,22.480,22.370,22.480,3200,0
2018-02-22,22.280,22.350,22.090,22.090,7400,0
2018-02-23,22.240,22.410,22.240,22.410,12200,0
2018-02-26,22.540,22.678,22.540,22.660,3800,0
2018-02-27,22.730,22.730,22.495,22.515,8500,0
2018-02-28,22.540,22.540,22.400,22.400,3400,0
2018-03-01,22.180,22.180,21.890,21.910,5500,0
2018-03-02,21.910,21.910,21.910,21.910,-,0
2018-03-05,21.960,22.330,21.960,22.318,2400,0
2018-03-06,22.205,22.300,22.205,22.300,2700,0
2018-03-07,22.280,22.280,22.215,22.215,2100,0
2018-03-08,22.240,22.280,22.222,22.260,2000,0
2018-03-09,22.435,22.610,22.435,22.610,8800,0
2018-03-12,22.620,22.650,22.620,22.650,1100,0
2018-03-13,22.540,22.540,22.465,22.500,1500,0
2018-03-14,22.435,22.435,22.435,22.435,1000,0
2018-03-15,22.280,22.280,22.190,22.195,1000,0
2018-03-16,22.300,22.300,22.250,22.250,600,0
2018-03-19,22.270,22.270,21.960,22.000,2800,0
2018-03-20,22.000,22.000,22.000,22.000,-,0
2018-03-21,22.000,22.000,22.000,22.000,-,0
2018-03-22,21.785,21.810,21.495,21.495,2200,0
2018-03-23,21.440,21.525,21.380,21.445,9800,0
2018-03-26,21.445,21.445,21.445,21.445,-,0
2018-03-27,21.580,21.675,21.580,21.675,1000,0
2018-03-28,21.390,21.450,21.330,21.370,18800,0
2018-03-29,21.560,21.680,21.560,21.635,3900,0
2018-04-02,21.040,21.040,21.040,21.040,100,0
2018-04-03,21.215,21.400,21.205,21.390,13200,0
2018-04-04,21.305,21.470,21.305,21.460,7900,0
2018-04-05,21.610,21.690,21.605,21.645,38200,0
2018-04-06,21.490,21.520,21.280,21.280,6700,0
2018-04-09,21.550,21.560,21.505,21.505,5221,0
