Date,Open,High,Low,Close,Volume,OpenInt
2016-11-10,24.879,25.223,24.879,25.223,3930,0
2016-11-11,25.056,25.056,25.056,25.056,103,0
2016-11-22,25.751,25.82,25.751,25.82,2652,0
2016-12-06,26.064,26.074,26.064,26.074,2041,0
2016-12-15,26.771,26.771,26.707,26.707,1328,0
2016-12-21,26.761,26.761,26.761,26.761,614,0
2016-12-28,26.81,26.81,26.81,26.81,4166,0
2017-01-04,26.771,26.771,26.771,26.771,3150,0
2017-01-13,26.632,26.648,26.632,26.648,896,0
2017-01-17,26.604,26.632,26.603,26.632,1092,0
2017-01-18,26.642,26.711,26.642,26.711,2388,0
2017-01-19,26.691,26.741,26.622,26.632,2779,0
2017-01-20,26.661,26.681,26.622,26.642,2235,0
2017-01-23,26.564,26.574,26.544,26.574,1724,0
2017-01-24,26.731,26.848,26.731,26.839,4212,0
2017-01-25,26.927,26.978,26.917,26.968,2460,0
2017-01-26,26.958,26.958,26.928,26.928,477,0
2017-01-27,26.898,26.898,26.849,26.878,1921,0
2017-01-31,26.604,26.622,26.603,26.622,1992,0
2017-02-06,26.791,26.791,26.791,26.791,204,0
2017-02-07,26.81,26.819,26.81,26.819,3262,0
2017-02-08,26.701,26.81,26.701,26.787,16637,0
2017-02-09,26.994,26.997,26.994,26.997,1834,0
2017-02-10,27.105,27.105,27.105,27.105,813,0
2017-02-13,27.232,27.232,27.222,27.222,516,0
2017-02-14,27.193,27.322,27.193,27.292,1357,0
2017-02-15,27.361,27.439,27.361,27.439,694,0
2017-02-16,27.429,27.429,27.4,27.4,223,0
2017-02-17,27.342,27.342,27.342,27.342,203,0
2017-02-23,27.616,27.636,27.616,27.636,1304,0
2017-02-27,27.725,27.725,27.725,27.725,321,0
2017-02-28,27.636,27.636,27.636,27.636,103,0
2017-03-03,27.715,27.715,27.715,27.715,215,0
2017-03-06,27.656,27.656,27.656,27.656,536,0
2017-03-09,27.519,27.519,27.503,27.503,1016,0
2017-03-15,27.607,27.607,27.607,27.607,610,0
2017-03-16,27.774,27.774,27.755,27.755,541,0
2017-03-17,27.784,27.784,27.755,27.755,2690,0
2017-03-20,27.714,27.714,27.714,27.714,103,0
2017-03-21,27.38,27.38,27.38,27.38,103,0
2017-03-23,27.429,27.429,27.429,27.429,659,0
2017-03-24,27.232,27.232,27.232,27.232,103,0
2017-03-30,27.429,27.509,27.429,27.509,1122,0
2017-04-05,27.512,27.512,27.373,27.373,1169,0
2017-04-07,27.344,27.344,27.344,27.344,133,0
2017-04-10,27.426,27.426,27.426,27.426,1018,0
2017-04-12,27.304,27.304,27.304,27.304,1517,0
2017-04-17,27.156,27.156,27.156,27.156,147,0
2017-04-18,27.156,27.254,27.156,27.244,1727,0
2017-04-20,27.264,27.482,27.264,27.482,887,0
2017-04-24,27.63,27.63,27.63,27.63,115,0
2017-04-26,27.749,27.749,27.749,27.749,433,0
