Date,Open,High,Low,Close,Volume,OpenInt
2017-10-23,12.8,13.9899,11.32,11.32,1541370,0
2017-10-24,11.93,11.99,10.08,11,444189,0
2017-10-25,10.99,11.2475,10.3,11.1,112972,0
2017-10-26,11.15,11.99,11.15,11.5,108108,0
2017-10-27,11.6177,11.7497,11.43,11.67,49866,0
2017-10-30,11.52,11.76,10.55,10.78,61669,0
2017-10-31,10.72,11.25,10.64,10.88,53873,0
2017-11-01,10.85,11.4476,10.5,10.75,60059,0
2017-11-02,10.41,11.2777,10.4,10.8,71200,0
2017-11-03,10.5,10.7574,8.96,10.25,67324,0
2017-11-06,10.2,10.2,9.26,9.28,60686,0
2017-11-07,9.05,9.165,8.1,8.91,92884,0
2017-11-08,9.05,9.05,8,8.77,93876,0
2017-11-09,9,9.49,9,9.29,44701,0
2017-11-10,9.2,9.5,9.2,9.5,17391,0
2017-11-14,8.94,9.40,8.50,9.38,41800,0
2017-11-15,9.34,10.53,8.80,9.56,118100,0
2017-11-16,9.72,9.85,9.20,9.41,57900,0
2017-11-17,9.23,9.30,9.00,9.28,54900,0
2017-11-20,9.00,9.30,9.00,9.14,39700,0
2017-11-21,9.15,9.85,9.15,9.76,33900,0
2017-11-22,9.64,10.30,9.45,10.20,84300,0
2017-11-24,10.18,10.20,10.15,10.15,10500,0
2017-11-27,10.20,10.20,9.52,9.82,48900,0
2017-11-28,9.85,10.00,9.70,9.85,31100,0
2017-11-29,9.85,10.20,9.75,9.76,48300,0
2017-11-30,10.00,10.00,8.82,9.39,91900,0
2017-12-01,9.25,9.34,8.75,9.29,26700,0
2017-12-04,9.40,9.50,9.25,9.41,17200,0
2017-12-05,9.42,9.50,9.21,9.21,4100,0
2017-12-06,9.34,9.35,8.55,9.00,39400,0
2017-12-07,9.08,9.08,8.68,9.07,9900,0
2017-12-08,8.74,9.07,8.70,8.78,20100,0
2017-12-11,9.08,9.09,8.75,8.76,67600,0
2017-12-12,8.90,9.08,8.75,8.78,29500,0
2017-12-13,8.74,9.05,8.52,8.75,34000,0
2017-12-14,8.94,9.00,8.62,8.66,15000,0
2017-12-15,8.70,8.81,7.67,7.67,67800,0
2017-12-18,8.00,8.89,7.88,8.10,52700,0
2017-12-19,8.29,8.29,7.90,7.90,36500,0
2017-12-20,7.97,8.30,7.52,7.52,30800,0
2017-12-21,7.52,8.06,7.52,8.05,55400,0
2017-12-22,7.95,8.09,7.58,8.08,52500,0
2017-12-26,8.29,8.29,7.80,7.80,20400,0
2017-12-27,8.09,8.94,7.57,8.75,92800,0
2017-12-28,8.75,9.11,8.26,9.01,49500,0
2017-12-29,8.98,9.70,8.55,8.92,39500,0
2018-01-02,8.90,9.77,8.89,9.33,15200,0
2018-01-03,9.24,9.68,9.11,9.34,25500,0
2018-01-04,9.23,10.70,9.20,10.10,46600,0
2018-01-05,10.50,10.50,9.40,9.60,21900,0
2018-01-08,9.60,11.45,9.60,9.71,86200,0
2018-01-09,9.75,10.50,9.75,10.01,18600,0
2018-01-10,9.90,9.94,9.78,9.94,5000,0
2018-01-11,9.81,10.18,9.09,10.00,49300,0
2018-01-12,9.99,10.13,9.55,9.69,11500,0
2018-01-16,9.70,9.90,9.30,9.57,18600,0
2018-01-17,9.38,9.41,8.85,9.04,26300,0
2018-01-18,8.90,9.20,8.88,9.06,7800,0
2018-01-19,9.05,9.05,8.61,8.84,8500,0
2018-01-22,8.75,8.79,8.71,8.72,3000,0
2018-01-23,8.50,8.95,8.50,8.56,7800,0
2018-01-24,8.55,8.78,8.55,8.77,3600,0
2018-01-25,8.60,8.80,8.50,8.80,7600,0
2018-01-26,8.52,8.57,8.40,8.50,9400,0
2018-01-29,8.69,8.81,8.27,8.28,15400,0
2018-01-30,8.28,8.45,8.01,8.45,14200,0
2018-01-31,8.10,8.44,8.00,8.12,21300,0
2018-02-01,8.11,8.58,8.10,8.18,6400,0
2018-02-02,8.02,8.18,8.00,8.18,8300,0
2018-02-05,8.00,10.00,8.00,8.52,13500,0
2018-02-06,8.34,8.57,8.30,8.39,9300,0
2018-02-07,8.13,8.29,7.68,8.15,8800,0
2018-02-08,8.50,8.85,8.28,8.29,14800,0
2018-02-09,8.70,9.00,8.00,8.00,42400,0
2018-02-12,8.40,8.75,8.25,8.25,4500,0
2018-02-13,8.00,8.50,8.00,8.45,9900,0
2018-02-14,8.14,8.74,8.07,8.07,800,0
2018-02-15,8.99,8.99,8.00,8.03,21300,0
2018-02-16,8.20,8.20,8.00,8.04,5700,0
2018-02-20,8.05,8.15,8.05,8.10,4300,0
2018-02-21,8.15,8.15,7.85,7.98,8400,0
2018-02-22,8.13,8.55,7.95,7.97,33200,0
2018-02-23,8.08,8.08,7.70,7.95,8100,0
2018-02-26,8.04,8.48,7.77,7.82,9000,0
2018-02-27,7.90,8.29,7.90,8.01,4500,0
2018-02-28,7.92,8.14,7.92,8.00,14600,0
2018-03-01,8.00,8.46,7.96,8.20,17800,0
2018-03-02,7.90,8.03,7.56,7.74,27700,0
2018-03-05,7.83,8.18,7.19,7.72,51000,0
2018-03-06,7.72,7.73,7.15,7.30,32500,0
2018-03-07,7.34,7.42,6.75,6.90,46400,0
2018-03-08,7.00,7.00,6.81,6.96,10600,0
2018-03-09,6.80,6.99,6.78,6.92,7800,0
2018-03-12,6.86,6.93,6.72,6.82,16300,0
2018-03-13,6.99,6.99,6.71,6.95,6700,0
2018-03-14,6.84,6.84,6.70,6.73,3600,0
2018-03-15,6.82,6.82,6.71,6.71,8200,0
2018-03-16,6.91,6.91,6.72,6.90,11900,0
2018-03-19,6.90,6.90,6.70,6.83,1900,0
2018-03-20,6.72,6.83,6.70,6.70,10100,0
2018-03-21,6.82,6.88,6.65,6.88,10400,0
2018-03-22,6.99,7.00,6.68,7.00,10700,0
2018-03-23,6.85,6.85,6.78,6.85,900,0
2018-03-26,6.98,6.98,6.88,6.88,1400,0
2018-03-27,6.89,7.18,6.65,7.16,6000,0
2018-03-28,7.11,7.17,6.85,6.86,7600,0
2018-03-29,6.93,6.93,6.75,6.87,6000,0
2018-04-02,6.75,6.80,6.22,6.58,14900,0
2018-04-03,6.48,7.11,6.26,6.26,4000,0
2018-04-04,6.32,7.03,6.32,6.48,7100,0
2018-04-05,6.66,6.88,6.66,6.69,2700,0
2018-04-06,6.77,6.79,6.40,6.51,5000,0
2018-04-09,6.50,6.58,6.43,6.44,2318,0
