Date,Open,High,Low,Close,Volume,OpenInt
2017-09-13,10.1201,12.42,10,12,80083,0
2017-09-14,12.5,13.9499,11.85,12.19,301333,0
2017-09-15,12.55,12.7112,11.7001,12,77957,0
2017-09-18,11.37,11.99,11.15,11.365,83514,0
2017-09-19,11.34,11.35,10.1702,11.3,79181,0
2017-09-20,11.5,11.85,11.15,11.69,43991,0
2017-09-21,11.75,12.48,11.7401,11.7401,22519,0
2017-09-22,12.02,12.5,11.7501,11.8101,14232,0
2017-09-25,11.82,11.95,11.31,11.51,44987,0
2017-09-26,11.5201,11.6161,11.32,11.4,10414,0
2017-09-27,11.3,11.88,11.3,11.56,28551,0
2017-09-28,11.74,11.74,11,11.3,30730,0
2017-09-29,11.3662,11.3662,10.8,11.09,28187,0
2017-10-02,11.46,11.7351,11.25,11.4,23276,0
2017-10-03,11.74,11.74,11.505,11.697,9442,0
2017-10-04,11.74,11.749,11.5,11.5,13309,0
2017-10-05,11.6,11.74,11.2,11.74,25648,0
2017-10-06,11.93,12,11.44,11.78,18889,0
2017-10-09,11.53,13.2,11.53,12.17,58895,0
2017-10-10,12.8,12.8,11.52,12.0535,59164,0
2017-10-11,11.9,12.48,11.9,12.03,57574,0
2017-10-12,12.2,13,11.6,12.35,83280,0
2017-10-13,12.36,12.4,12,12.04,32720,0
2017-10-16,12.04,12.04,9.99,10.56,162595,0
2017-10-17,10.56,10.56,10,10.55,60494,0
2017-10-18,10.09,11.04,9.07,10.36,73141,0
2017-10-19,9.89,10.6708,9.89,10.4,15128,0
2017-10-20,10.45,10.7299,10.3,10.4399,12174,0
2017-10-23,10.3866,10.48,9.761,10.19,22661,0
2017-10-24,9.91,10.22,9.91,10.14,12961,0
2017-10-25,9.88,10.24,9.85,9.89,16394,0
2017-10-26,10,10.24,9.75,9.83,8779,0
2017-10-27,9.66,9.749,9.211,9.65,21889,0
2017-10-30,10.05,10.05,9.1486,9.4638,12502,0
2017-10-31,9.25,9.5,9.25,9.49,11944,0
2017-11-01,9.42,9.42,8.0001,9.05,23826,0
2017-11-02,9.06,9.5,9.06,9.36,5140,0
2017-11-03,9.55,9.6,9.4947,9.56,6896,0
2017-11-06,9.21,9.44,8.99,9.26,13749,0
2017-11-07,9.3,9.3,9.02,9.1702,8233,0
2017-11-08,8.62,9.3,8.61,9.2885,5358,0
2017-11-09,9.2524,9.27,9.0561,9.1201,802,0
2017-11-10,8.72,9.98,8.72,9.98,22774,0
2017-11-13,10.190,10.250,9.990,10.185,5700,0
2017-11-14,10.280,10.280,9.200,10.080,17900,0
2017-11-15,10.175,10.175,9.730,10.100,3200,0
2017-11-16,9.780,10.200,9.110,10.090,31700,0
2017-11-17,9.450,10.000,9.450,10.000,15300,0
2017-11-20,10.000,10.299,10.000,10.200,16100,0
2017-11-21,10.300,10.470,9.797,10.070,15000,0
2017-11-22,10.000,10.150,9.962,10.140,3800,0
2017-11-24,10.150,10.150,9.590,9.950,16800,0
2017-11-27,9.950,10.180,9.709,9.870,12600,0
2017-11-28,9.900,10.000,9.370,9.700,9100,0
2017-11-29,9.700,9.850,9.300,9.360,16400,0
2017-11-30,9.300,9.710,9.040,9.690,29200,0
2017-12-01,9.130,9.670,9.060,9.570,6400,0
2017-12-04,9.570,9.570,8.650,9.000,19900,0
2017-12-05,9.490,9.490,8.740,8.990,13900,0
2017-12-06,8.729,8.960,8.729,8.905,7400,0
2017-12-07,8.900,9.100,8.620,8.990,6900,0
2017-12-08,8.500,9.470,8.500,9.250,101200,0
2017-12-11,9.161,9.187,8.610,8.970,40100,0
2017-12-12,8.970,9.030,8.900,8.900,13500,0
2017-12-13,8.943,9.160,8.800,8.900,43400,0
2017-12-14,8.995,9.140,8.995,9.050,12200,0
2017-12-15,9.132,9.159,9.060,9.150,26300,0
2017-12-18,9.160,9.400,9.140,9.300,12600,0
2017-12-19,9.150,9.250,9.050,9.200,23200,0
2017-12-20,9.400,9.400,9.140,9.390,11100,0
2017-12-21,9.145,9.500,9.050,9.330,20000,0
2017-12-22,9.481,9.500,9.160,9.300,8000,0
2017-12-26,9.405,9.940,9.240,9.550,37500,0
2017-12-27,9.500,9.950,8.750,9.420,82100,0
2017-12-28,9.390,9.920,9.350,9.540,62900,0
2017-12-29,9.500,10.050,9.500,10.020,33900,0
2018-01-02,9.980,11.240,9.821,10.150,24800,0
2018-01-03,10.090,10.320,9.781,9.900,10600,0
2018-01-04,10.130,10.130,9.750,10.000,10300,0
2018-01-05,10.050,10.112,9.820,9.980,12700,0
