Date,Open,High,Low,Close,Volume,OpenInt
2017-03-27,49.589,49.589,49.441,49.579,1825,0
2017-03-28,49.233,49.481,49.233,49.405,4661,0
2017-03-29,49.511,49.511,49.461,49.461,1123,0
2017-03-30,49.471,49.481,49.431,49.451,2535,0
2017-03-31,49.491,49.491,49.439,49.441,23344,0
2017-04-03,49.56,49.657,49.54,49.657,6007,0
2017-04-04,49.677,49.677,49.56,49.56,4767,0
2017-04-05,49.54,49.56,49.481,49.56,5473,0
2017-04-06,49.57,49.57,49.431,49.52,24763,0
2017-04-07,49.597,49.598,49.481,49.481,12339,0
2017-04-10,49.537,49.537,49.501,49.511,5977,0
2017-04-11,49.647,49.776,49.623,49.776,11453,0
2017-04-12,49.776,49.866,49.756,49.756,52505,0
2017-04-13,49.866,49.87,49.866,49.87,540,0
2017-04-17,49.899,50,49.786,49.786,6587,0
2017-04-18,50.003,50.081,49.925,49.925,4116,0
2017-04-19,49.941,49.955,49.925,49.935,1979,0
2017-04-20,49.931,49.931,49.905,49.915,94852,0
2017-04-21,49.984,49.984,49.697,49.925,31634,0
2017-04-24,49.756,49.819,49.746,49.819,26163,0
2017-04-25,49.737,49.766,49.703,49.766,29332,0
2017-04-26,49.737,49.796,49.707,49.796,6618,0
2017-04-27,49.755,49.846,49.717,49.846,43650,0
2017-04-28,49.774,49.886,49.746,49.866,11790,0
2017-05-01,49.856,49.856,49.846,49.856,1092,0
2017-05-02,49.983,50.073,49.786,49.786,10465,0
2017-05-03,49.964,50.024,49.915,49.964,9204,0
2017-05-04,49.789,51.781,49.766,49.935,18705,0
2017-05-05,49.886,49.925,49.875,49.882,10020,0
2017-05-08,49.905,49.905,49.851,49.876,4182,0
2017-05-09,49.833,49.833,49.789,49.826,1496,0
2017-05-10,49.905,49.915,49.796,49.806,6651,0
2017-05-11,49.847,49.895,49.717,49.895,4239,0
2017-05-12,50.019,50.034,49.974,50.024,1604,0
2017-05-15,49.352,50.014,49.352,49.994,2542,0
2017-05-16,50.044,50.054,49.97,50.044,3238,0
2017-05-17,50.35,50.35,50.247,50.29,2496,0
2017-05-18,50.27,50.27,50.26,50.26,338,0
2017-05-19,50.191,50.231,50.099,50.231,928,0
2017-05-22,50.231,50.25,50.065,50.25,3358,0
2017-05-23,50.081,50.249,50.081,50.144,14827,0
2017-05-24,50.179,50.487,50.159,50.259,16638,0
2017-05-25,50.359,50.397,50.209,50.209,20140,0
2017-05-26,50.379,50.417,50.289,50.329,6049,0
2017-05-30,50.427,50.487,50.289,50.289,7815,0
2017-05-31,50.309,50.437,50.279,50.433,3616,0
2017-06-01,50.399,50.399,50.399,50.399,506,0
2017-06-02,50.586,50.586,50.491,50.497,4257,0
2017-06-05,50.487,50.578,50.487,50.537,3227,0
2017-06-06,50.579,50.645,50.548,50.625,6893,0
2017-06-07,50.551,50.674,50.407,50.407,5327,0
2017-06-08,50.407,50.519,50.289,50.289,3340,0
2017-06-09,50.527,50.527,50.289,50.289,1538,0
2017-06-12,50.401,50.487,50.368,50.402,1417,0
2017-06-13,50.299,50.525,50.289,50.289,6394,0
2017-06-14,50.309,50.703,50.309,50.417,1545,0
2017-06-15,50.596,50.596,50.497,50.497,1428,0
2017-06-16,50.548,50.674,50.548,50.635,842,0
