Date,Open,High,Low,Close,Volume,OpenInt
2017-11-07,25.6,25.6,25.49,25.49,4607,0
2017-11-08,25.52,25.56,25.5,25.5575,5389,0
2017-11-09,25.52,25.52,25.43,25.43,1200,0
2017-11-10,25.559,25.6252,25.559,25.6252,450,0
2017-11-13,25.5700,25.7000,25.5700,25.6500,3400,0
2017-11-14,25.3770,25.3770,25.2500,25.2600,202300,0
2017-11-15,25.1600,25.1600,25.1100,25.1100,1600,0
2017-11-16,25.5600,25.6800,25.5600,25.6300,400,0
2017-11-17,25.6500,25.7100,25.6500,25.6900,7900,0
2017-11-20,25.8000,25.9500,25.8000,25.9500,1600,0
2017-11-21,26.4790,26.5400,26.4500,26.4800,7100,0
2017-11-22,26.4200,26.4500,26.3600,26.4200,1500,0
2017-11-24,26.2000,26.2700,26.2000,26.2700,1300,0
2017-11-27,25.9800,25.9800,25.8200,25.8400,5100,0
2017-11-28,25.9600,25.9600,25.8560,25.9600,3500,0
2017-11-29,25.7200,25.7200,25.3740,25.3740,3300,0
2017-11-30,25.2700,25.2700,25.1500,25.1500,7500,0
2017-12-01,25.0000,25.0000,24.6250,24.8700,6700,0
2017-12-04,25.1100,25.1100,24.8250,24.8300,1900,0
2017-12-05,24.7190,24.7190,24.6500,24.6500,1500,0
2017-12-06,24.1800,24.2950,24.1500,24.2520,3700,0
2017-12-07,24.3700,24.4300,24.3300,24.3500,5200,0
2017-12-08,24.8900,24.8900,24.6950,24.7500,13000,0
2017-12-11,25.1100,25.1400,25.0150,25.0900,17300,0
2017-12-12,24.8000,24.8300,24.6800,24.7300,12500,0
2017-12-13,25.2000,25.2000,25.2000,25.2000,1000,0
2017-12-14,25.0400,25.0400,24.8000,24.8000,62200,0
2017-12-15,24.8600,24.9000,24.8050,24.8080,13700,0
2017-12-18,25.0000,25.0100,24.9200,25.0100,13000,0
2017-12-19,25.0000,25.0500,25.0000,25.0340,1600,0
2017-12-20,25.0000,25.0000,24.9500,24.9500,300,0
2017-12-21,25.4900,25.4900,25.4100,25.4100,82300,0
2017-12-22,25.4400,25.5500,25.4050,25.5500,2000,0
2017-12-26,25.5400,25.5400,25.4150,25.4900,3400,0
2017-12-27,25.4200,25.4900,25.2950,25.4000,3300,0
2017-12-28,25.6000,25.6000,25.5800,25.5800,2100,0
2017-12-29,25.6700,25.6700,25.6100,25.6600,4000,0
2018-01-02,26.3500,26.5300,26.1900,26.5050,5900,0
2018-01-03,26.7200,26.8100,26.7140,26.8100,21100,0
2018-01-04,27.1000,27.1000,26.9070,26.9550,8500,0
2018-01-05,26.9280,27.1720,26.9280,27.1550,6000,0
2018-01-08,27.2000,27.3000,27.1300,27.2600,17600,0
2018-01-09,27.2500,27.3600,27.2300,27.3200,3900,0
2018-01-10,27.2200,27.2300,27.0450,27.1300,466900,0
2018-01-11,27.1700,27.2700,27.1100,27.2700,11300,0
2018-01-12,27.4500,27.7200,27.4500,27.6800,14800,0
2018-01-16,27.7500,27.8550,27.3500,27.3500,23300,0
2018-01-17,27.6150,27.7920,27.5300,27.7920,6900,0
2018-01-18,27.8990,27.9200,27.7690,27.9200,2400,0
2018-01-19,28.0600,28.1800,28.0500,28.1700,4100,0
2018-01-22,28.2500,28.3950,28.1880,28.3950,260600,0
2018-01-23,28.5900,28.7890,28.4500,28.7820,60600,0
2018-01-24,28.9800,29.1800,28.9100,29.0100,109500,0
2018-01-25,28.6800,28.9100,27.8300,28.7600,40900,0
2018-01-26,29.2800,29.4880,29.1700,29.4880,30100,0
2018-01-29,29.1200,29.1200,29.0000,29.0000,11800,0
2018-01-30,28.5700,28.5700,28.4600,28.5300,5900,0
2018-01-31,29.0000,29.0200,28.7300,28.8100,19500,0
2018-02-01,28.2800,28.4600,28.2500,28.2500,8300,0
2018-02-02,28.1900,28.2300,27.7200,27.8050,8200,0
2018-02-05,27.6900,27.8000,26.7100,26.8500,6900,0
2018-02-06,26.3400,27.5000,26.0810,27.5000,5600,0
2018-02-07,26.8800,26.8800,26.3600,26.3600,5700,0
2018-02-08,26.3000,26.3000,25.3140,25.3140,2800,0
2018-02-09,25.1900,25.5310,24.6500,25.5310,4700,0
2018-02-12,25.7100,25.9100,25.5030,25.7900,4200,0
2018-02-13,25.6800,25.8940,25.6800,25.8910,1300,0
2018-02-14,26.5600,26.8900,26.4900,26.8900,2800,0
2018-02-15,27.5340,27.5340,27.2500,27.3800,10700,0
2018-02-16,27.3800,27.8500,27.3800,27.6000,4900,0
2018-02-20,27.0400,27.2840,27.0400,27.2600,2700,0
2018-02-21,27.8200,27.8600,27.4800,27.4900,1700,0
2018-02-22,27.4800,27.5590,27.3990,27.4150,306100,0
2018-02-23,27.6000,27.8900,27.6000,27.8290,3500,0
2018-02-26,27.9400,28.0650,27.8900,28.0400,3500,0
2018-02-27,27.4050,27.4190,27.0530,27.0740,6400,0
2018-02-28,26.9700,26.9720,26.6800,26.6800,3800,0
2018-03-01,27.0100,27.0100,26.3770,26.3950,11800,0
2018-03-02,26.2400,26.4460,26.1000,26.4460,2600,0
2018-03-05,26.1500,26.5750,26.1500,26.5750,600,0
2018-03-06,26.9000,26.9390,26.7300,26.8580,23000,0
2018-03-07,26.7900,26.9990,26.7100,26.9990,700,0
2018-03-08,27.1100,27.1680,27.0300,27.1680,1200,0
2018-03-09,27.5500,27.7400,27.5500,27.6940,14500,0
2018-03-12,27.8200,27.9200,27.8200,27.8900,5400,0
2018-03-13,28.0100,28.0100,27.4280,27.4280,2100,0
2018-03-14,27.7500,27.7900,27.4900,27.5950,1600,0
2018-03-15,27.9900,27.9900,27.7950,27.9750,3000,0
2018-03-16,28.0000,28.0100,27.9300,28.0100,4800,0
2018-03-19,27.7900,27.8310,27.4300,27.5600,5300,0
2018-03-20,27.9600,28.1250,27.9600,28.1250,2400,0
2018-03-21,27.6400,27.9090,27.6400,27.9090,4600,0
2018-03-22,26.8500,26.8500,26.3900,26.4600,4300,0
2018-03-23,26.4900,26.4900,25.7700,25.7900,7300,0
2018-03-26,26.7300,26.9200,26.4060,26.9200,3300,0
2018-03-27,26.9780,26.9780,26.8740,26.8900,900,0
2018-03-28,26.0000,26.0760,25.8700,25.9800,4900,0
2018-03-29,26.0470,26.4700,26.0470,26.4700,4800,0
2018-04-02,26.2700,26.3100,25.6400,25.6590,1300,0
2018-04-03,25.9200,25.9200,25.9200,25.9200,200,0
2018-04-04,25.2900,26.1100,25.2900,26.1100,10100,0
2018-04-05,26.3770,26.3770,26.2720,26.3000,600,0
2018-04-06,25.8400,25.8500,25.5950,25.5950,1600,0
2018-04-09,25.9652,25.9652,25.9652,25.9652,1050,0
