Date,Open,High,Low,Close,Volume,OpenInt
2017-11-08,24.91,24.98,24.91,24.98,700,0
2017-11-09,24.8499,24.9,24.8499,24.9,500,0
2017-11-10,24.86,24.86,24.86,24.86,200,0
2017-11-14,24.61,24.68,24.61,24.68,500,0
2017-11-15,24.56,24.57,24.56,24.57,300,0
2017-11-16,24.71,24.71,24.71,24.71,100,0
2017-11-17,24.70,24.73,24.70,24.73,600,0
2017-11-20,24.78,24.78,24.78,24.78,200,0
2017-11-21,24.85,24.85,24.85,24.85,200,0
2017-11-22,25.05,25.05,25.05,25.05,200,0
2017-11-24,25.09,25.09,25.09,25.09,200,0
2017-11-27,25.09,25.09,25.09,25.09,-,0
2017-11-28,25.20,25.20,25.20,25.20,100,0
2017-11-29,25.15,25.15,25.15,25.15,100,0
2017-11-30,25.15,25.15,25.15,25.15,-,0
2017-12-01,25.10,25.10,25.10,25.10,400,0
2017-12-04,25.03,25.03,25.03,25.03,200,0
2017-12-05,24.97,24.97,24.97,24.97,200,0
2017-12-06,24.94,24.94,24.94,24.94,200,0
2017-12-07,24.94,24.94,24.94,24.94,-,0
2017-12-08,25.18,25.18,25.18,25.18,200,0
2017-12-11,25.24,25.24,25.24,25.24,300,0
2017-12-12,25.24,25.24,25.24,25.24,-,0
2017-12-13,25.24,25.24,25.24,25.24,-,0
2017-12-14,25.24,25.24,25.24,25.24,-,0
2017-12-15,25.24,25.24,25.24,25.24,-,0
2017-12-18,25.24,25.24,25.24,25.24,-,0
2017-12-19,25.24,25.24,25.24,25.24,-,0
2017-12-20,25.24,25.24,25.24,25.24,-,0
2017-12-21,25.24,25.24,25.24,25.24,-,0
2017-12-22,25.24,25.24,25.24,25.24,-,0
2017-12-26,25.24,25.24,25.24,25.24,-,0
2017-12-27,25.24,25.24,25.24,25.24,-,0
2017-12-28,25.24,25.24,25.24,25.24,-,0
2017-12-29,25.24,25.24,25.24,25.24,-,0
2018-01-02,25.24,25.24,25.24,25.24,-,0
2018-01-03,25.24,25.24,25.24,25.24,-,0
2018-01-04,25.24,25.24,25.24,25.24,-,0
2018-01-05,26.39,26.39,26.39,26.39,200,0
2018-01-08,26.39,26.39,26.39,26.39,-,0
2018-01-09,26.41,26.43,26.41,26.43,200,0
2018-01-10,26.43,26.43,26.43,26.43,-,0
2018-01-11,26.57,26.57,26.57,26.57,200,0
2018-01-12,26.57,26.57,26.57,26.57,-,0
2018-01-16,26.95,26.96,26.95,26.96,500,0
2018-01-17,26.96,26.96,26.96,26.96,-,0
2018-01-18,26.96,27.05,26.96,27.05,1600,0
2018-01-19,27.05,27.05,27.05,27.05,-,0
2018-01-22,27.05,27.05,27.05,27.05,-,0
2018-01-23,27.34,27.34,27.34,27.34,200,0
2018-01-24,27.53,27.56,27.38,27.38,600,0
2018-01-25,27.38,27.38,27.38,27.38,-,0
2018-01-26,27.38,27.38,27.38,27.38,-,0
2018-01-29,27.38,27.38,27.38,27.38,-,0
2018-01-30,27.15,27.15,27.15,27.15,500,0
2018-01-31,27.04,27.04,27.03,27.03,900,0
2018-02-01,26.95,26.95,26.95,26.95,400,0
2018-02-02,26.95,26.95,26.95,26.95,-,0
2018-02-05,26.95,26.95,26.95,26.95,-,0
2018-02-06,25.33,25.61,25.30,25.61,700,0
2018-02-07,25.44,25.47,25.44,25.47,300,0
2018-02-08,25.58,25.58,25.00,25.00,800,0
2018-02-09,24.98,24.98,24.98,24.98,200,0
2018-02-12,24.98,24.98,24.98,24.98,-,0
2018-02-13,25.26,25.26,25.26,25.26,100,0
2018-02-14,25.26,25.26,25.26,25.26,-,0
2018-02-15,25.26,25.26,25.26,25.26,-,0
2018-02-16,26.07,26.07,25.93,25.93,300,0
2018-02-20,25.93,25.93,25.93,25.93,-,0
2018-02-21,25.93,25.93,25.93,25.93,-,0
2018-02-22,25.93,25.93,25.93,25.93,-,0
2018-02-23,25.83,25.83,25.83,25.83,200,0
2018-02-26,25.86,25.86,25.86,25.86,200,0
2018-02-27,25.61,25.61,25.61,25.61,200,0
2018-02-28,25.23,25.23,25.23,25.23,100,0
2018-03-01,25.11,25.11,25.00,25.00,10500,0
2018-03-02,25.00,25.00,25.00,25.00,-,0
2018-03-05,25.00,25.00,25.00,25.00,-,0
2018-03-06,25.33,25.33,25.33,25.33,100,0
2018-03-07,25.27,25.27,25.27,25.27,700,0
2018-03-08,25.27,25.27,25.27,25.27,-,0
2018-03-09,25.50,25.50,25.50,25.50,200,0
2018-03-12,25.50,25.50,25.50,25.50,-,0
2018-03-13,25.50,25.50,25.50,25.50,-,0
2018-03-14,25.50,25.50,25.50,25.50,-,0
2018-03-15,25.38,25.38,25.38,25.38,100,0
2018-03-16,25.44,25.44,25.38,25.38,400,0
2018-03-19,25.38,25.38,25.38,25.38,-,0
2018-03-20,25.38,25.38,25.38,25.38,-,0
2018-03-21,25.38,25.38,25.38,25.38,-,0
2018-03-22,25.38,25.38,25.38,25.38,-,0
2018-03-23,25.38,25.38,25.38,25.38,-,0
2018-03-26,25.20,25.20,24.93,24.93,11700,0
2018-03-27,25.20,25.20,24.93,24.93,11700,0
2018-03-28,25.29,25.41,25.25,25.25,7300,0
2018-03-29,25.35,25.35,25.35,25.35,200,0
2018-04-02,25.35,25.35,25.04,25.08,1000,0
2018-04-03,25.30,25.30,25.30,25.30,100,0
2018-04-04,25.24,25.45,25.24,25.45,400,0
2018-04-05,25.78,25.78,25.78,25.78,200,0
2018-04-06,25.71,25.71,25.71,25.71,300,0
2018-04-09,25.97,25.97,25.97,25.97,100,0
